step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,19.7054,0,0.489730,-0.664069,-0.016567,0.489570,-0.663973,-0.016567,0.186,-0.809783,-1.932977,-1.781470,-1.060360,1.585484,-2.048419,0.029800,0
2,19.8084,1,0.489732,-0.664009,-0.016567,0.489380,-0.663837,-0.016567,0.392,-0.809783,-1.932958,-1.781451,-1.060357,1.585480,-2.048435,0.029600,0
3,19.9047,2,0.489882,-0.664149,-0.016567,0.489187,-0.663699,-0.016567,0.828,-0.810487,-1.933666,-1.780410,-1.059515,1.584736,-2.049187,0.029400,0
4,20.0013,3,0.489742,-0.664288,-0.016567,0.488999,-0.663565,-0.016567,1.037,-0.811724,-1.934869,-1.779303,-1.058302,1.583560,-2.050368,0.029200,0
5,20.1008,4,0.490056,-0.664409,-0.016567,0.488814,-0.663433,-0.016567,1.580,-0.813005,-1.936246,-1.778257,-1.057450,1.582392,-2.051646,0.029000,0
6,20.1997,5,0.490098,-0.664880,-0.016567,0.488631,-0.663302,-0.016567,2.155,-0.814195,-1.937321,-1.776981,-1.055842,1.581044,-2.052733,0.028800,0
7,20.2995,6,0.490304,-0.665094,-0.016567,0.488449,-0.663172,-0.016567,2.671,-0.814994,-1.938119,-1.776229,-1.055235,1.580344,-2.053281,0.028600,0
8,20.3997,7,0.490573,-0.665418,-0.016567,0.488269,-0.663043,-0.016567,3.310,-0.816449,-1.939285,-1.774961,-1.053870,1.578855,-2.054007,0.028400,0
9,20.5015,8,0.490519,-0.665678,-0.016567,0.488088,-0.662914,-0.016567,3.680,-0.817768,-1.940076,-1.773542,-1.052431,1.577544,-2.054360,0.028200,0
10,20.5991,9,0.490924,-0.665745,-0.016567,0.487909,-0.662786,-0.016567,4.225,-0.819383,-1.940614,-1.772711,-1.050953,1.575939,-2.054519,0.028000,0
11,20.7006,10,0.491004,-0.666012,-0.016567,0.487729,-0.662658,-0.016567,4.687,-0.820613,-1.940642,-1.772380,-1.049704,1.575122,-2.054507,0.027943,0
12,20.8003,11,0.491110,-0.666335,-0.016567,0.487551,-0.662530,-0.016567,5.210,-0.821870,-1.940587,-1.772334,-1.048338,1.574423,-2.054378,0.028087,0
13,20.9022,12,0.491095,-0.666421,-0.016567,0.487373,-0.662403,-0.016567,5.477,-0.823253,-1.940288,-1.772416,-1.047711,1.574155,-2.054132,0.028287,0
14,21.0001,13,0.490905,-0.666386,-0.016567,0.487195,-0.662276,-0.016567,5.536,-0.824148,-1.939992,-1.772565,-1.047487,1.574174,-2.054000,0.028487,0
15,21.1009,14,0.490850,-0.666449,-0.016567,0.487018,-0.662150,-0.016567,5.758,-0.825602,-1.939410,-1.773058,-1.047324,1.574186,-2.053815,0.028687,0
16,21.2050,15,0.490894,-0.666525,-0.016567,0.486842,-0.662024,-0.016567,6.056,-0.826893,-1.938862,-1.773749,-1.047352,1.574577,-2.053572,0.028887,0
17,21.3036,16,0.490393,-0.666437,-0.016567,0.486666,-0.661899,-0.016567,5.873,-0.828444,-1.938067,-1.774417,-1.047675,1.575375,-2.053261,0.029087,0
18,21.4029,17,0.490158,-0.666383,-0.016567,0.486491,-0.661774,-0.016567,5.890,-0.829286,-1.937524,-1.775107,-1.048441,1.576214,-2.053045,0.029287,0
19,21.4994,18,0.490152,-0.666525,-0.016567,0.486317,-0.661649,-0.016567,6.204,-0.829576,-1.936922,-1.775649,-1.049272,1.576899,-2.052817,0.029487,0
20,21.6018,19,0.490158,-0.666834,-0.016567,0.486143,-0.661525,-0.016567,6.657,-0.829569,-1.936419,-1.776124,-1.050102,1.577643,-2.052586,0.029687,0
21,21.6992,20,0.489997,-0.666265,-0.016567,0.485969,-0.661401,-0.016567,6.316,-0.829409,-1.936120,-1.776411,-1.050493,1.577967,-2.052430,0.029887,0
22,21.7978,21,0.489366,-0.666449,-0.016567,0.485796,-0.661277,-0.016567,6.284,-0.828348,-1.935529,-1.777140,-1.051363,1.578987,-2.052170,0.030062,0
