step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,17.2280,0,0.495980,-0.666292,-0.016567,0.495953,-0.666155,-0.016567,0.140,-0.813963,-1.928904,-1.777902,-1.057922,1.584107,-2.049098,0.024722,0
2,17.2406,1,0.495981,-0.666211,-0.016567,0.495763,-0.666019,-0.016567,0.290,-0.813954,-1.928904,-1.777907,-1.057969,1.584088,-2.049054,0.024517,0
3,17.3093,2,0.496003,-0.666276,-0.016567,0.495570,-0.665881,-0.016567,0.586,-0.813963,-1.928904,-1.777911,-1.057938,1.584049,-2.049078,0.024517,0
4,17.4107,3,0.496438,-0.666418,-0.016567,0.495382,-0.665747,-0.016567,1.251,-0.819943,-1.931641,-1.775177,-1.054120,1.581142,-2.050508,0.024717,0
5,17.5180,5,0.496224,-0.667746,-0.016567,0.495014,-0.665484,-0.016567,2.565,-0.835674,-1.938876,-1.768472,-1.044516,1.571888,-2.054389,0.025106,0
6,17.6195,6,0.496307,-0.669221,-0.016567,0.494832,-0.665355,-0.016567,4.138,-0.846173,-1.943559,-1.763910,-1.038068,1.565865,-2.057003,0.025306,0
7,17.7169,7,0.496314,-0.670054,-0.016567,0.494652,-0.665225,-0.016567,5.107,-0.850970,-1.945741,-1.762022,-1.035188,1.564061,-2.058261,0.025506,0
8,17.8911,7,0.496007,-0.669979,-0.016567,0.494652,-0.665225,-0.016567,4.944,-0.852579,-1.945741,-1.762483,-1.034912,1.563372,-2.058110,0.025517,0
9,17.9249,9,0.496021,-0.670161,-0.016567,0.494292,-0.664968,-0.016567,5.473,-0.852054,-1.943945,-1.765113,-1.036547,1.565014,-2.056082,0.025906,0
10,18.0104,9,0.495862,-0.670103,-0.016567,0.494292,-0.664968,-0.016567,5.369,-0.851239,-1.942496,-1.766798,-1.037578,1.566307,-2.054775,0.025917,0
11,18.1156,11,0.495385,-0.669196,-0.016567,0.493934,-0.664713,-0.016567,4.712,-0.848631,-1.940176,-1.770533,-1.041060,1.569180,-2.052889,0.026306,0
12,18.2187,12,0.495090,-0.668968,-0.016567,0.493756,-0.664585,-0.016567,4.581,-0.845631,-1.938779,-1.772487,-1.043407,1.571777,-2.052506,0.026506,0
13,18.3146,13,0.494945,-0.668444,-0.016567,0.493578,-0.664459,-0.016567,4.214,-0.842174,-1.938028,-1.774229,-1.046269,1.573830,-2.052545,0.026706,0
14,18.5358,14,0.494832,-0.667797,-0.016567,0.493401,-0.664332,-0.016567,3.749,-0.838871,-1.937668,-1.775151,-1.048265,1.575954,-2.052877,0.026906,0
15,18.5592,15,0.494753,-0.667884,-0.016567,0.493225,-0.664206,-0.016567,3.982,-0.835542,-1.937417,-1.775498,-1.049890,1.576490,-2.053389,0.027106,0
16,18.6084,15,0.494757,-0.667727,-0.016567,0.493225,-0.664206,-0.016567,3.839,-0.834819,-1.937429,-1.775606,-1.049964,1.576806,-2.053476,0.027117,0
17,18.7087,16,0.494461,-0.667245,-0.016567,0.493049,-0.664081,-0.016567,3.465,-0.833405,-1.937342,-1.775650,-1.050006,1.576982,-2.053540,0.027317,0
18,18.8112,18,0.494003,-0.667308,-0.016567,0.492700,-0.663831,-0.016567,3.714,-0.832689,-1.937064,-1.776016,-1.050077,1.577027,-2.053228,0.027706,0
19,18.9107,19,0.493681,-0.667139,-0.016567,0.492526,-0.663707,-0.016567,3.621,-0.832571,-1.936742,-1.776276,-1.050186,1.576967,-2.052625,0.027906,0
20,19.0073,20,0.493640,-0.667084,-0.016567,0.492352,-0.663583,-0.016567,3.730,-0.831515,-1.936228,-1.776973,-1.051112,1.577718,-2.052011,0.028106,0
21,19.1169,21,0.493398,-0.667055,-0.016567,0.492179,-0.663460,-0.016567,3.796,-0.830132,-1.935553,-1.777764,-1.052214,1.578687,-2.051487,0.028306,0
22,19.2196,22,0.492921,-0.667188,-0.016567,0.492007,-0.663336,-0.016567,3.958,-0.828576,-1.935069,-1.778384,-1.053080,1.579302,-2.051224,0.028506,0
23,19.3118,22,0.492862,-0.667050,-0.016567,0.492007,-0.663336,-0.016567,3.810,-0.827670,-1.934878,-1.778644,-1.053494,1.579875,-2.051175,0.028517,0
24,19.4890,23,0.492876,-0.666875,-0.016567,0.491835,-0.663214,-0.016567,3.806,-0.826192,-1.934566,-1.779209,-1.054190,1.580475,-2.051088,0.028717,0
25,19.5428,24,0.492725,-0.666434,-0.016567,0.491664,-0.663091,-0.016567,3.507,-0.824468,-1.934462,-1.779669,-1.055080,1.581203,-2.051076,0.028917,0
26,19.6153,26,0.492640,-0.666265,-0.016567,0.491323,-0.662848,-0.016567,3.663,-0.823833,-1.934458,-1.779729,-1.055243,1.581384,-2.051052,0.029306,0
27,19.7115,27,0.492427,-0.666205,-0.016567,0.491153,-0.662726,-0.016567,3.705,-0.823501,-1.934386,-1.779792,-1.055440,1.581466,-2.051071,0.029506,0
28,19.8071,28,0.492232,-0.666063,-0.016567,0.490984,-0.662605,-0.016567,3.676,-0.822462,-1.934106,-1.780142,-1.056097,1.582008,-2.050796,0.029706,0
29,19.9091,28,0.492084,-0.665943,-0.016567,0.490984,-0.662605,-0.016567,3.514,-0.821858,-1.933976,-1.780361,-1.056465,1.582180,-2.050577,0.029717,0
30,20.0092,29,0.491836,-0.665674,-0.016567,0.490815,-0.662485,-0.016567,3.348,-0.820143,-1.933664,-1.780704,-1.057139,1.582690,-2.050154,0.029917,0
31,20.1058,30,0.491642,-0.665478,-0.016567,0.490647,-0.662365,-0.016567,3.269,-0.818653,-1.933465,-1.780976,-1.057671,1.583137,-2.049821,0.030117,0
32,20.2062,31,0.491412,-0.665488,-0.016567,0.490479,-0.662245,-0.016567,3.375,-0.817701,-1.933365,-1.781128,-1.057922,1.583396,-2.049650,0.030317,0
33,20.3117,32,0.491247,-0.665495,-0.016567,0.490311,-0.662125,-0.016567,3.497,-0.817406,-1.933329,-1.781128,-1.057974,1.583504,-2.049599,0.030517,0
34,20.4126,33,0.491169,-0.665151,-0.016567,0.490144,-0.662005,-0.016567,3.309,-0.816974,-1.933352,-1.781137,-1.058201,1.583632,-2.049585,0.030717,0
35,20.5096,34,0.490765,-0.664918,-0.016567,0.489977,-0.661886,-0.016567,3.133,-0.816058,-1.933210,-1.781204,-1.058632,1.584080,-2.049525,0.030917,0
36,20.6144,35,0.490707,-0.664796,-0.016567,0.489810,-0.661767,-0.016567,3.159,-0.815147,-1.933144,-1.781438,-1.059020,1.584239,-2.049402,0.031117,0
37,20.7165,36,0.490592,-0.664543,-0.016567,0.489644,-0.661649,-0.016567,3.046,-0.813708,-1.933013,-1.781523,-1.059442,1.584697,-2.049162,0.031317,0
38,20.8153,37,0.490294,-0.664273,-0.016567,0.489478,-0.661530,-0.016567,2.861,-0.812484,-1.933016,-1.781559,-1.059834,1.584872,-2.048950,0.031517,0
39,20.9961,38,0.490173,-0.664135,-0.016567,0.489313,-0.661412,-0.016567,2.856,-0.811276,-1.932982,-1.781542,-1.060057,1.585208,-2.048719,0.031717,0
40,21.0090,39,0.490069,-0.664427,-0.016567,0.489147,-0.661294,-0.016567,3.266,-0.810230,-1.932997,-1.781487,-1.060213,1.585340,-2.048499,0.031917,0
