step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,25.9034,0,0.500064,-0.670284,-0.016567,0.499965,-0.670278,-0.016567,0.100,-0.856348,-1.945806,-1.761763,-1.033200,1.562355,-2.056419,0.025000,0
2,26.0041,1,0.500084,-0.670340,-0.016567,0.499764,-0.670278,-0.016567,0.325,-0.856329,-1.945837,-1.761759,-1.033203,1.562371,-2.056412,0.025129,0
3,26.1048,2,0.500044,-0.670294,-0.016567,0.499596,-0.670278,-0.016567,0.448,-0.856388,-1.945852,-1.761739,-1.033193,1.562327,-2.056385,0.025285,0
4,26.2055,3,0.499760,-0.670261,-0.016567,0.499437,-0.670278,-0.016567,0.324,-0.856469,-1.945912,-1.761707,-1.033168,1.562255,-2.056427,0.025441,0
5,26.3061,4,0.499658,-0.670816,-0.016567,0.499278,-0.670278,-0.016567,0.659,-0.856564,-1.946020,-1.761607,-1.033187,1.562144,-2.056420,0.025596,0
6,26.4067,5,0.499496,-0.670745,-0.016567,0.499122,-0.670278,-0.016567,0.599,-0.856696,-1.946049,-1.761462,-1.033045,1.562000,-2.056468,0.025752,0
7,26.5073,6,0.499392,-0.670665,-0.016567,0.498966,-0.670278,-0.016567,0.576,-0.856633,-1.946064,-1.761547,-1.033063,1.562004,-2.056472,0.025907,0
8,26.6078,7,0.499025,-0.670244,-0.016567,0.498810,-0.670278,-0.016567,0.217,-0.855529,-1.946001,-1.762959,-1.033688,1.562919,-2.056304,0.026062,0
9,26.7084,8,0.498794,-0.670870,-0.016567,0.498655,-0.670278,-0.016567,0.608,-0.855680,-1.946043,-1.762595,-1.033727,1.562727,-2.056220,0.026218,0
10,26.8090,9,0.498817,-0.670277,-0.016567,0.498499,-0.670278,-0.016567,0.318,-0.856169,-1.946179,-1.762065,-1.033524,1.562448,-2.056292,0.026373,0
11,26.9096,10,0.498724,-0.670241,-0.016567,0.498344,-0.670278,-0.016567,0.382,-0.856441,-1.946361,-1.762096,-1.033319,1.562228,-2.056419,0.026529,0
12,27.0101,11,0.498371,-0.670329,-0.016567,0.498188,-0.670278,-0.016567,0.189,-0.856076,-1.946315,-1.762728,-1.033652,1.562567,-2.056385,0.026684,0
13,27.1107,12,0.498013,-0.670559,-0.016567,0.498033,-0.670278,-0.016567,0.282,-0.857135,-1.946471,-1.761053,-1.032561,1.561379,-2.056465,0.026839,0
14,27.2112,13,0.497974,-0.670326,-0.016567,0.497878,-0.670278,-0.016567,0.108,-0.857139,-1.946707,-1.761391,-1.032581,1.561598,-2.056549,0.026995,0
15,27.3117,14,0.497726,-0.670713,-0.016567,0.497722,-0.670278,-0.016567,0.435,-0.856923,-1.946636,-1.761698,-1.032668,1.561712,-2.056568,0.027150,0
