step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,21.7528,0,0.499103,-0.670648,-0.016567,0.498969,-0.670645,-0.016567,0.134,-0.856348,-1.945833,-1.761770,-1.033196,1.562339,-2.056378,0.025200,0
2,21.8533,1,0.498814,-0.670220,-0.016567,0.498769,-0.670645,-0.016567,0.428,-0.856367,-1.945852,-1.761747,-1.033193,1.562355,-2.056400,0.025400,0
3,21.9539,2,0.498602,-0.670187,-0.016567,0.498601,-0.670645,-0.016567,0.458,-0.856531,-1.945861,-1.761662,-1.033187,1.562200,-2.056400,0.025600,0
4,22.0544,3,0.498333,-0.670707,-0.016567,0.498441,-0.670645,-0.016567,0.125,-0.857761,-1.946140,-1.760069,-1.031989,1.561120,-2.056676,0.025728,0
5,22.1549,4,0.498257,-0.670911,-0.016567,0.498283,-0.670645,-0.016567,0.267,-0.858785,-1.946229,-1.758652,-1.030845,1.560148,-2.056852,0.025928,0
6,22.2554,5,0.498115,-0.670935,-0.016567,0.498126,-0.670645,-0.016567,0.290,-0.858582,-1.946184,-1.759073,-1.030917,1.560366,-2.056903,0.026128,0
7,22.3560,6,0.497886,-0.670940,-0.016567,0.497970,-0.670645,-0.016567,0.307,-0.856896,-1.945861,-1.761402,-1.032723,1.561851,-2.056592,0.026273,0
8,22.4567,7,0.497726,-0.670737,-0.016567,0.497815,-0.670645,-0.016567,0.127,-0.855941,-1.945533,-1.762045,-1.033319,1.562384,-2.056328,0.026412,0
9,22.5572,8,0.497726,-0.670737,-0.016567,0.497659,-0.670645,-0.016567,0.114,-0.855972,-1.945808,-1.762233,-1.033355,1.562415,-2.056308,0.026612,0
10,22.6578,9,0.497259,-0.670738,-0.016567,0.497504,-0.670645,-0.016567,0.262,-0.856040,-1.946200,-1.762318,-1.033395,1.562504,-2.056320,0.026620,0
11,22.7584,10,0.497356,-0.670737,-0.016567,0.497348,-0.670645,-0.016567,0.092,-0.856392,-1.946321,-1.762110,-1.033355,1.562296,-2.056376,0.026820,0
12,22.8589,11,0.497318,-0.670918,-0.016567,0.497193,-0.670645,-0.016567,0.300,-0.856412,-1.946396,-1.762156,-1.033340,1.562338,-2.056427,0.027020,0
13,22.9594,12,0.497145,-0.670911,-0.016567,0.497038,-0.670645,-0.016567,0.286,-0.856389,-1.946595,-1.762221,-1.033336,1.562292,-2.056427,0.027220,0
14,23.0599,13,0.496956,-0.671247,-0.016567,0.496882,-0.670645,-0.016567,0.607,-0.856268,-1.946607,-1.762439,-1.033312,1.562227,-2.056409,0.027420,0
15,23.1605,14,0.496588,-0.670907,-0.016567,0.496727,-0.670645,-0.016567,0.296,-0.855662,-1.946636,-1.763361,-1.033988,1.562652,-2.056301,0.027512,0
16,23.2611,15,0.496403,-0.670755,-0.016567,0.496571,-0.670645,-0.016567,0.201,-0.854751,-1.946651,-1.764393,-1.034816,1.563486,-2.056113,0.027590,0
17,23.3617,16,0.496452,-0.670807,-0.016567,0.496416,-0.670645,-0.016567,0.166,-0.854929,-1.947019,-1.764156,-1.034732,1.563521,-2.056092,0.027790,0
18,23.4623,17,0.496201,-0.670747,-0.016567,0.496261,-0.670645,-0.016567,0.118,-0.855824,-1.947286,-1.763103,-1.033712,1.562416,-2.056193,0.027960,0
19,23.5630,18,0.496091,-0.670777,-0.016567,0.496105,-0.670645,-0.016567,0.132,-0.856068,-1.947577,-1.763130,-1.033708,1.562523,-2.056368,0.028160,0
20,23.6636,19,0.496032,-0.670776,-0.016567,0.495950,-0.670645,-0.016567,0.154,-0.856160,-1.947513,-1.763040,-1.033628,1.562480,-2.056403,0.028360,0
21,23.7643,20,0.495581,-0.671258,-0.016567,0.495794,-0.670645,-0.016567,0.649,-0.856480,-1.947462,-1.762870,-1.033462,1.562055,-2.056412,0.028400,0
22,23.8728,21,0.495564,-0.670912,-0.016567,0.495639,-0.670645,-0.016567,0.277,-0.856381,-1.947517,-1.762879,-1.033275,1.562072,-2.056421,0.028565,0
23,23.9734,22,0.495550,-0.671497,-0.016567,0.495484,-0.670645,-0.016567,0.854,-0.855295,-1.947382,-1.764050,-1.034003,1.562703,-2.056268,0.028765,0
24,24.0740,23,0.495264,-0.671487,-0.016567,0.495328,-0.670645,-0.016567,0.844,-0.854703,-1.947394,-1.764749,-1.034616,1.563500,-2.056144,0.028944,0
25,24.1746,24,0.495156,-0.671101,-0.016567,0.495173,-0.670645,-0.016567,0.456,-0.854423,-1.947394,-1.765330,-1.034792,1.563407,-2.055989,0.029144,0
26,24.2751,25,0.495049,-0.670254,-0.016567,0.495017,-0.670645,-0.016567,0.392,-0.852772,-1.947529,-1.767691,-1.037150,1.565583,-2.055760,0.029344,0
27,24.3757,26,0.495003,-0.670616,-0.016567,0.494862,-0.670645,-0.016567,0.144,-0.852712,-1.947674,-1.767688,-1.036944,1.565685,-2.055733,0.029544,0
28,24.4763,27,0.494522,-0.670929,-0.016567,0.494707,-0.670645,-0.016567,0.338,-0.854989,-1.948148,-1.764615,-1.034292,1.562868,-2.056056,0.029580,0
29,24.5769,28,0.494444,-0.671565,-0.016567,0.494551,-0.670645,-0.016567,0.926,-0.857571,-1.949062,-1.762325,-1.032344,1.561254,-2.056549,0.029719,0
30,24.6775,29,0.494475,-0.671497,-0.016567,0.494396,-0.670645,-0.016567,0.855,-0.856324,-1.948699,-1.763999,-1.033584,1.562063,-2.056484,0.029919,0
31,24.7782,30,0.494151,-0.670929,-0.016567,0.494240,-0.670645,-0.016567,0.297,-0.854004,-1.947888,-1.766017,-1.035191,1.563864,-2.056005,0.030050,0
32,24.8787,31,0.494014,-0.670928,-0.016567,0.494085,-0.670645,-0.016567,0.291,-0.852804,-1.947861,-1.767679,-1.036684,1.564956,-2.055753,0.030201,0
33,24.9794,32,0.493843,-0.671465,-0.016567,0.493930,-0.670645,-0.016567,0.824,-0.854038,-1.948247,-1.765971,-1.035448,1.564076,-2.055849,0.030355,0
34,25.0799,33,0.493621,-0.671440,-0.016567,0.493774,-0.670645,-0.016567,0.809,-0.855294,-1.948727,-1.764706,-1.034106,1.562808,-2.056101,0.030455,0
35,25.1805,34,0.493660,-0.671467,-0.016567,0.493619,-0.670645,-0.016567,0.823,-0.854460,-1.948768,-1.766511,-1.035459,1.563847,-2.056082,0.030655,0
