step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,15.1190,0,0.500818,-0.671465,-0.016567,0.500672,-0.671452,-0.016567,0.146,-0.856360,-1.945821,-1.761759,-1.033162,1.562327,-2.056397,0.025200,0
2,15.2196,1,0.500507,-0.670892,-0.016567,0.500472,-0.671452,-0.016567,0.561,-0.856329,-1.945837,-1.761754,-1.033177,1.562352,-2.056412,0.025400,0
3,15.3202,2,0.500345,-0.670998,-0.016567,0.500304,-0.671452,-0.016567,0.456,-0.856583,-1.945891,-1.761563,-1.033160,1.562183,-2.056400,0.025600,0
4,15.4209,3,0.500061,-0.671334,-0.016567,0.500144,-0.671452,-0.016567,0.144,-0.858114,-1.946241,-1.759486,-1.031539,1.560829,-2.056772,0.025744,0
5,15.5215,4,0.499790,-0.671462,-0.016567,0.499986,-0.671452,-0.016567,0.195,-0.859536,-1.946420,-1.757771,-1.030008,1.559514,-2.057003,0.025804,0
6,15.6221,5,0.500038,-0.671497,-0.016567,0.499829,-0.671452,-0.016567,0.213,-0.859090,-1.946308,-1.758531,-1.030489,1.559930,-2.056987,0.026004,0
7,15.7227,6,0.499594,-0.670933,-0.016567,0.499673,-0.671452,-0.016567,0.526,-0.857975,-1.945890,-1.759880,-1.031804,1.560927,-2.056835,0.026156,0
8,15.8233,7,0.499412,-0.670910,-0.016567,0.499518,-0.671452,-0.016567,0.553,-0.857779,-1.945543,-1.759866,-1.031713,1.560794,-2.056679,0.026288,0
9,15.9239,8,0.499210,-0.670737,-0.016567,0.499362,-0.671452,-0.016567,0.732,-0.859004,-1.946112,-1.758194,-1.030702,1.560079,-2.056847,0.026383,0
10,16.0246,9,0.499041,-0.670915,-0.016567,0.499207,-0.671452,-0.016567,0.562,-0.860603,-1.946480,-1.756754,-1.029270,1.558399,-2.057179,0.026484,0
11,16.1253,10,0.499120,-0.671470,-0.016567,0.499051,-0.671452,-0.016567,0.071,-0.861329,-1.946492,-1.755717,-1.028826,1.557986,-2.057410,0.026684,0
12,16.2259,11,0.498826,-0.671486,-0.016567,0.498896,-0.671452,-0.016567,0.078,-0.861505,-1.946385,-1.755202,-1.028277,1.557795,-2.057454,0.026876,0
13,16.3265,12,0.498740,-0.671442,-0.016567,0.498740,-0.671452,-0.016567,0.010,-0.860833,-1.946076,-1.756056,-1.028838,1.558150,-2.057398,0.027076,0
14,16.4272,13,0.498380,-0.671486,-0.016567,0.498585,-0.671452,-0.016567,0.207,-0.859252,-1.945313,-1.757571,-1.030249,1.559582,-2.057068,0.027144,0
15,16.5278,14,0.498400,-0.671418,-0.016567,0.498430,-0.671452,-0.016567,0.045,-0.859033,-1.945058,-1.757499,-1.030386,1.559639,-2.056924,0.027344,0
16,16.6285,15,0.498020,-0.671459,-0.016567,0.498274,-0.671452,-0.016567,0.254,-0.858918,-1.945202,-1.757962,-1.030776,1.559826,-2.056912,0.027382,0
17,16.7291,16,0.498110,-0.671467,-0.016567,0.498119,-0.671452,-0.016567,0.017,-0.858626,-1.945330,-1.758632,-1.031256,1.560170,-2.056837,0.027582,0
18,16.8298,17,0.497973,-0.671447,-0.016567,0.497963,-0.671452,-0.016567,0.011,-0.858371,-1.945469,-1.758887,-1.031277,1.560183,-2.056792,0.027782,0
19,16.9304,18,0.497726,-0.671479,-0.016567,0.497808,-0.671452,-0.016567,0.086,-0.858175,-1.945669,-1.759201,-1.031438,1.560503,-2.056772,0.027963,0
20,17.0311,19,0.497701,-0.671497,-0.016567,0.497653,-0.671452,-0.016567,0.066,-0.858234,-1.945789,-1.759319,-1.031508,1.560455,-2.056772,0.028163,0
21,17.1317,20,0.497516,-0.671653,-0.016567,0.497497,-0.671452,-0.016567,0.201,-0.858124,-1.945972,-1.759528,-1.031569,1.560503,-2.056756,0.028363,0
22,17.2324,21,0.497160,-0.671643,-0.016567,0.497342,-0.671452,-0.016567,0.263,-0.858026,-1.946040,-1.759844,-1.031875,1.560567,-2.056732,0.028445,0
23,17.3330,22,0.497145,-0.671653,-0.016567,0.497186,-0.671452,-0.016567,0.204,-0.857487,-1.946043,-1.760495,-1.032260,1.561076,-2.056621,0.028645,0
24,17.4335,23,0.496983,-0.671478,-0.016567,0.497031,-0.671452,-0.016567,0.054,-0.857048,-1.946064,-1.761204,-1.032728,1.561475,-2.056556,0.028837,0
25,17.5342,24,0.496612,-0.671478,-0.016567,0.496876,-0.671452,-0.016567,0.264,-0.857020,-1.946247,-1.761244,-1.032735,1.561427,-2.056508,0.028850,0
26,17.6348,25,0.496588,-0.671497,-0.016567,0.496720,-0.671452,-0.016567,0.139,-0.857124,-1.946538,-1.761045,-1.032675,1.561415,-2.056516,0.028996,0
27,17.7355,26,0.496549,-0.671550,-0.016567,0.496565,-0.671452,-0.016567,0.099,-0.857461,-1.946846,-1.760977,-1.032585,1.561179,-2.056580,0.029196,0
28,17.8360,27,0.496275,-0.671666,-0.016567,0.496409,-0.671452,-0.016567,0.252,-0.857451,-1.946867,-1.761060,-1.032583,1.561152,-2.056631,0.029337,0
29,17.9366,28,0.496168,-0.671497,-0.016567,0.496254,-0.671452,-0.016567,0.097,-0.857396,-1.946894,-1.761259,-1.032573,1.561156,-2.056628,0.029515,0
30,18.0372,29,0.496149,-0.671966,-0.016567,0.496099,-0.671452,-0.016567,0.516,-0.857091,-1.946875,-1.761688,-1.032608,1.561287,-2.056592,0.029715,0
31,18.1378,30,0.496032,-0.671653,-0.016567,0.495943,-0.671452,-0.016567,0.219,-0.857100,-1.947015,-1.761599,-1.032564,1.561208,-2.056559,0.029915,0
32,18.2385,31,0.495543,-0.671658,-0.016567,0.495788,-0.671452,-0.016567,0.320,-0.856144,-1.946854,-1.762990,-1.033818,1.562179,-2.056352,0.029948,0
33,18.3391,32,0.495661,-0.671653,-0.016567,0.495632,-0.671452,-0.016567,0.202,-0.855920,-1.946942,-1.763222,-1.034267,1.562586,-2.056304,0.030148,0
34,18.4397,33,0.495428,-0.671640,-0.016567,0.495477,-0.671452,-0.016567,0.193,-0.856449,-1.947070,-1.762413,-1.033235,1.561731,-2.056335,0.030348,0
35,18.5403,34,0.495290,-0.671653,-0.016567,0.495322,-0.671452,-0.016567,0.203,-0.856369,-1.947322,-1.762939,-1.033481,1.562039,-2.056349,0.030548,0
36,18.6409,35,0.495095,-0.671485,-0.016567,0.495166,-0.671452,-0.016567,0.078,-0.856294,-1.947331,-1.763166,-1.033619,1.562088,-2.056380,0.030713,0
37,18.7415,36,0.494772,-0.671467,-0.016567,0.495011,-0.671452,-0.016567,0.239,-0.856413,-1.947342,-1.762776,-1.033535,1.561879,-2.056400,0.030743,0
38,18.8420,37,0.494734,-0.671497,-0.016567,0.494855,-0.671452,-0.016567,0.129,-0.856828,-1.947717,-1.762583,-1.033229,1.561643,-2.056442,0.030892,0
39,18.9426,38,0.494794,-0.671472,-0.016567,0.494700,-0.671452,-0.016567,0.096,-0.857239,-1.947861,-1.762069,-1.032749,1.561154,-2.056540,0.031092,0
40,19.0432,39,0.494595,-0.671500,-0.016567,0.494545,-0.671452,-0.016567,0.069,-0.857259,-1.948017,-1.762132,-1.032689,1.561206,-2.056592,0.031292,0
41,19.1437,40,0.494385,-0.671518,-0.016567,0.494389,-0.671452,-0.016567,0.066,-0.857484,-1.948163,-1.762017,-1.032513,1.560935,-2.056588,0.031492,0
42,19.2443,41,0.494148,-0.671644,-0.016567,0.494234,-0.671452,-0.016567,0.210,-0.857551,-1.948195,-1.761806,-1.032303,1.560851,-2.056612,0.031646,0
43,19.3449,42,0.493807,-0.671653,-0.016567,0.494078,-0.671452,-0.016567,0.337,-0.857622,-1.948156,-1.761799,-1.032308,1.560843,-2.056643,0.031652,0
44,19.4454,43,0.493679,-0.671666,-0.016567,0.493923,-0.671452,-0.016567,0.324,-0.857533,-1.948112,-1.761851,-1.032302,1.560819,-2.056640,0.031710,0
45,19.5459,44,0.493807,-0.671690,-0.016567,0.493768,-0.671452,-0.016567,0.241,-0.857232,-1.947933,-1.762164,-1.032516,1.560986,-2.056595,0.031910,0
46,19.6465,45,0.493647,-0.672220,-0.016567,0.493612,-0.671452,-0.016567,0.769,-0.857143,-1.947945,-1.762201,-1.032660,1.561091,-2.056516,0.032110,0
47,19.7470,46,0.493566,-0.672216,-0.016567,0.493457,-0.671452,-0.016567,0.771,-0.856849,-1.947774,-1.762614,-1.033080,1.561419,-2.056481,0.032310,0
48,19.8475,47,0.493197,-0.672253,-0.016567,0.493301,-0.671452,-0.016567,0.807,-0.855438,-1.947166,-1.764406,-1.034963,1.562747,-2.056197,0.032482,0
49,19.9481,48,0.493065,-0.671653,-0.016567,0.493146,-0.671452,-0.016567,0.216,-0.854339,-1.946795,-1.765657,-1.035839,1.563735,-2.055965,0.032659,0
50,20.0487,49,0.492929,-0.671460,-0.016567,0.492991,-0.671452,-0.016567,0.062,-0.853612,-1.946615,-1.766448,-1.036456,1.564284,-2.055813,0.032845,0
51,20.1493,50,0.492891,-0.671432,-0.016567,0.492835,-0.671452,-0.016567,0.059,-0.853819,-1.946918,-1.766384,-1.036421,1.564080,-2.055780,0.033045,0
52,20.2498,51,0.492559,-0.671651,-0.016567,0.492680,-0.671452,-0.016567,0.233,-0.855514,-1.948013,-1.764586,-1.034552,1.562609,-2.056155,0.033171,0
53,20.3504,52,0.492465,-0.671677,-0.016567,0.492524,-0.671452,-0.016567,0.232,-0.855881,-1.948484,-1.764706,-1.034492,1.562396,-2.056257,0.033353,0
