step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,18.5762,0,0.500260,-0.670809,-0.016567,0.500263,-0.670749,-0.016567,0.060,-0.856333,-1.945821,-1.761794,-1.033230,1.562355,-2.056431,0.025200,0
2,18.6767,1,0.499936,-0.670737,-0.016567,0.500101,-0.670659,-0.016567,0.183,-0.856197,-1.945736,-1.761977,-1.033355,1.562372,-2.056400,0.025271,0
3,18.7773,2,0.500005,-0.670586,-0.016567,0.499960,-0.670528,-0.016567,0.073,-0.855533,-1.945135,-1.762890,-1.034383,1.563130,-2.056299,0.025471,0
4,18.8778,3,0.499785,-0.670195,-0.016567,0.499827,-0.670355,-0.016567,0.165,-0.852920,-1.942623,-1.766340,-1.037957,1.565939,-2.055642,0.025649,0
5,18.9783,4,0.499643,-0.670039,-0.016567,0.499696,-0.670137,-0.016567,0.111,-0.851766,-1.941362,-1.768073,-1.039957,1.566972,-2.055370,0.025796,0
6,19.0789,5,0.499455,-0.669994,-0.016567,0.499574,-0.669892,-0.016567,0.157,-0.850319,-1.939656,-1.770215,-1.042485,1.568560,-2.054981,0.025891,0
7,19.1794,6,0.499132,-0.669670,-0.016567,0.499465,-0.669641,-0.016567,0.335,-0.848635,-1.937736,-1.772380,-1.044887,1.570320,-2.054512,0.025804,0
8,19.2800,7,0.499363,-0.669422,-0.016567,0.499367,-0.669385,-0.016567,0.036,-0.845095,-1.935042,-1.776576,-1.049290,1.573689,-2.053728,0.026004,0
9,19.3805,8,0.499014,-0.668457,-0.016567,0.499274,-0.669127,-0.016567,0.719,-0.842152,-1.932978,-1.779488,-1.052448,1.576609,-2.053129,0.025909,0
10,19.4810,9,0.499058,-0.668326,-0.016567,0.499188,-0.668868,-0.016567,0.557,-0.839994,-1.931177,-1.782143,-1.055272,1.578487,-2.052605,0.025967,0
11,19.5816,10,0.499058,-0.668326,-0.016567,0.499106,-0.668606,-0.016567,0.284,-0.839446,-1.929632,-1.783674,-1.057233,1.579591,-2.052406,0.026128,0
12,19.6822,11,0.499058,-0.668326,-0.016567,0.499028,-0.668344,-0.016567,0.034,-0.839306,-1.927983,-1.784826,-1.058747,1.579834,-2.052165,0.026328,0
13,19.7828,12,0.499079,-0.667951,-0.016567,0.498953,-0.668080,-0.016567,0.180,-0.837494,-1.926921,-1.786668,-1.060764,1.581810,-2.051715,0.026528,0
14,19.8834,13,0.499010,-0.667065,-0.016567,0.498881,-0.667816,-0.016567,0.762,-0.833406,-1.924910,-1.789962,-1.064207,1.585615,-2.050968,0.026677,0
15,19.9840,14,0.498614,-0.666760,-0.016567,0.498811,-0.667551,-0.016567,0.816,-0.830203,-1.922589,-1.793207,-1.067773,1.588452,-2.050337,0.026556,0
16,20.0845,15,0.498708,-0.666608,-0.016567,0.498743,-0.667286,-0.016567,0.679,-0.830963,-1.921376,-1.794199,-1.069160,1.588337,-2.050220,0.026609,0
17,20.1851,16,0.498695,-0.666628,-0.016567,0.498677,-0.667020,-0.016567,0.393,-0.830528,-1.920022,-1.795607,-1.070973,1.588933,-2.049902,0.026764,0
18,20.2857,17,0.498544,-0.666281,-0.016567,0.498612,-0.666754,-0.016567,0.478,-0.827814,-1.918535,-1.798111,-1.073651,1.592086,-2.049351,0.026828,0
19,20.3865,18,0.498582,-0.666056,-0.016567,0.498548,-0.666488,-0.016567,0.433,-0.824950,-1.916868,-1.800467,-1.076066,1.593985,-2.048731,0.026988,0
20,20.4872,19,0.498664,-0.665827,-0.016567,0.498486,-0.666221,-0.016567,0.432,-0.822809,-1.915993,-1.802061,-1.077711,1.596357,-2.048348,0.027188,0
21,20.5878,20,0.498687,-0.665256,-0.016567,0.498424,-0.665954,-0.016567,0.746,-0.820377,-1.914791,-1.804099,-1.079819,1.598583,-2.047820,0.027388,0
22,20.6885,21,0.498156,-0.665124,-0.016567,0.498364,-0.665687,-0.016567,0.600,-0.818302,-1.913655,-1.806077,-1.081922,1.600299,-2.047314,0.027285,0
23,20.7891,22,0.498260,-0.665047,-0.016567,0.498304,-0.665420,-0.016567,0.375,-0.816786,-1.912244,-1.808305,-1.084265,1.602412,-2.046846,0.027399,0
24,20.8898,23,0.498179,-0.664766,-0.016567,0.498245,-0.665152,-0.016567,0.392,-0.814696,-1.911162,-1.810148,-1.086346,1.603890,-2.046302,0.027492,0
25,20.9905,24,0.498340,-0.664507,-0.016567,0.498186,-0.664885,-0.016567,0.408,-0.810432,-1.910242,-1.812379,-1.088246,1.608037,-2.045627,0.027692,0
26,21.0910,25,0.498190,-0.664180,-0.016567,0.498128,-0.664617,-0.016567,0.441,-0.807604,-1.909243,-1.814265,-1.090273,1.610052,-2.045088,0.027873,0
27,21.1916,26,0.498038,-0.664088,-0.016567,0.498070,-0.664349,-0.016567,0.264,-0.806062,-1.908688,-1.815342,-1.091426,1.611480,-2.044706,0.028024,0
28,21.2922,27,0.498046,-0.663980,-0.016567,0.498012,-0.664082,-0.016567,0.107,-0.803844,-1.907940,-1.816993,-1.092875,1.613719,-2.044258,0.028224,0
29,21.3928,28,0.498112,-0.663826,-0.016567,0.497955,-0.663814,-0.016567,0.158,-0.801238,-1.907117,-1.818676,-1.094696,1.615523,-2.043698,0.028424,0
30,21.4933,29,0.497817,-0.663239,-0.016567,0.497898,-0.663547,-0.016567,0.318,-0.796339,-1.906192,-1.820477,-1.096856,1.619210,-2.042787,0.028516,0
31,21.5939,30,0.497967,-0.662708,-0.016567,0.497842,-0.663285,-0.016567,0.590,-0.793211,-1.905625,-1.821936,-1.098746,1.620872,-2.042171,0.028673,0
32,21.6945,31,0.497823,-0.662380,-0.016567,0.497787,-0.663027,-0.016567,0.648,-0.790653,-1.905082,-1.823209,-1.100014,1.622683,-2.041629,0.028736,0
33,21.7951,32,0.497705,-0.662299,-0.016567,0.497733,-0.662773,-0.016567,0.474,-0.789905,-1.904582,-1.824277,-1.101602,1.622829,-2.041245,0.028819,0
34,21.8957,33,0.497687,-0.662463,-0.016567,0.497679,-0.662523,-0.016567,0.060,-0.789506,-1.904222,-1.825090,-1.102554,1.622789,-2.040966,0.029019,0
35,21.9963,34,0.497844,-0.661918,-0.016567,0.497626,-0.662277,-0.016567,0.420,-0.787351,-1.903803,-1.826022,-1.103921,1.624683,-2.040475,0.029219,0
36,22.0968,35,0.497842,-0.661458,-0.016567,0.497574,-0.662034,-0.016567,0.635,-0.784553,-1.903464,-1.826773,-1.104855,1.626119,-2.039929,0.029419,0
37,22.1975,36,0.497626,-0.660778,-0.016567,0.497522,-0.661795,-0.016567,1.022,-0.781643,-1.903027,-1.828080,-1.106487,1.627891,-2.039337,0.029352,0
38,22.2980,37,0.497596,-0.661040,-0.016567,0.497471,-0.661560,-0.016567,0.535,-0.782318,-1.902460,-1.829101,-1.107700,1.626940,-2.039037,0.029511,0
39,22.3985,38,0.497563,-0.660836,-0.016567,0.497420,-0.661328,-0.016567,0.512,-0.782187,-1.902100,-1.830076,-1.109166,1.627151,-2.038740,0.029680,0
40,22.4990,39,0.497469,-0.660750,-0.016567,0.497369,-0.661099,-0.016567,0.363,-0.780613,-1.901709,-1.830657,-1.110078,1.627991,-2.038222,0.029864,0
41,22.5996,40,0.497348,-0.660375,-0.016567,0.497318,-0.660873,-0.016567,0.499,-0.777879,-1.901637,-1.831553,-1.111082,1.629612,-2.037715,0.029937,0
42,22.7002,41,0.497308,-0.660465,-0.016567,0.497268,-0.660651,-0.016567,0.189,-0.776483,-1.901440,-1.831972,-1.111765,1.630664,-2.037391,0.030137,0
43,22.8007,42,0.497405,-0.660404,-0.016567,0.497217,-0.660431,-0.016567,0.190,-0.774718,-1.901177,-1.832647,-1.112625,1.630949,-2.036904,0.030337,0
44,22.9012,43,0.497278,-0.659541,-0.016567,0.497167,-0.660214,-0.016567,0.683,-0.771511,-1.900949,-1.833361,-1.113594,1.633200,-2.036194,0.030384,0
45,23.0018,44,0.497406,-0.659366,-0.016567,0.497117,-0.660001,-0.016567,0.697,-0.768916,-1.900808,-1.833771,-1.114493,1.634456,-2.035693,0.030584,0
46,23.1023,45,0.497200,-0.659219,-0.016567,0.497066,-0.659790,-0.016567,0.587,-0.768419,-1.900553,-1.834528,-1.115419,1.634749,-2.035327,0.030690,0
47,23.2029,46,0.497053,-0.659330,-0.016567,0.497016,-0.659581,-0.016567,0.254,-0.768848,-1.900245,-1.835269,-1.116484,1.634120,-2.035034,0.030867,0
48,23.3035,47,0.497053,-0.659211,-0.016567,0.496965,-0.659376,-0.016567,0.187,-0.767392,-1.900150,-1.835615,-1.116993,1.635411,-2.034591,0.031067,0
49,23.4041,48,0.497017,-0.658930,-0.016567,0.496913,-0.659174,-0.016567,0.264,-0.765761,-1.900122,-1.835786,-1.117289,1.636007,-2.034243,0.031267,0
50,23.5046,49,0.497012,-0.658650,-0.016567,0.496862,-0.658974,-0.016567,0.357,-0.762984,-1.900107,-1.836156,-1.117913,1.637594,-2.033740,0.031463,0
51,23.6051,50,0.496824,-0.658388,-0.016567,0.496810,-0.658776,-0.016567,0.389,-0.761444,-1.899915,-1.836560,-1.118568,1.638415,-2.033312,0.031534,0
52,23.7057,51,0.496801,-0.658500,-0.016567,0.496757,-0.658582,-0.016567,0.093,-0.760453,-1.899801,-1.837105,-1.119563,1.638571,-2.032787,0.031734,0
53,23.8062,52,0.496316,-0.658717,-0.016567,0.496704,-0.658390,-0.016567,0.506,-0.758991,-1.899687,-1.837267,-1.119803,1.639878,-2.032350,0.031870,0
54,23.9068,53,0.496390,-0.658418,-0.016567,0.496650,-0.658201,-0.016567,0.338,-0.756644,-1.899674,-1.837330,-1.120143,1.640957,-2.031835,0.032051,0
55,24.0073,54,0.496457,-0.657856,-0.016567,0.496595,-0.658016,-0.016567,0.211,-0.752276,-1.899747,-1.837121,-1.120143,1.643603,-2.031145,0.032153,0
56,24.1078,55,0.496432,-0.657075,-0.016567,0.496539,-0.657833,-0.016567,0.766,-0.749430,-1.899795,-1.837004,-1.120159,1.645369,-2.030784,0.032018,0
57,24.2083,56,0.496663,-0.656785,-0.016567,0.496482,-0.657653,-0.016567,0.887,-0.748267,-1.899729,-1.837156,-1.120743,1.646008,-2.030412,0.032076,0
58,24.3089,57,0.496448,-0.657229,-0.016567,0.496423,-0.657477,-0.016567,0.248,-0.749233,-1.899467,-1.837436,-1.121586,1.644949,-2.030118,0.032276,0
59,24.4094,58,0.496419,-0.657428,-0.016567,0.496363,-0.657304,-0.016567,0.137,-0.750944,-1.899074,-1.838073,-1.122377,1.644253,-2.029834,0.032476,0
60,24.5099,59,0.496069,-0.657418,-0.016567,0.496301,-0.657134,-0.016567,0.367,-0.749752,-1.899027,-1.838079,-1.122512,1.644748,-2.029399,0.032676,0
61,24.6106,60,0.496249,-0.656711,-0.016567,0.496237,-0.656969,-0.016567,0.258,-0.747003,-1.899147,-1.837989,-1.122482,1.646423,-2.028939,0.032876,0
62,24.7111,61,0.496211,-0.656353,-0.016567,0.496171,-0.656808,-0.016567,0.456,-0.744866,-1.899223,-1.837969,-1.122505,1.647171,-2.028467,0.033002,0
63,24.8117,62,0.496351,-0.656077,-0.016567,0.496102,-0.656652,-0.016567,0.626,-0.744253,-1.899195,-1.837965,-1.122752,1.647863,-2.028255,0.033202,0
64,24.9122,63,0.496438,-0.655810,-0.016567,0.496029,-0.656502,-0.016567,0.804,-0.745525,-1.899121,-1.838202,-1.123444,1.646916,-2.028013,0.033402,0
65,25.0127,64,0.496251,-0.655827,-0.016567,0.495951,-0.656358,-0.016567,0.609,-0.746229,-1.898983,-1.838336,-1.123660,1.646824,-2.027769,0.033602,0
66,25.1133,65,0.495707,-0.656306,-0.016567,0.495869,-0.656222,-0.016567,0.182,-0.748358,-1.898719,-1.838907,-1.124335,1.645165,-2.027530,0.033800,0
67,25.2139,66,0.495436,-0.656248,-0.016567,0.495779,-0.656097,-0.016567,0.374,-0.749056,-1.898738,-1.839064,-1.124722,1.644920,-2.027290,0.033904,0
68,25.3144,67,0.495484,-0.656067,-0.016567,0.495680,-0.655985,-0.016567,0.212,-0.746967,-1.898923,-1.838564,-1.124235,1.646528,-2.026874,0.034092,0
69,25.4149,68,0.495482,-0.655498,-0.016567,0.495569,-0.655892,-0.016567,0.404,-0.744356,-1.899335,-1.838180,-1.123744,1.647851,-2.026463,0.034130,0
70,25.5154,69,0.495474,-0.655599,-0.016567,0.495435,-0.655830,-0.016567,0.234,-0.744129,-1.899453,-1.837941,-1.123438,1.648278,-2.026278,0.034330,0
71,25.6160,70,0.495614,-0.655531,-0.016567,0.495267,-0.655824,-0.016567,0.453,-0.745377,-1.899439,-1.837738,-1.123315,1.647240,-2.026258,0.034530,0
72,25.7165,71,0.495284,-0.655468,-0.016567,0.495052,-0.655939,-0.016567,0.525,-0.747534,-1.899685,-1.837197,-1.122690,1.646428,-2.026208,0.034591,0
73,25.8171,72,0.495090,-0.655801,-0.016567,0.494868,-0.656141,-0.016567,0.406,-0.751189,-1.900095,-1.836201,-1.121731,1.643422,-2.026539,0.034650,0
74,25.9176,73,0.494637,-0.656258,-0.016567,0.494722,-0.656372,-0.016567,0.142,-0.754812,-1.900154,-1.836185,-1.121800,1.640843,-2.026958,0.034563,0
75,26.0183,74,0.494616,-0.656628,-0.016567,0.494597,-0.656616,-0.016567,0.023,-0.757710,-1.899815,-1.836580,-1.122156,1.638895,-2.027206,0.034593,0
76,26.1189,75,0.494545,-0.656603,-0.016567,0.494486,-0.656866,-0.016567,0.270,-0.759122,-1.899199,-1.837151,-1.122968,1.638499,-2.027321,0.034506,0
77,26.2196,76,0.494594,-0.656648,-0.016567,0.494384,-0.657121,-0.016567,0.517,-0.760414,-1.898652,-1.837888,-1.123636,1.637667,-2.027381,0.034432,0
78,26.3201,77,0.494382,-0.657321,-0.016567,0.494291,-0.657378,-0.016567,0.107,-0.762216,-1.898232,-1.838450,-1.124467,1.636452,-2.027497,0.034461,0
79,26.4207,78,0.494010,-0.657889,-0.016567,0.494204,-0.657638,-0.016567,0.318,-0.765746,-1.897525,-1.839301,-1.125482,1.634353,-2.027776,0.034404,0
80,26.5212,79,0.493715,-0.658201,-0.016567,0.494122,-0.657899,-0.016567,0.506,-0.768384,-1.896969,-1.840086,-1.126331,1.632873,-2.027920,0.034218,0
81,26.6218,80,0.493984,-0.658226,-0.016567,0.494043,-0.658161,-0.016567,0.087,-0.767556,-1.896378,-1.840701,-1.127173,1.633988,-2.027870,0.034203,0
