step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,24.6506,0,0.500523,-0.671329,-0.016567,0.500484,-0.671281,-0.016567,0.062,-0.856326,-1.945849,-1.761763,-1.033187,1.562339,-2.056427,0.025200,0
2,24.7512,1,0.500625,-0.671311,-0.016567,0.500322,-0.671191,-0.016567,0.325,-0.856333,-1.945837,-1.761802,-1.033196,1.562355,-2.056415,0.025400,0
3,24.8517,2,0.500288,-0.670604,-0.016567,0.500182,-0.671060,-0.016567,0.469,-0.855222,-1.944644,-1.763277,-1.034840,1.563498,-2.056197,0.025600,0
4,24.9523,3,0.499918,-0.670089,-0.016567,0.500049,-0.670887,-0.016567,0.809,-0.853157,-1.942783,-1.766044,-1.037630,1.565620,-2.055717,0.025633,0
5,25.0528,4,0.500094,-0.670575,-0.016567,0.499918,-0.670669,-0.016567,0.200,-0.852586,-1.941058,-1.767541,-1.039914,1.566384,-2.055486,0.025833,0
6,25.1533,5,0.499716,-0.670044,-0.016567,0.499796,-0.670424,-0.016567,0.388,-0.853371,-1.939370,-1.767313,-1.040254,1.565952,-2.055485,0.025892,0
7,25.2539,6,0.499645,-0.670045,-0.016567,0.499687,-0.670173,-0.016567,0.135,-0.851261,-1.937526,-1.770226,-1.043477,1.568252,-2.054883,0.026008,0
8,25.3544,7,0.499582,-0.669862,-0.016567,0.499588,-0.669917,-0.016567,0.056,-0.848481,-1.935793,-1.773474,-1.046746,1.570896,-2.054406,0.026157,0
9,25.4549,8,0.499478,-0.669271,-0.016567,0.499496,-0.669659,-0.016567,0.389,-0.846229,-1.933242,-1.775828,-1.049470,1.573173,-2.053896,0.026241,0
10,25.5554,9,0.499461,-0.669095,-0.016567,0.499409,-0.669400,-0.016567,0.309,-0.844049,-1.931385,-1.778309,-1.052527,1.574961,-2.053308,0.026389,0
11,25.6560,10,0.498986,-0.667829,-0.016567,0.499328,-0.669138,-0.016567,1.353,-0.840905,-1.929249,-1.782167,-1.056222,1.578583,-2.052674,0.026189,0
