step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,17.9496,0,0.499088,-0.670386,-0.016567,0.499016,-0.670379,-0.016567,0.072,-0.856376,-1.945821,-1.761751,-1.033169,1.562336,-2.056412,0.025000,0
2,18.0502,1,0.498999,-0.670339,-0.016567,0.498816,-0.670379,-0.016567,0.188,-0.856356,-1.945837,-1.761785,-1.033172,1.562327,-2.056397,0.025129,0
3,18.1508,2,0.498999,-0.670339,-0.016567,0.498648,-0.670379,-0.016567,0.353,-0.856393,-1.945833,-1.761739,-1.033187,1.562315,-2.056400,0.025285,0
4,18.2514,3,0.498717,-0.670386,-0.016567,0.498488,-0.670379,-0.016567,0.229,-0.856612,-1.945972,-1.761575,-1.033150,1.562123,-2.056439,0.025441,0
5,18.3519,4,0.498628,-0.670755,-0.016567,0.498330,-0.670379,-0.016567,0.480,-0.856821,-1.946064,-1.761281,-1.032924,1.561916,-2.056489,0.025596,0
6,18.4525,5,0.498178,-0.670800,-0.016567,0.498173,-0.670379,-0.016567,0.421,-0.856855,-1.946064,-1.761334,-1.032824,1.561943,-2.056547,0.025752,0
7,18.5534,6,0.498023,-0.670717,-0.016567,0.498017,-0.670379,-0.016567,0.338,-0.856525,-1.946046,-1.761686,-1.032924,1.562051,-2.056511,0.025907,0
8,18.6541,7,0.498096,-0.670680,-0.016567,0.497862,-0.670379,-0.016567,0.381,-0.855254,-1.945936,-1.763142,-1.033988,1.563126,-2.056279,0.026062,0
9,18.7547,8,0.498072,-0.670165,-0.016567,0.497706,-0.670379,-0.016567,0.424,-0.854750,-1.945884,-1.763828,-1.034564,1.563656,-2.056097,0.026218,0
10,18.8553,9,0.497604,-0.670721,-0.016567,0.497551,-0.670379,-0.016567,0.346,-0.855157,-1.946076,-1.763398,-1.034471,1.563336,-2.056119,0.026373,0
11,18.9559,10,0.497676,-0.670773,-0.016567,0.497395,-0.670379,-0.016567,0.483,-0.856056,-1.946631,-1.762792,-1.033722,1.562677,-2.056296,0.026529,0
12,19.0565,11,0.497374,-0.670935,-0.016567,0.497240,-0.670379,-0.016567,0.571,-0.856224,-1.946675,-1.762766,-1.033388,1.562175,-2.056419,0.026684,0
13,19.1571,12,0.497189,-0.670789,-0.016567,0.497085,-0.670379,-0.016567,0.422,-0.854850,-1.946468,-1.764381,-1.034876,1.563843,-2.056193,0.026839,0
14,19.2576,13,0.497158,-0.670749,-0.016567,0.496929,-0.670379,-0.016567,0.435,-0.854323,-1.946364,-1.764853,-1.035023,1.564052,-2.056059,0.026995,0
15,19.3582,14,0.497084,-0.670730,-0.016567,0.496774,-0.670379,-0.016567,0.468,-0.854148,-1.946562,-1.765419,-1.035260,1.563944,-2.055905,0.027150,0
16,19.4587,15,0.496863,-0.670386,-0.016567,0.496618,-0.670379,-0.016567,0.244,-0.854116,-1.946954,-1.765530,-1.035205,1.564055,-2.055921,0.027306,0
17,19.5593,16,0.496663,-0.670755,-0.016567,0.496463,-0.670379,-0.016567,0.426,-0.854299,-1.947118,-1.765436,-1.035301,1.564004,-2.055948,0.027461,0
18,19.6598,17,0.496614,-0.670737,-0.016567,0.496308,-0.670379,-0.016567,0.471,-0.855222,-1.947447,-1.764431,-1.034936,1.563365,-2.056152,0.027616,0
19,19.7603,18,0.496434,-0.670926,-0.016567,0.496152,-0.670379,-0.016567,0.615,-0.855434,-1.947570,-1.764421,-1.034663,1.562919,-2.056220,0.027772,0
20,19.8608,19,0.496299,-0.670648,-0.016567,0.495997,-0.670379,-0.016567,0.404,-0.854611,-1.947477,-1.765567,-1.035155,1.563904,-2.056125,0.027927,0
21,19.9614,20,0.496317,-0.670693,-0.016567,0.495841,-0.670379,-0.016567,0.570,-0.854454,-1.947261,-1.765555,-1.035079,1.563752,-2.056029,0.028082,0
22,20.0619,21,0.496108,-0.670710,-0.016567,0.495686,-0.670379,-0.016567,0.536,-0.854354,-1.947361,-1.765598,-1.035203,1.563828,-2.055957,0.028238,0
23,20.1624,22,0.496122,-0.670659,-0.016567,0.495531,-0.670379,-0.016567,0.654,-0.854698,-1.947573,-1.765165,-1.035059,1.563592,-2.055992,0.028393,0
24,20.2630,23,0.495476,-0.670212,-0.016567,0.495375,-0.670379,-0.016567,0.195,-0.854739,-1.947603,-1.765371,-1.035049,1.563600,-2.056053,0.028549,0
25,20.3635,24,0.495446,-0.670380,-0.016567,0.495220,-0.670379,-0.016567,0.227,-0.854850,-1.947672,-1.765232,-1.035064,1.563437,-2.056064,0.028704,0
26,20.4641,25,0.495388,-0.670730,-0.016567,0.495064,-0.670379,-0.016567,0.477,-0.855969,-1.948160,-1.763776,-1.033945,1.562356,-2.056323,0.028859,0
27,20.5646,26,0.495030,-0.670742,-0.016567,0.494909,-0.670379,-0.016567,0.382,-0.856839,-1.948579,-1.763054,-1.032901,1.561703,-2.056445,0.029015,0
28,20.6652,27,0.495114,-0.670730,-0.016567,0.494754,-0.670379,-0.016567,0.502,-0.855938,-1.948373,-1.764467,-1.034151,1.562571,-2.056388,0.029170,0
29,20.7664,28,0.494966,-0.670713,-0.016567,0.494598,-0.670379,-0.016567,0.496,-0.855302,-1.948128,-1.765036,-1.034552,1.563003,-2.056260,0.029325,0
30,20.8669,29,0.494794,-0.670747,-0.016567,0.494443,-0.670379,-0.016567,0.508,-0.855317,-1.948008,-1.764773,-1.034492,1.562804,-2.056160,0.029481,0
31,20.9675,30,0.494611,-0.670766,-0.016567,0.494287,-0.670379,-0.016567,0.504,-0.855297,-1.948061,-1.764806,-1.034477,1.562916,-2.056160,0.029636,0
32,21.0680,31,0.494549,-0.670911,-0.016567,0.494132,-0.670379,-0.016567,0.675,-0.855250,-1.947993,-1.765100,-1.034651,1.562983,-2.056145,0.029792,0
33,21.1686,33,0.494449,-0.670943,-0.016567,0.493821,-0.670379,-0.016567,0.843,-0.854961,-1.947909,-1.765200,-1.034825,1.563363,-2.056113,0.029947,0
