step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,25.5174,0,0.500044,-0.669875,0.013433,0.500072,-0.669788,0.013433,0.091,-0.856297,-1.920262,-1.737480,-1.083025,1.562423,-2.056472,0.025132,0
2,25.6182,1,0.500224,-0.669853,0.013433,0.499892,-0.669788,0.013433,0.339,-0.856321,-1.920262,-1.737477,-1.083049,1.562451,-2.056457,0.025332,0
3,25.7189,2,0.499784,-0.669859,0.013433,0.499728,-0.669788,0.013433,0.090,-0.856321,-1.920290,-1.737489,-1.083037,1.562439,-2.056469,0.025497,0
4,25.8197,3,0.499666,-0.669698,0.013433,0.499569,-0.669788,0.013433,0.133,-0.856309,-1.920317,-1.737523,-1.083049,1.562432,-2.056484,0.025678,0
5,25.9205,4,0.499345,-0.669727,0.013433,0.499409,-0.669788,0.013433,0.088,-0.856376,-1.920421,-1.737436,-1.083018,1.562357,-2.056499,0.025771,0
6,26.0221,5,0.499331,-0.669642,0.013433,0.499249,-0.669788,0.013433,0.168,-0.856684,-1.920584,-1.737149,-1.083025,1.562031,-2.056508,0.025967,0
7,26.1241,6,0.498886,-0.669629,0.013433,0.499090,-0.669788,0.013433,0.259,-0.857011,-1.920649,-1.736810,-1.082705,1.561743,-2.056619,0.026007,0
8,26.2260,7,0.498950,-0.669238,0.013433,0.498930,-0.669788,0.013433,0.551,-0.857163,-1.920739,-1.736672,-1.082291,1.561636,-2.056671,0.026207,0
9,26.3269,8,0.498615,-0.669264,0.013433,0.498771,-0.669788,0.013433,0.547,-0.857487,-1.920796,-1.736344,-1.081992,1.561184,-2.056727,0.026305,0
10,26.4276,9,0.498649,-0.669205,0.013433,0.498612,-0.669788,0.013433,0.584,-0.857830,-1.920921,-1.735955,-1.081687,1.560901,-2.056787,0.026505,0
11,26.5283,10,0.498440,-0.669614,0.013433,0.498452,-0.669788,0.013433,0.175,-0.858781,-1.921136,-1.734669,-1.080582,1.559983,-2.056936,0.026688,0
12,26.6289,11,0.498281,-0.669336,0.013433,0.498293,-0.669788,0.013433,0.453,-0.859001,-1.921256,-1.734558,-1.080558,1.559939,-2.057023,0.026854,0
13,26.7296,12,0.497905,-0.669640,0.013433,0.498134,-0.669788,0.013433,0.272,-0.858808,-1.921171,-1.734939,-1.080625,1.559999,-2.057020,0.026918,0
14,26.8303,13,0.498028,-0.669305,0.013433,0.497974,-0.669788,0.013433,0.486,-0.858638,-1.920993,-1.734780,-1.080659,1.560155,-2.056975,0.027118,0
15,26.9309,14,0.497880,-0.669764,0.013433,0.497815,-0.669788,0.013433,0.070,-0.858679,-1.921028,-1.734876,-1.080778,1.560083,-2.056951,0.027318,0
16,27.0832,15,0.497737,-0.669918,0.013433,0.497655,-0.669788,0.013433,0.154,-0.858714,-1.921044,-1.734637,-1.080678,1.560134,-2.056936,0.027518,0
17,27.1859,17,0.497581,-0.670002,0.013433,0.497337,-0.669788,0.013433,0.325,-0.858023,-1.920916,-1.735777,-1.081568,1.560678,-2.056848,0.027718,0
18,27.3352,18,0.497298,-0.669964,0.013433,0.497177,-0.669788,0.013433,0.213,-0.857490,-1.920805,-1.736260,-1.081830,1.561163,-2.056711,0.027918,0
19,27.4359,19,0.496835,-0.670002,0.013433,0.497018,-0.669788,0.013433,0.281,-0.857156,-1.920856,-1.736682,-1.082207,1.561286,-2.056674,0.027953,0
20,27.5364,20,0.496987,-0.669971,0.013433,0.496859,-0.669788,0.013433,0.223,-0.857124,-1.920876,-1.736675,-1.082167,1.561415,-2.056640,0.028153,0
21,27.6371,21,0.496944,-0.669954,0.013433,0.496699,-0.669788,0.013433,0.296,-0.857107,-1.920907,-1.736910,-1.082387,1.561436,-2.056609,0.028353,0
22,27.7379,22,0.496600,-0.669987,0.013433,0.496540,-0.669788,0.013433,0.208,-0.857067,-1.920909,-1.737117,-1.082574,1.561520,-2.056624,0.028526,0
23,27.8742,23,0.496441,-0.669955,0.013433,0.496381,-0.669788,0.013433,0.178,-0.857076,-1.920996,-1.737014,-1.082555,1.561494,-2.056597,0.028692,0
24,28.1448,24,0.496057,-0.669978,0.013433,0.496221,-0.669788,0.013433,0.251,-0.857072,-1.921111,-1.737026,-1.082567,1.561472,-2.056643,0.028747,0
25,28.2454,27,0.496149,-0.669954,0.013433,0.495743,-0.669788,0.013433,0.439,-0.857156,-1.921139,-1.736891,-1.082442,1.561334,-2.056659,0.028947,0
26,28.3461,28,0.496056,-0.669943,0.013433,0.495584,-0.669788,0.013433,0.497,-0.857151,-1.921244,-1.736963,-1.082396,1.561343,-2.056659,0.029147,0
