step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,20.2213,0,0.499714,-0.669772,0.013433,0.499621,-0.669769,0.013433,0.093,-0.856340,-1.920284,-1.737480,-1.083037,1.562420,-2.056484,0.025200,0
2,20.3218,1,0.499738,-0.669781,0.013433,0.499440,-0.669769,0.013433,0.298,-0.856352,-1.920277,-1.737462,-1.083037,1.562408,-2.056484,0.025400,0
3,20.4224,2,0.499570,-0.669795,0.013433,0.499277,-0.669769,0.013433,0.294,-0.856329,-1.920293,-1.737457,-1.083037,1.562423,-2.056469,0.025600,0
4,20.5229,3,0.499243,-0.669244,0.013433,0.499118,-0.669769,0.013433,0.540,-0.856547,-1.920409,-1.737365,-1.083053,1.562214,-2.056481,0.025800,0
5,20.6234,4,0.499132,-0.669230,0.013433,0.498957,-0.669769,0.013433,0.567,-0.856627,-1.920472,-1.737241,-1.082974,1.562115,-2.056520,0.026000,0
6,20.7240,5,0.498959,-0.669252,0.013433,0.498798,-0.669769,0.013433,0.542,-0.858065,-1.920892,-1.735451,-1.081229,1.560673,-2.056875,0.026200,0
7,20.8246,6,0.498484,-0.669779,0.013433,0.498639,-0.669769,0.013433,0.154,-0.859855,-1.921223,-1.733581,-1.079688,1.559071,-2.057104,0.026279,0
8,20.9252,7,0.498511,-0.669857,0.013433,0.498479,-0.669769,0.013433,0.094,-0.860175,-1.921302,-1.733233,-1.079629,1.559010,-2.057218,0.026479,0
9,21.0257,8,0.498449,-0.669814,0.013433,0.498320,-0.669769,0.013433,0.137,-0.859697,-1.920953,-1.733584,-1.079763,1.559395,-2.057227,0.026679,0
10,21.1263,9,0.498080,-0.669756,0.013433,0.498160,-0.669769,0.013433,0.082,-0.858330,-1.920274,-1.734955,-1.081152,1.560486,-2.056960,0.026817,0
11,21.2269,10,0.497938,-0.669791,0.013433,0.498001,-0.669769,0.013433,0.067,-0.857807,-1.920181,-1.735279,-1.081405,1.560819,-2.056782,0.026974,0
12,21.3275,11,0.497942,-0.669962,0.013433,0.497842,-0.669769,0.013433,0.217,-0.857991,-1.920293,-1.735120,-1.081436,1.560679,-2.056791,0.027174,0
13,21.4281,12,0.497757,-0.669930,0.013433,0.497682,-0.669769,0.013433,0.177,-0.857798,-1.920298,-1.735507,-1.081600,1.560962,-2.056784,0.027374,0
14,21.5287,13,0.497603,-0.669950,0.013433,0.497523,-0.669769,0.013433,0.197,-0.857188,-1.920193,-1.736551,-1.082526,1.561434,-2.056715,0.027574,0
15,21.6294,14,0.497516,-0.669945,0.013433,0.497364,-0.669769,0.013433,0.232,-0.856780,-1.920169,-1.736831,-1.082770,1.561916,-2.056604,0.027774,0
