step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,28.5452,0,0.499241,-0.670342,-0.016567,0.499239,-0.670341,-0.016567,0.002,-0.856352,-1.945821,-1.761770,-1.033165,1.562339,-2.056400,0.025000,0
2,28.6458,1,0.499338,-0.670340,-0.016567,0.499039,-0.670341,-0.016567,0.299,-0.856364,-1.945856,-1.761763,-1.033200,1.562339,-2.056412,0.025129,0
3,28.7465,2,0.499099,-0.670364,-0.016567,0.498871,-0.670341,-0.016567,0.229,-0.856369,-1.945849,-1.761777,-1.033184,1.562324,-2.056388,0.025285,0
4,28.8470,3,0.499033,-0.670232,-0.016567,0.498711,-0.670341,-0.016567,0.340,-0.856543,-1.945968,-1.761647,-1.033172,1.562195,-2.056412,0.025441,0
5,28.9474,4,0.498999,-0.670013,-0.016567,0.498553,-0.670341,-0.016567,0.554,-0.856631,-1.946025,-1.761619,-1.033175,1.562127,-2.056464,0.025596,0
6,29.0481,5,0.498693,-0.670054,-0.016567,0.498396,-0.670341,-0.016567,0.413,-0.856939,-1.946124,-1.761173,-1.032716,1.561808,-2.056508,0.025752,0
7,29.1488,6,0.498505,-0.670181,-0.016567,0.498240,-0.670341,-0.016567,0.309,-0.857890,-1.946292,-1.759789,-1.031594,1.560836,-2.056684,0.025907,0
8,29.2493,7,0.498531,-0.670171,-0.016567,0.498085,-0.670341,-0.016567,0.478,-0.858470,-1.946379,-1.759083,-1.031112,1.560407,-2.056807,0.026062,0
9,29.3499,8,0.498334,-0.670230,-0.016567,0.497929,-0.670341,-0.016567,0.419,-0.858566,-1.946332,-1.759201,-1.031141,1.560438,-2.056840,0.026218,0
10,29.4505,9,0.497975,-0.670386,-0.016567,0.497774,-0.670341,-0.016567,0.206,-0.858451,-1.946184,-1.759310,-1.031162,1.560427,-2.056856,0.026373,0
11,29.5511,10,0.497951,-0.670732,-0.016567,0.497618,-0.670341,-0.016567,0.514,-0.858445,-1.946079,-1.759227,-1.031196,1.560391,-2.056828,0.026529,0
12,29.6517,11,0.497689,-0.670766,-0.016567,0.497463,-0.670341,-0.016567,0.482,-0.858051,-1.946067,-1.759768,-1.031637,1.560618,-2.056735,0.026684,0
13,29.7523,12,0.497813,-0.670755,-0.016567,0.497308,-0.670341,-0.016567,0.653,-0.856852,-1.945873,-1.761331,-1.032855,1.561760,-2.056520,0.026839,0
14,29.8528,13,0.497741,-0.670737,-0.016567,0.497152,-0.670341,-0.016567,0.709,-0.855613,-1.945840,-1.762790,-1.033944,1.562715,-2.056300,0.026995,0
15,29.9533,15,0.497207,-0.670644,-0.016567,0.496841,-0.670341,-0.016567,0.475,-0.855314,-1.946091,-1.763219,-1.034048,1.562850,-2.056188,0.027150,0
16,30.0539,16,0.497207,-0.670344,-0.016567,0.496686,-0.670341,-0.016567,0.521,-0.855181,-1.946480,-1.763668,-1.034188,1.563183,-2.056160,0.027306,0
17,30.1548,16,0.497342,-0.670367,-0.016567,0.496686,-0.670341,-0.016567,0.656,-0.855159,-1.946666,-1.763812,-1.034280,1.563231,-2.056157,0.027461,0
18,30.2555,17,0.496689,-0.670732,-0.016567,0.496531,-0.670341,-0.016567,0.422,-0.856033,-1.947134,-1.762979,-1.033808,1.562504,-2.056271,0.027616,0
