step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,17.3390,0,0.499247,-0.670181,-0.016567,0.499269,-0.670178,-0.016567,0.022,-0.856333,-1.945837,-1.761785,-1.033200,1.562355,-2.056397,0.024988,0
2,17.4428,1,0.499370,-0.670169,-0.016567,0.499069,-0.670178,-0.016567,0.301,-0.856340,-1.945837,-1.761754,-1.033196,1.562355,-2.056412,0.025156,0
3,17.5485,2,0.499358,-0.670180,-0.016567,0.498901,-0.670178,-0.016567,0.457,-0.856364,-1.945856,-1.761751,-1.033184,1.562343,-2.056385,0.025356,0
4,17.6530,3,0.498999,-0.669873,-0.016567,0.498741,-0.670178,-0.016567,0.400,-0.856395,-1.945837,-1.761727,-1.033212,1.562327,-2.056393,0.025539,0
5,17.7570,4,0.498623,-0.669838,-0.016567,0.498583,-0.670178,-0.016567,0.343,-0.856507,-1.945912,-1.761683,-1.033184,1.562212,-2.056397,0.025653,0
6,17.8609,6,0.498557,-0.669999,-0.016567,0.498270,-0.670178,-0.016567,0.338,-0.857009,-1.945977,-1.760992,-1.032633,1.561760,-2.056551,0.025848,0
7,17.9653,7,0.498235,-0.670020,-0.016567,0.498115,-0.670178,-0.016567,0.199,-0.857698,-1.946024,-1.759996,-1.032019,1.561148,-2.056664,0.025990,0
8,18.0706,8,0.498334,-0.670230,-0.016567,0.497959,-0.670178,-0.016567,0.378,-0.857958,-1.946124,-1.759919,-1.031948,1.560916,-2.056742,0.026190,0
9,18.1750,9,0.497831,-0.670500,-0.016567,0.497804,-0.670178,-0.016567,0.322,-0.858170,-1.946140,-1.759678,-1.031674,1.560671,-2.056779,0.026309,0
10,18.2802,9,0.498181,-0.670359,-0.016567,0.497804,-0.670178,-0.016567,0.418,-0.858227,-1.946140,-1.759628,-1.031597,1.560578,-2.056772,0.026509,0
11,18.3853,10,0.498058,-0.670324,-0.016567,0.497648,-0.670178,-0.016567,0.435,-0.858055,-1.946184,-1.759804,-1.031613,1.560647,-2.056772,0.026709,0
12,18.4898,11,0.497539,-0.670353,-0.016567,0.497493,-0.670178,-0.016567,0.181,-0.857747,-1.946220,-1.760220,-1.031654,1.560854,-2.056708,0.026833,0
13,18.5932,13,0.497379,-0.670758,-0.016567,0.497182,-0.670178,-0.016567,0.612,-0.857631,-1.946223,-1.760394,-1.031776,1.560983,-2.056651,0.027008,0
14,18.6968,14,0.497128,-0.670756,-0.016567,0.497027,-0.670178,-0.016567,0.587,-0.857531,-1.946271,-1.760455,-1.031945,1.561100,-2.056640,0.027153,0
15,18.8017,15,0.497168,-0.670353,-0.016567,0.496871,-0.670178,-0.016567,0.345,-0.857148,-1.946471,-1.761402,-1.032617,1.561526,-2.056565,0.027353,0
16,18.9060,16,0.496989,-0.670352,-0.016567,0.496716,-0.670178,-0.016567,0.324,-0.856378,-1.946555,-1.762368,-1.033372,1.562163,-2.056439,0.027547,0
17,19.0100,17,0.496651,-0.670189,-0.016567,0.496560,-0.670178,-0.016567,0.091,-0.855995,-1.946575,-1.762756,-1.033493,1.562403,-2.056316,0.027683,0
18,19.1135,18,0.496451,-0.670638,-0.016567,0.496405,-0.670178,-0.016567,0.462,-0.855992,-1.946687,-1.762640,-1.033484,1.562348,-2.056316,0.027809,0
19,19.2173,19,0.496427,-0.670353,-0.016567,0.496250,-0.670178,-0.016567,0.249,-0.856033,-1.946854,-1.762766,-1.033500,1.562352,-2.056313,0.027973,0
20,19.3212,20,0.496293,-0.670749,-0.016567,0.496094,-0.670178,-0.016567,0.604,-0.855797,-1.947007,-1.763513,-1.034096,1.562586,-2.056304,0.028149,0
21,19.4248,21,0.496081,-0.670337,-0.016567,0.495939,-0.670178,-0.016567,0.213,-0.855362,-1.947118,-1.763904,-1.034381,1.563007,-2.056248,0.028302,0
22,19.5306,22,0.496306,-0.670386,-0.016567,0.495783,-0.670178,-0.016567,0.562,-0.855150,-1.947154,-1.764072,-1.034363,1.563056,-2.056160,0.028502,0
23,19.6365,23,0.496094,-0.670396,-0.016567,0.495628,-0.670178,-0.016567,0.514,-0.854691,-1.947362,-1.764937,-1.034816,1.563503,-2.056089,0.028702,0
24,19.7405,24,0.495538,-0.670350,-0.016567,0.495473,-0.670178,-0.016567,0.184,-0.854611,-1.947513,-1.765096,-1.034864,1.563542,-2.056037,0.028831,0
25,19.8439,25,0.495507,-0.670182,-0.016567,0.495317,-0.670178,-0.016567,0.190,-0.854491,-1.947630,-1.765258,-1.034948,1.563639,-2.056029,0.028997,0
26,19.9475,26,0.495167,-0.670181,-0.016567,0.495162,-0.670178,-0.016567,0.006,-0.854419,-1.947724,-1.765475,-1.035139,1.563684,-2.056029,0.029106,0
27,20.0515,27,0.495295,-0.670194,-0.016567,0.495006,-0.670178,-0.016567,0.289,-0.854370,-1.947833,-1.765615,-1.035248,1.563747,-2.056024,0.029303,0
28,20.1557,28,0.495039,-0.670194,-0.016567,0.494851,-0.670178,-0.016567,0.189,-0.854410,-1.947909,-1.765495,-1.035239,1.563720,-2.056017,0.029469,0
29,20.2605,29,0.495030,-0.670013,-0.016567,0.494696,-0.670178,-0.016567,0.373,-0.854545,-1.948055,-1.765494,-1.035198,1.563704,-2.056029,0.029669,0
30,20.3653,30,0.494943,-0.669995,-0.016567,0.494540,-0.670178,-0.016567,0.443,-0.854586,-1.948136,-1.765502,-1.035158,1.563596,-2.056056,0.029869,0
31,20.4718,32,0.494749,-0.670015,-0.016567,0.494229,-0.670178,-0.016567,0.545,-0.854790,-1.948156,-1.765290,-1.034912,1.563444,-2.056089,0.030069,0
32,20.5770,33,0.494410,-0.670170,-0.016567,0.494074,-0.670178,-0.016567,0.336,-0.855177,-1.948236,-1.764836,-1.034504,1.563039,-2.056160,0.030269,0
33,20.6813,34,0.493896,-0.670166,-0.016567,0.493919,-0.670178,-0.016567,0.026,-0.855444,-1.948301,-1.764485,-1.034231,1.562847,-2.056205,0.030368,0
34,20.7854,35,0.493984,-0.670926,-0.016567,0.493763,-0.670178,-0.016567,0.780,-0.855588,-1.948379,-1.764450,-1.034100,1.562706,-2.056257,0.030553,0
35,20.8892,36,0.493542,-0.670946,-0.016567,0.493608,-0.670178,-0.016567,0.771,-0.855526,-1.948388,-1.764455,-1.034091,1.562672,-2.056253,0.030648,0
36,20.9931,37,0.493444,-0.670932,-0.016567,0.493452,-0.670178,-0.016567,0.753,-0.854985,-1.948570,-1.765450,-1.034389,1.562988,-2.056193,0.030761,0
37,21.0973,38,0.493473,-0.670748,-0.016567,0.493297,-0.670178,-0.016567,0.596,-0.853729,-1.948675,-1.766986,-1.035555,1.564195,-2.055941,0.030930,0
38,21.2039,39,0.493624,-0.670635,-0.016567,0.493142,-0.670178,-0.016567,0.664,-0.853011,-1.948723,-1.767919,-1.036311,1.564771,-2.055746,0.031130,0
39,21.3097,40,0.493340,-0.670270,-0.016567,0.492986,-0.670178,-0.016567,0.365,-0.852239,-1.948867,-1.769070,-1.037178,1.565379,-2.055625,0.031330,0
40,21.4139,41,0.493070,-0.670364,-0.016567,0.492831,-0.670178,-0.016567,0.303,-0.851797,-1.949062,-1.769561,-1.037510,1.565829,-2.055517,0.031513,0
41,21.5177,42,0.492960,-0.670359,-0.016567,0.492675,-0.670178,-0.016567,0.338,-0.851734,-1.949198,-1.769679,-1.037632,1.565952,-2.055501,0.031711,0
42,21.6210,43,0.492783,-0.670166,-0.016567,0.492520,-0.670178,-0.016567,0.263,-0.851713,-1.949350,-1.769996,-1.037747,1.565948,-2.055501,0.031900,0
43,21.7267,44,0.492826,-0.670195,-0.016567,0.492365,-0.670178,-0.016567,0.462,-0.851614,-1.949465,-1.770287,-1.037955,1.565984,-2.055482,0.032100,0
44,21.8314,45,0.492554,-0.670194,-0.016567,0.492209,-0.670178,-0.016567,0.345,-0.851573,-1.949549,-1.770365,-1.037947,1.566028,-2.055493,0.032300,0
