step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,26.8984,0,0.499766,-0.671087,-0.016567,0.499716,-0.671004,-0.016567,0.098,-0.856317,-1.945837,-1.761766,-1.033212,1.562336,-2.056415,0.025017,0
2,27.0018,1,0.499820,-0.670908,-0.016567,0.499554,-0.670914,-0.016567,0.266,-0.856297,-1.945810,-1.761814,-1.033196,1.562336,-2.056400,0.025178,0
3,27.1062,2,0.499490,-0.670504,-0.016567,0.499413,-0.670783,-0.016567,0.290,-0.855881,-1.945386,-1.762395,-1.033806,1.562724,-2.056321,0.025293,0
4,27.2104,3,0.499445,-0.670726,-0.016567,0.499281,-0.670610,-0.016567,0.201,-0.854807,-1.944312,-1.763747,-1.035327,1.564083,-2.056104,0.025447,0
5,27.3142,4,0.499110,-0.670029,-0.016567,0.499149,-0.670392,-0.016567,0.365,-0.853424,-1.942188,-1.765965,-1.037957,1.565496,-2.055681,0.025518,0
6,27.4179,5,0.499010,-0.670044,-0.016567,0.499028,-0.670147,-0.016567,0.104,-0.851914,-1.940364,-1.768218,-1.040648,1.567060,-2.055282,0.025605,0
7,27.5221,6,0.499037,-0.669859,-0.016567,0.498919,-0.669895,-0.016567,0.124,-0.850388,-1.938416,-1.770446,-1.043168,1.568813,-2.054899,0.025728,0
8,27.6263,7,0.498907,-0.669165,-0.016567,0.498820,-0.669640,-0.016567,0.483,-0.848862,-1.936447,-1.772730,-1.045817,1.570340,-2.054452,0.025810,0
9,27.7314,8,0.499005,-0.669003,-0.016567,0.498728,-0.669382,-0.016567,0.470,-0.846565,-1.934220,-1.775669,-1.049035,1.572777,-2.053889,0.025951,0
10,27.8351,9,0.499046,-0.668554,-0.016567,0.498641,-0.669122,-0.016567,0.697,-0.845267,-1.932706,-1.777475,-1.051179,1.574198,-2.053581,0.026113,0
11,27.9398,10,0.498792,-0.668372,-0.016567,0.498559,-0.668861,-0.016567,0.541,-0.843932,-1.930495,-1.779799,-1.053897,1.575682,-2.053180,0.026223,0
12,28.0449,11,0.498520,-0.667580,-0.016567,0.498481,-0.668598,-0.016567,1.019,-0.842614,-1.928020,-1.782719,-1.057413,1.577590,-2.052709,0.026231,0
13,28.1493,13,0.498436,-0.667631,-0.016567,0.498334,-0.668071,-0.016567,0.452,-0.841414,-1.925872,-1.784932,-1.060040,1.578938,-2.052290,0.026294,0
14,28.2534,13,0.498540,-0.667556,-0.016567,0.498334,-0.668071,-0.016567,0.555,-0.840804,-1.924669,-1.786428,-1.061792,1.579959,-2.052062,0.026382,0
15,28.3572,14,0.498402,-0.667153,-0.016567,0.498264,-0.667806,-0.016567,0.667,-0.839865,-1.922693,-1.788701,-1.064459,1.581035,-2.051643,0.026432,0
16,28.4608,15,0.498331,-0.667054,-0.016567,0.498196,-0.667541,-0.016567,0.505,-0.838143,-1.920840,-1.791173,-1.067222,1.583183,-2.051187,0.026495,0
17,28.5659,17,0.498370,-0.666950,-0.016567,0.498065,-0.667009,-0.016567,0.311,-0.836349,-1.918874,-1.793977,-1.070349,1.584984,-2.050696,0.026649,0
18,28.6696,18,0.498284,-0.666759,-0.016567,0.498001,-0.666742,-0.016567,0.283,-0.835131,-1.917677,-1.795515,-1.072039,1.586388,-2.050340,0.026801,0
19,28.7737,19,0.498113,-0.666757,-0.016567,0.497939,-0.666476,-0.016567,0.331,-0.833006,-1.916305,-1.797919,-1.074649,1.588456,-2.049758,0.026952,0
20,28.8776,20,0.498029,-0.666228,-0.016567,0.497877,-0.666209,-0.016567,0.153,-0.830161,-1.914683,-1.800813,-1.077496,1.591184,-2.049126,0.027067,0
21,28.9823,20,0.498123,-0.666049,-0.016567,0.497877,-0.666209,-0.016567,0.293,-0.828114,-1.913643,-1.802565,-1.079364,1.593121,-2.048698,0.027189,0
22,29.0863,22,0.497946,-0.665785,-0.016567,0.497757,-0.665674,-0.016567,0.220,-0.824061,-1.911937,-1.805948,-1.082733,1.596743,-2.047820,0.027335,0
23,29.1902,22,0.497873,-0.665601,-0.016567,0.497757,-0.665674,-0.016567,0.137,-0.823417,-1.911605,-1.806543,-1.083383,1.597410,-2.047676,0.027431,0
