step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,20.4110,0,0.499828,-0.670786,-0.016567,0.499823,-0.670784,-0.016567,0.005,-0.856352,-1.945852,-1.761766,-1.033212,1.562343,-2.056381,0.025001,0
2,20.5148,1,0.499888,-0.670776,-0.016567,0.499661,-0.670694,-0.016567,0.241,-0.856333,-1.945837,-1.761747,-1.033180,1.562324,-2.056397,0.025152,0
3,20.6195,2,0.499904,-0.670775,-0.016567,0.499521,-0.670563,-0.016567,0.438,-0.856151,-1.945633,-1.762132,-1.033508,1.562416,-2.056364,0.025352,0
4,20.7238,3,0.499432,-0.670031,-0.016567,0.499388,-0.670390,-0.016567,0.361,-0.854853,-1.944241,-1.763799,-1.035407,1.564119,-2.056037,0.025453,0
5,20.8275,4,0.499406,-0.670030,-0.016567,0.499257,-0.670172,-0.016567,0.205,-0.853301,-1.942731,-1.765781,-1.037458,1.565523,-2.055657,0.025591,0
6,20.9314,5,0.499157,-0.669589,-0.016567,0.499135,-0.669927,-0.016567,0.339,-0.851671,-1.940603,-1.768334,-1.040672,1.567312,-2.055259,0.025680,0
7,21.0350,6,0.498994,-0.669148,-0.016567,0.499026,-0.669675,-0.016567,0.528,-0.850624,-1.938571,-1.770179,-1.042908,1.568476,-2.054926,0.025733,0
8,21.1387,7,0.498971,-0.669132,-0.016567,0.498927,-0.669420,-0.016567,0.291,-0.849489,-1.937062,-1.772025,-1.045031,1.569752,-2.054614,0.025811,0
9,21.2425,8,0.499036,-0.669085,-0.016567,0.498835,-0.669162,-0.016567,0.216,-0.848454,-1.935637,-1.773631,-1.046832,1.571012,-2.054327,0.025942,0
10,21.3468,9,0.499025,-0.668981,-0.016567,0.498749,-0.668902,-0.016567,0.287,-0.846769,-1.932882,-1.776542,-1.050373,1.572885,-2.053824,0.026103,0
11,21.4507,11,0.498763,-0.667845,-0.016567,0.498589,-0.668378,-0.016567,0.561,-0.843623,-1.929365,-1.780895,-1.055269,1.576370,-2.052997,0.026187,0
