step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,22.1188,0,0.481967,-0.672303,-0.016567,0.481913,-0.672363,-0.016567,0.080,-0.856352,-1.945840,-1.761794,-1.033168,1.562355,-2.056412,0.025012,0
2,22.2242,2,0.482018,-0.672252,-0.016567,0.481544,-0.672363,-0.016567,0.486,-0.856352,-1.945843,-1.761778,-1.033196,1.562355,-2.056415,0.025212,0
3,22.3312,3,0.481779,-0.672220,-0.016567,0.481385,-0.672363,-0.016567,0.419,-0.856365,-1.945837,-1.761730,-1.033180,1.562312,-2.056412,0.025412,0
4,22.4357,3,0.481617,-0.672405,-0.016567,0.481385,-0.672363,-0.016567,0.237,-0.856539,-1.945830,-1.761623,-1.033168,1.562243,-2.056412,0.025591,0
5,22.5394,4,0.481471,-0.672386,-0.016567,0.481226,-0.672363,-0.016567,0.246,-0.856828,-1.945908,-1.761233,-1.032952,1.561955,-2.056484,0.025773,0
6,22.6453,5,0.481568,-0.672980,-0.016567,0.481070,-0.672363,-0.016567,0.794,-0.856988,-1.946028,-1.761013,-1.032601,1.561811,-2.056575,0.025973,0
7,22.7515,7,0.481209,-0.672947,-0.016567,0.480758,-0.672363,-0.016567,0.738,-0.857020,-1.946079,-1.761100,-1.032620,1.561760,-2.056540,0.026173,0
8,22.8588,8,0.480927,-0.672962,-0.016567,0.480603,-0.672363,-0.016567,0.682,-0.856644,-1.946172,-1.761705,-1.032713,1.561911,-2.056523,0.026373,0
9,22.9670,9,0.481142,-0.672429,-0.016567,0.480447,-0.672363,-0.016567,0.698,-0.855857,-1.946208,-1.762795,-1.033488,1.562547,-2.056325,0.026573,0
10,23.0751,10,0.480915,-0.672240,-0.016567,0.480292,-0.672363,-0.016567,0.635,-0.855305,-1.946251,-1.763540,-1.034180,1.563024,-2.056185,0.026773,0
11,23.1827,11,0.480479,-0.672218,-0.016567,0.480136,-0.672363,-0.016567,0.372,-0.855205,-1.946340,-1.763568,-1.034300,1.563191,-2.056145,0.026973,0
12,23.2907,12,0.480308,-0.671840,-0.016567,0.479981,-0.672363,-0.016567,0.616,-0.855492,-1.946483,-1.763334,-1.034260,1.563072,-2.056157,0.027173,0
13,23.3958,13,0.480312,-0.671676,-0.016567,0.479826,-0.672363,-0.016567,0.841,-0.855869,-1.946579,-1.763026,-1.034032,1.562808,-2.056265,0.027373,0
14,23.5017,14,0.480135,-0.671635,-0.016567,0.479670,-0.672363,-0.016567,0.863,-0.856364,-1.946726,-1.762469,-1.033577,1.562336,-2.056385,0.027573,0
