step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,26.1598,0,0.500911,-0.669032,0.013433,0.500732,-0.669006,0.013433,0.181,-0.856305,-1.920262,-1.737484,-1.083041,1.562408,-2.056484,0.025054,0
2,26.2670,1,0.500821,-0.669039,0.013433,0.500551,-0.669006,0.013433,0.272,-0.856309,-1.920262,-1.737469,-1.083030,1.562436,-2.056484,0.025231,0
3,26.3745,2,0.500719,-0.669118,0.013433,0.500388,-0.669006,0.013433,0.350,-0.856309,-1.920277,-1.737450,-1.083022,1.562420,-2.056487,0.025431,0
4,26.4826,3,0.500472,-0.669217,0.013433,0.500228,-0.669006,0.013433,0.323,-0.856309,-1.920293,-1.737484,-1.083037,1.562408,-2.056484,0.025620,0
5,26.5873,4,0.500203,-0.669682,0.013433,0.500068,-0.669006,0.013433,0.689,-0.856340,-1.920337,-1.737484,-1.083032,1.562427,-2.056469,0.025779,0
6,26.7042,6,0.500166,-0.669904,0.013433,0.499749,-0.669006,0.013433,0.991,-0.856237,-1.920469,-1.737839,-1.083128,1.562443,-2.056499,0.025979,0
7,26.8144,6,0.500134,-0.669700,0.013433,0.499749,-0.669006,0.013433,0.794,-0.855941,-1.920532,-1.738313,-1.083340,1.562595,-2.056452,0.026179,0
8,26.9201,8,0.499650,-0.669228,0.013433,0.499430,-0.669006,0.013433,0.312,-0.854499,-1.920694,-1.740136,-1.084748,1.563939,-2.056133,0.026359,0
9,27.0255,9,0.499482,-0.669213,0.013433,0.499271,-0.669006,0.013433,0.296,-0.853619,-1.920780,-1.741355,-1.085504,1.564587,-2.055957,0.026537,0
10,27.1309,10,0.499350,-0.669159,0.013433,0.499112,-0.669006,0.013433,0.284,-0.853329,-1.920837,-1.741623,-1.085684,1.564755,-2.055916,0.026723,0
11,27.2364,11,0.498931,-0.669018,0.013433,0.498952,-0.669006,0.013433,0.025,-0.853364,-1.921076,-1.741524,-1.085653,1.564792,-2.055888,0.026826,0
12,27.3419,12,0.498766,-0.668982,0.013433,0.498793,-0.669006,0.013433,0.035,-0.853364,-1.921248,-1.741895,-1.085787,1.564888,-2.055888,0.026927,0
13,27.4484,13,0.498774,-0.669078,0.013433,0.498634,-0.669006,0.013433,0.158,-0.853333,-1.921406,-1.742059,-1.085978,1.564888,-2.055901,0.027081,0
14,27.5553,14,0.498870,-0.668990,0.013433,0.498474,-0.669006,0.013433,0.396,-0.853397,-1.921502,-1.741868,-1.085943,1.564888,-2.055916,0.027281,0
15,27.6712,15,0.498513,-0.669121,0.013433,0.498315,-0.669006,0.013433,0.229,-0.853465,-1.921670,-1.741847,-1.085891,1.564800,-2.055933,0.027454,0
16,27.7810,16,0.498274,-0.669035,0.013433,0.498156,-0.669006,0.013433,0.122,-0.853556,-1.921770,-1.741859,-1.085776,1.564724,-2.055964,0.027601,0
17,27.8863,17,0.498122,-0.669146,0.013433,0.497996,-0.669006,0.013433,0.189,-0.853580,-1.921870,-1.741951,-1.085692,1.564628,-2.055957,0.027751,0
18,27.9918,18,0.497943,-0.669185,0.013433,0.497837,-0.669006,0.013433,0.208,-0.853588,-1.921930,-1.742006,-1.085648,1.564596,-2.055941,0.027896,0
19,28.0987,19,0.497817,-0.669175,0.013433,0.497677,-0.669006,0.013433,0.220,-0.853549,-1.922062,-1.742063,-1.085621,1.564599,-2.055957,0.028051,0
20,28.2041,21,0.497503,-0.669877,0.013433,0.497359,-0.669006,0.013433,0.883,-0.853452,-1.922170,-1.742406,-1.085663,1.564620,-2.055945,0.028216,0
21,28.3095,22,0.497350,-0.669685,0.013433,0.497199,-0.669006,0.013433,0.695,-0.853264,-1.922226,-1.742673,-1.085743,1.564752,-2.055905,0.028380,0
22,28.4175,23,0.497212,-0.669652,0.013433,0.497040,-0.669006,0.013433,0.669,-0.852602,-1.922326,-1.743494,-1.086405,1.565299,-2.055789,0.028551,0
23,28.5250,24,0.497347,-0.669189,0.013433,0.496881,-0.669006,0.013433,0.500,-0.851451,-1.922532,-1.745129,-1.087779,1.566556,-2.055577,0.028751,0
24,28.6327,25,0.497064,-0.669167,0.013433,0.496721,-0.669006,0.013433,0.378,-0.850622,-1.922589,-1.746190,-1.088246,1.566936,-2.055385,0.028951,0
25,28.7381,26,0.496721,-0.669172,0.013433,0.496562,-0.669006,0.013433,0.230,-0.850499,-1.922657,-1.746329,-1.088414,1.567069,-2.055337,0.029112,0
26,28.8439,27,0.496566,-0.669153,0.013433,0.496403,-0.669006,0.013433,0.220,-0.850530,-1.922893,-1.746329,-1.088398,1.567116,-2.055333,0.029275,0
27,28.9498,28,0.496386,-0.669137,0.013433,0.496243,-0.669006,0.013433,0.194,-0.850492,-1.923064,-1.746672,-1.088549,1.567256,-2.055330,0.029430,0
