step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,35.7353,0,0.499912,-0.669961,0.013433,0.500019,-0.669951,0.013433,0.108,-0.856309,-1.920277,-1.737480,-1.083056,1.562423,-2.056465,0.024964,0
2,35.8408,1,0.500048,-0.669976,0.013433,0.499839,-0.669951,0.013433,0.211,-0.856324,-1.920290,-1.737484,-1.083037,1.562439,-2.056453,0.025122,0
3,35.9512,2,0.500087,-0.669952,0.013433,0.499675,-0.669951,0.013433,0.412,-0.856309,-1.920293,-1.737508,-1.083046,1.562423,-2.056487,0.025322,0
4,36.0574,3,0.499659,-0.669853,0.013433,0.499516,-0.669951,0.013433,0.174,-0.856355,-1.920270,-1.737469,-1.083022,1.562408,-2.056469,0.025476,0
5,36.1625,4,0.499608,-0.669894,0.013433,0.499356,-0.669951,0.013433,0.259,-0.856456,-1.920401,-1.737354,-1.083037,1.562379,-2.056469,0.025663,0
6,36.2774,5,0.499397,-0.669912,0.013433,0.499196,-0.669951,0.013433,0.205,-0.856657,-1.920457,-1.737125,-1.083022,1.562091,-2.056508,0.025835,0
7,36.3822,6,0.499206,-0.669745,0.013433,0.499037,-0.669951,0.013433,0.267,-0.856855,-1.920556,-1.736942,-1.082846,1.561899,-2.056561,0.025995,0
8,36.4885,7,0.498931,-0.669759,0.013433,0.498877,-0.669951,0.013433,0.199,-0.856939,-1.920616,-1.736894,-1.082491,1.561827,-2.056607,0.026119,0
9,36.5933,8,0.498943,-0.669271,0.013433,0.498718,-0.669951,0.013433,0.716,-0.857194,-1.920676,-1.736576,-1.082231,1.561547,-2.056637,0.026292,0
10,36.6989,10,0.498772,-0.669739,0.013433,0.498399,-0.669951,0.013433,0.429,-0.857739,-1.920760,-1.735925,-1.081763,1.561000,-2.056779,0.026492,0
11,36.8290,11,0.498326,-0.669815,0.013433,0.498240,-0.669951,0.013433,0.161,-0.858622,-1.920808,-1.734618,-1.080734,1.560143,-2.056943,0.026627,0
12,36.9363,12,0.498243,-0.669940,0.013433,0.498081,-0.669951,0.013433,0.163,-0.858929,-1.920856,-1.734390,-1.080582,1.559987,-2.057003,0.026787,0
13,37.0416,13,0.498083,-0.669922,0.013433,0.497921,-0.669951,0.013433,0.165,-0.858983,-1.920852,-1.734363,-1.080562,1.560014,-2.057023,0.026947,0
14,37.1475,14,0.497872,-0.670095,0.013433,0.497762,-0.669951,0.013433,0.182,-0.859069,-1.920856,-1.734319,-1.080582,1.559894,-2.057035,0.027092,0
15,37.2534,15,0.497833,-0.670120,0.013433,0.497602,-0.669951,0.013433,0.286,-0.859086,-1.920844,-1.734054,-1.080495,1.559743,-2.057039,0.027276,0
16,37.3583,16,0.497626,-0.670171,0.013433,0.497443,-0.669951,0.013433,0.286,-0.859086,-1.920859,-1.734123,-1.080531,1.559707,-2.057054,0.027444,0
17,37.4710,17,0.497450,-0.670096,0.013433,0.497284,-0.669951,0.013433,0.221,-0.858965,-1.920840,-1.734307,-1.080499,1.559786,-2.057039,0.027607,0
18,37.5760,18,0.497258,-0.670109,0.013433,0.497124,-0.669951,0.013433,0.207,-0.858613,-1.920840,-1.734773,-1.080538,1.560007,-2.056963,0.027760,0
19,37.6807,19,0.497243,-0.670232,0.013433,0.496965,-0.669951,0.013433,0.395,-0.858434,-1.920832,-1.735099,-1.080761,1.560203,-2.056900,0.027959,0
20,37.7894,21,0.497038,-0.670083,0.013433,0.496646,-0.669951,0.013433,0.413,-0.858311,-1.920797,-1.735076,-1.080986,1.560347,-2.056895,0.028159,0
21,37.9031,22,0.496709,-0.670134,0.013433,0.496487,-0.669951,0.013433,0.287,-0.858110,-1.920844,-1.735479,-1.081491,1.560578,-2.056867,0.028340,0
22,38.0169,23,0.496247,-0.670120,0.013433,0.496328,-0.669951,0.013433,0.187,-0.857958,-1.920859,-1.735754,-1.081600,1.560647,-2.056823,0.028425,0
23,38.1231,24,0.496218,-0.670100,0.013433,0.496168,-0.669951,0.013433,0.157,-0.857834,-1.920856,-1.735818,-1.081600,1.560703,-2.056787,0.028552,0
24,38.2309,25,0.496174,-0.670129,0.013433,0.496009,-0.669951,0.013433,0.243,-0.857714,-1.920903,-1.736061,-1.081752,1.560871,-2.056772,0.028714,0
25,38.3362,26,0.496014,-0.670146,0.013433,0.495850,-0.669951,0.013433,0.256,-0.857591,-1.920953,-1.736300,-1.081951,1.560947,-2.056732,0.028877,0
26,38.4418,27,0.495928,-0.670186,0.013433,0.495690,-0.669951,0.013433,0.335,-0.857502,-1.921017,-1.736395,-1.081976,1.561034,-2.056708,0.029063,0
27,38.5472,28,0.495577,-0.670616,0.013433,0.495531,-0.669951,0.013433,0.667,-0.857386,-1.921071,-1.736571,-1.082135,1.561108,-2.056703,0.029193,0
28,38.6568,29,0.495418,-0.670118,0.013433,0.495371,-0.669951,0.013433,0.173,-0.857112,-1.921116,-1.737021,-1.082478,1.561383,-2.056640,0.029318,0
29,38.7617,30,0.495291,-0.670104,0.013433,0.495212,-0.669951,0.013433,0.172,-0.856556,-1.921104,-1.737918,-1.083149,1.561899,-2.056532,0.029453,0
30,38.8735,31,0.495299,-0.670128,0.013433,0.495053,-0.669951,0.013433,0.303,-0.856228,-1.921108,-1.738381,-1.083500,1.562120,-2.056479,0.029641,0
31,38.9960,32,0.495148,-0.670109,0.013433,0.494893,-0.669951,0.013433,0.300,-0.856222,-1.921230,-1.738123,-1.083499,1.562063,-2.056429,0.029832,0
32,39.1130,34,0.495056,-0.669973,0.013433,0.494575,-0.669951,0.013433,0.482,-0.856312,-1.921328,-1.738239,-1.083417,1.562076,-2.056436,0.030032,0
33,39.2194,35,0.494519,-0.669983,0.013433,0.494415,-0.669951,0.013433,0.109,-0.856161,-1.921371,-1.738414,-1.083428,1.562103,-2.056448,0.030174,0
34,39.3269,36,0.494635,-0.669951,0.013433,0.494256,-0.669951,0.013433,0.379,-0.856211,-1.921427,-1.738378,-1.083444,1.562096,-2.056433,0.030374,0
35,39.4351,37,0.494495,-0.669944,0.013433,0.494097,-0.669951,0.013433,0.398,-0.856248,-1.921526,-1.738361,-1.083369,1.562079,-2.056448,0.030574,0
36,39.5403,38,0.494178,-0.669949,0.013433,0.493937,-0.669951,0.013433,0.241,-0.856321,-1.921667,-1.738342,-1.083336,1.562039,-2.056436,0.030759,0
37,39.6459,39,0.493964,-0.670118,0.013433,0.493778,-0.669951,0.013433,0.250,-0.856451,-1.921728,-1.738350,-1.083277,1.561959,-2.056464,0.030928,0
