step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,18.3607,0,0.498245,-0.670025,-0.016567,0.498133,-0.670018,-0.016567,0.112,-0.856352,-1.945856,-1.761751,-1.033169,1.562339,-2.056400,0.024800,0
2,18.4649,1,0.498170,-0.670038,-0.016567,0.497933,-0.670018,-0.016567,0.237,-0.856345,-1.945840,-1.761797,-1.033203,1.562343,-2.056415,0.024600,0
3,18.5688,2,0.498390,-0.670670,-0.016567,0.497765,-0.670018,-0.016567,0.904,-0.855912,-1.945856,-1.762420,-1.033500,1.562600,-2.056368,0.024400,0
4,18.6728,3,0.498835,-0.670279,-0.016567,0.497605,-0.670018,-0.016567,1.257,-0.855167,-1.945870,-1.763412,-1.034338,1.563411,-2.056208,0.024200,0
5,18.7763,4,0.499107,-0.670267,-0.016567,0.497447,-0.670018,-0.016567,1.679,-0.854198,-1.946016,-1.764708,-1.035242,1.564284,-2.055996,0.024096,0
6,18.8803,5,0.499131,-0.670179,-0.016567,0.497290,-0.670018,-0.016567,1.847,-0.853117,-1.946127,-1.766229,-1.036280,1.565193,-2.055797,0.024048,0
7,18.9841,6,0.499134,-0.670054,-0.016567,0.497134,-0.670018,-0.016567,2.000,-0.852876,-1.946175,-1.766716,-1.036441,1.565271,-2.055717,0.024049,0
8,19.0874,7,0.499147,-0.670043,-0.016567,0.496979,-0.670018,-0.016567,2.168,-0.852556,-1.946280,-1.767093,-1.036711,1.565536,-2.055633,0.024102,0
9,19.1917,8,0.499170,-0.670024,-0.016567,0.496823,-0.670018,-0.016567,2.347,-0.852142,-1.946447,-1.767799,-1.037290,1.566049,-2.055570,0.024211,0
10,19.2956,9,0.499184,-0.670013,-0.016567,0.496668,-0.670018,-0.016567,2.517,-0.851795,-1.946615,-1.768368,-1.037558,1.566228,-2.055486,0.024374,0
11,19.4022,10,0.499262,-0.669867,-0.016567,0.496512,-0.670018,-0.016567,2.754,-0.851536,-1.946759,-1.768843,-1.037842,1.566489,-2.055441,0.024574,0
12,19.5063,11,0.498987,-0.670025,-0.016567,0.496357,-0.670018,-0.016567,2.630,-0.851374,-1.946914,-1.769335,-1.038195,1.566640,-2.055405,0.024771,0
13,19.6099,12,0.498616,-0.669439,-0.016567,0.496202,-0.670018,-0.016567,2.483,-0.851217,-1.947103,-1.769598,-1.038313,1.566813,-2.055385,0.024896,0
14,19.7133,13,0.498471,-0.669384,-0.016567,0.496046,-0.670018,-0.016567,2.507,-0.851047,-1.947334,-1.769937,-1.038478,1.566873,-2.055326,0.025023,0
15,19.8174,15,0.498124,-0.669293,-0.016567,0.495735,-0.670018,-0.016567,2.496,-0.851018,-1.947669,-1.770112,-1.038606,1.566941,-2.055322,0.025138,0
16,19.9216,16,0.498124,-0.669293,-0.016567,0.495580,-0.670018,-0.016567,2.645,-0.851534,-1.947825,-1.769485,-1.038192,1.566648,-2.055342,0.025301,0
17,20.0256,17,0.498058,-0.669349,-0.016567,0.495425,-0.670018,-0.016567,2.717,-0.852217,-1.947969,-1.768860,-1.037647,1.566016,-2.055517,0.025494,0
18,20.1308,18,0.498030,-0.669324,-0.016567,0.495269,-0.670018,-0.016567,2.846,-0.852768,-1.947984,-1.768153,-1.037031,1.565416,-2.055688,0.025694,0
19,20.2355,18,0.498028,-0.669452,-0.016567,0.495269,-0.670018,-0.016567,2.817,-0.853100,-1.948010,-1.767705,-1.036684,1.565169,-2.055744,0.025894,0
20,20.3391,19,0.497459,-0.669871,-0.016567,0.495114,-0.670018,-0.016567,2.350,-0.853659,-1.948133,-1.767277,-1.036116,1.564551,-2.055806,0.026001,0
21,20.4426,21,0.497233,-0.669991,-0.016567,0.494803,-0.670018,-0.016567,2.430,-0.854174,-1.948156,-1.766372,-1.035535,1.564161,-2.055960,0.026135,0
22,20.5476,22,0.497345,-0.670015,-0.016567,0.494648,-0.670018,-0.016567,2.697,-0.854040,-1.948187,-1.766803,-1.035635,1.564231,-2.055945,0.026335,0
23,20.6531,23,0.497159,-0.669995,-0.016567,0.494492,-0.670018,-0.016567,2.667,-0.853677,-1.948184,-1.767238,-1.035920,1.564407,-2.055894,0.026535,0
24,20.7590,24,0.497071,-0.670013,-0.016567,0.494337,-0.670018,-0.016567,2.734,-0.853467,-1.948203,-1.767608,-1.036228,1.564557,-2.055822,0.026735,0
25,20.8644,25,0.496549,-0.669935,-0.016567,0.494181,-0.670018,-0.016567,2.369,-0.853085,-1.948196,-1.767963,-1.036667,1.564911,-2.055729,0.026850,0
26,20.9684,26,0.496548,-0.669831,-0.016567,0.494026,-0.670018,-0.016567,2.529,-0.852662,-1.948384,-1.768823,-1.037227,1.565392,-2.055638,0.027011,0
27,21.0725,27,0.496121,-0.669425,-0.016567,0.493871,-0.670018,-0.016567,2.327,-0.852405,-1.948439,-1.769155,-1.037371,1.565565,-2.055573,0.027085,0
28,21.1771,28,0.496087,-0.669332,-0.016567,0.493715,-0.670018,-0.016567,2.469,-0.852253,-1.948496,-1.769458,-1.037567,1.565712,-2.055565,0.027195,0
