step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,33.4475,0,0.500189,-0.669838,0.013433,0.500104,-0.669783,0.013433,0.101,-0.856336,-1.920290,-1.737477,-1.083034,1.562420,-2.056484,0.025025,0
2,33.5753,1,0.500228,-0.669811,0.013433,0.499923,-0.669783,0.013433,0.306,-0.856340,-1.920262,-1.737489,-1.083037,1.562404,-2.056468,0.025213,0
3,33.7098,2,0.500199,-0.669811,0.013433,0.499760,-0.669783,0.013433,0.441,-0.856332,-1.920262,-1.737473,-1.083056,1.562432,-2.056469,0.025413,0
4,33.8563,3,0.500364,-0.669936,0.013433,0.499600,-0.669783,0.013433,0.779,-0.856309,-1.920297,-1.737493,-1.083041,1.562436,-2.056453,0.025613,0
5,34.0273,5,0.499735,-0.669764,0.013433,0.499281,-0.669783,0.013433,0.455,-0.856359,-1.920286,-1.737465,-1.083018,1.562423,-2.056484,0.025613,0
6,34.1528,7,0.499750,-0.669919,0.013433,0.498962,-0.669783,0.013433,0.800,-0.856309,-1.920286,-1.737552,-1.083030,1.562439,-2.056484,0.025813,0
7,34.3023,8,0.499460,-0.669777,0.013433,0.498802,-0.669783,0.013433,0.657,-0.856312,-1.920306,-1.737580,-1.083053,1.562451,-2.056469,0.026013,0
8,34.4383,9,0.499378,-0.669748,0.013433,0.498643,-0.669783,0.013433,0.736,-0.856241,-1.920341,-1.737585,-1.083085,1.562420,-2.056445,0.026213,0
9,34.5557,11,0.498978,-0.669784,0.013433,0.498324,-0.669783,0.013433,0.653,-0.856204,-1.920388,-1.737597,-1.083109,1.562482,-2.056457,0.026413,0
10,34.7127,12,0.498664,-0.669322,0.013433,0.498165,-0.669783,0.013433,0.679,-0.856364,-1.920466,-1.737544,-1.083125,1.562411,-2.056453,0.026613,0
11,34.8836,14,0.498663,-0.669214,0.013433,0.497846,-0.669783,0.013433,0.995,-0.856598,-1.920532,-1.737480,-1.083081,1.562171,-2.056489,0.026613,0
12,35.0179,16,0.498610,-0.669261,0.013433,0.497528,-0.669783,0.013433,1.201,-0.857478,-1.920792,-1.736161,-1.081888,1.561208,-2.056696,0.026813,0
13,35.1621,17,0.498266,-0.669231,0.013433,0.497368,-0.669783,0.013433,1.054,-0.857495,-1.920805,-1.736252,-1.081915,1.561275,-2.056735,0.027013,0
14,35.3329,18,0.498091,-0.669632,0.013433,0.497209,-0.669783,0.013433,0.895,-0.858400,-1.921068,-1.735261,-1.081205,1.560396,-2.056879,0.027013,0
15,35.5039,20,0.497940,-0.669809,0.013433,0.496890,-0.669783,0.013433,1.050,-0.859300,-1.921394,-1.734110,-1.080083,1.559699,-2.057071,0.027013,0
16,35.6749,22,0.498072,-0.669772,0.013433,0.496571,-0.669783,0.013433,1.500,-0.859258,-1.921384,-1.734307,-1.080119,1.559717,-2.057126,0.027013,0
17,35.8347,23,0.498098,-0.669736,0.013433,0.496412,-0.669783,0.013433,1.686,-0.859213,-1.921388,-1.734298,-1.080088,1.559716,-2.057095,0.027213,0
18,35.9615,25,0.497895,-0.669982,0.013433,0.496093,-0.669783,0.013433,1.813,-0.859197,-1.921394,-1.734279,-1.080116,1.559711,-2.057078,0.027413,0
19,36.0937,27,0.497731,-0.669979,0.013433,0.495775,-0.669783,0.013433,1.966,-0.859238,-1.921419,-1.734262,-1.080116,1.559702,-2.057105,0.027613,0
20,36.2462,28,0.497736,-0.670040,0.013433,0.495615,-0.669783,0.013433,2.136,-0.859248,-1.921418,-1.734343,-1.080262,1.559695,-2.057086,0.027813,0
21,36.3726,29,0.497629,-0.669931,0.013433,0.495456,-0.669783,0.013433,2.178,-0.859105,-1.921403,-1.734495,-1.080374,1.559726,-2.057056,0.028013,0
22,36.5141,30,0.497243,-0.670117,0.013433,0.495297,-0.669783,0.013433,1.975,-0.858826,-1.921391,-1.734806,-1.080527,1.559900,-2.057018,0.028213,0
23,36.6391,32,0.497039,-0.670100,0.013433,0.494978,-0.669783,0.013433,2.085,-0.858697,-1.921355,-1.734951,-1.080679,1.560067,-2.056963,0.028413,0
24,36.7642,33,0.496771,-0.670092,0.013433,0.494819,-0.669783,0.013433,1.976,-0.858414,-1.921236,-1.735386,-1.081157,1.560386,-2.056916,0.028613,0
25,36.8863,34,0.496372,-0.670068,0.013433,0.494659,-0.669783,0.013433,1.737,-0.858074,-1.921139,-1.735813,-1.081420,1.560659,-2.056840,0.028813,0
26,37.0439,35,0.496289,-0.669983,0.013433,0.494500,-0.669783,0.013433,1.800,-0.857823,-1.921092,-1.736054,-1.081576,1.560827,-2.056772,0.029013,0
27,37.1809,37,0.496027,-0.669964,0.013433,0.494181,-0.669783,0.013433,1.854,-0.857505,-1.921035,-1.736407,-1.081971,1.561148,-2.056715,0.029213,0
28,37.3479,39,0.495670,-0.670128,0.013433,0.493862,-0.669783,0.013433,1.840,-0.857331,-1.920972,-1.736491,-1.082131,1.561292,-2.056707,0.029413,0
29,37.4888,40,0.495673,-0.669976,0.013433,0.493703,-0.669783,0.013433,1.979,-0.857216,-1.920933,-1.736826,-1.082410,1.561391,-2.056637,0.029613,0
30,37.6181,41,0.495433,-0.670129,0.013433,0.493544,-0.669783,0.013433,1.920,-0.857007,-1.920812,-1.736978,-1.082526,1.561556,-2.056619,0.029813,0
31,37.7539,43,0.495288,-0.669967,0.013433,0.493225,-0.669783,0.013433,2.071,-0.856708,-1.920768,-1.737366,-1.082790,1.561815,-2.056532,0.030013,0
32,37.9246,44,0.495129,-0.670113,0.013433,0.493066,-0.669783,0.013433,2.089,-0.856496,-1.920728,-1.737600,-1.083010,1.561988,-2.056511,0.030013,0
33,38.0707,46,0.494791,-0.669975,0.013433,0.492747,-0.669783,0.013433,2.053,-0.856249,-1.920676,-1.737839,-1.083264,1.562175,-2.056445,0.030213,0
34,38.2257,48,0.494754,-0.669946,0.013433,0.492428,-0.669783,0.013433,2.331,-0.856268,-1.920676,-1.737834,-1.083260,1.562144,-2.056452,0.030413,0
35,38.3529,49,0.494741,-0.669918,0.013433,0.492269,-0.669783,0.013433,2.476,-0.856227,-1.920632,-1.737956,-1.083300,1.562295,-2.056436,0.030613,0
36,38.5175,50,0.494345,-0.669975,0.013433,0.492110,-0.669783,0.013433,2.243,-0.856049,-1.920585,-1.738127,-1.083468,1.562352,-2.056393,0.030813,0
37,38.6701,52,0.493952,-0.669955,0.013433,0.491791,-0.669783,0.013433,2.168,-0.856032,-1.920604,-1.738115,-1.083527,1.562411,-2.056381,0.031013,0
38,38.7887,53,0.493950,-0.669957,0.013433,0.491632,-0.669783,0.013433,2.325,-0.855944,-1.920580,-1.738279,-1.083684,1.562478,-2.056388,0.031213,0
39,38.9438,55,0.493656,-0.669954,0.013433,0.491313,-0.669783,0.013433,2.349,-0.855831,-1.920522,-1.738426,-1.083792,1.562555,-2.056352,0.031413,0
40,39.0961,56,0.493279,-0.670020,0.013433,0.491154,-0.669783,0.013433,2.139,-0.855662,-1.920517,-1.738508,-1.083828,1.562679,-2.056331,0.031613,0
41,39.2148,57,0.493289,-0.669940,0.013433,0.490994,-0.669783,0.013433,2.300,-0.855621,-1.920501,-1.738644,-1.083911,1.562712,-2.056316,0.031813,0
42,39.3771,59,0.493060,-0.670119,0.013433,0.490676,-0.669783,0.013433,2.408,-0.855492,-1.920448,-1.738848,-1.084096,1.562850,-2.056292,0.032013,0
43,39.4972,61,0.492832,-0.670329,0.013433,0.490357,-0.669783,0.013433,2.534,-0.855302,-1.920412,-1.738973,-1.084223,1.562933,-2.056257,0.032213,0
44,39.6680,62,0.492540,-0.670678,0.013433,0.490197,-0.669783,0.013433,2.507,-0.855118,-1.920344,-1.739266,-1.084481,1.563143,-2.056193,0.032213,0
45,39.8388,63,0.492523,-0.670127,0.013433,0.490038,-0.669783,0.013433,2.509,-0.854331,-1.920086,-1.740273,-1.085448,1.563833,-2.056029,0.032213,0
46,39.9758,65,0.492585,-0.670121,0.013433,0.489719,-0.669783,0.013433,2.885,-0.854354,-1.920082,-1.740104,-1.085396,1.563831,-2.056044,0.032413,0
47,40.1139,66,0.492585,-0.670121,0.013433,0.489560,-0.669783,0.013433,3.044,-0.854399,-1.920097,-1.740036,-1.085340,1.563831,-2.056017,0.032613,0
48,40.2649,68,0.492172,-0.669954,0.013433,0.489241,-0.669783,0.013433,2.936,-0.854190,-1.920017,-1.740475,-1.085416,1.563999,-2.056025,0.032813,0
49,40.3970,69,0.491838,-0.669983,0.013433,0.489082,-0.669783,0.013433,2.763,-0.853783,-1.919906,-1.740798,-1.085779,1.564332,-2.055924,0.033013,0
50,40.5268,70,0.491887,-0.669972,0.013433,0.488923,-0.669783,0.013433,2.971,-0.853783,-1.919894,-1.740716,-1.085827,1.564339,-2.055909,0.033213,0
