step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,20.2947,0,0.500216,-0.671559,-0.016567,0.500114,-0.671560,-0.016567,0.102,-0.856341,-1.945837,-1.761813,-1.033172,1.562336,-2.056419,0.025000,0
2,20.3951,1,0.500127,-0.671643,-0.016567,0.499924,-0.671424,-0.016567,0.298,-0.856321,-1.945856,-1.761763,-1.033177,1.562339,-2.056397,0.025157,0
3,20.4955,2,0.500312,-0.671585,-0.016567,0.499731,-0.671286,-0.016567,0.653,-0.856317,-1.945797,-1.761830,-1.033196,1.562339,-2.056412,0.025345,0
4,20.5960,3,0.500062,-0.671478,-0.016567,0.499543,-0.671151,-0.016567,0.614,-0.855648,-1.945087,-1.762277,-1.033907,1.562826,-2.056403,0.025534,0
5,20.6964,4,0.499555,-0.670907,-0.016567,0.499358,-0.671019,-0.016567,0.227,-0.854708,-1.944312,-1.763146,-1.034895,1.563882,-2.056160,0.025723,0
6,20.7968,5,0.499209,-0.670680,-0.016567,0.499175,-0.670889,-0.016567,0.212,-0.852869,-1.943134,-1.764513,-1.036541,1.565211,-2.055805,0.025911,0
7,20.8972,6,0.499021,-0.670034,-0.016567,0.498993,-0.670759,-0.016567,0.725,-0.851039,-1.942431,-1.765964,-1.038074,1.566448,-2.055446,0.026100,0
8,20.9976,7,0.498924,-0.670013,-0.016567,0.498813,-0.670630,-0.016567,0.627,-0.849130,-1.941600,-1.767194,-1.039642,1.567729,-2.055082,0.026289,0
9,21.0982,8,0.498706,-0.669767,-0.016567,0.498632,-0.670501,-0.016567,0.737,-0.848007,-1.941037,-1.767936,-1.040467,1.568452,-2.054859,0.026478,0
10,21.1987,9,0.498560,-0.669624,-0.016567,0.498453,-0.670373,-0.016567,0.756,-0.846222,-1.940240,-1.769035,-1.041799,1.569725,-2.054586,0.026666,0
11,21.2991,10,0.498247,-0.669282,-0.016567,0.498273,-0.670245,-0.016567,0.963,-0.844842,-1.939665,-1.770000,-1.042985,1.570520,-2.054310,0.026855,0
12,21.3995,11,0.498021,-0.669315,-0.016567,0.498095,-0.670117,-0.016567,0.805,-0.843384,-1.939066,-1.770738,-1.043811,1.571481,-2.054043,0.027044,0
13,21.5000,12,0.497798,-0.669257,-0.016567,0.497917,-0.669990,-0.016567,0.742,-0.842470,-1.938734,-1.771340,-1.044696,1.571971,-2.053884,0.027232,0
14,21.6004,13,0.497972,-0.669218,-0.016567,0.497739,-0.669863,-0.016567,0.686,-0.841174,-1.938185,-1.772045,-1.045520,1.572701,-2.053613,0.027421,0
15,21.7009,14,0.497618,-0.669320,-0.016567,0.497562,-0.669737,-0.016567,0.420,-0.839589,-1.937632,-1.772771,-1.046520,1.573702,-2.053345,0.027610,0
16,21.8014,15,0.497514,-0.669104,-0.016567,0.497386,-0.669611,-0.016567,0.522,-0.838315,-1.937189,-1.773620,-1.047622,1.574337,-2.053113,0.027799,0
17,21.9018,16,0.497187,-0.668810,-0.016567,0.497210,-0.669485,-0.016567,0.676,-0.836793,-1.936662,-1.774191,-1.048274,1.575251,-2.052853,0.027987,0
18,22.0023,17,0.497045,-0.668531,-0.016567,0.497035,-0.669360,-0.016567,0.829,-0.835604,-1.936267,-1.774839,-1.049176,1.575830,-2.052625,0.028176,0
19,22.1027,18,0.496623,-0.668526,-0.016567,0.496861,-0.669236,-0.016567,0.748,-0.834344,-1.935927,-1.775459,-1.050073,1.576514,-2.052409,0.028365,0
20,22.2031,19,0.496679,-0.668489,-0.016567,0.496687,-0.669111,-0.016567,0.623,-0.833548,-1.935653,-1.775777,-1.050429,1.576938,-2.052262,0.028553,0
