step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,17.2578,0,0.500650,-0.670105,-0.016567,0.500603,-0.670042,-0.016567,0.078,-0.856340,-1.945833,-1.761751,-1.033212,1.562320,-2.056415,0.025000,0
2,17.3582,2,0.500663,-0.670132,-0.016567,0.500287,-0.669759,-0.016567,0.529,-0.856329,-1.945852,-1.761766,-1.033212,1.562352,-2.056409,0.025156,0
3,17.4586,3,0.500693,-0.670148,-0.016567,0.500136,-0.669625,-0.016567,0.764,-0.856309,-1.945773,-1.761806,-1.033237,1.562352,-2.056397,0.025312,0
4,17.5590,3,0.500660,-0.670055,-0.016567,0.500136,-0.669625,-0.016567,0.678,-0.855934,-1.945313,-1.762368,-1.033860,1.562675,-2.056352,0.025468,0
5,17.6594,4,0.500481,-0.670035,-0.016567,0.499987,-0.669491,-0.016567,0.735,-0.854675,-1.944084,-1.764267,-1.035806,1.564279,-2.056037,0.025625,0
6,17.7598,5,0.500359,-0.670025,-0.016567,0.499838,-0.669359,-0.016567,0.846,-0.853288,-1.942723,-1.766116,-1.037723,1.565520,-2.055717,0.025781,0
7,17.8603,7,0.499988,-0.669859,-0.016567,0.499543,-0.669096,-0.016567,0.884,-0.851734,-1.941378,-1.768313,-1.040226,1.567038,-2.055333,0.025937,0
8,17.9607,7,0.500000,-0.670033,-0.016567,0.499543,-0.669096,-0.016567,1.043,-0.851405,-1.941046,-1.768787,-1.040682,1.567499,-2.055250,0.026093,0
9,18.0611,8,0.499649,-0.669527,-0.016567,0.499397,-0.668965,-0.016567,0.616,-0.850065,-1.939676,-1.770502,-1.042602,1.568692,-2.054938,0.026249,0
10,18.1615,10,0.499407,-0.669164,-0.016567,0.499106,-0.668705,-0.016567,0.549,-0.848693,-1.938399,-1.772422,-1.044644,1.570181,-2.054596,0.026405,0
11,18.2620,10,0.499256,-0.669137,-0.016567,0.499106,-0.668705,-0.016567,0.458,-0.848030,-1.937741,-1.773319,-1.045587,1.570817,-2.054450,0.026561,0
12,18.3624,11,0.499207,-0.668777,-0.016567,0.498962,-0.668576,-0.016567,0.317,-0.846968,-1.936894,-1.774664,-1.047008,1.571921,-2.054210,0.026718,0
13,18.4628,12,0.499017,-0.668395,-0.016567,0.498818,-0.668448,-0.016567,0.206,-0.846034,-1.935996,-1.775888,-1.048277,1.572770,-2.053980,0.026874,0
14,18.5631,14,0.498872,-0.668148,-0.016567,0.498532,-0.668193,-0.016567,0.343,-0.844688,-1.934878,-1.777376,-1.050104,1.574178,-2.053649,0.027030,0
15,18.6635,15,0.498696,-0.667895,-0.016567,0.498390,-0.668066,-0.016567,0.351,-0.843811,-1.934032,-1.778548,-1.051281,1.575073,-2.053468,0.027186,0
16,18.7638,16,0.498664,-0.667821,-0.016567,0.498248,-0.667939,-0.016567,0.432,-0.842846,-1.933314,-1.779795,-1.052535,1.575982,-2.053233,0.027342,0
17,18.8642,17,0.498554,-0.667821,-0.016567,0.498107,-0.667813,-0.016567,0.447,-0.842007,-1.932583,-1.780903,-1.053642,1.576838,-2.053041,0.027498,0
18,18.9646,17,0.498464,-0.667821,-0.016567,0.498107,-0.667813,-0.016567,0.357,-0.841450,-1.932123,-1.781514,-1.054253,1.577386,-2.052925,0.027655,0
19,19.0651,18,0.498368,-0.667822,-0.016567,0.497967,-0.667688,-0.016567,0.423,-0.840528,-1.931480,-1.782519,-1.055584,1.578355,-2.052737,0.027811,0
20,19.1656,19,0.498239,-0.667667,-0.016567,0.497827,-0.667563,-0.016567,0.426,-0.839685,-1.930757,-1.783455,-1.056432,1.579051,-2.052521,0.027967,0
21,19.2660,21,0.497911,-0.667847,-0.016567,0.497548,-0.667314,-0.016567,0.645,-0.838538,-1.929883,-1.784851,-1.058061,1.580284,-2.052254,0.028123,0
22,19.3664,22,0.497818,-0.667720,-0.016567,0.497409,-0.667190,-0.016567,0.669,-0.837676,-1.929204,-1.785800,-1.058860,1.581047,-2.052090,0.028279,0
23,19.4667,23,0.497658,-0.667695,-0.016567,0.497271,-0.667067,-0.016567,0.737,-0.836911,-1.928638,-1.786669,-1.060047,1.581880,-2.051902,0.028435,0
24,19.5671,24,0.497509,-0.667660,-0.016567,0.497133,-0.666944,-0.016567,0.809,-0.836121,-1.928031,-1.787522,-1.060826,1.582564,-2.051715,0.028591,0
25,19.6675,25,0.497650,-0.667441,-0.016567,0.496996,-0.666821,-0.016567,0.901,-0.835314,-1.927499,-1.788356,-1.061722,1.583411,-2.051547,0.028748,0
26,19.7679,25,0.497193,-0.667070,-0.016567,0.496996,-0.666821,-0.016567,0.318,-0.834847,-1.927117,-1.788885,-1.062328,1.583903,-2.051427,0.028904,0
27,19.8683,26,0.497102,-0.666987,-0.016567,0.496859,-0.666699,-0.016567,0.377,-0.834100,-1.926610,-1.789743,-1.063255,1.584536,-2.051271,0.029060,0
28,19.9691,28,0.496897,-0.667070,-0.016567,0.496586,-0.666455,-0.016567,0.689,-0.833097,-1.925894,-1.790727,-1.064204,1.585568,-2.051040,0.029216,0
29,20.0698,29,0.496627,-0.666829,-0.016567,0.496450,-0.666334,-0.016567,0.526,-0.832362,-1.925392,-1.791580,-1.065225,1.586221,-2.050861,0.029372,0
30,20.1702,29,0.496643,-0.666796,-0.016567,0.496450,-0.666334,-0.016567,0.500,-0.832146,-1.925224,-1.791864,-1.065502,1.586461,-2.050813,0.029528,0
31,20.2707,30,0.496314,-0.666217,-0.016567,0.496315,-0.666213,-0.016567,0.004,-0.831211,-1.924589,-1.792720,-1.066329,1.587356,-2.050609,0.029684,0
32,20.3714,31,0.496120,-0.666056,-0.016567,0.496180,-0.666092,-0.016567,0.070,-0.830535,-1.924115,-1.793362,-1.067130,1.588041,-2.050441,0.029841,0
33,20.4719,33,0.496074,-0.665692,-0.016567,0.495910,-0.665852,-0.016567,0.228,-0.829872,-1.923663,-1.794172,-1.068079,1.588686,-2.050298,0.029997,0
34,20.5723,34,0.495918,-0.665689,-0.016567,0.495776,-0.665732,-0.016567,0.149,-0.829135,-1.923236,-1.794703,-1.068571,1.589310,-2.050164,0.030153,0
35,20.6728,35,0.495708,-0.665612,-0.016567,0.495642,-0.665613,-0.016567,0.066,-0.828529,-1.922817,-1.795380,-1.069213,1.589951,-2.049998,0.030309,0
36,20.7732,36,0.495816,-0.665533,-0.016567,0.495509,-0.665493,-0.016567,0.310,-0.827695,-1.922274,-1.796268,-1.070233,1.590714,-2.049790,0.030465,0
37,20.8736,36,0.495814,-0.665502,-0.016567,0.495509,-0.665493,-0.016567,0.305,-0.827506,-1.922118,-1.796453,-1.070482,1.590934,-2.049758,0.030621,0
38,20.9740,38,0.495667,-0.665384,-0.016567,0.495243,-0.665256,-0.016567,0.443,-0.826710,-1.921627,-1.797186,-1.071194,1.591710,-2.049585,0.030778,0
39,21.0744,39,0.495392,-0.665373,-0.016567,0.495110,-0.665137,-0.016567,0.368,-0.826091,-1.921271,-1.797792,-1.071844,1.592314,-2.049462,0.030934,0
40,21.1748,40,0.495215,-0.665276,-0.016567,0.494978,-0.665019,-0.016567,0.350,-0.825479,-1.920912,-1.798387,-1.072526,1.592878,-2.049315,0.031090,0
41,21.2753,41,0.495066,-0.665201,-0.016567,0.494846,-0.664901,-0.016567,0.372,-0.824916,-1.920544,-1.798860,-1.073095,1.593418,-2.049164,0.031246,0
42,21.3757,42,0.494943,-0.665015,-0.016567,0.494714,-0.664784,-0.016567,0.325,-0.824349,-1.920193,-1.799387,-1.073585,1.593970,-2.049054,0.031402,0
43,21.4760,43,0.494814,-0.664699,-0.016567,0.494582,-0.664666,-0.016567,0.234,-0.823667,-1.919746,-1.800178,-1.074287,1.594654,-2.048887,0.031558,0
44,21.5764,44,0.494786,-0.664627,-0.016567,0.494451,-0.664549,-0.016567,0.343,-0.823093,-1.919442,-1.800622,-1.074838,1.595183,-2.048767,0.031714,0
45,21.6768,44,0.494731,-0.664698,-0.016567,0.494451,-0.664549,-0.016567,0.317,-0.822932,-1.919343,-1.800738,-1.075022,1.595323,-2.048734,0.031871,0
46,21.7771,46,0.494171,-0.664724,-0.016567,0.494189,-0.664315,-0.016567,0.409,-0.822041,-1.918823,-1.801576,-1.075900,1.596175,-2.048516,0.032027,0
47,21.8775,47,0.494181,-0.664686,-0.016567,0.494059,-0.664198,-0.016567,0.502,-0.821726,-1.918626,-1.801910,-1.076254,1.596503,-2.048444,0.032183,0
48,21.9780,48,0.493995,-0.664651,-0.016567,0.493928,-0.664082,-0.016567,0.573,-0.821187,-1.918280,-1.802310,-1.076619,1.596983,-2.048327,0.032339,0
49,22.0784,49,0.493816,-0.664662,-0.016567,0.493798,-0.663966,-0.016567,0.697,-0.820775,-1.918091,-1.802645,-1.077047,1.597383,-2.048204,0.032495,0
50,22.1787,50,0.493604,-0.664716,-0.016567,0.493668,-0.663850,-0.016567,0.868,-0.820171,-1.917747,-1.803209,-1.077720,1.597948,-2.048060,0.032651,0
51,22.2791,51,0.493378,-0.664581,-0.016567,0.493538,-0.663734,-0.016567,0.862,-0.819691,-1.917453,-1.803669,-1.078242,1.598444,-2.047971,0.032807,0
52,22.3794,52,0.493370,-0.664370,-0.016567,0.493409,-0.663618,-0.016567,0.753,-0.819251,-1.917204,-1.804060,-1.078546,1.598839,-2.047832,0.032964,0
53,22.4798,53,0.493204,-0.664284,-0.016567,0.493280,-0.663503,-0.016567,0.784,-0.818752,-1.916984,-1.804506,-1.078957,1.599304,-2.047728,0.033120,0
54,22.5802,54,0.493064,-0.664114,-0.016567,0.493151,-0.663388,-0.016567,0.731,-0.818289,-1.916689,-1.804830,-1.079364,1.599692,-2.047636,0.033276,0
55,22.6806,55,0.493062,-0.664059,-0.016567,0.493022,-0.663273,-0.016567,0.787,-0.818024,-1.916530,-1.805071,-1.079656,1.599997,-2.047532,0.033432,0
56,22.7811,56,0.493190,-0.663769,-0.016567,0.492893,-0.663158,-0.016567,0.679,-0.817590,-1.916262,-1.805393,-1.080103,1.600428,-2.047410,0.033588,0
57,22.8815,56,0.493027,-0.663550,-0.016567,0.492893,-0.663158,-0.016567,0.414,-0.817230,-1.916114,-1.805782,-1.080454,1.600736,-2.047333,0.033744,0
