step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,17.9856,0,0.500239,-0.671666,-0.016567,0.500048,-0.671659,-0.016567,0.192,-0.856367,-1.945821,-1.761751,-1.033212,1.562339,-2.056381,0.025000,0
2,18.0860,1,0.500136,-0.671664,-0.016567,0.499893,-0.671659,-0.016567,0.243,-0.856345,-1.945821,-1.761763,-1.033184,1.562339,-2.056412,0.025084,0
3,18.1864,2,0.500239,-0.671666,-0.016567,0.499742,-0.671659,-0.016567,0.497,-0.856395,-1.945745,-1.761747,-1.033208,1.562324,-2.056403,0.025219,0
4,18.2869,3,0.500098,-0.671674,-0.016567,0.499598,-0.671659,-0.016567,0.500,-0.856507,-1.944923,-1.761559,-1.033656,1.562259,-2.056415,0.025375,0
5,18.3873,4,0.499706,-0.671440,-0.016567,0.499451,-0.671659,-0.016567,0.336,-0.857232,-1.941793,-1.760551,-1.035131,1.561571,-2.056735,0.025530,0
6,18.4878,5,0.499618,-0.671508,-0.016567,0.499301,-0.671659,-0.016567,0.351,-0.857987,-1.938691,-1.759538,-1.036189,1.560923,-2.057126,0.025685,0
7,18.5884,6,0.499056,-0.670922,-0.016567,0.499153,-0.671659,-0.016567,0.743,-0.858179,-1.939621,-1.759768,-1.035715,1.560947,-2.057188,0.025840,0
8,18.6888,7,0.498876,-0.670922,-0.016567,0.499005,-0.671659,-0.016567,0.748,-0.858338,-1.940842,-1.759765,-1.035122,1.560915,-2.057222,0.025996,0
9,18.7892,8,0.498945,-0.670925,-0.016567,0.498857,-0.671659,-0.016567,0.739,-0.858550,-1.940854,-1.759470,-1.035067,1.560798,-2.057200,0.026151,0
10,18.8896,9,0.498590,-0.670928,-0.016567,0.498708,-0.671659,-0.016567,0.741,-0.858862,-1.940755,-1.759290,-1.034920,1.560424,-2.057302,0.026306,0
11,18.9901,10,0.498999,-0.670940,-0.016567,0.498559,-0.671659,-0.016567,0.842,-0.859004,-1.940767,-1.759154,-1.034581,1.560467,-2.057359,0.026461,0
12,19.0905,11,0.498807,-0.671254,-0.016567,0.498411,-0.671659,-0.016567,0.566,-0.859196,-1.940917,-1.758907,-1.034200,1.560410,-2.057419,0.026616,0
13,19.1910,12,0.498455,-0.671284,-0.016567,0.498262,-0.671659,-0.016567,0.422,-0.859405,-1.941134,-1.758767,-1.033988,1.560210,-2.057463,0.026772,0
14,19.2914,13,0.498072,-0.671274,-0.016567,0.498113,-0.671659,-0.016567,0.387,-0.859601,-1.941324,-1.758521,-1.033753,1.560123,-2.057523,0.026927,0
15,19.3918,14,0.498061,-0.671216,-0.016567,0.497963,-0.671659,-0.016567,0.453,-0.859836,-1.941465,-1.758257,-1.033464,1.559975,-2.057583,0.027082,0
16,19.4924,15,0.497841,-0.671241,-0.016567,0.497814,-0.671659,-0.016567,0.418,-0.860040,-1.941633,-1.758094,-1.033239,1.559800,-2.057658,0.027237,0
17,19.5928,16,0.497647,-0.671475,-0.016567,0.497664,-0.671659,-0.016567,0.184,-0.860235,-1.941752,-1.757910,-1.032999,1.559663,-2.057721,0.027393,0
18,19.6932,17,0.497419,-0.671965,-0.016567,0.497514,-0.671659,-0.016567,0.320,-0.860422,-1.941876,-1.757719,-1.032785,1.559591,-2.057773,0.027548,0
19,19.7936,18,0.497618,-0.671704,-0.016567,0.497364,-0.671659,-0.016567,0.258,-0.860507,-1.941975,-1.757631,-1.032665,1.559510,-2.057805,0.027703,0
20,19.8941,19,0.497369,-0.672268,-0.016567,0.497214,-0.671659,-0.016567,0.628,-0.860675,-1.942076,-1.757468,-1.032501,1.559402,-2.057829,0.027858,0
21,19.9945,20,0.497109,-0.672207,-0.016567,0.497064,-0.671659,-0.016567,0.550,-0.860840,-1.942264,-1.757336,-1.032272,1.559231,-2.057889,0.028014,0
22,20.0949,21,0.496818,-0.672272,-0.016567,0.496913,-0.671659,-0.016567,0.621,-0.860991,-1.942399,-1.757201,-1.032101,1.559104,-2.057910,0.028169,0
23,20.1953,22,0.496644,-0.672285,-0.016567,0.496762,-0.671659,-0.016567,0.637,-0.861111,-1.942483,-1.757068,-1.031967,1.559039,-2.057968,0.028324,0
24,20.2958,23,0.496385,-0.672284,-0.016567,0.496611,-0.671659,-0.016567,0.665,-0.861263,-1.942543,-1.756940,-1.031799,1.558922,-2.057985,0.028479,0
25,20.3963,24,0.496428,-0.672222,-0.016567,0.496460,-0.671659,-0.016567,0.564,-0.861367,-1.942611,-1.756810,-1.031648,1.558835,-2.057994,0.028634,0
26,20.4968,25,0.496490,-0.672240,-0.016567,0.496309,-0.671659,-0.016567,0.609,-0.861430,-1.942695,-1.756730,-1.031556,1.558744,-2.058045,0.028790,0
27,20.5972,26,0.495935,-0.672240,-0.016567,0.496158,-0.671659,-0.016567,0.622,-0.861550,-1.942794,-1.756588,-1.031417,1.558687,-2.058042,0.028945,0
28,20.6976,27,0.495909,-0.672250,-0.016567,0.496007,-0.671659,-0.016567,0.599,-0.861689,-1.942859,-1.756523,-1.031337,1.558646,-2.058102,0.029100,0
29,20.7981,28,0.496032,-0.672394,-0.016567,0.495855,-0.671659,-0.016567,0.756,-0.861762,-1.942902,-1.756379,-1.031181,1.558547,-2.058126,0.029255,0
30,20.8984,29,0.495535,-0.672970,-0.016567,0.495704,-0.671659,-0.016567,1.323,-0.861889,-1.942942,-1.756259,-1.031085,1.558486,-2.058162,0.029411,0
31,20.9989,30,0.495372,-0.672784,-0.016567,0.495552,-0.671659,-0.016567,1.140,-0.861906,-1.942950,-1.756231,-1.031000,1.558466,-2.058158,0.029566,0
32,21.0994,31,0.495277,-0.672972,-0.016567,0.495401,-0.671659,-0.016567,1.319,-0.862021,-1.943034,-1.756167,-1.030941,1.558375,-2.058213,0.029721,0
33,21.1998,32,0.495252,-0.672982,-0.016567,0.495249,-0.671659,-0.016567,1.323,-0.862081,-1.943043,-1.756147,-1.030896,1.558358,-2.058222,0.029876,0
34,21.3003,33,0.495105,-0.672980,-0.016567,0.495098,-0.671659,-0.016567,1.321,-0.862122,-1.943082,-1.756060,-1.030788,1.558334,-2.058230,0.030031,0
35,21.4008,34,0.494686,-0.672681,-0.016567,0.494946,-0.671659,-0.016567,1.055,-0.862212,-1.943138,-1.755991,-1.030701,1.558252,-2.058247,0.030187,0
36,21.5013,35,0.494408,-0.671532,-0.016567,0.494795,-0.671659,-0.016567,0.407,-0.862250,-1.943163,-1.755913,-1.030644,1.558227,-2.058325,0.030342,0
37,21.6017,36,0.494325,-0.671539,-0.016567,0.494644,-0.671659,-0.016567,0.342,-0.862334,-1.943205,-1.755853,-1.030577,1.558207,-2.058329,0.030497,0
