step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,20.7572,0,0.500376,-0.669722,-0.016567,0.509117,-0.670461,0.013433,8.772,-0.931346,-1.916836,-1.742764,-1.088564,1.513516,-2.066976,0.025195,0
2,20.8576,1,0.500407,-0.669719,-0.016567,0.508972,-0.670435,0.013433,8.595,-0.931335,-1.916851,-1.742760,-1.088554,1.513512,-2.066969,0.025319,0
3,20.9582,2,0.500425,-0.669741,-0.016567,0.508826,-0.670402,0.013433,8.427,-0.931350,-1.916821,-1.742761,-1.088558,1.513512,-2.066953,0.025462,0
4,21.0586,3,0.500386,-0.671079,-0.016567,0.508682,-0.670364,0.013433,8.327,-0.931294,-1.916597,-1.742964,-1.088690,1.513636,-2.066973,0.025605,0
5,21.1589,4,0.500072,-0.670545,-0.016567,0.508538,-0.670326,0.013433,8.470,-0.930805,-1.915823,-1.744160,-1.090154,1.514243,-2.066953,0.025748,0
6,21.2593,5,0.499964,-0.670522,-0.016567,0.508394,-0.670288,0.013433,8.434,-0.930381,-1.915055,-1.745149,-1.091383,1.514760,-2.066885,0.025891,0
7,21.3596,6,0.499785,-0.670515,-0.016567,0.508251,-0.670250,0.013433,8.470,-0.929775,-1.914045,-1.746365,-1.092624,1.515467,-2.066761,0.026033,0
8,21.4600,7,0.499597,-0.670530,-0.016567,0.508107,-0.670212,0.013433,8.516,-0.929407,-1.913427,-1.747199,-1.093644,1.515901,-2.066733,0.026176,0
9,21.5604,8,0.499547,-0.670538,-0.016567,0.507963,-0.670172,0.013433,8.425,-0.928956,-1.912643,-1.748374,-1.094728,1.516516,-2.066661,0.026319,0
10,21.6608,9,0.499384,-0.670599,-0.016567,0.507820,-0.670122,0.013433,8.450,-0.928465,-1.911817,-1.749460,-1.096061,1.517256,-2.066570,0.026462,0
11,21.7613,10,0.499152,-0.670545,-0.016567,0.507677,-0.670071,0.013433,8.538,-0.927800,-1.910774,-1.750951,-1.097527,1.517981,-2.066493,0.026605,0
12,21.8618,11,0.499008,-0.670984,-0.016567,0.507533,-0.670020,0.013433,8.579,-0.927258,-1.909933,-1.751932,-1.098784,1.518670,-2.066421,0.026747,0
13,21.9622,12,0.498917,-0.670561,-0.016567,0.507390,-0.669970,0.013433,8.493,-0.926662,-1.908919,-1.753253,-1.100240,1.519502,-2.066319,0.026890,0
14,22.0626,13,0.498686,-0.670324,-0.016567,0.507246,-0.669919,0.013433,8.569,-0.926026,-1.907885,-1.754585,-1.101773,1.520230,-2.066238,0.027033,0
15,22.1630,14,0.498589,-0.670417,-0.016567,0.507102,-0.669868,0.013433,8.531,-0.925634,-1.907304,-1.755554,-1.102783,1.520726,-2.066171,0.027176,0
16,22.2637,15,0.498467,-0.670276,-0.016567,0.506962,-0.669799,0.013433,8.508,-0.925034,-1.906453,-1.756730,-1.104078,1.521386,-2.066106,0.027319,0
17,22.3641,16,0.498382,-0.670439,-0.016567,0.506819,-0.669724,0.013433,8.468,-0.924401,-1.905565,-1.757858,-1.105306,1.522182,-2.066019,0.027462,0
18,22.4644,17,0.498017,-0.669989,-0.016567,0.506677,-0.669650,0.013433,8.666,-0.923610,-1.904312,-1.759497,-1.107251,1.523139,-2.065903,0.027604,0
19,22.5648,18,0.497840,-0.669871,-0.016567,0.506535,-0.669576,0.013433,8.700,-0.922828,-1.903239,-1.761044,-1.108672,1.524103,-2.065795,0.027747,0
20,22.6653,19,0.497602,-0.670383,-0.016567,0.506393,-0.669502,0.013433,8.835,-0.921982,-1.902037,-1.762695,-1.110598,1.525174,-2.065656,0.027890,0
21,22.7657,20,0.497449,-0.670478,-0.016567,0.506249,-0.669427,0.013433,8.863,-0.921174,-1.900826,-1.764222,-1.112490,1.526074,-2.065570,0.028033,0
22,22.8664,21,0.497308,-0.670417,-0.016567,0.506111,-0.669334,0.013433,8.870,-0.920616,-1.900107,-1.765296,-1.113476,1.526783,-2.065499,0.028176,0
23,22.9668,22,0.497377,-0.669838,-0.016567,0.505971,-0.669235,0.013433,8.616,-0.919679,-1.898872,-1.766993,-1.115394,1.527832,-2.065355,0.028319,0
24,23.0673,23,0.497141,-0.669790,-0.016567,0.505831,-0.669135,0.013433,8.714,-0.918833,-1.897789,-1.768445,-1.117008,1.528780,-2.065247,0.028461,0
25,23.1677,24,0.496863,-0.669627,-0.016567,0.505692,-0.669036,0.013433,8.849,-0.917695,-1.896341,-1.770470,-1.119251,1.530120,-2.065088,0.028604,0
26,23.2681,25,0.496691,-0.669606,-0.016567,0.505552,-0.668937,0.013433,8.886,-0.916602,-1.895014,-1.772368,-1.121377,1.531396,-2.064944,0.028747,0
27,23.3685,26,0.496519,-0.669467,-0.016567,0.505411,-0.668835,0.013433,8.914,-0.915547,-1.893611,-1.774225,-1.123499,1.532672,-2.064780,0.028890,0
28,23.4690,27,0.496273,-0.669591,-0.016567,0.505278,-0.668714,0.013433,9.047,-0.914448,-1.892321,-1.775964,-1.125525,1.533861,-2.064632,0.029033,0
29,23.5694,28,0.496156,-0.669487,-0.016567,0.505141,-0.668590,0.013433,9.030,-0.913426,-1.891143,-1.777504,-1.127288,1.535009,-2.064501,0.029175,0
30,23.6699,29,0.496097,-0.669485,-0.016567,0.505005,-0.668467,0.013433,8.966,-0.912495,-1.890122,-1.778989,-1.128975,1.536081,-2.064350,0.029318,0
31,23.7705,30,0.496041,-0.669261,-0.016567,0.504870,-0.668344,0.013433,8.876,-0.911281,-1.888692,-1.781106,-1.131218,1.537461,-2.064189,0.029461,0
32,23.8712,31,0.495906,-0.669352,-0.016567,0.504733,-0.668220,0.013433,8.900,-0.909686,-1.886890,-1.783471,-1.133892,1.539210,-2.063939,0.029604,0
