step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,22.4451,0,0.498866,-0.670236,0.013433,0.498797,-0.670126,0.013433,0.130,-0.856317,-1.920293,-1.737496,-1.083056,1.562423,-2.056499,0.025200,0
2,22.5458,1,0.498837,-0.670172,0.013433,0.498633,-0.669979,0.013433,0.281,-0.856333,-1.920250,-1.737520,-1.083061,1.562411,-2.056496,0.025400,0
3,22.6465,2,0.498480,-0.670200,0.013433,0.498481,-0.669843,0.013433,0.357,-0.854731,-1.918811,-1.739590,-1.085251,1.564004,-2.056113,0.025600,0
4,22.7470,3,0.498488,-0.669802,0.013433,0.498330,-0.669708,0.013433,0.183,-0.852323,-1.916433,-1.742939,-1.088924,1.566647,-2.055558,0.025800,0
5,22.8476,4,0.498196,-0.669645,0.013433,0.498180,-0.669575,0.013433,0.072,-0.850695,-1.914879,-1.745308,-1.091615,1.568073,-2.055142,0.026000,0
6,22.9482,5,0.498079,-0.669460,0.013433,0.498032,-0.669442,0.013433,0.050,-0.849562,-1.914183,-1.746744,-1.093076,1.569397,-2.054918,0.026200,0
7,23.0487,6,0.497724,-0.669450,0.013433,0.497884,-0.669310,0.013433,0.212,-0.849250,-1.913704,-1.747190,-1.093619,1.569614,-2.054795,0.026270,0
8,23.1494,7,0.497760,-0.669208,0.013433,0.497737,-0.669179,0.013433,0.037,-0.848471,-1.912752,-1.748415,-1.094924,1.570433,-2.054606,0.026470,0
9,23.2501,8,0.497606,-0.669045,0.013433,0.497591,-0.669048,0.013433,0.016,-0.847308,-1.911817,-1.749965,-1.096596,1.571918,-2.054339,0.026670,0
10,23.3506,9,0.497302,-0.668901,0.013433,0.497445,-0.668918,0.013433,0.144,-0.846212,-1.910589,-1.751545,-1.098532,1.572725,-2.054039,0.026751,0
11,23.4512,10,0.497176,-0.668531,0.013433,0.497300,-0.668789,0.013433,0.286,-0.845616,-1.909762,-1.752100,-1.099270,1.573521,-2.053927,0.026855,0
12,23.5517,11,0.496979,-0.668406,0.013433,0.497155,-0.668660,0.013433,0.309,-0.844739,-1.908951,-1.753344,-1.100568,1.574345,-2.053673,0.026929,0
13,23.6526,12,0.496944,-0.668286,0.013433,0.497012,-0.668531,0.013433,0.255,-0.844331,-1.908135,-1.753763,-1.101335,1.574978,-2.053603,0.027106,0
14,23.7533,13,0.496978,-0.668288,0.013433,0.496868,-0.668403,0.013433,0.159,-0.844380,-1.907500,-1.753651,-1.101324,1.574830,-2.053563,0.027306,0
15,23.8541,14,0.496462,-0.668243,0.013433,0.496726,-0.668276,0.013433,0.266,-0.843443,-1.906521,-1.754942,-1.103063,1.576082,-2.053379,0.027320,0
16,23.9549,15,0.496419,-0.668109,0.013433,0.496584,-0.668149,0.013433,0.169,-0.842816,-1.905853,-1.755641,-1.103926,1.576731,-2.053185,0.027442,0
17,24.0557,16,0.496478,-0.668118,0.013433,0.496442,-0.668023,0.013433,0.102,-0.841159,-1.904543,-1.757200,-1.105566,1.578095,-2.052841,0.027642,0
18,24.1564,17,0.496204,-0.667712,0.013433,0.496301,-0.667897,0.013433,0.209,-0.839957,-1.903856,-1.758591,-1.107232,1.579368,-2.052577,0.027813,0
19,24.2573,18,0.496167,-0.667605,0.013433,0.496160,-0.667771,0.013433,0.166,-0.839010,-1.903083,-1.759772,-1.108319,1.580043,-2.052323,0.028013,0
20,24.3581,19,0.495952,-0.667410,0.013433,0.496020,-0.667646,0.013433,0.245,-0.838290,-1.902559,-1.760526,-1.109223,1.581067,-2.052206,0.028195,0
21,24.4593,20,0.495587,-0.667208,0.013433,0.495881,-0.667522,0.013433,0.430,-0.838238,-1.902020,-1.760574,-1.109446,1.580859,-2.052122,0.028189,0
22,24.5603,21,0.495466,-0.667445,0.013433,0.495742,-0.667397,0.013433,0.280,-0.837755,-1.901684,-1.761112,-1.110127,1.581395,-2.052022,0.028241,0
23,24.6610,22,0.495554,-0.667137,0.013433,0.495603,-0.667274,0.013433,0.145,-0.837251,-1.901066,-1.761662,-1.110802,1.582224,-2.051918,0.028441,0
24,24.7619,23,0.495454,-0.667443,0.013433,0.495465,-0.667150,0.013433,0.293,-0.835889,-1.900058,-1.762985,-1.112428,1.583260,-2.051583,0.028641,0
25,24.8628,24,0.495291,-0.666935,0.013433,0.495327,-0.667027,0.013433,0.099,-0.834814,-1.899681,-1.764210,-1.113682,1.584696,-2.051446,0.028841,0
26,24.9637,25,0.494818,-0.666749,0.013433,0.495189,-0.666904,0.013433,0.403,-0.833357,-1.898710,-1.765749,-1.115001,1.585313,-2.051028,0.028807,0
27,25.0645,26,0.494792,-0.666046,0.013433,0.495052,-0.666782,0.013433,0.781,-0.832194,-1.898404,-1.767145,-1.116246,1.587024,-2.050864,0.028884,0
28,25.1654,27,0.494807,-0.666022,0.013433,0.494916,-0.666660,0.013433,0.647,-0.832724,-1.898107,-1.766150,-1.115838,1.586297,-2.050864,0.029084,0
29,25.2663,28,0.494994,-0.666253,0.013433,0.494780,-0.666538,0.013433,0.357,-0.833049,-1.898011,-1.765890,-1.115858,1.586045,-2.050861,0.029284,0
30,25.3671,29,0.494587,-0.666050,0.013433,0.494644,-0.666417,0.013433,0.371,-0.834039,-1.897939,-1.764738,-1.114999,1.585621,-2.051064,0.029484,0
31,25.4680,30,0.494503,-0.666203,0.013433,0.494508,-0.666296,0.013433,0.093,-0.833896,-1.897136,-1.764837,-1.115326,1.585515,-2.051107,0.029684,0
32,25.5687,31,0.494019,-0.666016,0.013433,0.494373,-0.666175,0.013433,0.388,-0.831714,-1.896042,-1.767037,-1.117341,1.587593,-2.050700,0.029683,0
33,25.6694,32,0.493915,-0.666000,0.013433,0.494238,-0.666055,0.013433,0.327,-0.830920,-1.895254,-1.767449,-1.118132,1.588045,-2.050448,0.029742,0
34,25.7703,33,0.493939,-0.665831,0.013433,0.494104,-0.665935,0.013433,0.195,-0.830315,-1.894947,-1.767967,-1.118759,1.588869,-2.050329,0.029942,0
35,25.8711,34,0.493953,-0.665475,0.013433,0.493970,-0.665815,0.013433,0.340,-0.828897,-1.894411,-1.769781,-1.120478,1.590173,-2.049998,0.030142,0
36,25.9716,35,0.493821,-0.665693,0.013433,0.493836,-0.665696,0.013433,0.015,-0.827957,-1.893851,-1.770446,-1.121010,1.591053,-2.049809,0.030342,0
37,26.0722,36,0.493456,-0.665603,0.013433,0.493702,-0.665576,0.013433,0.248,-0.828013,-1.893647,-1.770267,-1.121022,1.590938,-2.049758,0.030458,0
38,26.1728,37,0.493401,-0.665278,0.013433,0.493569,-0.665458,0.013433,0.246,-0.827854,-1.893579,-1.770602,-1.121377,1.591134,-2.049757,0.030639,0
39,26.2734,38,0.493396,-0.664983,0.013433,0.493436,-0.665339,0.013433,0.358,-0.825676,-1.892876,-1.773133,-1.124019,1.593605,-2.049314,0.030839,0
40,26.3740,39,0.493001,-0.664556,0.013433,0.493303,-0.665220,0.013433,0.730,-0.825339,-1.892439,-1.773052,-1.123977,1.593530,-2.049214,0.030887,0
41,26.4747,40,0.493149,-0.664986,0.013433,0.493171,-0.665102,0.013433,0.119,-0.825771,-1.892417,-1.772305,-1.123561,1.593217,-2.049222,0.031087,0
