step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,20.3074,0,0.498714,-0.669750,0.013433,0.498681,-0.669718,0.013433,0.046,-0.856355,-1.920262,-1.737465,-1.083049,1.562415,-2.056499,0.025200,0
2,20.4083,1,0.498408,-0.669835,0.013433,0.498517,-0.669571,0.013433,0.286,-0.856256,-1.920166,-1.737600,-1.083138,1.562444,-2.056484,0.025341,0
3,20.5093,2,0.498443,-0.669997,0.013433,0.498365,-0.669435,0.013433,0.568,-0.855043,-1.918999,-1.739190,-1.084888,1.563715,-2.056193,0.025541,0
4,20.6100,3,0.498112,-0.669760,0.013433,0.498214,-0.669300,0.013433,0.470,-0.852562,-1.916613,-1.742556,-1.088548,1.566372,-2.055616,0.025716,0
5,20.7107,4,0.498036,-0.669594,0.013433,0.498065,-0.669167,0.013433,0.428,-0.850068,-1.914858,-1.745780,-1.092032,1.568620,-2.055031,0.025916,0
6,20.8115,5,0.498001,-0.669194,0.013433,0.497916,-0.669034,0.013433,0.181,-0.847892,-1.913943,-1.747940,-1.094164,1.570769,-2.054608,0.026116,0
7,20.9122,7,0.497561,-0.668851,0.013433,0.497621,-0.668771,0.013433,0.100,-0.846236,-1.912927,-1.750145,-1.096129,1.572130,-2.054247,0.026286,0
8,21.0128,8,0.497485,-0.668701,0.013433,0.497475,-0.668640,0.013433,0.062,-0.845888,-1.912249,-1.751174,-1.097315,1.572725,-2.054111,0.026486,0
9,21.1134,9,0.497277,-0.668569,0.013433,0.497329,-0.668510,0.013433,0.079,-0.845243,-1.910941,-1.752266,-1.098644,1.573578,-2.053892,0.026649,0
10,21.2141,10,0.496988,-0.668301,0.013433,0.497184,-0.668381,0.013433,0.211,-0.844164,-1.909849,-1.753994,-1.100719,1.575038,-2.053641,0.026683,0
11,21.3148,10,0.496763,-0.668146,0.013433,0.497184,-0.668381,0.013433,0.482,-0.843688,-1.909106,-1.754667,-1.101461,1.575299,-2.053500,0.026549,0
12,21.4156,11,0.496845,-0.668128,0.013433,0.497040,-0.668252,0.013433,0.230,-0.843017,-1.908407,-1.755453,-1.102460,1.575825,-2.053333,0.026662,0
13,21.5162,12,0.496869,-0.668138,0.013433,0.496896,-0.668123,0.013433,0.031,-0.842916,-1.908023,-1.755497,-1.102502,1.576118,-2.053300,0.026862,0
14,21.6168,14,0.496638,-0.668079,0.013433,0.496610,-0.667868,0.013433,0.213,-0.842534,-1.907385,-1.756198,-1.103512,1.576669,-2.053189,0.027062,0
15,21.7173,15,0.496571,-0.667626,0.013433,0.496468,-0.667741,0.013433,0.155,-0.841116,-1.906386,-1.757774,-1.105369,1.578166,-2.052874,0.027262,0
16,21.8178,16,0.496342,-0.667558,0.013433,0.496326,-0.667615,0.013433,0.058,-0.839368,-1.904879,-1.759437,-1.107083,1.579522,-2.052490,0.027462,0
17,21.9184,17,0.496246,-0.667458,0.013433,0.496185,-0.667489,0.013433,0.068,-0.838909,-1.904094,-1.760630,-1.108536,1.580344,-2.052386,0.027662,0
18,22.0189,18,0.495911,-0.667446,0.013433,0.496045,-0.667363,0.013433,0.157,-0.838775,-1.903463,-1.760897,-1.108843,1.580307,-2.052239,0.027808,0
19,22.1196,18,0.495764,-0.667516,0.013433,0.496045,-0.667363,0.013433,0.319,-0.837855,-1.903134,-1.761690,-1.109930,1.581506,-2.052083,0.027854,0
20,22.2202,19,0.495708,-0.666871,0.013433,0.495904,-0.667238,0.013433,0.416,-0.836425,-1.902336,-1.762935,-1.111109,1.582723,-2.051807,0.027915,0
21,22.3207,21,0.495721,-0.666902,0.013433,0.495626,-0.666989,0.013433,0.129,-0.834834,-1.901848,-1.763896,-1.112181,1.583896,-2.051516,0.028115,0
22,22.4213,22,0.495513,-0.666851,0.013433,0.495487,-0.666866,0.013433,0.030,-0.835832,-1.901701,-1.763481,-1.111981,1.583289,-2.051547,0.028315,0
23,22.5219,23,0.495305,-0.666740,0.013433,0.495349,-0.666742,0.013433,0.044,-0.835709,-1.900730,-1.764792,-1.113310,1.583480,-2.051575,0.028515,0
24,22.6227,24,0.495141,-0.666288,0.013433,0.495211,-0.666619,0.013433,0.339,-0.834047,-1.899771,-1.766261,-1.114924,1.585608,-2.051216,0.028663,0
25,22.7235,25,0.495008,-0.666337,0.013433,0.495074,-0.666496,0.013433,0.172,-0.833372,-1.899127,-1.766752,-1.115491,1.585681,-2.051008,0.028842,0
26,22.8241,25,0.494886,-0.665973,0.013433,0.495074,-0.666496,0.013433,0.556,-0.833429,-1.899046,-1.766835,-1.115623,1.585717,-2.051011,0.028860,0
27,22.9248,26,0.494653,-0.666017,0.013433,0.494937,-0.666374,0.013433,0.456,-0.833473,-1.898547,-1.767170,-1.116160,1.585777,-2.050975,0.028855,0
28,23.0255,27,0.494532,-0.665938,0.013433,0.494800,-0.666252,0.013433,0.413,-0.833659,-1.898368,-1.767450,-1.116806,1.586000,-2.050951,0.028898,0
29,23.1263,29,0.494684,-0.666040,0.013433,0.494528,-0.666009,0.013433,0.159,-0.833887,-1.897924,-1.767551,-1.116931,1.585881,-2.050948,0.029098,0
30,23.2270,30,0.494437,-0.666002,0.013433,0.494392,-0.665888,0.013433,0.122,-0.832845,-1.897385,-1.768383,-1.117848,1.587000,-2.050804,0.029298,0
31,23.3278,31,0.494571,-0.665778,0.013433,0.494257,-0.665767,0.013433,0.314,-0.831447,-1.896441,-1.769554,-1.119135,1.587996,-2.050444,0.029498,0
32,23.4285,32,0.494037,-0.665294,0.013433,0.494122,-0.665647,0.013433,0.363,-0.829644,-1.895718,-1.770969,-1.120614,1.589796,-2.050124,0.029670,0
