step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,16.7938,0,0.498546,-0.669822,0.013433,0.498504,-0.669753,0.013433,0.080,-0.856348,-1.920281,-1.737496,-1.083034,1.562415,-2.056469,0.025017,0
2,16.8987,1,0.498483,-0.669763,0.013433,0.498340,-0.669606,0.013433,0.212,-0.856333,-1.920257,-1.737493,-1.083053,1.562411,-2.056487,0.025142,0
3,17.0086,2,0.498557,-0.669807,0.013433,0.498187,-0.669471,0.013433,0.500,-0.856022,-1.919906,-1.737958,-1.083575,1.562674,-2.056458,0.025342,0
4,17.1158,3,0.498544,-0.669810,0.013433,0.498037,-0.669336,0.013433,0.694,-0.855326,-1.919198,-1.738872,-1.084538,1.563476,-2.056244,0.025542,0
5,17.2221,4,0.498091,-0.669788,0.013433,0.497887,-0.669203,0.013433,0.620,-0.852697,-1.916428,-1.742575,-1.088676,1.566184,-2.055621,0.025730,0
6,17.3274,5,0.497847,-0.669598,0.013433,0.497739,-0.669070,0.013433,0.539,-0.851208,-1.915166,-1.744531,-1.090852,1.567672,-2.055265,0.025888,0
7,17.4338,6,0.497744,-0.669334,0.013433,0.497591,-0.668938,0.013433,0.424,-0.849505,-1.913987,-1.746544,-1.092960,1.569361,-2.054854,0.026056,0
8,17.5393,7,0.497530,-0.668879,0.013433,0.497444,-0.668807,0.013433,0.113,-0.847572,-1.912849,-1.748721,-1.095123,1.571232,-2.054483,0.026193,0
9,17.6446,8,0.497464,-0.668936,0.013433,0.497297,-0.668676,0.013433,0.309,-0.846549,-1.912289,-1.749989,-1.096365,1.572213,-2.054255,0.026362,0
10,17.7537,9,0.497331,-0.668665,0.013433,0.497152,-0.668546,0.013433,0.216,-0.845443,-1.911297,-1.751469,-1.097986,1.573206,-2.054004,0.026530,0
11,17.8868,10,0.496966,-0.668289,0.013433,0.497007,-0.668416,0.013433,0.134,-0.844147,-1.910010,-1.753144,-1.099909,1.574654,-2.053668,0.026619,0
12,18.0001,12,0.496697,-0.668134,0.013433,0.496718,-0.668159,0.013433,0.033,-0.843012,-1.909015,-1.754669,-1.101543,1.575702,-2.053404,0.026718,0
13,18.1063,13,0.496719,-0.668135,0.013433,0.496575,-0.668031,0.013433,0.177,-0.842320,-1.908068,-1.755740,-1.102697,1.576490,-2.053209,0.026875,0
14,18.2190,14,0.496662,-0.667907,0.013433,0.496432,-0.667904,0.013433,0.230,-0.841638,-1.907223,-1.756656,-1.103867,1.577298,-2.053041,0.027053,0
15,18.3334,15,0.496612,-0.667661,0.013433,0.496290,-0.667777,0.013433,0.342,-0.840613,-1.906333,-1.758001,-1.105429,1.578483,-2.052802,0.027252,0
16,18.4389,16,0.496340,-0.667624,0.013433,0.496149,-0.667650,0.013433,0.194,-0.839911,-1.905557,-1.758919,-1.106393,1.579023,-2.052610,0.027417,0
17,18.5443,17,0.496149,-0.667599,0.013433,0.496008,-0.667524,0.013433,0.159,-0.839488,-1.904954,-1.759592,-1.107340,1.579522,-2.052479,0.027571,0
18,18.6491,18,0.495969,-0.667427,0.013433,0.495867,-0.667399,0.013433,0.106,-0.838734,-1.903959,-1.760657,-1.108519,1.580479,-2.052314,0.027711,0
19,18.7547,19,0.495765,-0.667490,0.013433,0.495727,-0.667274,0.013433,0.220,-0.837828,-1.903221,-1.761857,-1.109946,1.581443,-2.052095,0.027843,0
20,18.8608,20,0.495841,-0.667326,0.013433,0.495587,-0.667149,0.013433,0.309,-0.837236,-1.902715,-1.762375,-1.110422,1.581983,-2.051955,0.028038,0
21,18.9731,21,0.495404,-0.666877,0.013433,0.495448,-0.667025,0.013433,0.154,-0.836089,-1.902001,-1.763513,-1.111827,1.582976,-2.051721,0.028121,0
22,19.0787,23,0.495442,-0.666867,0.013433,0.495171,-0.666778,0.013433,0.285,-0.834730,-1.901189,-1.764809,-1.113036,1.584376,-2.051442,0.028317,0
23,19.1904,24,0.495304,-0.666518,0.013433,0.495034,-0.666655,0.013433,0.303,-0.834295,-1.900566,-1.765454,-1.113828,1.584629,-2.051280,0.028496,0
24,19.2950,25,0.495142,-0.666487,0.013433,0.494896,-0.666532,0.013433,0.250,-0.833793,-1.899998,-1.765993,-1.114698,1.585199,-2.051148,0.028673,0
25,19.4020,26,0.494863,-0.666036,0.013433,0.494759,-0.666410,0.013433,0.388,-0.833273,-1.899414,-1.766911,-1.115590,1.586033,-2.051020,0.028783,0
26,19.5077,27,0.494738,-0.666065,0.013433,0.494622,-0.666288,0.013433,0.251,-0.833049,-1.898839,-1.767365,-1.116082,1.586081,-2.050930,0.028907,0
27,19.6149,28,0.494901,-0.665765,0.013433,0.494486,-0.666166,0.013433,0.577,-0.832773,-1.898167,-1.767915,-1.117137,1.586665,-2.050782,0.029107,0
28,19.7205,29,0.494589,-0.665975,0.013433,0.494350,-0.666045,0.013433,0.249,-0.832782,-1.897607,-1.768441,-1.117740,1.586676,-2.050741,0.029280,0
29,19.8357,30,0.494291,-0.666047,0.013433,0.494215,-0.665924,0.013433,0.145,-0.832770,-1.897097,-1.768735,-1.118075,1.586909,-2.050690,0.029420,0
30,19.9480,31,0.494167,-0.666020,0.013433,0.494080,-0.665803,0.013433,0.234,-0.832768,-1.896704,-1.769079,-1.118667,1.587065,-2.050648,0.029569,0
31,20.0538,32,0.494068,-0.665836,0.013433,0.493945,-0.665683,0.013433,0.197,-0.831559,-1.896134,-1.770092,-1.119930,1.588398,-2.050402,0.029725,0
32,20.1588,33,0.493961,-0.665624,0.013433,0.493810,-0.665563,0.013433,0.162,-0.830491,-1.895668,-1.770924,-1.120597,1.589129,-2.050193,0.029881,0
33,20.2675,35,0.493837,-0.665418,0.013433,0.493542,-0.665323,0.013433,0.310,-0.829661,-1.895218,-1.771503,-1.121106,1.589789,-2.050025,0.030081,0
34,20.3735,36,0.493586,-0.665428,0.013433,0.493409,-0.665204,0.013433,0.286,-0.829092,-1.894795,-1.772033,-1.121929,1.590402,-2.049878,0.030260,0
35,20.4786,37,0.493420,-0.665235,0.013433,0.493276,-0.665085,0.013433,0.208,-0.828529,-1.894363,-1.772733,-1.122768,1.591002,-2.049731,0.030422,0
36,20.5941,38,0.493401,-0.665159,0.013433,0.493143,-0.664967,0.013433,0.322,-0.827626,-1.893799,-1.773516,-1.123444,1.591866,-2.049546,0.030622,0
37,20.6994,39,0.493132,-0.664878,0.013433,0.493010,-0.664848,0.013433,0.125,-0.826795,-1.893412,-1.774222,-1.124354,1.592686,-2.049382,0.030767,0
38,20.8181,40,0.493092,-0.664745,0.013433,0.492878,-0.664730,0.013433,0.215,-0.826235,-1.893044,-1.774646,-1.124799,1.593102,-2.049234,0.030937,0
39,20.9241,41,0.492945,-0.664718,0.013433,0.492746,-0.664612,0.013433,0.226,-0.825627,-1.892684,-1.775291,-1.125489,1.593739,-2.049103,0.031113,0
40,21.0296,42,0.492596,-0.664526,0.013433,0.492614,-0.664494,0.013433,0.036,-0.825152,-1.892241,-1.775778,-1.125942,1.594115,-2.048947,0.031216,0
41,21.1385,43,0.492585,-0.664563,0.013433,0.492482,-0.664377,0.013433,0.213,-0.824643,-1.891929,-1.776255,-1.126633,1.594786,-2.048842,0.031371,0
42,21.2498,44,0.492564,-0.664230,0.013433,0.492351,-0.664260,0.013433,0.215,-0.823985,-1.891624,-1.776889,-1.127341,1.595403,-2.048695,0.031537,0
43,21.3646,45,0.492309,-0.664041,0.013433,0.492220,-0.664142,0.013433,0.135,-0.823397,-1.891324,-1.777301,-1.127761,1.595855,-2.048567,0.031658,0
44,21.4799,46,0.491968,-0.663797,0.013433,0.492089,-0.664026,0.013433,0.258,-0.822834,-1.891029,-1.777765,-1.128168,1.596498,-2.048444,0.031705,0
45,21.5942,48,0.492287,-0.663927,0.013433,0.491828,-0.663793,0.013433,0.479,-0.822725,-1.890582,-1.778259,-1.128724,1.596583,-2.048323,0.031905,0
46,21.7001,49,0.492012,-0.663861,0.013433,0.491698,-0.663676,0.013433,0.364,-0.822581,-1.890398,-1.778531,-1.129179,1.596895,-2.048261,0.032105,0
47,21.8105,50,0.491941,-0.663854,0.013433,0.491568,-0.663560,0.013433,0.475,-0.822405,-1.890203,-1.778728,-1.129431,1.597012,-2.048212,0.032305,0
48,21.9176,51,0.491905,-0.663761,0.013433,0.491438,-0.663445,0.013433,0.564,-0.821818,-1.889918,-1.779290,-1.130097,1.597771,-2.048084,0.032505,0
49,22.0238,52,0.491347,-0.663625,0.013433,0.491309,-0.663329,0.013433,0.299,-0.820711,-1.889375,-1.780134,-1.130779,1.598607,-2.047848,0.032655,0
50,22.1285,53,0.491325,-0.663345,0.013433,0.491179,-0.663214,0.013433,0.196,-0.820127,-1.889159,-1.780446,-1.131149,1.599159,-2.047700,0.032818,0
51,22.2334,54,0.491008,-0.663244,0.013433,0.491050,-0.663098,0.013433,0.152,-0.819432,-1.888951,-1.781027,-1.131757,1.599751,-2.047557,0.032927,0
52,22.3414,55,0.491091,-0.663031,0.013433,0.490921,-0.662983,0.013433,0.176,-0.818593,-1.888656,-1.781610,-1.132360,1.600564,-2.047389,0.033087,0
53,22.4488,56,0.491224,-0.662989,0.013433,0.490793,-0.662868,0.013433,0.448,-0.818204,-1.888435,-1.781873,-1.132638,1.600764,-2.047269,0.033287,0
54,22.5636,58,0.490844,-0.662936,0.013433,0.490536,-0.662639,0.013433,0.428,-0.817565,-1.888143,-1.782372,-1.133177,1.601552,-2.047098,0.033487,0
55,22.6721,59,0.490749,-0.662836,0.013433,0.490408,-0.662525,0.013433,0.462,-0.817409,-1.887912,-1.782722,-1.133535,1.601636,-2.047045,0.033687,0
56,22.7873,59,0.490593,-0.662592,0.013433,0.490408,-0.662525,0.013433,0.197,-0.817062,-1.887808,-1.782970,-1.133863,1.602044,-2.046945,0.033853,0
57,22.8939,60,0.490333,-0.662349,0.013433,0.490280,-0.662410,0.013433,0.081,-0.816114,-1.887477,-1.783544,-1.134464,1.603019,-2.046754,0.033968,0
58,22.9991,62,0.490178,-0.662368,0.013433,0.490024,-0.662182,0.013433,0.241,-0.815654,-1.887200,-1.783942,-1.134827,1.603220,-2.046586,0.034142,0
59,23.1086,63,0.490124,-0.662489,0.013433,0.489897,-0.662068,0.013433,0.478,-0.815594,-1.887085,-1.784035,-1.135074,1.603390,-2.046535,0.034342,0
60,23.2260,64,0.490082,-0.662044,0.013433,0.489769,-0.661955,0.013433,0.325,-0.815338,-1.886968,-1.784359,-1.135386,1.603719,-2.046506,0.034542,0
61,23.3314,65,0.489819,-0.662086,0.013433,0.489642,-0.661841,0.013433,0.302,-0.813829,-1.886581,-1.785248,-1.136142,1.605070,-2.046187,0.034730,0
62,23.4387,66,0.489855,-0.662007,0.013433,0.489515,-0.661728,0.013433,0.440,-0.813690,-1.886377,-1.785414,-1.136329,1.605094,-2.046074,0.034930,0
63,23.5441,67,0.489673,-0.661798,0.013433,0.489388,-0.661614,0.013433,0.338,-0.813236,-1.886276,-1.785796,-1.136757,1.605507,-2.045975,0.035130,0
64,23.6491,68,0.489546,-0.661572,0.013433,0.489262,-0.661501,0.013433,0.293,-0.812594,-1.886078,-1.786163,-1.137118,1.606282,-2.045831,0.035328,0
65,23.7553,69,0.488964,-0.661540,0.013433,0.489135,-0.661388,0.013433,0.229,-0.812384,-1.885985,-1.786310,-1.137285,1.606334,-2.045760,0.035404,0
66,23.8605,70,0.489040,-0.661582,0.013433,0.489009,-0.661275,0.013433,0.308,-0.812032,-1.885838,-1.786529,-1.137569,1.606678,-2.045660,0.035557,0
67,23.9718,72,0.489309,-0.661308,0.013433,0.488756,-0.661050,0.013433,0.610,-0.811453,-1.885602,-1.787032,-1.138104,1.607257,-2.045495,0.035757,0
68,24.0790,73,0.488987,-0.661141,0.013433,0.488630,-0.660937,0.013433,0.411,-0.810539,-1.885454,-1.787549,-1.138547,1.608257,-2.045323,0.035957,0
69,24.1883,73,0.488983,-0.661012,0.013433,0.488630,-0.660937,0.013433,0.361,-0.810188,-1.885290,-1.787739,-1.138681,1.608366,-2.045214,0.036157,0
70,24.2949,74,0.488649,-0.661288,0.013433,0.488504,-0.660825,0.013433,0.485,-0.810086,-1.885127,-1.787889,-1.138864,1.608386,-2.045109,0.036357,0
71,24.4052,76,0.488299,-0.661052,0.013433,0.488253,-0.660600,0.013433,0.455,-0.809793,-1.884993,-1.788233,-1.139351,1.608909,-2.044965,0.036534,0
72,24.5102,77,0.488123,-0.660930,0.013433,0.488127,-0.660488,0.013433,0.442,-0.808988,-1.884874,-1.788523,-1.139632,1.609584,-2.044809,0.036696,0
73,24.6433,78,0.488069,-0.660654,0.013433,0.488002,-0.660376,0.013433,0.286,-0.807809,-1.884714,-1.789102,-1.140159,1.610780,-2.044624,0.036858,0
74,24.7486,79,0.487890,-0.660601,0.013433,0.487876,-0.660264,0.013433,0.337,-0.806696,-1.884486,-1.789702,-1.140658,1.611332,-2.044342,0.037014,0
75,24.8577,80,0.487842,-0.660494,0.013433,0.487751,-0.660152,0.013433,0.353,-0.806237,-1.884370,-1.789875,-1.140782,1.611772,-2.044226,0.037191,0
76,24.9627,81,0.487629,-0.660406,0.013433,0.487626,-0.660041,0.013433,0.365,-0.805693,-1.884274,-1.790252,-1.141206,1.612331,-2.044112,0.037346,0
77,25.0713,82,0.487456,-0.659860,0.013433,0.487501,-0.659929,0.013433,0.082,-0.804911,-1.884154,-1.790565,-1.141461,1.613140,-2.043941,0.037431,0
78,25.1785,84,0.487499,-0.660044,0.013433,0.487251,-0.659706,0.013433,0.418,-0.804102,-1.883979,-1.791101,-1.141970,1.613644,-2.043725,0.037631,0
79,25.2847,85,0.487451,-0.659707,0.013433,0.487126,-0.659595,0.013433,0.344,-0.803895,-1.883856,-1.791247,-1.142074,1.613983,-2.043599,0.037831,0
80,25.3947,86,0.487404,-0.659728,0.013433,0.487002,-0.659484,0.013433,0.471,-0.803670,-1.883752,-1.791534,-1.142444,1.614111,-2.043495,0.038031,0
81,25.5040,87,0.487205,-0.659691,0.013433,0.486877,-0.659372,0.013433,0.458,-0.803374,-1.883647,-1.791848,-1.142665,1.614691,-2.043374,0.038231,0
82,25.6100,88,0.487034,-0.659803,0.013433,0.486753,-0.659261,0.013433,0.610,-0.803306,-1.883555,-1.791937,-1.142820,1.614600,-2.043236,0.038431,0
83,25.7153,89,0.486790,-0.659679,0.013433,0.486629,-0.659150,0.013433,0.553,-0.802609,-1.883447,-1.792299,-1.143181,1.615407,-2.043060,0.038631,0
84,25.8219,90,0.486810,-0.659590,0.013433,0.486504,-0.659039,0.013433,0.630,-0.801797,-1.883308,-1.792665,-1.143505,1.616031,-2.042877,0.038831,0
85,25.9279,91,0.486576,-0.659202,0.013433,0.486380,-0.658928,0.013433,0.336,-0.800901,-1.883196,-1.792964,-1.143732,1.616807,-2.042685,0.039029,0
86,26.0328,92,0.486396,-0.658952,0.013433,0.486256,-0.658818,0.013433,0.194,-0.800094,-1.883146,-1.793351,-1.144065,1.617357,-2.042524,0.039192,0
87,26.1385,93,0.486235,-0.659088,0.013433,0.486132,-0.658707,0.013433,0.395,-0.799762,-1.883099,-1.793521,-1.144251,1.617710,-2.042401,0.039374,0
88,26.2838,94,0.486138,-0.658758,0.013433,0.486007,-0.658598,0.013433,0.207,-0.799606,-1.882951,-1.793741,-1.144505,1.617847,-2.042241,0.039536,0
89,26.3899,96,0.486009,-0.658630,0.013433,0.485757,-0.658389,0.013433,0.349,-0.799156,-1.882853,-1.794054,-1.144803,1.618485,-2.042122,0.039735,0
90,26.4972,97,0.486140,-0.658567,0.013433,0.485636,-0.658295,0.013433,0.573,-0.798814,-1.882753,-1.794261,-1.144998,1.618754,-2.042005,0.039935,0
91,26.6090,98,0.485891,-0.658762,0.013433,0.485515,-0.658210,0.013433,0.668,-0.798691,-1.882628,-1.794435,-1.145243,1.618806,-2.041943,0.040135,0
92,26.7147,99,0.485705,-0.658280,0.013433,0.485396,-0.658125,0.013433,0.345,-0.797608,-1.882332,-1.795281,-1.146019,1.620066,-2.041589,0.040335,0
93,26.8218,100,0.485281,-0.658014,0.013433,0.485267,-0.658059,0.013433,0.047,-0.797004,-1.882184,-1.795655,-1.146339,1.620689,-2.041434,0.040441,0
94,26.9274,101,0.485304,-0.657903,0.013433,0.485136,-0.657998,0.013433,0.193,-0.796133,-1.881984,-1.796082,-1.146770,1.621293,-2.041206,0.040581,0
95,27.0327,102,0.485308,-0.657874,0.013433,0.484988,-0.657978,0.013433,0.336,-0.796360,-1.881800,-1.796237,-1.146902,1.621201,-2.041122,0.040764,0
96,27.1399,103,0.484945,-0.657957,0.013433,0.484818,-0.658039,0.013433,0.151,-0.797591,-1.881765,-1.796237,-1.147061,1.620673,-2.041091,0.040889,0
97,27.2454,104,0.484882,-0.657982,0.013433,0.484684,-0.658279,0.013433,0.357,-0.798747,-1.881753,-1.796203,-1.147071,1.619806,-2.041107,0.041026,0
98,27.3516,105,0.484644,-0.658027,0.013433,0.484621,-0.658564,0.013433,0.537,-0.800122,-1.881756,-1.796142,-1.147102,1.618963,-2.041305,0.041000,0
99,27.4573,106,0.484827,-0.658189,0.013433,0.484590,-0.658855,0.013433,0.707,-0.802054,-1.881932,-1.795405,-1.146610,1.617404,-2.041532,0.040978,0
100,27.5627,107,0.484636,-0.658538,0.013433,0.484580,-0.659147,0.013433,0.612,-0.805035,-1.882488,-1.794245,-1.145277,1.615156,-2.041918,0.040895,0
101,27.6679,109,0.484444,-0.659402,0.013433,0.484575,-0.659733,0.013433,0.356,-0.809589,-1.882671,-1.794095,-1.145043,1.611805,-2.042575,0.040767,0
102,27.7737,110,0.484621,-0.659815,0.013433,0.484575,-0.660026,0.013433,0.216,-0.813091,-1.882460,-1.794184,-1.145091,1.609586,-2.043003,0.040698,0
103,27.8788,111,0.484398,-0.660566,0.013433,0.484575,-0.660319,0.013433,0.304,-0.816684,-1.882184,-1.794240,-1.145159,1.607012,-2.043395,0.040575,0
104,27.9834,112,0.484397,-0.660944,0.013433,0.484575,-0.660611,0.013433,0.377,-0.819414,-1.882163,-1.794392,-1.145403,1.605414,-2.043725,0.040452,0
105,28.0902,113,0.484658,-0.661361,0.013433,0.484575,-0.660904,0.013433,0.464,-0.822569,-1.882037,-1.794794,-1.145855,1.603108,-2.044093,0.040419,0
106,28.1954,114,0.484734,-0.661454,0.013433,0.484575,-0.661197,0.013433,0.302,-0.824608,-1.882020,-1.795141,-1.146113,1.601840,-2.044345,0.040406,0
107,28.3005,115,0.484763,-0.661727,0.013433,0.484575,-0.661490,0.013433,0.302,-0.826670,-1.882032,-1.795281,-1.146099,1.600477,-2.044585,0.040399,0
108,28.4072,116,0.484930,-0.661893,0.013433,0.484575,-0.661783,0.013433,0.372,-0.828716,-1.882105,-1.795189,-1.146094,1.599080,-2.044864,0.040440,0
109,28.5123,117,0.485212,-0.661998,0.013433,0.484575,-0.662076,0.013433,0.641,-0.831270,-1.882436,-1.795089,-1.146031,1.597272,-2.045184,0.040566,0
110,28.6175,118,0.485005,-0.662535,0.013433,0.484575,-0.662368,0.013433,0.461,-0.834744,-1.882904,-1.794497,-1.145332,1.594738,-2.045679,0.040639,0
111,28.7246,119,0.484576,-0.663117,0.013433,0.484575,-0.662661,0.013433,0.456,-0.837886,-1.883411,-1.793680,-1.144217,1.592375,-2.046107,0.040609,0
112,28.8297,120,0.484822,-0.663492,0.013433,0.484575,-0.662954,0.013433,0.592,-0.841074,-1.883899,-1.792838,-1.143456,1.589846,-2.046499,0.040676,0
113,28.9347,121,0.484709,-0.663817,0.013433,0.484575,-0.663247,0.013433,0.586,-0.843231,-1.884462,-1.792494,-1.142920,1.588270,-2.046810,0.040709,0
114,29.0522,122,0.484422,-0.663876,0.013433,0.484575,-0.663540,0.013433,0.369,-0.844415,-1.884777,-1.792454,-1.142722,1.587293,-2.046976,0.040637,0
115,29.1582,124,0.484763,-0.664042,0.013433,0.484575,-0.664125,0.013433,0.206,-0.846049,-1.885425,-1.792275,-1.142110,1.586289,-2.047252,0.040636,0
116,29.2639,125,0.484577,-0.664298,0.013433,0.484575,-0.664418,0.013433,0.120,-0.848030,-1.886013,-1.791674,-1.141252,1.584469,-2.047493,0.040577,0
117,29.3697,126,0.484703,-0.664613,0.013433,0.484575,-0.664711,0.013433,0.161,-0.849915,-1.886645,-1.791095,-1.140595,1.583233,-2.047781,0.040562,0
118,29.4748,127,0.484911,-0.665046,0.013433,0.484575,-0.665004,0.013433,0.339,-0.852952,-1.887535,-1.790122,-1.139339,1.580645,-2.048231,0.040620,0
119,29.5835,127,0.484743,-0.665262,0.013433,0.484575,-0.665004,0.013433,0.308,-0.855316,-1.888371,-1.789492,-1.138553,1.578787,-2.048563,0.040644,0
