step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,18.7359,0,0.499590,-0.671070,0.013433,0.499475,-0.671019,0.013433,0.126,-0.856345,-1.920274,-1.737496,-1.083065,1.562411,-2.056493,0.025200,0
2,18.8365,1,0.499311,-0.670326,0.013433,0.499311,-0.670872,0.013433,0.545,-0.856109,-1.920025,-1.737796,-1.083355,1.562562,-2.056487,0.025386,0
3,18.9371,2,0.499175,-0.669835,0.013433,0.499158,-0.670736,0.013433,0.901,-0.854575,-1.918360,-1.740039,-1.085773,1.564291,-2.056041,0.025570,0
4,19.0376,3,0.499006,-0.669807,0.013433,0.499008,-0.670601,0.013433,0.794,-0.854131,-1.916935,-1.741125,-1.087344,1.565097,-2.055948,0.025734,0
5,19.1381,4,0.498824,-0.669799,0.013433,0.498858,-0.670468,0.013433,0.669,-0.855792,-1.915598,-1.739911,-1.087245,1.563684,-2.055992,0.025868,0
6,19.2387,5,0.498503,-0.670526,0.013433,0.498710,-0.670335,0.013433,0.281,-0.856720,-1.915085,-1.739769,-1.087391,1.563219,-2.056121,0.025926,0
7,19.3393,6,0.498563,-0.670062,0.013433,0.498562,-0.670203,0.013433,0.141,-0.854982,-1.913155,-1.742097,-1.090069,1.565092,-2.055894,0.026126,0
8,19.4399,7,0.498470,-0.669758,0.013433,0.498415,-0.670072,0.013433,0.319,-0.851519,-1.911110,-1.745052,-1.093213,1.567730,-2.055054,0.026326,0
9,19.5405,8,0.498270,-0.669361,0.013433,0.498268,-0.669941,0.013433,0.580,-0.848904,-1.909974,-1.747773,-1.096269,1.571057,-2.054686,0.026496,0
10,19.6410,9,0.497910,-0.669617,0.013433,0.498123,-0.669811,0.013433,0.288,-0.849481,-1.909287,-1.747862,-1.096333,1.569954,-2.054618,0.026522,0
11,19.7417,10,0.497811,-0.669672,0.013433,0.497978,-0.669682,0.013433,0.167,-0.849693,-1.909031,-1.748053,-1.096660,1.569857,-2.054603,0.026626,0
12,19.8423,11,0.497767,-0.669609,0.013433,0.497833,-0.669553,0.013433,0.087,-0.848594,-1.908239,-1.749746,-1.098261,1.571545,-2.054354,0.026826,0
13,19.9428,12,0.497804,-0.669368,0.013433,0.497689,-0.669424,0.013433,0.128,-0.846366,-1.906961,-1.752047,-1.100671,1.573025,-2.053884,0.027026,0
14,20.0433,13,0.497326,-0.668920,0.013433,0.497546,-0.669296,0.013433,0.436,-0.843733,-1.905805,-1.754173,-1.102796,1.575944,-2.053428,0.027046,0
15,20.1439,14,0.497304,-0.668764,0.013433,0.497403,-0.669169,0.013433,0.417,-0.843543,-1.905362,-1.755342,-1.103986,1.575866,-2.053261,0.027181,0
16,20.2446,15,0.497146,-0.668480,0.013433,0.497261,-0.669042,0.013433,0.574,-0.843435,-1.904846,-1.755701,-1.104422,1.576158,-2.053170,0.027284,0
17,20.3453,16,0.497222,-0.668447,0.013433,0.497120,-0.668916,0.013433,0.480,-0.843416,-1.904318,-1.756387,-1.105205,1.576406,-2.053138,0.027484,0
18,20.4460,17,0.497016,-0.668548,0.013433,0.496979,-0.668790,0.013433,0.244,-0.843409,-1.903959,-1.756802,-1.105730,1.576451,-2.053132,0.027684,0
19,20.5467,18,0.496756,-0.668437,0.013433,0.496838,-0.668664,0.013433,0.241,-0.843491,-1.903164,-1.757022,-1.106261,1.576785,-2.053050,0.027838,0
20,20.6475,19,0.496334,-0.668288,0.013433,0.496698,-0.668539,0.013433,0.442,-0.842490,-1.902489,-1.758464,-1.107907,1.577958,-2.052805,0.027768,0
