step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,25.3135,0,0.499917,-0.669699,0.013433,0.499846,-0.669611,0.013433,0.112,-0.856336,-1.920265,-1.737487,-1.083037,1.562439,-2.056481,0.025021,0
2,25.4184,1,0.499903,-0.669725,0.013433,0.499666,-0.669611,0.013433,0.263,-0.856309,-1.920277,-1.737480,-1.083041,1.562420,-2.056518,0.025188,0
3,25.5257,2,0.499809,-0.669484,0.013433,0.499502,-0.669611,0.013433,0.332,-0.856312,-1.920277,-1.737568,-1.083041,1.562439,-2.056481,0.025388,0
4,25.6324,3,0.499758,-0.669558,0.013433,0.499343,-0.669611,0.013433,0.419,-0.856265,-1.920293,-1.737660,-1.083046,1.562463,-2.056479,0.025588,0
5,25.7386,4,0.499585,-0.669068,0.013433,0.499183,-0.669611,0.013433,0.676,-0.856314,-1.920376,-1.737440,-1.083064,1.562423,-2.056457,0.025788,0
6,25.8483,5,0.499114,-0.669112,0.013433,0.499023,-0.669611,0.013433,0.508,-0.856684,-1.920481,-1.737115,-1.083025,1.562128,-2.056527,0.025921,0
7,25.9816,6,0.499030,-0.669200,0.013433,0.498864,-0.669611,0.013433,0.443,-0.857328,-1.920514,-1.736293,-1.082211,1.561397,-2.056714,0.026078,0
8,26.1027,8,0.498988,-0.669285,0.013433,0.498545,-0.669611,0.013433,0.550,-0.858255,-1.920624,-1.735020,-1.081273,1.560587,-2.056852,0.026278,0
9,26.2090,9,0.498805,-0.669460,0.013433,0.498386,-0.669611,0.013433,0.445,-0.858595,-1.920673,-1.734852,-1.081177,1.560407,-2.056939,0.026478,0
10,26.3168,10,0.498411,-0.669778,0.013433,0.498226,-0.669611,0.013433,0.249,-0.858933,-1.920673,-1.734322,-1.080615,1.559980,-2.057031,0.026647,0
11,26.4291,11,0.498421,-0.669690,0.013433,0.498067,-0.669611,0.013433,0.363,-0.859221,-1.920673,-1.733864,-1.080211,1.559687,-2.057047,0.026847,0
12,26.5358,12,0.498194,-0.669852,0.013433,0.497908,-0.669611,0.013433,0.374,-0.859288,-1.920673,-1.733943,-1.080220,1.559690,-2.057078,0.027047,0
13,26.6415,13,0.497877,-0.669917,0.013433,0.497748,-0.669611,0.013433,0.332,-0.859069,-1.920657,-1.734206,-1.080201,1.559783,-2.057059,0.027200,0
14,26.7503,14,0.497495,-0.669962,0.013433,0.497589,-0.669611,0.013433,0.363,-0.858838,-1.920673,-1.734334,-1.080355,1.559891,-2.057011,0.027283,0
15,26.8633,15,0.497628,-0.670083,0.013433,0.497430,-0.669611,0.013433,0.512,-0.858566,-1.920673,-1.734835,-1.080883,1.560131,-2.056947,0.027460,0
16,26.9718,16,0.497582,-0.669857,0.013433,0.497270,-0.669611,0.013433,0.397,-0.858155,-1.920669,-1.735298,-1.081325,1.560575,-2.056856,0.027660,0
17,27.0785,17,0.497354,-0.669874,0.013433,0.497111,-0.669611,0.013433,0.358,-0.857663,-1.920684,-1.736048,-1.081776,1.560967,-2.056717,0.027848,0
18,27.1877,19,0.496973,-0.669880,0.013433,0.496792,-0.669611,0.013433,0.324,-0.857319,-1.920657,-1.736464,-1.082079,1.561283,-2.056695,0.028016,0
19,27.3034,19,0.496914,-0.669764,0.013433,0.496792,-0.669611,0.013433,0.195,-0.857223,-1.920688,-1.736503,-1.082154,1.561314,-2.056671,0.028165,0
20,27.4088,20,0.496691,-0.669936,0.013433,0.496633,-0.669611,0.013433,0.330,-0.857007,-1.920772,-1.736898,-1.082529,1.561559,-2.056609,0.028296,0
21,27.5162,22,0.496631,-0.669846,0.013433,0.496314,-0.669611,0.013433,0.394,-0.856800,-1.920837,-1.737272,-1.082690,1.561679,-2.056568,0.028496,0
22,27.6217,23,0.496258,-0.669799,0.013433,0.496155,-0.669611,0.013433,0.215,-0.856584,-1.920897,-1.737588,-1.082898,1.561919,-2.056544,0.028640,0
23,27.7362,24,0.496229,-0.669809,0.013433,0.495995,-0.669611,0.013433,0.306,-0.856414,-1.921012,-1.737868,-1.083141,1.562039,-2.056508,0.028824,0
24,27.8430,25,0.496151,-0.669798,0.013433,0.495836,-0.669611,0.013433,0.366,-0.856266,-1.921096,-1.738099,-1.083229,1.562091,-2.056469,0.029024,0
25,27.9513,26,0.495932,-0.669916,0.013433,0.495677,-0.669611,0.013433,0.398,-0.856193,-1.921143,-1.738171,-1.083245,1.562188,-2.056483,0.029216,0
26,28.0565,28,0.495582,-0.669844,0.013433,0.495358,-0.669611,0.013433,0.323,-0.856025,-1.921256,-1.738557,-1.083561,1.562364,-2.056440,0.029398,0
27,28.1651,29,0.495487,-0.669803,0.013433,0.495199,-0.669611,0.013433,0.347,-0.855824,-1.921307,-1.738884,-1.083732,1.562551,-2.056383,0.029598,0
28,28.2706,29,0.495405,-0.669793,0.013433,0.495199,-0.669611,0.013433,0.275,-0.855705,-1.921363,-1.739135,-1.083875,1.562624,-2.056341,0.029773,0
29,28.3805,30,0.495213,-0.669886,0.013433,0.495039,-0.669611,0.013433,0.326,-0.855569,-1.921439,-1.739335,-1.083932,1.562715,-2.056312,0.029939,0
30,28.4863,31,0.494952,-0.669728,0.013433,0.494880,-0.669611,0.013433,0.138,-0.855528,-1.921550,-1.739494,-1.083992,1.562763,-2.056304,0.030072,0
31,28.5920,33,0.494645,-0.669609,0.013433,0.494561,-0.669611,0.013433,0.084,-0.855309,-1.921607,-1.739866,-1.084318,1.562976,-2.056237,0.030208,0
32,28.6975,34,0.494537,-0.669677,0.013433,0.494402,-0.669611,0.013433,0.150,-0.855249,-1.921682,-1.740021,-1.084363,1.563012,-2.056244,0.030360,0
33,28.8022,35,0.494314,-0.669742,0.013433,0.494242,-0.669611,0.013433,0.149,-0.855257,-1.921798,-1.739909,-1.084374,1.562988,-2.056248,0.030493,0
34,28.9070,36,0.494139,-0.669742,0.013433,0.494083,-0.669611,0.013433,0.143,-0.855345,-1.921906,-1.739834,-1.084370,1.562963,-2.056257,0.030621,0
35,29.0237,37,0.494178,-0.669919,0.013433,0.493924,-0.669611,0.013433,0.399,-0.855381,-1.921966,-1.740005,-1.084370,1.562904,-2.056257,0.030812,0
36,29.1309,38,0.493861,-0.669895,0.013433,0.493764,-0.669611,0.013433,0.300,-0.855314,-1.922021,-1.740164,-1.084355,1.562919,-2.056271,0.030954,0
