step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
0,0.0001,1,0.495312,-0.671035,-0.016567,0.495223,-0.670990,-0.016567,0.099,-0.855908,-1.945586,-1.762126,-1.033582,1.562719,-2.056322,0.030060,0
1,0.1001,2,0.495312,-0.671035,-0.016567,0.495028,-0.670893,-0.016567,0.318,-0.854956,-1.945039,-1.762906,-1.034416,1.563538,-2.056134,0.030214,0
2,0.2001,3,0.495160,-0.671010,-0.016567,0.494861,-0.670809,-0.016567,0.359,-0.854153,-1.944588,-1.763541,-1.035098,1.564225,-2.055977,0.030374,0
3,0.3001,4,0.495293,-0.671084,-0.016567,0.494700,-0.670729,-0.016567,0.690,-0.853390,-1.944172,-1.764129,-1.035729,1.564875,-2.055829,0.030533,0
4,0.4001,5,0.495325,-0.671028,-0.016567,0.494542,-0.670650,-0.016567,0.870,-0.852644,-1.943779,-1.764685,-1.036326,1.565502,-2.055686,0.030693,0
5,0.5002,6,0.495303,-0.670839,-0.016567,0.494385,-0.670571,-0.016567,0.956,-0.851922,-1.943402,-1.765219,-1.036899,1.566107,-2.055547,0.030852,0
6,0.6002,7,0.495270,-0.670856,-0.016567,0.494228,-0.670493,-0.016567,1.103,-0.851263,-1.943015,-1.765769,-1.037486,1.566678,-2.055414,0.031012,0
7,0.7002,8,0.495352,-0.670631,-0.016567,0.494072,-0.670415,-0.016567,1.297,-0.850747,-1.942579,-1.766394,-1.038155,1.567179,-2.055293,0.031171,0
8,0.8001,9,0.495075,-0.670019,-0.016567,0.493916,-0.670337,-0.016567,1.202,-0.850296,-1.942127,-1.767042,-1.038849,1.567647,-2.055178,0.031331,0
9,0.9002,10,0.494304,-0.669511,-0.016567,0.493761,-0.670259,-0.016567,0.925,-0.849829,-1.941696,-1.767658,-1.039510,1.568116,-2.055064,0.031490,0
10,1.0002,11,0.494512,-0.669558,-0.016567,0.493606,-0.670181,-0.016567,1.100,-0.849371,-1.941275,-1.768261,-1.040157,1.568576,-2.054951,0.031650,0
11,1.1002,12,0.493733,-0.669237,-0.016567,0.493450,-0.670104,-0.016567,0.912,-0.848924,-1.940864,-1.768852,-1.040790,1.569027,-2.054841,0.031809,0
12,1.2002,13,0.493573,-0.669336,-0.016567,0.493295,-0.670026,-0.016567,0.744,-0.848483,-1.940463,-1.769428,-1.041406,1.569469,-2.054732,0.031968,0
13,1.3002,14,0.493269,-0.669277,-0.016567,0.493141,-0.669949,-0.016567,0.684,-0.848048,-1.940072,-1.769990,-1.042009,1.569905,-2.054626,0.032128,0
14,1.4002,15,0.493365,-0.669257,-0.016567,0.492986,-0.669872,-0.016567,0.722,-0.847621,-1.939690,-1.770540,-1.042598,1.570331,-2.054521,0.032287,0
