step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
0,0.0001,1,0.500652,-0.670893,-0.016567,0.500561,-0.670889,-0.016567,0.092,-0.856345,-1.945841,-1.761762,-1.033195,1.562339,-2.056411,0.025062,0
1,0.1002,2,0.500601,-0.670889,-0.016567,0.500363,-0.670881,-0.016567,0.238,-0.856329,-1.945832,-1.761777,-1.033216,1.562340,-2.056411,0.025212,0
2,0.2001,3,0.500601,-0.670889,-0.016567,0.500197,-0.670871,-0.016567,0.404,-0.856281,-1.945806,-1.761818,-1.033268,1.562361,-2.056401,0.025365,0
3,0.3002,4,0.500550,-0.670942,-0.016567,0.500039,-0.670859,-0.016567,0.517,-0.856208,-1.945768,-1.761875,-1.033342,1.562399,-2.056387,0.025519,0
4,0.4001,5,0.500645,-0.670889,-0.016567,0.499884,-0.670844,-0.016567,0.762,-0.856104,-1.945712,-1.761958,-1.033443,1.562464,-2.056366,0.025672,0
5,0.5001,6,0.500623,-0.670904,-0.016567,0.499730,-0.670827,-0.016567,0.897,-0.855965,-1.945632,-1.762073,-1.033578,1.562559,-2.056339,0.025825,0
6,0.6003,7,0.500624,-0.670879,-0.016567,0.499577,-0.670806,-0.016567,1.050,-0.855796,-1.945534,-1.762215,-1.033738,1.562677,-2.056307,0.025979,0
7,0.7002,8,0.500578,-0.670881,-0.016567,0.499424,-0.670782,-0.016567,1.159,-0.855595,-1.945418,-1.762382,-1.033924,1.562818,-2.056270,0.026132,0
8,0.8002,9,0.500584,-0.670953,-0.016567,0.499272,-0.670755,-0.016567,1.327,-0.855361,-1.945283,-1.762575,-1.034144,1.562990,-2.056224,0.026285,0
9,0.9001,10,0.500470,-0.670356,-0.016567,0.499119,-0.670725,-0.016567,1.400,-0.855092,-1.945128,-1.762796,-1.034396,1.563192,-2.056172,0.026438,0
10,1.0001,11,0.500057,-0.670319,-0.016567,0.498968,-0.670692,-0.016567,1.151,-0.854790,-1.944955,-1.763043,-1.034676,1.563419,-2.056113,0.026592,0
11,1.1002,12,0.499292,-0.670151,-0.016567,0.498816,-0.670655,-0.016567,0.693,-0.854459,-1.944768,-1.763310,-1.034979,1.563668,-2.056049,0.026745,0
12,1.2001,13,0.499212,-0.670199,-0.016567,0.498664,-0.670615,-0.016567,0.688,-0.854097,-1.944565,-1.763599,-1.035306,1.563938,-2.055978,0.026898,0
13,1.3002,14,0.498967,-0.670197,-0.016567,0.498513,-0.670572,-0.016567,0.588,-0.853701,-1.944344,-1.763913,-1.035661,1.564234,-2.055900,0.027052,0
14,1.4002,15,0.498414,-0.670179,-0.016567,0.498362,-0.670525,-0.016567,0.350,-0.853271,-1.944109,-1.764248,-1.036042,1.564555,-2.055817,0.027205,0
15,1.5002,16,0.498361,-0.670172,-0.016567,0.498211,-0.670474,-0.016567,0.337,-0.852812,-1.943860,-1.764601,-1.036446,1.564896,-2.055728,0.027358,0
16,1.6001,17,0.498246,-0.670179,-0.016567,0.498061,-0.670421,-0.016567,0.304,-0.852327,-1.943601,-1.764970,-1.036869,1.565256,-2.055634,0.027511,0
17,1.7001,18,0.497962,-0.670167,-0.016567,0.497911,-0.670364,-0.016567,0.204,-0.851807,-1.943327,-1.765359,-1.037316,1.565638,-2.055534,0.027665,0
18,1.8002,19,0.498002,-0.670139,-0.016567,0.497761,-0.670303,-0.016567,0.292,-0.851251,-1.943039,-1.765769,-1.037789,1.566043,-2.055427,0.027818,0
19,1.9001,20,0.497831,-0.670018,-0.016567,0.497611,-0.670239,-0.016567,0.312,-0.850664,-1.942739,-1.766195,-1.038281,1.566467,-2.055315,0.027971,0
20,2.0002,21,0.497785,-0.670005,-0.016567,0.497462,-0.670170,-0.016567,0.363,-0.850049,-1.942431,-1.766634,-1.038790,1.566907,-2.055198,0.028125,0
21,2.1002,22,0.497391,-0.669684,-0.016567,0.497314,-0.670098,-0.016567,0.421,-0.849402,-1.942113,-1.767087,-1.039319,1.567364,-2.055075,0.028278,0
22,2.2002,23,0.497339,-0.669599,-0.016567,0.497166,-0.670022,-0.016567,0.458,-0.848717,-1.941782,-1.767559,-1.039870,1.567843,-2.054945,0.028431,0
23,2.3002,24,0.497077,-0.669605,-0.016567,0.497018,-0.669943,-0.016567,0.343,-0.847997,-1.941440,-1.768046,-1.040442,1.568341,-2.054809,0.028584,0
24,2.4002,25,0.496998,-0.669626,-0.016567,0.496871,-0.669859,-0.016567,0.265,-0.847246,-1.941093,-1.768543,-1.041030,1.568853,-2.054667,0.028738,0
25,2.5001,26,0.496835,-0.669473,-0.016567,0.496724,-0.669771,-0.016567,0.318,-0.846461,-1.940738,-1.769050,-1.041635,1.569381,-2.054520,0.028891,0
26,2.6002,27,0.496785,-0.669490,-0.016567,0.496578,-0.669679,-0.016567,0.280,-0.845638,-1.940373,-1.769572,-1.042261,1.569928,-2.054366,0.029044,0
27,2.7002,28,0.496582,-0.669456,-0.016567,0.496433,-0.669582,-0.016567,0.195,-0.844775,-1.940000,-1.770106,-1.042906,1.570493,-2.054205,0.029198,0
28,2.8002,29,0.496246,-0.669439,-0.016567,0.496289,-0.669481,-0.016567,0.060,-0.843878,-1.939622,-1.770648,-1.043566,1.571071,-2.054038,0.029351,0
29,2.9001,30,0.496211,-0.669456,-0.016567,0.496145,-0.669376,-0.016567,0.104,-0.842942,-1.939238,-1.771199,-1.044242,1.571665,-2.053864,0.029504,0
30,3.0003,31,0.495806,-0.669450,-0.016567,0.496002,-0.669265,-0.016567,0.270,-0.841962,-1.938848,-1.771760,-1.044936,1.572277,-2.053681,0.029657,0
31,3.1002,32,0.495734,-0.669548,-0.016567,0.495860,-0.669150,-0.016567,0.418,-0.840940,-1.938451,-1.772332,-1.045649,1.572904,-2.053493,0.029811,0
32,3.2001,33,0.495986,-0.669351,-0.016567,0.495720,-0.669030,-0.016567,0.417,-0.839879,-1.938052,-1.772907,-1.046378,1.573543,-2.053297,0.029964,0
33,3.3002,34,0.495840,-0.669305,-0.016567,0.495580,-0.668905,-0.016567,0.477,-0.838771,-1.937649,-1.773489,-1.047123,1.574198,-2.053094,0.030117,0
34,3.4002,35,0.495605,-0.668972,-0.016567,0.495441,-0.668774,-0.016567,0.257,-0.837613,-1.937240,-1.774081,-1.047887,1.574872,-2.052882,0.030271,0
35,3.5002,36,0.495450,-0.668904,-0.016567,0.495304,-0.668637,-0.016567,0.304,-0.836407,-1.936827,-1.774679,-1.048665,1.575560,-2.052662,0.030424,0
36,3.6002,37,0.495302,-0.668092,-0.016567,0.495168,-0.668495,-0.016567,0.425,-0.835156,-1.936415,-1.775278,-1.049457,1.576258,-2.052435,0.030577,0
37,3.7001,38,0.495237,-0.667800,-0.016567,0.495034,-0.668346,-0.016567,0.583,-0.833845,-1.935999,-1.775883,-1.050269,1.576974,-2.052197,0.030730,0
38,3.8002,39,0.495105,-0.667554,-0.016567,0.494901,-0.668191,-0.016567,0.670,-0.832472,-1.935579,-1.776495,-1.051101,1.577708,-2.051949,0.030884,0
39,3.9002,40,0.494632,-0.667475,-0.016567,0.494770,-0.668030,-0.016567,0.572,-0.831045,-1.935162,-1.777106,-1.051946,1.578453,-2.051692,0.031037,0
40,4.0002,41,0.494725,-0.667476,-0.016567,0.494640,-0.667862,-0.016567,0.395,-0.829555,-1.934745,-1.777717,-1.052807,1.579210,-2.051424,0.031190,0
41,4.1002,42,0.494404,-0.667383,-0.016567,0.494513,-0.667685,-0.016567,0.322,-0.827990,-1.934325,-1.778333,-1.053689,1.579988,-2.051144,0.031343,0
42,4.2002,43,0.494281,-0.667416,-0.016567,0.494389,-0.667501,-0.016567,0.138,-0.826357,-1.933908,-1.778947,-1.054588,1.580780,-2.050853,0.031497,0
43,4.3002,44,0.494006,-0.667561,-0.016567,0.494267,-0.667309,-0.016567,0.363,-0.824649,-1.933494,-1.779560,-1.055503,1.581587,-2.050549,0.031650,0
44,4.4003,45,0.493694,-0.667216,-0.016567,0.494148,-0.667108,-0.016567,0.466,-0.822850,-1.933081,-1.780172,-1.056441,1.582411,-2.050230,0.031803,0
45,4.5002,46,0.493734,-0.667037,-0.016567,0.494031,-0.666896,-0.016567,0.329,-0.820963,-1.932672,-1.780781,-1.057396,1.583251,-2.049896,0.031957,0
46,4.6001,47,0.493701,-0.666520,-0.016567,0.493919,-0.666675,-0.016567,0.267,-0.818981,-1.932267,-1.781386,-1.058372,1.584108,-2.049545,0.032110,0
47,4.7002,48,0.493724,-0.666544,-0.016567,0.493810,-0.666442,-0.016567,0.134,-0.816883,-1.931868,-1.781987,-1.059376,1.584986,-2.049176,0.032263,0
48,4.8002,49,0.493600,-0.666151,-0.016567,0.493706,-0.666196,-0.016567,0.115,-0.814672,-1.931475,-1.782578,-1.060398,1.585883,-2.048789,0.032416,0
