step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
0,0.0001,1,0.500727,-0.671511,-0.016567,0.500663,-0.671511,-0.016567,0.064,-0.856938,-1.944039,-1.761159,-1.033827,1.562052,-2.056667,0.025025,0
1,0.1001,2,0.500496,-0.671547,-0.016567,0.500497,-0.671511,-0.016567,0.035,-0.858146,-1.940477,-1.759936,-1.035066,1.561446,-2.057186,0.025114,0
2,0.2001,3,0.500804,-0.671577,-0.016567,0.500340,-0.671511,-0.016567,0.468,-0.858432,-1.939948,-1.759662,-1.035211,1.561251,-2.057287,0.025258,0
3,0.3001,4,0.500727,-0.671511,-0.016567,0.500198,-0.671511,-0.016567,0.529,-0.858375,-1.940514,-1.759738,-1.034963,1.561212,-2.057236,0.025411,0
4,0.4001,5,0.500727,-0.671511,-0.016567,0.500047,-0.671511,-0.016567,0.680,-0.858463,-1.940620,-1.759664,-1.034878,1.561105,-2.057251,0.025564,0
5,0.5001,6,0.500470,-0.671537,-0.016567,0.499893,-0.671511,-0.016567,0.577,-0.858583,-1.940623,-1.759556,-1.034825,1.560984,-2.057281,0.025717,0
6,0.6001,7,0.500753,-0.671526,-0.016567,0.499742,-0.671511,-0.016567,1.011,-0.858663,-1.940752,-1.759489,-1.034726,1.560883,-2.057294,0.025870,0
7,0.7001,8,0.500654,-0.671610,-0.016567,0.499591,-0.671511,-0.016567,1.068,-0.858749,-1.940863,-1.759416,-1.034632,1.560780,-2.057313,0.026023,0
8,0.8001,9,0.499927,-0.672071,-0.016567,0.499439,-0.671511,-0.016567,0.742,-0.858841,-1.940951,-1.759336,-1.034544,1.560675,-2.057337,0.026176,0
9,0.9001,10,0.499838,-0.671537,-0.016567,0.499288,-0.671511,-0.016567,0.551,-0.858929,-1.941046,-1.759256,-1.034454,1.560572,-2.057361,0.026328,0
10,1.0001,11,0.499172,-0.671910,-0.016567,0.499137,-0.671511,-0.016567,0.400,-0.859018,-1.941141,-1.759175,-1.034362,1.560472,-2.057388,0.026481,0
11,1.1001,12,0.499096,-0.671537,-0.016567,0.498986,-0.671511,-0.016567,0.114,-0.859107,-1.941231,-1.759093,-1.034270,1.560372,-2.057418,0.026634,0
12,1.2001,13,0.499004,-0.671427,-0.016567,0.498835,-0.671511,-0.016567,0.189,-0.859197,-1.941318,-1.759008,-1.034175,1.560274,-2.057448,0.026787,0
13,1.3001,14,0.498659,-0.671415,-0.016567,0.498684,-0.671511,-0.016567,0.099,-0.859286,-1.941403,-1.758922,-1.034077,1.560175,-2.057477,0.026940,0
14,1.4001,15,0.498599,-0.671337,-0.016567,0.498534,-0.671511,-0.016567,0.186,-0.859375,-1.941485,-1.758833,-1.033977,1.560077,-2.057506,0.027093,0
15,1.5001,16,0.498502,-0.671434,-0.016567,0.498384,-0.671511,-0.016567,0.142,-0.859464,-1.941563,-1.758740,-1.033877,1.559980,-2.057536,0.027246,0
16,1.6001,17,0.498249,-0.671310,-0.016567,0.498234,-0.671511,-0.016567,0.202,-0.859553,-1.941638,-1.758644,-1.033777,1.559886,-2.057566,0.027399,0
17,1.7001,18,0.498112,-0.671416,-0.016567,0.498084,-0.671511,-0.016567,0.100,-0.859641,-1.941709,-1.758544,-1.033677,1.559793,-2.057597,0.027552,0
18,1.8001,19,0.498074,-0.671406,-0.016567,0.497935,-0.671511,-0.016567,0.175,-0.859729,-1.941778,-1.758442,-1.033576,1.559700,-2.057629,0.027705,0
