step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
0,0.0001,1,0.501112,-0.670583,-0.016567,0.501048,-0.670583,-0.016567,0.064,-0.856938,-1.944039,-1.761159,-1.033827,1.562052,-2.056667,0.025025,0
1,0.1002,2,0.501083,-0.670551,-0.016567,0.500882,-0.670583,-0.016567,0.204,-0.858146,-1.940477,-1.759936,-1.035066,1.561446,-2.057186,0.025114,0
2,0.2001,3,0.501181,-0.670531,-0.016567,0.500725,-0.670583,-0.016567,0.459,-0.858432,-1.939948,-1.759662,-1.035211,1.561251,-2.057287,0.025258,0
3,0.3002,4,0.501182,-0.670567,-0.016567,0.500583,-0.670583,-0.016567,0.600,-0.858375,-1.940514,-1.759738,-1.034963,1.561212,-2.057236,0.025411,0
4,0.4002,5,0.501221,-0.670588,-0.016567,0.500431,-0.670583,-0.016567,0.789,-0.858463,-1.940620,-1.759664,-1.034878,1.561105,-2.057251,0.025564,0
5,0.5001,6,0.501196,-0.670616,-0.016567,0.500278,-0.670583,-0.016567,0.919,-0.858583,-1.940623,-1.759556,-1.034825,1.560984,-2.057281,0.025717,0
6,0.6001,7,0.501087,-0.670615,-0.016567,0.500127,-0.670583,-0.016567,0.961,-0.858663,-1.940752,-1.759489,-1.034726,1.560883,-2.057294,0.025870,0
7,0.7001,8,0.501181,-0.670636,-0.016567,0.499976,-0.670583,-0.016567,1.207,-0.858749,-1.940863,-1.759416,-1.034632,1.560780,-2.057313,0.026023,0
8,0.8001,9,0.501182,-0.670655,-0.016567,0.499824,-0.670583,-0.016567,1.359,-0.858841,-1.940951,-1.759336,-1.034544,1.560675,-2.057337,0.026176,0
9,0.9001,10,0.501170,-0.670769,-0.016567,0.499673,-0.670583,-0.016567,1.509,-0.858929,-1.941046,-1.759256,-1.034454,1.560572,-2.057361,0.026328,0
10,1.0001,11,0.500598,-0.670566,-0.016567,0.499522,-0.670583,-0.016567,1.076,-0.859018,-1.941141,-1.759175,-1.034362,1.560472,-2.057388,0.026481,0
11,1.1001,12,0.500308,-0.670037,-0.016567,0.499371,-0.670583,-0.016567,1.084,-0.859107,-1.941231,-1.759093,-1.034270,1.560372,-2.057418,0.026634,0
12,1.2001,13,0.499809,-0.670538,-0.016567,0.499220,-0.670583,-0.016567,0.591,-0.859197,-1.941318,-1.759008,-1.034175,1.560274,-2.057448,0.026787,0
13,1.3002,14,0.499435,-0.670585,-0.016567,0.499069,-0.670583,-0.016567,0.366,-0.859286,-1.941403,-1.758922,-1.034077,1.560175,-2.057477,0.026940,0
14,1.4001,15,0.499122,-0.670604,-0.016567,0.498919,-0.670583,-0.016567,0.204,-0.859375,-1.941485,-1.758833,-1.033977,1.560077,-2.057506,0.027093,0
15,1.5001,16,0.499013,-0.670581,-0.016567,0.498769,-0.670583,-0.016567,0.244,-0.859464,-1.941563,-1.758740,-1.033877,1.559980,-2.057536,0.027246,0
16,1.6001,17,0.498812,-0.670728,-0.016567,0.498619,-0.670583,-0.016567,0.242,-0.859553,-1.941638,-1.758644,-1.033777,1.559886,-2.057566,0.027399,0
17,1.7001,18,0.498900,-0.670784,-0.016567,0.498469,-0.670583,-0.016567,0.476,-0.859641,-1.941709,-1.758544,-1.033677,1.559793,-2.057597,0.027552,0
18,1.8002,19,0.498606,-0.670824,-0.016567,0.498319,-0.670583,-0.016567,0.374,-0.859729,-1.941778,-1.758442,-1.033576,1.559700,-2.057629,0.027705,0
19,1.9001,20,0.498360,-0.670704,-0.016567,0.498170,-0.670583,-0.016567,0.225,-0.859817,-1.941845,-1.758339,-1.033473,1.559609,-2.057661,0.027857,0
20,2.0001,21,0.498247,-0.670807,-0.016567,0.498021,-0.670583,-0.016567,0.318,-0.859905,-1.941910,-1.758236,-1.033368,1.559519,-2.057691,0.028010,0
21,2.1001,22,0.497836,-0.670768,-0.016567,0.497873,-0.670583,-0.016567,0.189,-0.859994,-1.941976,-1.758131,-1.033263,1.559430,-2.057718,0.028163,0
22,2.2001,23,0.497628,-0.670767,-0.016567,0.497724,-0.670583,-0.016567,0.208,-0.860084,-1.942040,-1.758024,-1.033157,1.559342,-2.057740,0.028316,0
23,2.3001,24,0.497752,-0.670763,-0.016567,0.497576,-0.670583,-0.016567,0.252,-0.860174,-1.942104,-1.757916,-1.033052,1.559256,-2.057759,0.028469,0
24,2.4001,25,0.497704,-0.670749,-0.016567,0.497428,-0.670583,-0.016567,0.322,-0.860264,-1.942168,-1.757807,-1.032946,1.559172,-2.057777,0.028622,0
25,2.5001,26,0.497469,-0.671035,-0.016567,0.497280,-0.670583,-0.016567,0.490,-0.860354,-1.942232,-1.757699,-1.032840,1.559089,-2.057797,0.028775,0
26,2.6002,27,0.497540,-0.670797,-0.016567,0.497132,-0.670583,-0.016567,0.461,-0.860443,-1.942294,-1.757591,-1.032734,1.559008,-2.057820,0.028928,0
27,2.7002,28,0.497137,-0.671339,-0.016567,0.496985,-0.670583,-0.016567,0.772,-0.860531,-1.942355,-1.757485,-1.032628,1.558929,-2.057844,0.029081,0
28,2.8001,29,0.496686,-0.671319,-0.016567,0.496837,-0.670583,-0.016567,0.752,-0.860619,-1.942415,-1.757380,-1.032522,1.558853,-2.057869,0.029234,0
29,2.9001,30,0.496836,-0.671324,-0.016567,0.496690,-0.670583,-0.016567,0.755,-0.860706,-1.942476,-1.757278,-1.032416,1.558779,-2.057892,0.029386,0
