step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
0,0.0001,1,0.500664,-0.670245,-0.016567,0.500625,-0.670235,-0.016567,0.040,-0.856238,-1.944033,-1.762166,-1.034542,1.562503,-2.056466,0.025039,0
1,0.1002,2,0.500705,-0.670209,-0.016567,0.500508,-0.670200,-0.016567,0.197,-0.855819,-1.939116,-1.763329,-1.038269,1.563014,-2.056595,0.025155,0
2,0.2001,3,0.500697,-0.670220,-0.016567,0.500368,-0.670134,-0.016567,0.340,-0.854760,-1.935970,-1.764471,-1.041037,1.563789,-2.056506,0.025281,0
3,0.3001,4,0.500697,-0.670220,-0.016567,0.500215,-0.670023,-0.016567,0.521,-0.852797,-1.936088,-1.765431,-1.041897,1.564891,-2.056077,0.025410,0
4,0.4001,5,0.500713,-0.670126,-0.016567,0.500063,-0.669868,-0.016567,0.699,-0.850666,-1.935494,-1.766596,-1.043338,1.566125,-2.055648,0.025561,0
5,0.5001,6,0.500353,-0.670115,-0.016567,0.499929,-0.669698,-0.016567,0.595,-0.848535,-1.934834,-1.767751,-1.044812,1.567360,-2.055222,0.025714,0
6,0.6001,7,0.499995,-0.669906,-0.016567,0.499807,-0.669517,-0.016567,0.432,-0.846374,-1.934267,-1.768890,-1.046223,1.568599,-2.054786,0.025866,0
7,0.7001,8,0.499624,-0.669382,-0.016567,0.499697,-0.669329,-0.016567,0.091,-0.844219,-1.933662,-1.770014,-1.047646,1.569831,-2.054352,0.026019,0
8,0.8001,9,0.499598,-0.669481,-0.016567,0.499594,-0.669136,-0.016567,0.345,-0.842055,-1.933065,-1.771107,-1.049042,1.571057,-2.053918,0.026171,0
9,0.9001,10,0.499253,-0.669317,-0.016567,0.499497,-0.668940,-0.016567,0.449,-0.839886,-1.932465,-1.772171,-1.050424,1.572274,-2.053486,0.026324,0
10,1.0001,11,0.499421,-0.669191,-0.016567,0.499405,-0.668742,-0.016567,0.450,-0.837707,-1.931883,-1.773216,-1.051785,1.573485,-2.053055,0.026476,0
11,1.1001,12,0.499195,-0.668802,-0.016567,0.499317,-0.668541,-0.016567,0.288,-0.835508,-1.931310,-1.774231,-1.053126,1.574694,-2.052628,0.026629,0
12,1.2001,13,0.499189,-0.668713,-0.016567,0.499232,-0.668338,-0.016567,0.378,-0.833280,-1.930740,-1.775208,-1.054443,1.575901,-2.052200,0.026781,0
13,1.3001,14,0.498897,-0.668158,-0.016567,0.499150,-0.668133,-0.016567,0.254,-0.831032,-1.930166,-1.776152,-1.055741,1.577106,-2.051772,0.026934,0
14,1.4001,15,0.498829,-0.668039,-0.016567,0.499070,-0.667927,-0.016567,0.266,-0.828761,-1.929599,-1.777070,-1.057021,1.578309,-2.051342,0.027086,0
15,1.5001,16,0.498674,-0.667673,-0.016567,0.498993,-0.667719,-0.016567,0.322,-0.826464,-1.929043,-1.777971,-1.058284,1.579514,-2.050909,0.027239,0
16,1.6002,17,0.498419,-0.667336,-0.016567,0.498917,-0.667510,-0.016567,0.527,-0.824140,-1.928496,-1.778852,-1.059533,1.580727,-2.050476,0.027391,0
17,1.7001,18,0.498125,-0.667255,-0.016567,0.498842,-0.667299,-0.016567,0.718,-0.821789,-1.927955,-1.779711,-1.060765,1.581944,-2.050045,0.027544,0
18,1.8001,19,0.498159,-0.667249,-0.016567,0.498768,-0.667087,-0.016567,0.630,-0.819410,-1.927423,-1.780540,-1.061976,1.583160,-2.049614,0.027696,0
19,1.9001,20,0.497873,-0.667093,-0.016567,0.498695,-0.666873,-0.016567,0.850,-0.817004,-1.926900,-1.781333,-1.063163,1.584372,-2.049186,0.027849,0
20,2.0001,21,0.497743,-0.666544,-0.016567,0.498623,-0.666658,-0.016567,0.887,-0.814580,-1.926401,-1.782101,-1.064321,1.585580,-2.048759,0.028001,0
21,2.1002,22,0.497758,-0.666275,-0.016567,0.498551,-0.666442,-0.016567,0.810,-0.812149,-1.925919,-1.782838,-1.065450,1.586777,-2.048333,0.028154,0
22,2.2001,23,0.497665,-0.665974,-0.016567,0.498479,-0.666224,-0.016567,0.852,-0.809716,-1.925457,-1.783541,-1.066547,1.587958,-2.047911,0.028306,0
23,2.3001,24,0.497646,-0.665499,-0.016567,0.498408,-0.666004,-0.016567,0.914,-0.807282,-1.925016,-1.784200,-1.067604,1.589118,-2.047491,0.028459,0
24,2.4001,25,0.497468,-0.665214,-0.016567,0.498336,-0.665782,-0.016567,1.038,-0.804858,-1.924595,-1.784812,-1.068619,1.590255,-2.047078,0.028611,0
25,2.5001,26,0.497297,-0.665078,-0.016567,0.498265,-0.665559,-0.016567,1.081,-0.802445,-1.924208,-1.785381,-1.069587,1.591374,-2.046674,0.028764,0
26,2.6001,27,0.497369,-0.664842,-0.016567,0.498193,-0.665334,-0.016567,0.959,-0.800057,-1.923855,-1.785910,-1.070508,1.592470,-2.046279,0.028916,0
27,2.7001,28,0.497122,-0.664408,-0.016567,0.498120,-0.665106,-0.016567,1.218,-0.797703,-1.923523,-1.786405,-1.071386,1.593544,-2.045889,0.029069,0
28,2.8002,29,0.497066,-0.664185,-0.016567,0.498046,-0.664877,-0.016567,1.200,-0.795386,-1.923209,-1.786862,-1.072220,1.594598,-2.045504,0.029221,0
29,2.9001,30,0.496812,-0.663704,-0.016567,0.497972,-0.664646,-0.016567,1.495,-0.793118,-1.922911,-1.787274,-1.073002,1.595626,-2.045128,0.029374,0
30,3.0001,31,0.496976,-0.663163,-0.016567,0.497897,-0.664413,-0.016567,1.552,-0.790907,-1.922648,-1.787646,-1.073729,1.596623,-2.044761,0.029526,0
31,3.1001,32,0.496765,-0.662689,-0.016567,0.497820,-0.664177,-0.016567,1.825,-0.788770,-1.922425,-1.787998,-1.074408,1.597581,-2.044404,0.029679,0
32,3.2001,33,0.496602,-0.662338,-0.016567,0.497741,-0.663939,-0.016567,1.965,-0.786718,-1.922235,-1.788340,-1.075051,1.598497,-2.044053,0.029831,0
33,3.3001,34,0.496440,-0.662163,-0.016567,0.497661,-0.663698,-0.016567,1.961,-0.784759,-1.922055,-1.788670,-1.075669,1.599368,-2.043713,0.029984,0
34,3.4001,35,0.496476,-0.661853,-0.016567,0.497578,-0.663454,-0.016567,1.943,-0.782899,-1.921879,-1.788996,-1.076278,1.600195,-2.043385,0.030136,0
35,3.5001,36,0.496377,-0.661498,-0.016567,0.497493,-0.663207,-0.016567,2.041,-0.781138,-1.921700,-1.789325,-1.076886,1.600970,-2.043068,0.030289,0
