step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
0,0.0001,1,0.500898,-0.670918,-0.016567,0.500859,-0.670908,-0.016567,0.040,-0.856238,-1.944033,-1.762166,-1.034542,1.562503,-2.056466,0.025039,0
1,0.1002,2,0.500826,-0.670958,-0.016567,0.500742,-0.670874,-0.016567,0.118,-0.855819,-1.939116,-1.763329,-1.038269,1.563014,-2.056595,0.025155,0
2,0.2001,3,0.500912,-0.670947,-0.016567,0.500602,-0.670807,-0.016567,0.339,-0.854760,-1.935970,-1.764471,-1.041037,1.563789,-2.056506,0.025281,0
3,0.3001,4,0.500960,-0.670908,-0.016567,0.500449,-0.670696,-0.016567,0.553,-0.852797,-1.936088,-1.765431,-1.041897,1.564891,-2.056077,0.025410,0
4,0.4001,5,0.500488,-0.670764,-0.016567,0.500297,-0.670542,-0.016567,0.293,-0.850666,-1.935494,-1.766596,-1.043338,1.566125,-2.055648,0.025561,0
5,0.5001,6,0.500090,-0.670013,-0.016567,0.500163,-0.670371,-0.016567,0.365,-0.848535,-1.934834,-1.767751,-1.044812,1.567360,-2.055222,0.025714,0
6,0.6001,7,0.500097,-0.670008,-0.016567,0.500042,-0.670190,-0.016567,0.190,-0.846374,-1.934267,-1.768890,-1.046223,1.568599,-2.054786,0.025866,0
7,0.7001,8,0.500089,-0.669634,-0.016567,0.499931,-0.670002,-0.016567,0.400,-0.844219,-1.933662,-1.770014,-1.047646,1.569831,-2.054352,0.026019,0
8,0.8001,9,0.499685,-0.669630,-0.016567,0.499828,-0.669810,-0.016567,0.229,-0.842055,-1.933065,-1.771107,-1.049042,1.571057,-2.053918,0.026171,0
9,0.9001,10,0.499507,-0.669409,-0.016567,0.499731,-0.669614,-0.016567,0.303,-0.839886,-1.932465,-1.772171,-1.050424,1.572274,-2.053486,0.026324,0
10,1.0001,11,0.499369,-0.669380,-0.016567,0.499639,-0.669415,-0.016567,0.273,-0.837707,-1.931883,-1.773216,-1.051785,1.573485,-2.053055,0.026476,0
