step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
0,0.0001,1,0.500486,-0.671092,-0.016567,0.500425,-0.671049,-0.016567,0.075,-0.855373,-1.944302,-1.761703,-1.033660,1.563115,-2.056375,0.025093,0
1,0.1002,2,0.500620,-0.671125,-0.016567,0.500289,-0.670951,-0.016567,0.374,-0.853486,-1.941741,-1.761732,-1.034549,1.564612,-2.056277,0.025280,0
2,0.2001,3,0.500550,-0.671059,-0.016567,0.500094,-0.670812,-0.016567,0.519,-0.851899,-1.941487,-1.762401,-1.035227,1.565851,-2.056053,0.025468,0
3,0.3002,4,0.500609,-0.671139,-0.016567,0.499895,-0.670670,-0.016567,0.854,-0.850312,-1.941363,-1.763144,-1.035923,1.567100,-2.055827,0.025657,0
4,0.4002,5,0.500713,-0.671233,-0.016567,0.499698,-0.670529,-0.016567,1.235,-0.848694,-1.941144,-1.763884,-1.036641,1.568371,-2.055600,0.025846,0
5,0.5002,6,0.500629,-0.671083,-0.016567,0.499501,-0.670389,-0.016567,1.325,-0.847055,-1.940946,-1.764628,-1.037350,1.569646,-2.055361,0.026035,0
6,0.6001,7,0.500547,-0.670373,-0.016567,0.499305,-0.670249,-0.016567,1.249,-0.845405,-1.940768,-1.765382,-1.038056,1.570932,-2.055127,0.026224,0
7,0.7001,8,0.499882,-0.670248,-0.016567,0.499109,-0.670109,-0.016567,0.785,-0.843758,-1.940622,-1.766158,-1.038768,1.572225,-2.054898,0.026412,0
8,0.8002,9,0.499595,-0.670238,-0.016567,0.498914,-0.669970,-0.016567,0.732,-0.842116,-1.940483,-1.766946,-1.039481,1.573508,-2.054661,0.026601,0
9,0.9003,10,0.499443,-0.669796,-0.016567,0.498721,-0.669831,-0.016567,0.724,-0.840480,-1.940344,-1.767748,-1.040199,1.574785,-2.054419,0.026790,0
10,1.0003,11,0.499071,-0.669922,-0.016567,0.498528,-0.669694,-0.016567,0.588,-0.838867,-1.940209,-1.768554,-1.040915,1.576056,-2.054189,0.026979,0
11,1.1002,12,0.498588,-0.669223,-0.016567,0.498338,-0.669558,-0.016567,0.418,-0.837277,-1.940068,-1.769342,-1.041616,1.577311,-2.053967,0.027168,0
12,1.2001,13,0.498442,-0.669315,-0.016567,0.498149,-0.669423,-0.016567,0.313,-0.835713,-1.939915,-1.770114,-1.042306,1.578544,-2.053744,0.027356,0
13,1.3001,14,0.498513,-0.669626,-0.016567,0.497961,-0.669289,-0.016567,0.646,-0.834194,-1.939739,-1.770886,-1.043001,1.579747,-2.053523,0.027545,0
14,1.4002,15,0.498025,-0.669104,-0.016567,0.497776,-0.669156,-0.016567,0.255,-0.832742,-1.939530,-1.771661,-1.043708,1.580906,-2.053304,0.027734,0
15,1.5002,16,0.497861,-0.669202,-0.016567,0.497592,-0.669025,-0.016567,0.322,-0.831362,-1.939284,-1.772426,-1.044414,1.582008,-2.053084,0.027923,0
16,1.6002,17,0.497598,-0.669168,-0.016567,0.497410,-0.668895,-0.016567,0.331,-0.830052,-1.939009,-1.773164,-1.045108,1.583054,-2.052866,0.028112,0
17,1.7002,18,0.497508,-0.669059,-0.016567,0.497229,-0.668766,-0.016567,0.404,-0.828793,-1.938725,-1.773866,-1.045777,1.584061,-2.052658,0.028301,0
18,1.8002,19,0.497555,-0.668642,-0.016567,0.497051,-0.668639,-0.016567,0.504,-0.827579,-1.938435,-1.774544,-1.046433,1.585043,-2.052463,0.028489,0
19,1.9002,20,0.497305,-0.668135,-0.016567,0.496874,-0.668512,-0.016567,0.573,-0.826389,-1.938122,-1.775200,-1.047078,1.586004,-2.052267,0.028678,0
20,2.0002,21,0.496812,-0.668189,-0.016567,0.496699,-0.668387,-0.016567,0.228,-0.825222,-1.937794,-1.775833,-1.047713,1.586946,-2.052074,0.028867,0
21,2.1001,22,0.497028,-0.668193,-0.016567,0.496526,-0.668264,-0.016567,0.507,-0.824085,-1.937470,-1.776442,-1.048330,1.587873,-2.051894,0.029056,0
22,2.2001,23,0.496887,-0.667824,-0.016567,0.496355,-0.668142,-0.016567,0.620,-0.822977,-1.937158,-1.777035,-1.048932,1.588782,-2.051724,0.029245,0
23,2.3001,24,0.496584,-0.667518,-0.016567,0.496185,-0.668021,-0.016567,0.641,-0.821893,-1.936856,-1.777627,-1.049528,1.589675,-2.051555,0.029433,0
24,2.4002,25,0.496293,-0.667391,-0.016567,0.496018,-0.667901,-0.016567,0.580,-0.820824,-1.936563,-1.778224,-1.050122,1.590553,-2.051382,0.029622,0
25,2.5002,26,0.496263,-0.667392,-0.016567,0.495853,-0.667783,-0.016567,0.566,-0.819773,-1.936265,-1.778813,-1.050705,1.591403,-2.051197,0.029811,0
26,2.6002,27,0.496264,-0.667105,-0.016567,0.495689,-0.667666,-0.016567,0.804,-0.818755,-1.935964,-1.779385,-1.051273,1.592218,-2.051007,0.030000,0
27,2.7002,28,0.495679,-0.666912,-0.016567,0.495527,-0.667550,-0.016567,0.656,-0.817777,-1.935671,-1.779942,-1.051827,1.593005,-2.050823,0.030189,0
28,2.8002,29,0.495834,-0.666963,-0.016567,0.495367,-0.667436,-0.016567,0.664,-0.816835,-1.935387,-1.780501,-1.052377,1.593771,-2.050645,0.030377,0
29,2.9002,30,0.495621,-0.666533,-0.016567,0.495208,-0.667323,-0.016567,0.890,-0.815927,-1.935103,-1.781072,-1.052935,1.594518,-2.050470,0.030566,0
30,3.0002,31,0.495555,-0.666457,-0.016567,0.495051,-0.667210,-0.016567,0.906,-0.815055,-1.934817,-1.781642,-1.053492,1.595243,-2.050300,0.030755,0
31,3.1001,32,0.495040,-0.666209,-0.016567,0.494895,-0.667099,-0.016567,0.901,-0.814222,-1.934533,-1.782201,-1.054040,1.595945,-2.050139,0.030944,0
32,3.2001,33,0.494745,-0.666082,-0.016567,0.494741,-0.666989,-0.016567,0.906,-0.813426,-1.934254,-1.782744,-1.054574,1.596625,-2.049989,0.031133,0
33,3.3001,34,0.494741,-0.666056,-0.016567,0.494587,-0.666879,-0.016567,0.837,-0.812661,-1.933979,-1.783268,-1.055094,1.597284,-2.049846,0.031321,0
34,3.4001,35,0.494946,-0.666015,-0.016567,0.494435,-0.666770,-0.016567,0.912,-0.811911,-1.933701,-1.783764,-1.055593,1.597924,-2.049702,0.031510,0
35,3.5002,36,0.494447,-0.665606,-0.016567,0.494283,-0.666662,-0.016567,1.069,-0.811162,-1.933416,-1.784222,-1.056065,1.598550,-2.049553,0.031699,0
36,3.6002,37,0.494184,-0.665318,-0.016567,0.494133,-0.666554,-0.016567,1.238,-0.810406,-1.933133,-1.784632,-1.056500,1.599170,-2.049402,0.031888,0
37,3.7002,38,0.494094,-0.665082,-0.016567,0.493983,-0.666447,-0.016567,1.370,-0.809639,-1.932858,-1.784994,-1.056896,1.599788,-2.049255,0.032077,0
38,3.8002,39,0.494054,-0.664795,-0.016567,0.493834,-0.666341,-0.016567,1.562,-0.808862,-1.932590,-1.785312,-1.057258,1.600409,-2.049113,0.032266,0
39,3.9002,40,0.493665,-0.664617,-0.016567,0.493685,-0.666234,-0.016567,1.618,-0.808090,-1.932333,-1.785584,-1.057583,1.601021,-2.048979,0.032454,0
40,4.0001,41,0.493585,-0.664482,-0.016567,0.493536,-0.666128,-0.016567,1.647,-0.807326,-1.932079,-1.785804,-1.057867,1.601614,-2.048846,0.032643,0
41,4.1001,42,0.493596,-0.664314,-0.016567,0.493388,-0.666022,-0.016567,1.721,-0.806569,-1.931823,-1.785975,-1.058115,1.602185,-2.048706,0.032832,0
42,4.2002,43,0.493304,-0.664376,-0.016567,0.493240,-0.665917,-0.016567,1.543,-0.805818,-1.931568,-1.786110,-1.058333,1.602735,-2.048558,0.033021,0
43,4.3002,44,0.493154,-0.663933,-0.016567,0.493093,-0.665812,-0.016567,1.880,-0.805071,-1.931329,-1.786219,-1.058526,1.603275,-2.048411,0.033210,0
44,4.4002,45,0.493055,-0.663882,-0.016567,0.492946,-0.665707,-0.016567,1.828,-0.804331,-1.931114,-1.786310,-1.058698,1.603806,-2.048268,0.033398,0
45,4.5002,46,0.492862,-0.663596,-0.016567,0.492799,-0.665602,-0.016567,2.007,-0.803607,-1.930923,-1.786391,-1.058851,1.604325,-2.048131,0.033587,0
46,4.6002,47,0.492637,-0.663455,-0.016567,0.492653,-0.665497,-0.016567,2.043,-0.802909,-1.930760,-1.786464,-1.058987,1.604826,-2.048001,0.033776,0
47,4.7001,48,0.492488,-0.663407,-0.016567,0.492507,-0.665393,-0.016567,1.986,-0.802240,-1.930627,-1.786537,-1.059112,1.605309,-2.047880,0.033965,0
48,4.8002,49,0.492283,-0.663154,-0.016567,0.492361,-0.665289,-0.016567,2.137,-0.801599,-1.930512,-1.786622,-1.059236,1.605771,-2.047760,0.034154,0
49,4.9002,50,0.491764,-0.663091,-0.016567,0.492215,-0.665185,-0.016567,2.141,-0.800991,-1.930406,-1.786725,-1.059369,1.606207,-2.047636,0.034342,0
50,5.0001,51,0.491816,-0.663106,-0.016567,0.492069,-0.665080,-0.016567,1.991,-0.800412,-1.930307,-1.786846,-1.059510,1.606621,-2.047507,0.034531,0
51,5.1001,52,0.492027,-0.662921,-0.016567,0.491923,-0.664976,-0.016567,2.058,-0.799859,-1.930225,-1.786986,-1.059655,1.607020,-2.047382,0.034720,0
52,5.2001,53,0.491323,-0.663222,-0.016567,0.491777,-0.664872,-0.016567,1.711,-0.799336,-1.930164,-1.787147,-1.059808,1.607410,-2.047268,0.034909,0
53,5.3001,54,0.491047,-0.663023,-0.016567,0.491630,-0.664767,-0.016567,1.839,-0.798859,-1.930118,-1.787329,-1.059972,1.607779,-2.047167,0.035098,0
54,5.4001,55,0.491252,-0.663227,-0.016567,0.491483,-0.664662,-0.016567,1.453,-0.798429,-1.930087,-1.787521,-1.060137,1.608125,-2.047078,0.035287,0
55,5.5002,56,0.491083,-0.663135,-0.016567,0.491336,-0.664557,-0.016567,1.444,-0.798031,-1.930076,-1.787710,-1.060292,1.608451,-2.046998,0.035475,0
56,5.6002,57,0.490903,-0.662878,-0.016567,0.491188,-0.664451,-0.016567,1.598,-0.797654,-1.930079,-1.787891,-1.060429,1.608755,-2.046919,0.035664,0
57,5.7001,58,0.490671,-0.662564,-0.016567,0.491038,-0.664344,-0.016567,1.818,-0.797315,-1.930085,-1.788056,-1.060552,1.609026,-2.046843,0.035853,0
58,5.8002,59,0.490333,-0.662354,-0.016567,0.490888,-0.664237,-0.016567,1.963,-0.797020,-1.930088,-1.788200,-1.060659,1.609260,-2.046769,0.036042,0
59,5.9003,60,0.490410,-0.662152,-0.016567,0.490737,-0.664129,-0.016567,2.004,-0.796762,-1.930094,-1.788323,-1.060746,1.609463,-2.046704,0.036231,0
60,6.0002,61,0.490401,-0.662140,-0.016567,0.490584,-0.664019,-0.016567,1.888,-0.796534,-1.930115,-1.788431,-1.060819,1.609654,-2.046655,0.036419,0
61,6.1002,62,0.490155,-0.662157,-0.016567,0.490429,-0.663909,-0.016567,1.773,-0.796332,-1.930141,-1.788517,-1.060871,1.609820,-2.046607,0.036608,0
62,6.2002,63,0.489979,-0.661612,-0.016567,0.490273,-0.663797,-0.016567,2.205,-0.796149,-1.930158,-1.788580,-1.060905,1.609955,-2.046548,0.036797,0
63,6.3002,64,0.489885,-0.661594,-0.016567,0.490114,-0.663684,-0.016567,2.102,-0.795986,-1.930164,-1.788633,-1.060931,1.610064,-2.046482,0.036986,0
64,6.4002,65,0.489271,-0.661557,-0.016567,0.489954,-0.663569,-0.016567,2.125,-0.795852,-1.930163,-1.788688,-1.060959,1.610155,-2.046421,0.037175,0
65,6.5002,66,0.489205,-0.661625,-0.016567,0.489790,-0.663453,-0.016567,1.918,-0.795745,-1.930169,-1.788734,-1.060980,1.610232,-2.046373,0.037363,0
66,6.6002,67,0.489238,-0.661577,-0.016567,0.489624,-0.663334,-0.016567,1.799,-0.795660,-1.930185,-1.788769,-1.060989,1.610302,-2.046340,0.037552,0
67,6.7002,68,0.489211,-0.661493,-0.016567,0.489454,-0.663212,-0.016567,1.736,-0.795597,-1.930197,-1.788789,-1.060989,1.610355,-2.046313,0.037741,0
68,6.8002,69,0.489140,-0.661421,-0.016567,0.489280,-0.663088,-0.016567,1.673,-0.795561,-1.930194,-1.788792,-1.060982,1.610379,-2.046278,0.037930,0
69,6.9002,70,0.488808,-0.661539,-0.016567,0.489102,-0.662961,-0.016567,1.452,-0.795551,-1.930188,-1.788791,-1.060974,1.610379,-2.046242,0.038119,0
70,7.0001,71,0.488546,-0.661433,-0.016567,0.488918,-0.662830,-0.016567,1.446,-0.795572,-1.930196,-1.788789,-1.060962,1.610358,-2.046209,0.038308,0
71,7.1001,72,0.488132,-0.661223,-0.016567,0.488730,-0.662695,-0.016567,1.588,-0.795638,-1.930233,-1.788780,-1.060933,1.610311,-2.046194,0.038496,0
72,7.2002,73,0.488073,-0.660912,-0.016567,0.488534,-0.662555,-0.016567,1.706,-0.795767,-1.930293,-1.788765,-1.060894,1.610227,-2.046194,0.038685,0
73,7.3002,74,0.488090,-0.660752,-0.016567,0.488330,-0.662410,-0.016567,1.675,-0.795974,-1.930360,-1.788745,-1.060849,1.610092,-2.046208,0.038874,0
74,7.4002,75,0.487828,-0.661396,-0.016567,0.488117,-0.662257,-0.016567,0.908,-0.796289,-1.930435,-1.788713,-1.060794,1.609887,-2.046240,0.039063,0
75,7.5002,76,0.487506,-0.661371,-0.016567,0.487886,-0.662102,-0.016567,0.824,-0.796724,-1.930514,-1.788643,-1.060705,1.609584,-2.046279,0.039252,0
76,7.6001,77,0.487480,-0.661115,-0.016567,0.487636,-0.661945,-0.016567,0.845,-0.797307,-1.930598,-1.788532,-1.060586,1.609179,-2.046345,0.039438,0
77,7.7001,78,0.487019,-0.661008,-0.016567,0.487374,-0.661803,-0.016567,0.870,-0.798026,-1.930681,-1.788399,-1.060450,1.608690,-2.046437,0.039612,0
78,7.8002,79,0.486886,-0.661169,-0.016567,0.487092,-0.661707,-0.016567,0.576,-0.798839,-1.930779,-1.788250,-1.060299,1.608146,-2.046551,0.039769,0
79,7.9002,80,0.486641,-0.661364,-0.016567,0.486801,-0.661727,-0.016567,0.397,-0.799706,-1.930877,-1.788069,-1.060114,1.607544,-2.046654,0.039908,0
80,8.0001,81,0.486673,-0.661263,-0.016567,0.486628,-0.661965,-0.016567,0.704,-0.800659,-1.930969,-1.787876,-1.059918,1.606877,-2.046763,0.040030,0
81,8.1002,82,0.486675,-0.661397,-0.016567,0.486546,-0.662251,-0.016567,0.864,-0.801705,-1.931032,-1.787718,-1.059758,1.606154,-2.046879,0.040133,0
82,8.2001,83,0.486496,-0.661644,-0.016567,0.486511,-0.662547,-0.016567,0.904,-0.802882,-1.931085,-1.787612,-1.059645,1.605365,-2.047021,0.040218,0
83,8.3002,84,0.486284,-0.661645,-0.016567,0.486494,-0.662845,-0.016567,1.218,-0.804244,-1.931137,-1.787471,-1.059509,1.604451,-2.047196,0.040286,0
84,8.4002,85,0.486102,-0.662138,-0.016567,0.486486,-0.663143,-0.016567,1.075,-0.805746,-1.931220,-1.787188,-1.059255,1.603411,-2.047401,0.040338,0
85,8.5002,86,0.485986,-0.662343,-0.016567,0.486486,-0.663441,-0.016567,1.207,-0.807294,-1.931324,-1.786723,-1.058855,1.602298,-2.047618,0.040375,0
86,8.6001,87,0.485955,-0.662646,-0.016567,0.486486,-0.663739,-0.016567,1.215,-0.808862,-1.931436,-1.786106,-1.058338,1.601136,-2.047842,0.040397,0
87,8.7001,88,0.485887,-0.662855,-0.016567,0.486486,-0.664037,-0.016567,1.326,-0.810531,-1.931579,-1.785378,-1.057731,1.599906,-2.048111,0.040407,0
88,8.8002,89,0.485887,-0.663083,-0.016567,0.486486,-0.664335,-0.016567,1.388,-0.812347,-1.931743,-1.784611,-1.057087,1.598574,-2.048405,0.040404,0
89,8.9002,90,0.485962,-0.663163,-0.016567,0.486486,-0.664633,-0.016567,1.560,-0.814322,-1.931943,-1.783869,-1.056449,1.597151,-2.048732,0.040389,0
90,9.0001,91,0.485844,-0.663391,-0.016567,0.486486,-0.664932,-0.016567,1.669,-0.816422,-1.932180,-1.783153,-1.055809,1.595635,-2.049062,0.040363,0
91,9.1001,92,0.485834,-0.663909,-0.016567,0.486486,-0.665230,-0.016567,1.473,-0.818731,-1.932452,-1.782394,-1.055116,1.593963,-2.049423,0.040327,0
92,9.2002,93,0.485961,-0.664247,-0.016567,0.486486,-0.665528,-0.016567,1.384,-0.821169,-1.932773,-1.781591,-1.054366,1.592192,-2.049808,0.040282,0
93,9.3001,94,0.485592,-0.664663,-0.016567,0.486486,-0.665826,-0.016567,1.467,-0.823615,-1.933167,-1.780754,-1.053555,1.590399,-2.050200,0.040230,0
94,9.4002,95,0.485750,-0.665154,-0.016567,0.486486,-0.666124,-0.016567,1.218,-0.825991,-1.933646,-1.779901,-1.052692,1.588649,-2.050595,0.040170,0
95,9.5001,96,0.485473,-0.665393,-0.016567,0.486486,-0.666422,-0.016567,1.444,-0.828256,-1.934197,-1.778997,-1.051749,1.586940,-2.050969,0.040105,0
96,9.6001,97,0.485711,-0.665901,-0.016567,0.486486,-0.666720,-0.016567,1.128,-0.830389,-1.934854,-1.778008,-1.050689,1.585278,-2.051327,0.040035,0
97,9.7001,98,0.485776,-0.665926,-0.016567,0.486486,-0.667018,-0.016567,1.302,-0.832433,-1.935584,-1.776894,-1.049495,1.583622,-2.051665,0.039961,0
98,9.8002,99,0.486048,-0.666700,-0.016567,0.486486,-0.667316,-0.016567,0.756,-0.834470,-1.936355,-1.775669,-1.048201,1.581938,-2.052006,0.039886,0
99,9.9002,100,0.485530,-0.667105,-0.016567,0.486486,-0.667615,-0.016567,1.083,-0.836468,-1.937172,-1.774397,-1.046856,1.580277,-2.052359,0.039811,0
100,10.0001,101,0.485540,-0.667449,-0.016567,0.486486,-0.667913,-0.016567,1.054,-0.838369,-1.938080,-1.773100,-1.045460,1.578683,-2.052724,0.039737,0
101,10.1002,102,0.485688,-0.668117,-0.016567,0.486486,-0.668211,-0.016567,0.804,-0.840175,-1.939111,-1.771839,-1.044041,1.577169,-2.053102,0.039665,0
102,10.2002,103,0.485751,-0.668251,-0.016567,0.486486,-0.668509,-0.016567,0.779,-0.841943,-1.940216,-1.770627,-1.042619,1.575665,-2.053456,0.039597,0
103,10.3002,104,0.486069,-0.668411,-0.016567,0.486486,-0.668807,-0.016567,0.575,-0.843746,-1.941372,-1.769424,-1.041179,1.574128,-2.053814,0.039533,0
