step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
0,0.0001,1,0.500120,-0.670209,-0.016567,0.500039,-0.670151,-0.016567,0.099,-0.855766,-1.945157,-1.762237,-1.033881,1.562879,-2.056311,0.025078,0
1,0.1001,2,0.500062,-0.670211,-0.016567,0.499849,-0.670016,-0.016567,0.288,-0.854283,-1.943914,-1.763421,-1.035400,1.564120,-2.056043,0.025263,0
2,0.2001,3,0.499906,-0.670219,-0.016567,0.499656,-0.669878,-0.016567,0.424,-0.852630,-1.943143,-1.764672,-1.036781,1.565327,-2.055726,0.025451,0
3,0.3001,4,0.499906,-0.670219,-0.016567,0.499468,-0.669743,-0.016567,0.647,-0.851072,-1.942357,-1.765799,-1.038085,1.566453,-2.055436,0.025640,0
4,0.4001,5,0.500014,-0.670222,-0.016567,0.499283,-0.669611,-0.016567,0.953,-0.849558,-1.941646,-1.766861,-1.039315,1.567504,-2.055152,0.025829,0
5,0.5001,6,0.500076,-0.670143,-0.016567,0.499100,-0.669481,-0.016567,1.179,-0.848082,-1.940974,-1.767858,-1.040484,1.568498,-2.054878,0.026017,0
6,0.6001,7,0.500057,-0.670019,-0.016567,0.498919,-0.669351,-0.016567,1.320,-0.846634,-1.940339,-1.768793,-1.041606,1.569445,-2.054612,0.026206,0
7,0.7001,8,0.500149,-0.669658,-0.016567,0.498738,-0.669222,-0.016567,1.477,-0.845213,-1.939739,-1.769679,-1.042680,1.570350,-2.054351,0.026395,0
8,0.8001,9,0.500092,-0.669514,-0.016567,0.498557,-0.669093,-0.016567,1.591,-0.843815,-1.939171,-1.770520,-1.043711,1.571218,-2.054095,0.026584,0
9,0.9001,10,0.499672,-0.669455,-0.016567,0.498378,-0.668965,-0.016567,1.384,-0.842440,-1.938627,-1.771310,-1.044701,1.572055,-2.053844,0.026772,0
10,1.0001,11,0.499105,-0.668580,-0.016567,0.498198,-0.668836,-0.016567,0.942,-0.841093,-1.938108,-1.772057,-1.045652,1.572856,-2.053599,0.026961,0
11,1.1001,12,0.498740,-0.668593,-0.016567,0.498020,-0.668709,-0.016567,0.729,-0.839775,-1.937618,-1.772768,-1.046565,1.573623,-2.053360,0.027150,0
12,1.2001,13,0.498431,-0.668594,-0.016567,0.497842,-0.668582,-0.016567,0.589,-0.838486,-1.937156,-1.773440,-1.047439,1.574358,-2.053127,0.027338,0
13,1.3001,14,0.498225,-0.668382,-0.016567,0.497664,-0.668455,-0.016567,0.566,-0.837221,-1.936717,-1.774072,-1.048277,1.575060,-2.052898,0.027527,0
14,1.4001,15,0.497742,-0.668292,-0.016567,0.497487,-0.668329,-0.016567,0.257,-0.835978,-1.936303,-1.774667,-1.049076,1.575733,-2.052675,0.027716,0
15,1.5001,16,0.497426,-0.668137,-0.016567,0.497311,-0.668203,-0.016567,0.132,-0.834753,-1.935918,-1.775223,-1.049839,1.576376,-2.052456,0.027905,0
16,1.6001,17,0.497111,-0.668172,-0.016567,0.497135,-0.668077,-0.016567,0.098,-0.833552,-1.935565,-1.775751,-1.050568,1.576990,-2.052240,0.028093,0
17,1.7001,18,0.496849,-0.668010,-0.016567,0.496960,-0.667952,-0.016567,0.125,-0.832370,-1.935236,-1.776246,-1.051263,1.577577,-2.052030,0.028282,0
18,1.8001,19,0.496751,-0.667856,-0.016567,0.496786,-0.667827,-0.016567,0.045,-0.831205,-1.934924,-1.776703,-1.051928,1.578138,-2.051825,0.028471,0
19,1.9001,20,0.496520,-0.667828,-0.016567,0.496612,-0.667703,-0.016567,0.155,-0.830059,-1.934632,-1.777131,-1.052565,1.578673,-2.051625,0.028659,0
20,2.0001,21,0.496325,-0.667734,-0.016567,0.496438,-0.667579,-0.016567,0.192,-0.828930,-1.934363,-1.777535,-1.053178,1.579184,-2.051427,0.028848,0
21,2.1001,22,0.495974,-0.667575,-0.016567,0.496266,-0.667456,-0.016567,0.315,-0.827816,-1.934117,-1.777913,-1.053765,1.579674,-2.051233,0.029037,0
22,2.2001,23,0.495973,-0.667388,-0.016567,0.496093,-0.667333,-0.016567,0.132,-0.826713,-1.933892,-1.778266,-1.054328,1.580139,-2.051043,0.029226,0
23,2.3001,24,0.495823,-0.667485,-0.016567,0.495921,-0.667210,-0.016567,0.292,-0.825620,-1.933679,-1.778590,-1.054866,1.580585,-2.050858,0.029414,0
24,2.4001,25,0.495481,-0.667759,-0.016567,0.495750,-0.667088,-0.016567,0.723,-0.824534,-1.933475,-1.778879,-1.055380,1.581007,-2.050674,0.029603,0
25,2.5001,26,0.495359,-0.667581,-0.016567,0.495579,-0.666966,-0.016567,0.653,-0.823458,-1.933288,-1.779144,-1.055871,1.581406,-2.050491,0.029792,0
26,2.6001,27,0.495036,-0.667272,-0.016567,0.495409,-0.666844,-0.016567,0.568,-0.822397,-1.933126,-1.779395,-1.056339,1.581784,-2.050309,0.029980,0
27,2.7001,28,0.495192,-0.666700,-0.016567,0.495239,-0.666723,-0.016567,0.052,-0.821341,-1.932986,-1.779625,-1.056786,1.582142,-2.050129,0.030169,0
28,2.8001,29,0.494830,-0.666521,-0.016567,0.495070,-0.666602,-0.016567,0.253,-0.820291,-1.932857,-1.779824,-1.057209,1.582487,-2.049951,0.030358,0
29,2.9001,30,0.494690,-0.666480,-0.016567,0.494901,-0.666481,-0.016567,0.211,-0.819243,-1.932743,-1.779993,-1.057607,1.582816,-2.049777,0.030547,0
30,3.0001,31,0.494611,-0.666035,-0.016567,0.494733,-0.666361,-0.016567,0.348,-0.818203,-1.932645,-1.780139,-1.057984,1.583130,-2.049605,0.030735,0
31,3.1001,32,0.494336,-0.666011,-0.016567,0.494565,-0.666241,-0.016567,0.324,-0.817168,-1.932566,-1.780264,-1.058339,1.583428,-2.049435,0.030924,0
32,3.2001,33,0.494212,-0.665991,-0.016567,0.494397,-0.666121,-0.016567,0.226,-0.816133,-1.932506,-1.780363,-1.058672,1.583708,-2.049267,0.031113,0
33,3.3001,34,0.493898,-0.665881,-0.016567,0.494230,-0.666002,-0.016567,0.353,-0.815097,-1.932463,-1.780434,-1.058983,1.583970,-2.049100,0.031302,0
34,3.4001,35,0.493698,-0.666135,-0.016567,0.494063,-0.665883,-0.016567,0.444,-0.814067,-1.932433,-1.780484,-1.059273,1.584219,-2.048935,0.031490,0
