step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
0,0.0001,1,0.500626,-0.670557,-0.016567,0.500567,-0.670557,-0.016567,0.059,-0.856860,-1.943995,-1.761158,-1.033964,1.561882,-2.056622,0.025040,0
1,0.1002,2,0.500656,-0.670529,-0.016567,0.500411,-0.670557,-0.016567,0.247,-0.858004,-1.940106,-1.759839,-1.035556,1.560876,-2.057086,0.025159,0
2,0.2001,3,0.500602,-0.670567,-0.016567,0.500261,-0.670557,-0.016567,0.341,-0.858442,-1.939277,-1.759404,-1.035784,1.560534,-2.057239,0.025306,0
3,0.3001,4,0.500613,-0.670580,-0.016567,0.500121,-0.670557,-0.016567,0.493,-0.858519,-1.939962,-1.759412,-1.035342,1.560528,-2.057236,0.025461,0
4,0.4001,5,0.500755,-0.670701,-0.016567,0.499976,-0.670557,-0.016567,0.792,-0.858697,-1.940214,-1.759287,-1.035086,1.560427,-2.057278,0.025616,0
5,0.5001,6,0.500288,-0.670981,-0.016567,0.499829,-0.670557,-0.016567,0.625,-0.858924,-1.940223,-1.759077,-1.034929,1.560276,-2.057345,0.025770,0
6,0.6001,7,0.499878,-0.670418,-0.016567,0.499683,-0.670557,-0.016567,0.239,-0.859106,-1.940364,-1.758897,-1.034707,1.560160,-2.057396,0.025925,0
7,0.7001,8,0.499721,-0.670419,-0.016567,0.499538,-0.670557,-0.016567,0.230,-0.859281,-1.940517,-1.758724,-1.034483,1.560049,-2.057446,0.026079,0
8,0.8001,9,0.499676,-0.670539,-0.016567,0.499392,-0.670557,-0.016567,0.285,-0.859461,-1.940635,-1.758548,-1.034281,1.559931,-2.057498,0.026234,0
9,0.9001,10,0.499362,-0.670396,-0.016567,0.499246,-0.670557,-0.016567,0.198,-0.859636,-1.940752,-1.758376,-1.034082,1.559815,-2.057550,0.026389,0
10,1.0001,11,0.499135,-0.670586,-0.016567,0.499100,-0.670557,-0.016567,0.045,-0.859808,-1.940874,-1.758209,-1.033883,1.559701,-2.057600,0.026543,0
11,1.1001,12,0.498740,-0.670907,-0.016567,0.498954,-0.670557,-0.016567,0.411,-0.859978,-1.940996,-1.758044,-1.033684,1.559591,-2.057651,0.026698,0
12,1.2001,13,0.498629,-0.671135,-0.016567,0.498808,-0.670557,-0.016567,0.605,-0.860148,-1.941120,-1.757885,-1.033487,1.559481,-2.057700,0.026852,0
13,1.3001,14,0.498558,-0.671124,-0.016567,0.498662,-0.670557,-0.016567,0.577,-0.860321,-1.941246,-1.757731,-1.033293,1.559369,-2.057749,0.027007,0
14,1.4001,15,0.498342,-0.671127,-0.016567,0.498515,-0.670557,-0.016567,0.596,-0.860502,-1.941374,-1.757581,-1.033097,1.559257,-2.057798,0.027162,0
15,1.5001,16,0.498209,-0.671125,-0.016567,0.498369,-0.670557,-0.016567,0.591,-0.860685,-1.941505,-1.757432,-1.032899,1.559147,-2.057848,0.027316,0
16,1.6002,17,0.498185,-0.671124,-0.016567,0.498222,-0.670557,-0.016567,0.569,-0.860863,-1.941639,-1.757284,-1.032702,1.559039,-2.057898,0.027471,0
17,1.7001,18,0.498012,-0.671136,-0.016567,0.498075,-0.670557,-0.016567,0.583,-0.861033,-1.941762,-1.757134,-1.032508,1.558935,-2.057945,0.027625,0
18,1.8001,19,0.497972,-0.671134,-0.016567,0.497928,-0.670557,-0.016567,0.579,-0.861197,-1.941871,-1.756979,-1.032316,1.558835,-2.057989,0.027780,0
19,1.9001,20,0.497710,-0.671279,-0.016567,0.497780,-0.670557,-0.016567,0.726,-0.861360,-1.941979,-1.756825,-1.032128,1.558734,-2.058035,0.027935,0
20,2.0001,21,0.497713,-0.671607,-0.016567,0.497632,-0.670557,-0.016567,1.054,-0.861522,-1.942091,-1.756672,-1.031940,1.558634,-2.058081,0.028089,0
21,2.1002,22,0.497488,-0.671540,-0.016567,0.497485,-0.670557,-0.016567,0.983,-0.861680,-1.942206,-1.756522,-1.031754,1.558536,-2.058125,0.028244,0
22,2.2002,23,0.497301,-0.671624,-0.016567,0.497336,-0.670557,-0.016567,1.067,-0.861830,-1.942318,-1.756377,-1.031573,1.558441,-2.058166,0.028399,0
23,2.3002,24,0.497068,-0.671636,-0.016567,0.497188,-0.670557,-0.016567,1.086,-0.861972,-1.942423,-1.756238,-1.031401,1.558348,-2.058205,0.028553,0
24,2.4001,25,0.496856,-0.671669,-0.016567,0.497040,-0.670557,-0.016567,1.127,-0.862108,-1.942518,-1.756103,-1.031238,1.558256,-2.058239,0.028708,0
25,2.5001,26,0.496666,-0.671329,-0.016567,0.496891,-0.670557,-0.016567,0.804,-0.862239,-1.942603,-1.755972,-1.031082,1.558165,-2.058270,0.028862,0
26,2.6001,27,0.496557,-0.671130,-0.016567,0.496742,-0.670557,-0.016567,0.602,-0.862364,-1.942685,-1.755847,-1.030931,1.558076,-2.058299,0.029017,0
27,2.7001,28,0.496217,-0.671161,-0.016567,0.496593,-0.670557,-0.016567,0.712,-0.862484,-1.942762,-1.755727,-1.030785,1.557992,-2.058326,0.029172,0
28,2.8001,29,0.496166,-0.671172,-0.016567,0.496444,-0.670557,-0.016567,0.674,-0.862602,-1.942835,-1.755609,-1.030641,1.557913,-2.058351,0.029326,0
29,2.9001,30,0.496179,-0.671213,-0.016567,0.496294,-0.670557,-0.016567,0.666,-0.862720,-1.942908,-1.755494,-1.030500,1.557835,-2.058377,0.029481,0
30,3.0001,31,0.495907,-0.671172,-0.016567,0.496145,-0.670557,-0.016567,0.660,-0.862836,-1.942975,-1.755382,-1.030365,1.557759,-2.058403,0.029635,0
31,3.1001,32,0.495935,-0.671659,-0.016567,0.495995,-0.670557,-0.016567,1.103,-0.862951,-1.943029,-1.755268,-1.030237,1.557686,-2.058426,0.029790,0
32,3.2001,33,0.495769,-0.671756,-0.016567,0.495845,-0.670557,-0.016567,1.201,-0.863062,-1.943070,-1.755158,-1.030118,1.557619,-2.058446,0.029945,0
33,3.3001,34,0.495553,-0.671754,-0.016567,0.495695,-0.670557,-0.016567,1.206,-0.863168,-1.943104,-1.755055,-1.030007,1.557557,-2.058466,0.030099,0
34,3.4001,35,0.495360,-0.671699,-0.016567,0.495545,-0.670557,-0.016567,1.158,-0.863267,-1.943141,-1.754960,-1.029904,1.557503,-2.058489,0.030254,0
35,3.5001,36,0.495048,-0.671699,-0.016567,0.495395,-0.670557,-0.016567,1.194,-0.863357,-1.943179,-1.754872,-1.029810,1.557457,-2.058513,0.030409,0
36,3.6001,37,0.495022,-0.671672,-0.016567,0.495245,-0.670557,-0.016567,1.137,-0.863434,-1.943207,-1.754789,-1.029726,1.557417,-2.058538,0.030563,0
37,3.7001,38,0.494817,-0.671680,-0.016567,0.495095,-0.670557,-0.016567,1.157,-0.863503,-1.943234,-1.754721,-1.029653,1.557383,-2.058563,0.030718,0
38,3.8001,39,0.494620,-0.671855,-0.016567,0.494945,-0.670557,-0.016567,1.338,-0.863568,-1.943270,-1.754677,-1.029591,1.557355,-2.058585,0.030872,0
39,3.9001,40,0.494439,-0.672583,-0.016567,0.494794,-0.670557,-0.016567,2.058,-0.863624,-1.943302,-1.754648,-1.029538,1.557335,-2.058601,0.031027,0
