step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
0,0.0001,1,0.500589,-0.670227,-0.016567,0.500532,-0.670227,-0.016567,0.057,-0.856746,-1.943979,-1.761280,-1.034070,1.561967,-2.056593,0.025042,0
1,0.1001,2,0.500749,-0.670160,-0.016567,0.500378,-0.670227,-0.016567,0.377,-0.857670,-1.939951,-1.760191,-1.035929,1.561124,-2.057010,0.025164,0
2,0.2001,3,0.500693,-0.670198,-0.016567,0.500227,-0.670227,-0.016567,0.467,-0.858086,-1.938998,-1.759767,-1.036236,1.560817,-2.057175,0.025311,0
3,0.3001,4,0.500578,-0.670228,-0.016567,0.500083,-0.670227,-0.016567,0.495,-0.858219,-1.939706,-1.759709,-1.035711,1.560802,-2.057198,0.025467,0
4,0.4001,5,0.500592,-0.670188,-0.016567,0.499935,-0.670227,-0.016567,0.658,-0.858432,-1.939969,-1.759551,-1.035407,1.560701,-2.057256,0.025622,0
5,0.5001,6,0.500563,-0.670090,-0.016567,0.499786,-0.670227,-0.016567,0.789,-0.858682,-1.940006,-1.759341,-1.035215,1.560556,-2.057330,0.025777,0
6,0.6001,7,0.500693,-0.670293,-0.016567,0.499638,-0.670227,-0.016567,1.057,-0.858899,-1.940194,-1.759162,-1.034948,1.560440,-2.057390,0.025932,0
7,0.7001,8,0.500625,-0.670249,-0.016567,0.499489,-0.670227,-0.016567,1.136,-0.859107,-1.940372,-1.758974,-1.034680,1.560326,-2.057448,0.026087,0
8,0.8001,9,0.500619,-0.670363,-0.016567,0.499341,-0.670227,-0.016567,1.285,-0.859316,-1.940508,-1.758772,-1.034433,1.560204,-2.057509,0.026243,0
9,0.9001,10,0.500348,-0.670378,-0.016567,0.499192,-0.670227,-0.016567,1.166,-0.859524,-1.940656,-1.758581,-1.034187,1.560081,-2.057567,0.026398,0
10,1.0001,11,0.499782,-0.670189,-0.016567,0.499044,-0.670227,-0.016567,0.739,-0.859725,-1.940808,-1.758391,-1.033945,1.559958,-2.057623,0.026553,0
11,1.1001,12,0.499230,-0.670656,-0.016567,0.498895,-0.670227,-0.016567,0.545,-0.859920,-1.940946,-1.758197,-1.033710,1.559836,-2.057679,0.026708,0
12,1.2001,13,0.499042,-0.670379,-0.016567,0.498746,-0.670227,-0.016567,0.333,-0.860109,-1.941075,-1.758005,-1.033486,1.559714,-2.057735,0.026864,0
13,1.3001,14,0.498659,-0.670196,-0.016567,0.498597,-0.670227,-0.016567,0.069,-0.860292,-1.941199,-1.757819,-1.033271,1.559593,-2.057788,0.027019,0
14,1.4001,15,0.498200,-0.670747,-0.016567,0.498448,-0.670227,-0.016567,0.576,-0.860465,-1.941320,-1.757641,-1.033067,1.559472,-2.057835,0.027174,0
15,1.5001,16,0.498139,-0.670807,-0.016567,0.498298,-0.670227,-0.016567,0.602,-0.860628,-1.941447,-1.757481,-1.032872,1.559356,-2.057878,0.027329,0
16,1.6001,17,0.497879,-0.670913,-0.016567,0.498149,-0.670227,-0.016567,0.737,-0.860785,-1.941584,-1.757342,-1.032689,1.559244,-2.057918,0.027484,0
17,1.7001,18,0.497860,-0.670861,-0.016567,0.497999,-0.670227,-0.016567,0.650,-0.860935,-1.941720,-1.757214,-1.032515,1.559134,-2.057954,0.027640,0
18,1.8001,19,0.497729,-0.670923,-0.016567,0.497849,-0.670227,-0.016567,0.706,-0.861077,-1.941843,-1.757088,-1.032351,1.559025,-2.057985,0.027795,0
19,1.9001,20,0.497558,-0.670966,-0.016567,0.497698,-0.670227,-0.016567,0.753,-0.861210,-1.941947,-1.756957,-1.032193,1.558920,-2.058016,0.027950,0
20,2.0001,21,0.497406,-0.671054,-0.016567,0.497548,-0.670227,-0.016567,0.839,-0.861335,-1.942034,-1.756821,-1.032043,1.558821,-2.058047,0.028105,0
21,2.1001,22,0.497153,-0.671149,-0.016567,0.497397,-0.670227,-0.016567,0.954,-0.861451,-1.942109,-1.756686,-1.031901,1.558730,-2.058081,0.028261,0
