step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,16.4157,0,0.490771,-0.669671,-0.016567,0.490757,-0.669658,-0.016567,0.019,-0.856254,-1.945813,-1.761783,-1.033097,1.562376,-2.056448,0.034008,0
2,16.5144,1,0.490851,-0.669685,-0.016567,0.490572,-0.669658,-0.016567,0.280,-0.856294,-1.945825,-1.761783,-1.033117,1.562379,-2.056439,0.034176,0
3,16.6144,2,0.490552,-0.669678,-0.016567,0.490409,-0.669658,-0.016567,0.144,-0.856269,-1.945813,-1.761821,-1.033097,1.562376,-2.056439,0.034262,0
4,16.7144,3,0.490784,-0.669880,-0.016567,0.490253,-0.669658,-0.016567,0.576,-0.856252,-1.945828,-1.761818,-1.033112,1.562348,-2.056429,0.034462,0
5,16.8145,4,0.490639,-0.669638,-0.016567,0.490096,-0.669658,-0.016567,0.544,-0.856272,-1.945810,-1.761818,-1.033128,1.562345,-2.056421,0.034662,0
6,16.9144,5,0.490478,-0.670430,-0.016567,0.489940,-0.669658,-0.016567,0.942,-0.856241,-1.945816,-1.761806,-1.033109,1.562360,-2.056452,0.034862,0
7,17.0144,6,0.490290,-0.670421,-0.016567,0.489784,-0.669658,-0.016567,0.916,-0.856264,-1.945810,-1.761783,-1.033106,1.562376,-2.056467,0.035062,0
8,17.1144,7,0.489917,-0.670413,-0.016567,0.489629,-0.669658,-0.016567,0.808,-0.856169,-1.945738,-1.761838,-1.033124,1.562367,-2.056429,0.035259,0
9,17.2144,8,0.489834,-0.670164,-0.016567,0.489473,-0.669652,-0.016567,0.626,-0.855709,-1.945618,-1.761910,-1.033112,1.562376,-2.056595,0.035459,0
10,17.3144,9,0.489820,-0.669909,-0.016567,0.489318,-0.669633,-0.016567,0.573,-0.854631,-1.945346,-1.762276,-1.033124,1.562528,-2.056924,0.035659,0
11,17.4145,10,0.489380,-0.669826,-0.016567,0.489164,-0.669592,-0.016567,0.318,-0.854054,-1.945133,-1.762586,-1.033097,1.562515,-2.057107,0.035796,0
12,17.5144,11,0.489266,-0.669866,-0.016567,0.488999,-0.669509,-0.016567,0.445,-0.853597,-1.945041,-1.762739,-1.033124,1.562579,-2.057236,0.035967,0
13,17.6145,11,0.489244,-0.670387,-0.016567,0.488999,-0.669509,-0.016567,0.911,-0.853567,-1.944995,-1.762751,-1.033109,1.562595,-2.057266,0.036143,0
14,17.7144,13,0.489052,-0.669739,-0.016567,0.488851,-0.668983,-0.016567,0.782,-0.853267,-1.944873,-1.762864,-1.033148,1.562620,-2.057328,0.036288,0
15,17.8144,13,0.488995,-0.670156,-0.016567,0.488851,-0.668983,-0.016567,1.182,-0.852624,-1.944651,-1.763111,-1.033259,1.562715,-2.057542,0.036413,0
16,17.9144,15,0.488787,-0.669571,-0.016567,0.488851,-0.668400,-0.016567,1.172,-0.851120,-1.944239,-1.763604,-1.033324,1.562859,-2.057982,0.036414,0
17,18.0144,16,0.488652,-0.669655,-0.016567,0.488877,-0.668111,-0.016567,1.561,-0.849901,-1.943875,-1.764040,-1.033412,1.562912,-2.058345,0.036331,0
18,18.1146,17,0.488626,-0.669638,-0.016567,0.488981,-0.667842,-0.016567,1.831,-0.848618,-1.943457,-1.764586,-1.033505,1.563147,-2.058745,0.036179,0
19,18.2144,17,0.488799,-0.669572,-0.016567,0.488981,-0.667842,-0.016567,1.739,-0.847751,-1.943079,-1.765036,-1.033577,1.563231,-2.059088,0.036127,0
20,18.3144,19,0.488751,-0.669288,-0.016567,0.489346,-0.667679,-0.016567,1.716,-0.845630,-1.942200,-1.765954,-1.033816,1.563543,-2.059899,0.035927,0
21,18.4145,19,0.488891,-0.669069,-0.016567,0.489346,-0.667679,-0.016567,1.463,-0.844967,-1.941944,-1.766269,-1.033847,1.563636,-2.060140,0.035727,0
22,18.5144,21,0.488786,-0.668922,-0.016567,0.489668,-0.667658,-0.016567,1.541,-0.843341,-1.941237,-1.767218,-1.034063,1.563864,-2.060882,0.035527,0
23,18.6145,22,0.488956,-0.668768,-0.016567,0.489825,-0.667658,-0.016567,1.410,-0.842063,-1.940758,-1.767688,-1.034144,1.564028,-2.061328,0.035327,0
24,18.7144,23,0.489090,-0.668924,-0.016567,0.489981,-0.667658,-0.016567,1.549,-0.840745,-1.940343,-1.768095,-1.034192,1.564199,-2.061693,0.035127,0
25,18.8144,24,0.489729,-0.668868,-0.016567,0.490137,-0.667658,-0.016567,1.277,-0.839461,-1.939941,-1.768706,-1.034363,1.564332,-2.062108,0.034927,0
26,18.9144,24,0.489728,-0.668764,-0.016567,0.490137,-0.667658,-0.016567,1.180,-0.838512,-1.939644,-1.768973,-1.034412,1.564424,-2.062372,0.034727,0
27,19.0144,25,0.489701,-0.668790,-0.016567,0.490292,-0.667671,-0.016567,1.265,-0.837165,-1.939234,-1.769482,-1.034495,1.564584,-2.062759,0.034527,0
28,19.1144,26,0.490073,-0.668768,-0.016567,0.490447,-0.667690,-0.016567,1.140,-0.835802,-1.938779,-1.769960,-1.034588,1.564716,-2.063198,0.034340,0
29,19.2144,28,0.490322,-0.668009,-0.016567,0.490737,-0.667874,-0.016567,0.436,-0.834103,-1.938272,-1.770608,-1.034726,1.564908,-2.063686,0.034140,0
30,19.3144,29,0.490364,-0.667602,-0.016567,0.490827,-0.668135,-0.016567,0.706,-0.833121,-1.937992,-1.770941,-1.034767,1.565004,-2.063961,0.033940,0
31,19.4144,30,0.490443,-0.667424,-0.016567,0.490851,-0.668425,-0.016567,1.081,-0.832797,-1.937928,-1.770977,-1.034784,1.565024,-2.064072,0.033740,0
32,19.5144,31,0.490725,-0.667410,-0.016567,0.490851,-0.668717,-0.016567,1.313,-0.832829,-1.937999,-1.770924,-1.034780,1.565040,-2.064061,0.033622,0
