step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,20.4734,0,0.500490,-0.670319,-0.016567,0.500430,-0.670305,-0.016567,0.061,-0.856348,-1.945840,-1.761778,-1.033203,1.562320,-2.056412,0.024997,0
2,20.5735,1,0.500472,-0.670229,-0.016567,0.500264,-0.670305,-0.016567,0.221,-0.856348,-1.945840,-1.761778,-1.033203,1.562320,-2.056412,0.025088,0
3,20.6746,2,0.500501,-0.670329,-0.016567,0.500108,-0.670305,-0.016567,0.393,-0.856348,-1.945840,-1.761778,-1.033203,1.562320,-2.056412,0.025278,0
4,20.7971,3,0.500382,-0.670200,-0.016567,0.499965,-0.670305,-0.016567,0.429,-0.856348,-1.945840,-1.761778,-1.033203,1.562320,-2.056412,0.025470,0
5,20.8943,4,0.500349,-0.670035,-0.016567,0.499814,-0.670305,-0.016567,0.599,-0.856348,-1.945840,-1.761778,-1.033203,1.562320,-2.056412,0.025651,0
6,20.9780,5,0.500026,-0.670190,-0.016567,0.499660,-0.670305,-0.016567,0.383,-0.856348,-1.945840,-1.761778,-1.033203,1.562320,-2.056412,0.025776,0
7,21.0728,6,0.499617,-0.670025,-0.016567,0.499509,-0.670305,-0.016567,0.301,-0.856348,-1.945840,-1.761778,-1.033203,1.562320,-2.056412,0.025872,0
8,21.1760,7,0.499629,-0.670054,-0.016567,0.499358,-0.670305,-0.016567,0.369,-0.856348,-1.945840,-1.761778,-1.033203,1.562320,-2.056412,0.026045,0
9,21.2729,8,0.499269,-0.670044,-0.016567,0.499207,-0.670305,-0.016567,0.269,-0.856348,-1.945840,-1.761778,-1.033203,1.562320,-2.056412,0.026161,0
10,21.4232,9,0.499269,-0.670044,-0.016567,0.499055,-0.670305,-0.016567,0.337,-0.856348,-1.945840,-1.761778,-1.033203,1.562320,-2.056412,0.026336,0
11,21.4747,10,0.499259,-0.670054,-0.016567,0.498904,-0.670305,-0.016567,0.434,-0.856348,-1.945840,-1.761778,-1.033203,1.562320,-2.056412,0.026522,0
12,21.5729,11,0.498888,-0.670054,-0.016567,0.498753,-0.670305,-0.016567,0.285,-0.856348,-1.945840,-1.761778,-1.033203,1.562320,-2.056412,0.026638,0
13,21.6727,12,0.498898,-0.670200,-0.016567,0.498603,-0.670305,-0.016567,0.314,-0.856348,-1.945840,-1.761778,-1.033203,1.562320,-2.056412,0.026816,0
14,21.7733,13,0.498485,-0.670233,-0.016567,0.498452,-0.670305,-0.016567,0.079,-0.856348,-1.945840,-1.761778,-1.033203,1.562320,-2.056412,0.026922,0
15,21.9474,14,0.498342,-0.670250,-0.016567,0.498301,-0.670305,-0.016567,0.068,-0.856348,-1.945840,-1.761778,-1.033203,1.562320,-2.056412,0.027067,0
16,21.9811,15,0.498342,-0.670250,-0.016567,0.498151,-0.670305,-0.016567,0.198,-0.856348,-1.945840,-1.761778,-1.033203,1.562320,-2.056412,0.027248,0
17,22.1836,16,0.498356,-0.670249,-0.016567,0.498001,-0.670305,-0.016567,0.359,-0.856348,-1.945840,-1.761778,-1.033203,1.562320,-2.056412,0.027440,0
18,22.2221,16,0.498356,-0.670249,-0.016567,0.498001,-0.670305,-0.016567,0.359,-0.856348,-1.945840,-1.761778,-1.033203,1.562320,-2.056412,0.027478,0
19,22.2932,17,0.498130,-0.670218,-0.016567,0.497851,-0.670305,-0.016567,0.292,-0.856348,-1.945840,-1.761778,-1.033203,1.562320,-2.056412,0.027624,0
20,22.3741,19,0.497654,-0.670664,-0.016567,0.497553,-0.670305,-0.016567,0.373,-0.856348,-1.945840,-1.761778,-1.033203,1.562320,-2.056412,0.027977,0
