step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,25.8593,0,0.500591,-0.670747,-0.016567,0.500587,-0.670747,-0.016567,0.004,-0.856357,-1.945837,-1.761754,-1.033196,1.562339,-2.056415,0.024993,0
2,25.9609,2,0.500603,-0.670758,-0.016567,0.500330,-0.670646,-0.016567,0.295,-0.856357,-1.945837,-1.761754,-1.033196,1.562339,-2.056415,0.025306,0
3,26.0591,3,0.500382,-0.670200,-0.016567,0.500177,-0.670534,-0.016567,0.392,-0.856357,-1.945837,-1.761754,-1.033196,1.562339,-2.056415,0.025401,0
4,26.1596,4,0.500420,-0.670760,-0.016567,0.500025,-0.670380,-0.016567,0.548,-0.856357,-1.945837,-1.761754,-1.033196,1.562339,-2.056415,0.025600,0
5,26.2603,5,0.500287,-0.670652,-0.016567,0.499891,-0.670209,-0.016567,0.594,-0.856357,-1.945837,-1.761754,-1.033196,1.562339,-2.056415,0.025775,0
6,26.3599,6,0.500176,-0.670086,-0.016567,0.499769,-0.670028,-0.016567,0.410,-0.856357,-1.945837,-1.761754,-1.033196,1.562339,-2.056415,0.025929,0
7,26.4681,7,0.499665,-0.670028,-0.016567,0.499659,-0.669840,-0.016567,0.188,-0.856357,-1.945837,-1.761754,-1.033196,1.562339,-2.056415,0.026006,0
8,26.5593,8,0.499586,-0.669863,-0.016567,0.499556,-0.669648,-0.016567,0.217,-0.856357,-1.945837,-1.761754,-1.033196,1.562339,-2.056415,0.026149,0
9,26.6604,9,0.499504,-0.669645,-0.016567,0.499459,-0.669452,-0.016567,0.198,-0.856357,-1.945837,-1.761754,-1.033196,1.562339,-2.056415,0.026302,0
10,26.7608,10,0.499295,-0.669286,-0.016567,0.499367,-0.669254,-0.016567,0.079,-0.856357,-1.945837,-1.761754,-1.033196,1.562339,-2.056415,0.026427,0
11,26.8595,11,0.499237,-0.669139,-0.016567,0.499279,-0.669053,-0.016567,0.096,-0.856357,-1.945837,-1.761754,-1.033196,1.562339,-2.056415,0.026581,0
12,26.9614,12,0.499218,-0.668959,-0.016567,0.499194,-0.668850,-0.016567,0.111,-0.856357,-1.945837,-1.761754,-1.033196,1.562339,-2.056415,0.026746,0
13,27.0613,13,0.498895,-0.668473,-0.016567,0.499112,-0.668645,-0.016567,0.277,-0.856357,-1.945837,-1.761754,-1.033196,1.562339,-2.056415,0.026844,0
14,27.1609,14,0.498845,-0.667885,-0.016567,0.499032,-0.668439,-0.016567,0.585,-0.856357,-1.945837,-1.761754,-1.033196,1.562339,-2.056415,0.026976,0
15,27.2615,15,0.498540,-0.667243,-0.016567,0.498955,-0.668231,-0.016567,1.072,-0.856357,-1.945837,-1.761754,-1.033196,1.562339,-2.056415,0.027061,0
16,27.3608,16,0.498498,-0.667160,-0.016567,0.498879,-0.668022,-0.016567,0.942,-0.856357,-1.945837,-1.761754,-1.033196,1.562339,-2.056415,0.027208,0
17,27.4684,17,0.498369,-0.666945,-0.016567,0.498804,-0.667811,-0.016567,0.969,-0.856357,-1.945837,-1.761754,-1.033196,1.562339,-2.056415,0.027345,0
18,27.5630,18,0.498243,-0.666782,-0.016567,0.498730,-0.667599,-0.016567,0.951,-0.856357,-1.945837,-1.761754,-1.033196,1.562339,-2.056415,0.027483,0
19,27.6616,19,0.498092,-0.666651,-0.016567,0.498657,-0.667385,-0.016567,0.926,-0.856357,-1.945837,-1.761754,-1.033196,1.562339,-2.056415,0.027618,0
20,27.7622,20,0.497971,-0.666301,-0.016567,0.498585,-0.667170,-0.016567,1.064,-0.856357,-1.945837,-1.761754,-1.033196,1.562339,-2.056415,0.027748,0
21,27.8608,21,0.497922,-0.666129,-0.016567,0.498513,-0.666954,-0.016567,1.015,-0.856357,-1.945837,-1.761754,-1.033196,1.562339,-2.056415,0.027899,0
22,27.9637,22,0.497971,-0.665557,-0.016567,0.498441,-0.666735,-0.016567,1.269,-0.856357,-1.945837,-1.761754,-1.033196,1.562339,-2.056415,0.028052,0
23,28.0615,23,0.497629,-0.665495,-0.016567,0.498370,-0.666515,-0.016567,1.261,-0.856357,-1.945837,-1.761754,-1.033196,1.562339,-2.056415,0.028158,0
24,28.1609,24,0.497783,-0.664876,-0.016567,0.498298,-0.666294,-0.016567,1.509,-0.856357,-1.945837,-1.761754,-1.033196,1.562339,-2.056415,0.028316,0
25,28.2615,25,0.497470,-0.664819,-0.016567,0.498227,-0.666071,-0.016567,1.463,-0.856357,-1.945837,-1.761754,-1.033196,1.562339,-2.056415,0.028430,0
26,28.3702,26,0.497411,-0.664703,-0.016567,0.498155,-0.665845,-0.016567,1.363,-0.856357,-1.945837,-1.761754,-1.033196,1.562339,-2.056415,0.028580,0
27,28.4612,27,0.497355,-0.664155,-0.016567,0.498082,-0.665618,-0.016567,1.633,-0.856357,-1.945837,-1.761754,-1.033196,1.562339,-2.056415,0.028711,0
28,28.5632,28,0.497417,-0.664130,-0.016567,0.498008,-0.665389,-0.016567,1.391,-0.856357,-1.945837,-1.761754,-1.033196,1.562339,-2.056415,0.028893,0
29,28.6615,29,0.497245,-0.663766,-0.016567,0.497934,-0.665158,-0.016567,1.553,-0.856357,-1.945837,-1.761754,-1.033196,1.562339,-2.056415,0.029024,0
30,28.7613,30,0.496855,-0.663394,-0.016567,0.497859,-0.664925,-0.016567,1.830,-0.856357,-1.945837,-1.761754,-1.033196,1.562339,-2.056415,0.029095,0
31,28.8737,32,0.497129,-0.663316,-0.016567,0.497703,-0.664451,-0.016567,1.272,-0.856357,-1.945837,-1.761754,-1.033196,1.562339,-2.056415,0.029447,0
32,28.9631,33,0.497058,-0.662526,-0.016567,0.497623,-0.664210,-0.016567,1.776,-0.856357,-1.945837,-1.761754,-1.033196,1.562339,-2.056415,0.029608,0
33,29.0616,34,0.497030,-0.662394,-0.016567,0.497540,-0.663966,-0.016567,1.652,-0.856357,-1.945837,-1.761754,-1.033196,1.562339,-2.056415,0.029770,0
34,29.1630,34,0.496708,-0.662013,-0.016567,0.497540,-0.663966,-0.016567,2.123,-0.856357,-1.945837,-1.761754,-1.033196,1.562339,-2.056415,0.029580,0
35,29.2627,35,0.496719,-0.661826,-0.016567,0.497455,-0.663719,-0.016567,2.031,-0.856357,-1.945837,-1.761754,-1.033196,1.562339,-2.056415,0.029742,0
36,29.3714,37,0.496798,-0.661654,-0.016567,0.497273,-0.663216,-0.016567,1.633,-0.856357,-1.945837,-1.761754,-1.033196,1.562339,-2.056415,0.030095,0
37,29.4622,37,0.496515,-0.661435,-0.016567,0.497273,-0.663216,-0.016567,1.935,-0.856357,-1.945837,-1.761754,-1.033196,1.562339,-2.056415,0.030015,0
38,29.5630,39,0.496485,-0.661169,-0.016567,0.497072,-0.662698,-0.016567,1.639,-0.856357,-1.945837,-1.761754,-1.033196,1.562339,-2.056415,0.030368,0
39,29.6621,40,0.496501,-0.660478,-0.016567,0.496962,-0.662435,-0.016567,2.010,-0.856357,-1.945837,-1.761754,-1.033196,1.562339,-2.056415,0.030569,0
40,29.7606,41,0.496415,-0.660023,-0.016567,0.496846,-0.662173,-0.016567,2.194,-0.856357,-1.945837,-1.761754,-1.033196,1.562339,-2.056415,0.030758,0
41,29.8629,41,0.496434,-0.659738,-0.016567,0.496846,-0.662173,-0.016567,2.470,-0.856357,-1.945837,-1.761754,-1.033196,1.562339,-2.056415,0.030629,0
42,29.9611,42,0.496096,-0.659589,-0.016567,0.496722,-0.661916,-0.016567,2.410,-0.856357,-1.945837,-1.761754,-1.033196,1.562339,-2.056415,0.030830,0
43,30.0629,43,0.496297,-0.659225,-0.016567,0.496588,-0.661663,-0.016567,2.456,-0.856357,-1.945837,-1.761754,-1.033196,1.562339,-2.056415,0.031032,0
44,30.1617,45,0.496130,-0.659214,-0.016567,0.496273,-0.661187,-0.016567,1.978,-0.856357,-1.945837,-1.761754,-1.033196,1.562339,-2.056415,0.031372,0
45,30.2611,46,0.495847,-0.659208,-0.016567,0.496077,-0.660979,-0.016567,1.786,-0.856357,-1.945837,-1.761754,-1.033196,1.562339,-2.056415,0.031533,0
46,30.3607,46,0.495972,-0.658887,-0.016567,0.496077,-0.660979,-0.016567,2.095,-0.856357,-1.945837,-1.761754,-1.033196,1.562339,-2.056415,0.031434,0
47,30.4619,47,0.495875,-0.658886,-0.016567,0.495838,-0.660825,-0.016567,1.940,-0.856357,-1.945837,-1.761754,-1.033196,1.562339,-2.056415,0.031637,0
48,30.5609,48,0.495926,-0.658784,-0.016567,0.495558,-0.660787,-0.016567,2.036,-0.856357,-1.945837,-1.761754,-1.033196,1.562339,-2.056415,0.031839,0
49,30.6613,49,0.495454,-0.658663,-0.016567,0.495294,-0.660889,-0.016567,2.231,-0.856357,-1.945837,-1.761754,-1.033196,1.562339,-2.056415,0.031967,0
50,30.7612,50,0.495332,-0.658672,-0.016567,0.495077,-0.661075,-0.016567,2.416,-0.856357,-1.945837,-1.761754,-1.033196,1.562339,-2.056415,0.032102,0
51,30.8632,51,0.495278,-0.658357,-0.016567,0.494896,-0.661295,-0.016567,2.963,-0.856357,-1.945837,-1.761754,-1.033196,1.562339,-2.056415,0.032206,0
52,30.9628,52,0.495310,-0.658741,-0.016567,0.494739,-0.661534,-0.016567,2.851,-0.856357,-1.945837,-1.761754,-1.033196,1.562339,-2.056415,0.032338,0
53,31.0721,53,0.495151,-0.658528,-0.016567,0.494598,-0.661783,-0.016567,3.302,-0.856357,-1.945837,-1.761754,-1.033196,1.562339,-2.056415,0.032417,0
54,31.1611,54,0.495002,-0.658663,-0.016567,0.494470,-0.662038,-0.016567,3.417,-0.856357,-1.945837,-1.761754,-1.033196,1.562339,-2.056415,0.032497,0
55,31.2639,55,0.494820,-0.658633,-0.016567,0.494349,-0.662298,-0.016567,3.695,-0.856357,-1.945837,-1.761754,-1.033196,1.562339,-2.056415,0.032557,0
56,31.3614,56,0.494779,-0.658787,-0.016567,0.494237,-0.662560,-0.016567,3.813,-0.856357,-1.945837,-1.761754,-1.033196,1.562339,-2.056415,0.032648,0
57,31.4605,57,0.494442,-0.659032,-0.016567,0.494129,-0.662825,-0.016567,3.806,-0.856357,-1.945837,-1.761754,-1.033196,1.562339,-2.056415,0.032693,0
58,31.6483,58,0.494398,-0.659068,-0.016567,0.494026,-0.663092,-0.016567,4.041,-0.856357,-1.945837,-1.761754,-1.033196,1.562339,-2.056415,0.032766,0
59,31.6612,59,0.494450,-0.659247,-0.016567,0.493926,-0.663360,-0.016567,4.146,-0.856357,-1.945837,-1.761754,-1.033196,1.562339,-2.056415,0.032927,0
60,31.7621,60,0.494424,-0.659670,-0.016567,0.493829,-0.663629,-0.016567,4.004,-0.856357,-1.945837,-1.761754,-1.033196,1.562339,-2.056415,0.032990,0
61,31.8596,61,0.493727,-0.660173,-0.016567,0.493735,-0.663899,-0.016567,3.726,-0.856357,-1.945837,-1.761754,-1.033196,1.562339,-2.056415,0.032966,0
62,31.9617,62,0.493609,-0.660419,-0.016567,0.493643,-0.664170,-0.016567,3.751,-0.856357,-1.945837,-1.761754,-1.033196,1.562339,-2.056415,0.033015,0
63,32.0624,63,0.493560,-0.660753,-0.016567,0.493552,-0.664441,-0.016567,3.688,-0.856357,-1.945837,-1.761754,-1.033196,1.562339,-2.056415,0.033095,0
64,32.2227,64,0.493450,-0.661099,-0.016567,0.493463,-0.664712,-0.016567,3.613,-0.856357,-1.945837,-1.761754,-1.033196,1.562339,-2.056415,0.033169,0
65,32.2610,65,0.493404,-0.661232,-0.016567,0.493374,-0.664984,-0.016567,3.753,-0.856357,-1.945837,-1.761754,-1.033196,1.562339,-2.056415,0.033240,0
66,32.3615,66,0.493154,-0.661838,-0.016567,0.493286,-0.665256,-0.016567,3.421,-0.856357,-1.945837,-1.761754,-1.033196,1.562339,-2.056415,0.033297,0
67,32.4623,67,0.492909,-0.661984,-0.016567,0.493199,-0.665529,-0.016567,3.557,-0.856357,-1.945837,-1.761754,-1.033196,1.562339,-2.056415,0.033326,0
68,32.5635,68,0.492776,-0.662450,-0.016567,0.493112,-0.665801,-0.016567,3.368,-0.856357,-1.945837,-1.761754,-1.033196,1.562339,-2.056415,0.033386,0
69,32.6658,69,0.492568,-0.662688,-0.016567,0.493025,-0.666073,-0.016567,3.416,-0.856357,-1.945837,-1.761754,-1.033196,1.562339,-2.056415,0.033428,0
70,32.7637,70,0.492786,-0.662909,-0.016567,0.492937,-0.666345,-0.016567,3.439,-0.856357,-1.945837,-1.761754,-1.033196,1.562339,-2.056415,0.033547,0
71,32.8638,71,0.492235,-0.663420,-0.016567,0.492849,-0.666618,-0.016567,3.256,-0.856357,-1.945837,-1.761754,-1.033196,1.562339,-2.056415,0.033545,0
72,32.9628,72,0.492075,-0.664102,-0.016567,0.492760,-0.666889,-0.016567,2.870,-0.856357,-1.945837,-1.761754,-1.033196,1.562339,-2.056415,0.033599,0
73,33.0682,73,0.492075,-0.664081,-0.016567,0.492671,-0.667161,-0.016567,3.137,-0.856357,-1.945837,-1.761754,-1.033196,1.562339,-2.056415,0.033672,0
74,33.1611,74,0.492129,-0.664486,-0.016567,0.492579,-0.667432,-0.016567,2.980,-0.856357,-1.945837,-1.761754,-1.033196,1.562339,-2.056415,0.033775,0
75,33.2599,75,0.491759,-0.665247,-0.016567,0.492486,-0.667702,-0.016567,2.561,-0.856357,-1.945837,-1.761754,-1.033196,1.562339,-2.056415,0.033812,0
76,33.3601,76,0.491864,-0.664866,-0.016567,0.492392,-0.667972,-0.016567,3.151,-0.856357,-1.945837,-1.761754,-1.033196,1.562339,-2.056415,0.033897,0
77,33.4600,77,0.491760,-0.665668,-0.016567,0.492294,-0.668241,-0.016567,2.627,-0.856357,-1.945837,-1.761754,-1.033196,1.562339,-2.056415,0.033986,0
78,33.5596,78,0.491466,-0.666376,-0.016567,0.492193,-0.668508,-0.016567,2.253,-0.856357,-1.945837,-1.761754,-1.033196,1.562339,-2.056415,0.034035,0
79,33.6601,79,0.491497,-0.666880,-0.016567,0.492089,-0.668774,-0.016567,1.984,-0.856357,-1.945837,-1.761754,-1.033196,1.562339,-2.056415,0.034137,0
80,33.7605,80,0.491299,-0.666877,-0.016567,0.491979,-0.669039,-0.016567,2.266,-0.856357,-1.945837,-1.761754,-1.033196,1.562339,-2.056415,0.034198,0
81,33.9087,81,0.491259,-0.667070,-0.016567,0.491864,-0.669300,-0.016567,2.311,-0.856357,-1.945837,-1.761754,-1.033196,1.562339,-2.056415,0.034288,0
82,33.9893,82,0.491293,-0.667598,-0.016567,0.491741,-0.669558,-0.016567,2.011,-0.856357,-1.945837,-1.761754,-1.033196,1.562339,-2.056415,0.034408,0
83,34.0776,83,0.490924,-0.667970,-0.016567,0.491609,-0.669812,-0.016567,1.965,-0.856357,-1.945837,-1.761754,-1.033196,1.562339,-2.056415,0.034456,0
84,34.1622,84,0.491036,-0.668193,-0.016567,0.491464,-0.670058,-0.016567,1.914,-0.856357,-1.945837,-1.761754,-1.033196,1.562339,-2.056415,0.034587,0
85,34.2611,85,0.490968,-0.669006,-0.016567,0.491300,-0.670292,-0.016567,1.329,-0.856357,-1.945837,-1.761754,-1.033196,1.562339,-2.056415,0.034710,0
