controller,key,rep,run_dir,stop_reason,steps,n_track,rms_track_mm,mean_track_mm,max_track_mm,p95_track_mm,mean_hold_mm,final_mm,duration_s
naive_inverse_jacobian_ltv,inv_ltv,1,close_loop_logs/pilot_invltv_vs_ltv_triangle20mm_2026-09-16/runs/inv_ltv_rep1_20260916T142333Z,path_complete,244,223,1.1647859635174074,0.8542690582959642,2.798,2.2065999999999995,1.4931428571428573,1.46,50.4041
mpc_ltv_offline,ltv,1,close_loop_logs/pilot_invltv_vs_ltv_triangle20mm_2026-09-16/runs/ltv_rep1_20260916T142517Z,path_complete,243,221,1.622903314255293,1.4864886877828054,3.744,2.775,0.7491818181818182,0.735,43.8594
naive_inverse_jacobian_ltv,inv_ltv,2,close_loop_logs/pilot_invltv_vs_ltv_triangle20mm_2026-09-16/runs/inv_ltv_rep2_20260916T142654Z,path_complete,244,223,1.0516384931046276,0.9625784753363229,2.274,1.6977,0.2939047619047619,0.42,52.2177
mpc_ltv_offline,ltv,2,close_loop_logs/pilot_invltv_vs_ltv_triangle20mm_2026-09-16/runs/ltv_rep2_20260916T142840Z,path_complete,243,222,1.6966911624986147,1.5558648648648645,3.745,2.91085,0.8718095238095236,0.81,47.8013
naive_inverse_jacobian_ltv,inv_ltv,3,close_loop_logs/pilot_invltv_vs_ltv_triangle20mm_2026-09-16/runs/inv_ltv_rep3_20260916T143021Z,path_complete,245,223,1.078554232843141,0.9680403587443945,2.735,1.8504999999999998,0.21995454545454549,0.17,47.7943
mpc_ltv_offline,ltv,3,close_loop_logs/pilot_invltv_vs_ltv_triangle20mm_2026-09-16/runs/ltv_rep3_20260916T143206Z,path_complete,243,222,1.5454185094560533,1.415504504504505,3.415,2.742899999999999,0.6263333333333334,0.464,57.5817
naive_inverse_jacobian_ltv,inv_ltv,4,close_loop_logs/pilot_invltv_vs_ltv_triangle20mm_2026-09-16/runs/inv_ltv_rep4_20260916T143357Z,path_complete,244,223,1.0652243074170378,0.9585381165919283,2.288,1.7668,0.2808571428571429,0.066,47.6024
mpc_ltv_offline,ltv,4,close_loop_logs/pilot_invltv_vs_ltv_triangle20mm_2026-09-16/runs/ltv_rep4_20260916T143544Z,path_complete,243,222,1.5520880965523378,1.4203333333333334,3.262,2.4151999999999996,0.9841904761904762,0.908,47.8632
naive_inverse_jacobian_ltv,inv_ltv,5,close_loop_logs/pilot_invltv_vs_ltv_triangle20mm_2026-09-16/runs/inv_ltv_rep5_20260916T143726Z,path_complete,244,223,0.9832499670774709,0.8887040358744394,2.305,1.7081999999999986,0.364,0.3,47.8962
mpc_ltv_offline,ltv,5,close_loop_logs/pilot_invltv_vs_ltv_triangle20mm_2026-09-16/runs/ltv_rep5_20260916T143907Z,path_complete,244,222,1.6995722501068713,1.5681846846846847,3.676,2.779049999999999,0.8087272727272726,0.769,51.33
