step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,23.3023,0,0.499991,-0.671490,-0.016567,0.500083,-0.671394,-0.016567,0.133,-0.856336,-1.945837,-1.761785,-1.033184,1.562312,-2.056427,0.025025,0
2,23.4024,1,0.500101,-0.671426,-0.016567,0.499893,-0.671258,-0.016567,0.267,-0.856336,-1.945837,-1.761785,-1.033184,1.562312,-2.056427,0.025338,0
3,23.5024,2,0.499863,-0.671361,-0.016567,0.499700,-0.671120,-0.016567,0.291,-0.856336,-1.945837,-1.761785,-1.033184,1.562312,-2.056427,0.025633,0
4,23.6023,3,0.499500,-0.670854,-0.016567,0.499512,-0.670986,-0.016567,0.133,-0.856336,-1.945837,-1.761785,-1.033184,1.562312,-2.056427,0.025809,0
5,23.7023,4,0.499501,-0.670921,-0.016567,0.499327,-0.670854,-0.016567,0.187,-0.856336,-1.945837,-1.761785,-1.033184,1.562312,-2.056427,0.026105,0
6,23.8024,5,0.499371,-0.670298,-0.016567,0.499144,-0.670723,-0.016567,0.482,-0.856336,-1.945837,-1.761785,-1.033184,1.562312,-2.056427,0.026409,0
7,23.9024,6,0.499019,-0.670150,-0.016567,0.498962,-0.670593,-0.016567,0.447,-0.856336,-1.945837,-1.761785,-1.033184,1.562312,-2.056427,0.026610,0
8,24.0024,7,0.498857,-0.670135,-0.016567,0.498782,-0.670464,-0.016567,0.338,-0.856336,-1.945837,-1.761785,-1.033184,1.562312,-2.056427,0.026826,0
9,24.1024,8,0.498484,-0.670117,-0.016567,0.498601,-0.670336,-0.016567,0.248,-0.856336,-1.945837,-1.761785,-1.033184,1.562312,-2.056427,0.026932,0
10,24.2024,9,0.498411,-0.670184,-0.016567,0.498422,-0.670207,-0.016567,0.025,-0.856336,-1.945837,-1.761785,-1.033184,1.562312,-2.056427,0.027113,0
11,24.3026,10,0.498088,-0.669944,-0.016567,0.498242,-0.670079,-0.016567,0.205,-0.856336,-1.945837,-1.761785,-1.033184,1.562312,-2.056427,0.027202,0
12,24.4024,11,0.498053,-0.669959,-0.016567,0.498064,-0.669951,-0.016567,0.013,-0.856336,-1.945837,-1.761785,-1.033184,1.562312,-2.056427,0.027384,0
13,24.5024,12,0.497922,-0.669792,-0.016567,0.497886,-0.669824,-0.016567,0.048,-0.856336,-1.945837,-1.761785,-1.033184,1.562312,-2.056427,0.027592,0
14,24.6024,13,0.497844,-0.669417,-0.016567,0.497708,-0.669697,-0.016567,0.312,-0.856336,-1.945837,-1.761785,-1.033184,1.562312,-2.056427,0.027841,0
15,24.7023,14,0.497272,-0.669302,-0.016567,0.497531,-0.669571,-0.016567,0.373,-0.856336,-1.945837,-1.761785,-1.033184,1.562312,-2.056427,0.027889,0
16,24.8024,15,0.497410,-0.669139,-0.016567,0.497355,-0.669445,-0.016567,0.311,-0.856336,-1.945837,-1.761785,-1.033184,1.562312,-2.056427,0.028086,0
17,24.9024,16,0.497365,-0.669164,-0.016567,0.497179,-0.669320,-0.016567,0.243,-0.856336,-1.945837,-1.761785,-1.033184,1.562312,-2.056427,0.028371,0
18,25.0023,17,0.497115,-0.668685,-0.016567,0.497004,-0.669195,-0.016567,0.521,-0.856336,-1.945837,-1.761785,-1.033184,1.562312,-2.056427,0.028581,0
19,25.1023,18,0.496817,-0.668472,-0.016567,0.496830,-0.669070,-0.016567,0.598,-0.856336,-1.945837,-1.761785,-1.033184,1.562312,-2.056427,0.028708,0
