step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,23.6001,0,0.500025,-0.671469,-0.016567,0.499960,-0.671434,-0.016567,0.074,-0.856345,-1.945852,-1.761763,-1.033227,1.562359,-2.056427,0.024997,0
2,23.7058,2,0.499934,-0.671473,-0.016567,0.499577,-0.671160,-0.016567,0.475,-0.856345,-1.945852,-1.761763,-1.033227,1.562359,-2.056427,0.025381,0
3,23.8030,3,0.499609,-0.670728,-0.016567,0.499389,-0.671026,-0.016567,0.370,-0.856345,-1.945852,-1.761763,-1.033227,1.562359,-2.056427,0.025581,0
4,23.9029,4,0.499555,-0.670988,-0.016567,0.499204,-0.670894,-0.016567,0.364,-0.856345,-1.945852,-1.761763,-1.033227,1.562359,-2.056427,0.025781,0
5,24.0086,5,0.499594,-0.670438,-0.016567,0.499021,-0.670763,-0.016567,0.659,-0.856345,-1.945852,-1.761763,-1.033227,1.562359,-2.056427,0.025981,0
6,24.1034,6,0.499410,-0.670619,-0.016567,0.498839,-0.670633,-0.016567,0.571,-0.856345,-1.945852,-1.761763,-1.033227,1.562359,-2.056427,0.026181,0
7,24.2028,7,0.499139,-0.670230,-0.016567,0.498659,-0.670504,-0.016567,0.554,-0.856345,-1.945852,-1.761763,-1.033227,1.562359,-2.056427,0.026381,0
8,24.3016,8,0.498678,-0.669963,-0.016567,0.498478,-0.670375,-0.016567,0.458,-0.856345,-1.945852,-1.761763,-1.033227,1.562359,-2.056427,0.026569,0
9,24.4012,9,0.498495,-0.670022,-0.016567,0.498298,-0.670247,-0.016567,0.298,-0.856345,-1.945852,-1.761763,-1.033227,1.562359,-2.056427,0.026760,0
10,24.5044,10,0.498387,-0.669782,-0.016567,0.498119,-0.670119,-0.016567,0.430,-0.856345,-1.945852,-1.761763,-1.033227,1.562359,-2.056427,0.026959,0
11,24.6007,11,0.497924,-0.669344,-0.016567,0.497941,-0.669991,-0.016567,0.647,-0.856345,-1.945852,-1.761763,-1.033227,1.562359,-2.056427,0.027086,0
12,24.7033,12,0.497827,-0.669252,-0.016567,0.497762,-0.669864,-0.016567,0.615,-0.856345,-1.945852,-1.761763,-1.033227,1.562359,-2.056427,0.027277,0
13,24.8039,13,0.497761,-0.669061,-0.016567,0.497585,-0.669737,-0.016567,0.699,-0.856345,-1.945852,-1.761763,-1.033227,1.562359,-2.056427,0.027477,0
14,24.9009,14,0.497374,-0.668780,-0.016567,0.497408,-0.669611,-0.016567,0.831,-0.856345,-1.945852,-1.761763,-1.033227,1.562359,-2.056427,0.027629,0
15,25.0028,15,0.497178,-0.668663,-0.016567,0.497232,-0.669485,-0.016567,0.824,-0.856345,-1.945852,-1.761763,-1.033227,1.562359,-2.056427,0.027805,0
16,25.1020,16,0.497023,-0.668533,-0.016567,0.497056,-0.669360,-0.016567,0.827,-0.856345,-1.945852,-1.761763,-1.033227,1.562359,-2.056427,0.027993,0
17,25.2041,17,0.497245,-0.668532,-0.016567,0.496881,-0.669235,-0.016567,0.791,-0.856345,-1.945852,-1.761763,-1.033227,1.562359,-2.056427,0.028193,0
18,25.3038,18,0.496777,-0.667998,-0.016567,0.496707,-0.669110,-0.016567,1.114,-0.856345,-1.945852,-1.761763,-1.033227,1.562359,-2.056427,0.028381,0
19,25.4040,19,0.496410,-0.667912,-0.016567,0.496533,-0.668986,-0.016567,1.081,-0.856345,-1.945852,-1.761763,-1.033227,1.562359,-2.056427,0.028532,0
20,25.5031,20,0.496389,-0.667953,-0.016567,0.496359,-0.668862,-0.016567,0.909,-0.856345,-1.945852,-1.761763,-1.033227,1.562359,-2.056427,0.028732,0
21,25.6036,21,0.496010,-0.667700,-0.016567,0.496186,-0.668738,-0.016567,1.053,-0.856345,-1.945852,-1.761763,-1.033227,1.562359,-2.056427,0.028892,0
22,25.7028,22,0.495944,-0.667279,-0.016567,0.496014,-0.668615,-0.016567,1.339,-0.856345,-1.945852,-1.761763,-1.033227,1.562359,-2.056427,0.029083,0
23,25.8087,23,0.495709,-0.667216,-0.016567,0.495842,-0.668493,-0.016567,1.284,-0.856345,-1.945852,-1.761763,-1.033227,1.562359,-2.056427,0.029259,0
24,25.9034,24,0.495805,-0.667190,-0.016567,0.495671,-0.668370,-0.016567,1.188,-0.856345,-1.945852,-1.761763,-1.033227,1.562359,-2.056427,0.029459,0
25,26.0035,25,0.495672,-0.666861,-0.016567,0.495500,-0.668248,-0.016567,1.398,-0.856345,-1.945852,-1.761763,-1.033227,1.562359,-2.056427,0.029659,0
26,26.1035,26,0.495323,-0.666477,-0.016567,0.495330,-0.668127,-0.016567,1.650,-0.856345,-1.945852,-1.761763,-1.033227,1.562359,-2.056427,0.029833,0
27,26.2033,27,0.495162,-0.666463,-0.016567,0.495160,-0.668005,-0.016567,1.543,-0.856345,-1.945852,-1.761763,-1.033227,1.562359,-2.056427,0.030025,0
28,26.3037,28,0.494855,-0.666275,-0.016567,0.494991,-0.667884,-0.016567,1.615,-0.856345,-1.945852,-1.761763,-1.033227,1.562359,-2.056427,0.030183,0
29,26.4037,29,0.494788,-0.666319,-0.016567,0.494822,-0.667764,-0.016567,1.445,-0.856345,-1.945852,-1.761763,-1.033227,1.562359,-2.056427,0.030383,0
30,26.5043,30,0.494883,-0.665981,-0.016567,0.494653,-0.667643,-0.016567,1.679,-0.856345,-1.945852,-1.761763,-1.033227,1.562359,-2.056427,0.030583,0
