step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,26.3431,0,0.500181,-0.671509,-0.016567,0.500140,-0.671460,-0.016567,0.064,-0.856352,-1.945818,-1.761770,-1.033187,1.562343,-2.056393,0.025067,0
2,26.4431,1,0.500107,-0.671477,-0.016567,0.499986,-0.671460,-0.016567,0.122,-0.856352,-1.945818,-1.761770,-1.033187,1.562343,-2.056393,0.025262,0
3,26.5432,2,0.499747,-0.670951,-0.016567,0.499835,-0.671460,-0.016567,0.517,-0.856352,-1.945818,-1.761770,-1.033187,1.562343,-2.056393,0.025348,0
4,26.6431,3,0.499665,-0.670845,-0.016567,0.499691,-0.671460,-0.016567,0.616,-0.856352,-1.945818,-1.761770,-1.033187,1.562343,-2.056393,0.025478,0
5,26.7433,4,0.499725,-0.670875,-0.016567,0.499544,-0.671460,-0.016567,0.612,-0.856352,-1.945818,-1.761770,-1.033187,1.562343,-2.056393,0.025733,0
6,26.8433,5,0.499505,-0.670847,-0.016567,0.499394,-0.671460,-0.016567,0.624,-0.856352,-1.945818,-1.761770,-1.033187,1.562343,-2.056393,0.025945,0
7,26.9431,6,0.498944,-0.670823,-0.016567,0.499246,-0.671460,-0.016567,0.705,-0.856352,-1.945818,-1.761770,-1.033187,1.562343,-2.056393,0.025958,0
8,27.0432,7,0.499096,-0.670796,-0.016567,0.499098,-0.671460,-0.016567,0.665,-0.856352,-1.945818,-1.761770,-1.033187,1.562343,-2.056393,0.026103,0
9,27.1432,7,0.499025,-0.670785,-0.016567,0.499098,-0.671460,-0.016567,0.680,-0.856352,-1.945818,-1.761770,-1.033187,1.562343,-2.056393,0.026051,0
10,27.2431,9,0.498834,-0.670889,-0.016567,0.498801,-0.671460,-0.016567,0.573,-0.856352,-1.945818,-1.761770,-1.033187,1.562343,-2.056393,0.026374,0
11,27.3432,10,0.498642,-0.670849,-0.016567,0.498652,-0.671460,-0.016567,0.612,-0.856352,-1.945818,-1.761770,-1.033187,1.562343,-2.056393,0.026517,0
12,27.4431,11,0.498619,-0.670879,-0.016567,0.498503,-0.671460,-0.016567,0.593,-0.856352,-1.945818,-1.761770,-1.033187,1.562343,-2.056393,0.026735,0
13,27.5431,12,0.498420,-0.670941,-0.016567,0.498354,-0.671460,-0.016567,0.524,-0.856352,-1.945818,-1.761770,-1.033187,1.562343,-2.056393,0.026924,0
14,27.6431,13,0.498311,-0.670870,-0.016567,0.498205,-0.671460,-0.016567,0.599,-0.856352,-1.945818,-1.761770,-1.033187,1.562343,-2.056393,0.027137,0
15,27.7431,14,0.497826,-0.671484,-0.016567,0.498056,-0.671460,-0.016567,0.231,-0.856352,-1.945818,-1.761770,-1.033187,1.562343,-2.056393,0.027155,0
16,27.8431,15,0.497805,-0.671363,-0.016567,0.497907,-0.671460,-0.016567,0.141,-0.856352,-1.945818,-1.761770,-1.033187,1.562343,-2.056393,0.027249,0
17,27.9431,16,0.497990,-0.671345,-0.016567,0.497757,-0.671460,-0.016567,0.260,-0.856352,-1.945818,-1.761770,-1.033187,1.562343,-2.056393,0.027542,0
18,28.0432,17,0.497437,-0.671633,-0.016567,0.497607,-0.671460,-0.016567,0.242,-0.856352,-1.945818,-1.761770,-1.033187,1.562343,-2.056393,0.027636,0
19,28.1431,18,0.497459,-0.671516,-0.016567,0.497457,-0.671460,-0.016567,0.055,-0.856352,-1.945818,-1.761770,-1.033187,1.562343,-2.056393,0.027793,0
20,28.2433,18,0.497538,-0.671483,-0.016567,0.497457,-0.671460,-0.016567,0.084,-0.856352,-1.945818,-1.761770,-1.033187,1.562343,-2.056393,0.027841,0
21,28.3431,20,0.497345,-0.671568,-0.016567,0.497156,-0.671460,-0.016567,0.217,-0.856352,-1.945818,-1.761770,-1.033187,1.562343,-2.056393,0.028265,0
