step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,28.1723,0,0.500688,-0.670670,-0.016567,0.500628,-0.670655,-0.016567,0.062,-0.856352,-1.945802,-1.761787,-1.033200,1.562352,-2.056397,0.025000,0
2,28.2746,2,0.500683,-0.670702,-0.016567,0.500323,-0.670655,-0.016567,0.364,-0.856352,-1.945802,-1.761787,-1.033200,1.562352,-2.056397,0.025314,0
3,28.3736,3,0.500584,-0.670583,-0.016567,0.500179,-0.670655,-0.016567,0.412,-0.856352,-1.945802,-1.761787,-1.033200,1.562352,-2.056397,0.025514,0
4,28.4713,4,0.500341,-0.670120,-0.016567,0.500031,-0.670655,-0.016567,0.618,-0.856352,-1.945802,-1.761787,-1.033200,1.562352,-2.056397,0.025661,0
5,28.5718,5,0.500094,-0.670175,-0.016567,0.499882,-0.670655,-0.016567,0.525,-0.856352,-1.945802,-1.761787,-1.033200,1.562352,-2.056397,0.025795,0
6,28.6718,6,0.499941,-0.670103,-0.016567,0.499734,-0.670655,-0.016567,0.590,-0.856352,-1.945802,-1.761787,-1.033200,1.562352,-2.056397,0.025945,0
7,28.7718,7,0.499851,-0.670546,-0.016567,0.499586,-0.670655,-0.016567,0.287,-0.856352,-1.945802,-1.761787,-1.033200,1.562352,-2.056397,0.026113,0
8,28.8717,8,0.499791,-0.670128,-0.016567,0.499437,-0.670655,-0.016567,0.635,-0.856352,-1.945802,-1.761787,-1.033200,1.562352,-2.056397,0.026286,0
9,28.9718,9,0.499471,-0.670659,-0.016567,0.499289,-0.670655,-0.016567,0.182,-0.856352,-1.945802,-1.761787,-1.033200,1.562352,-2.056397,0.026413,0
10,29.0761,10,0.499210,-0.670279,-0.016567,0.499140,-0.670655,-0.016567,0.383,-0.856352,-1.945802,-1.761787,-1.033200,1.562352,-2.056397,0.026539,0
11,29.2985,11,0.499064,-0.670707,-0.016567,0.498991,-0.670655,-0.016567,0.089,-0.856352,-1.945802,-1.761787,-1.033200,1.562352,-2.056397,0.026690,0
12,29.3060,11,0.499064,-0.670707,-0.016567,0.498991,-0.670655,-0.016567,0.089,-0.856352,-1.945802,-1.761787,-1.033200,1.562352,-2.056397,0.026686,0
13,29.3757,13,0.498899,-0.670676,-0.016567,0.498693,-0.670655,-0.016567,0.207,-0.856352,-1.945802,-1.761787,-1.033200,1.562352,-2.056397,0.027042,0
14,29.4720,14,0.498536,-0.670506,-0.016567,0.498544,-0.670655,-0.016567,0.150,-0.856352,-1.945802,-1.761787,-1.033200,1.562352,-2.056397,0.027147,0
15,29.5720,15,0.498365,-0.670640,-0.016567,0.498394,-0.670655,-0.016567,0.034,-0.856352,-1.945802,-1.761787,-1.033200,1.562352,-2.056397,0.027288,0
16,29.6727,16,0.498190,-0.670622,-0.016567,0.498245,-0.670655,-0.016567,0.064,-0.856352,-1.945802,-1.761787,-1.033200,1.562352,-2.056397,0.027435,0
17,29.7818,17,0.498160,-0.670491,-0.016567,0.498095,-0.670655,-0.016567,0.176,-0.856352,-1.945802,-1.761787,-1.033200,1.562352,-2.056397,0.027612,0
18,29.8734,18,0.498283,-0.670617,-0.016567,0.497945,-0.670655,-0.016567,0.340,-0.856352,-1.945802,-1.761787,-1.033200,1.562352,-2.056397,0.027812,0
19,29.9721,19,0.497990,-0.670603,-0.016567,0.497795,-0.670655,-0.016567,0.202,-0.856352,-1.945802,-1.761787,-1.033200,1.562352,-2.056397,0.027962,0
20,30.0728,20,0.497507,-0.670873,-0.016567,0.497644,-0.670655,-0.016567,0.257,-0.856352,-1.945802,-1.761787,-1.033200,1.562352,-2.056397,0.028051,0
21,30.1837,21,0.497549,-0.670754,-0.016567,0.497494,-0.670655,-0.016567,0.113,-0.856352,-1.945802,-1.761787,-1.033200,1.562352,-2.056397,0.028230,0
22,30.2722,22,0.497446,-0.670902,-0.016567,0.497343,-0.670655,-0.016567,0.268,-0.856352,-1.945802,-1.761787,-1.033200,1.562352,-2.056397,0.028400,0
23,30.3739,23,0.497262,-0.671372,-0.016567,0.497192,-0.670655,-0.016567,0.721,-0.856352,-1.945802,-1.761787,-1.033200,1.562352,-2.056397,0.028553,0
24,30.4743,24,0.497149,-0.671316,-0.016567,0.497041,-0.670655,-0.016567,0.670,-0.856352,-1.945802,-1.761787,-1.033200,1.562352,-2.056397,0.028715,0
25,30.5776,25,0.496977,-0.670982,-0.016567,0.496890,-0.670655,-0.016567,0.338,-0.856352,-1.945802,-1.761787,-1.033200,1.562352,-2.056397,0.028867,0
26,30.6739,26,0.496888,-0.671333,-0.016567,0.496738,-0.670655,-0.016567,0.695,-0.856352,-1.945802,-1.761787,-1.033200,1.562352,-2.056397,0.029034,0
27,30.7738,27,0.496719,-0.671392,-0.016567,0.496587,-0.670655,-0.016567,0.749,-0.856352,-1.945802,-1.761787,-1.033200,1.562352,-2.056397,0.029188,0
28,30.8857,28,0.496403,-0.670819,-0.016567,0.496436,-0.670655,-0.016567,0.167,-0.856352,-1.945802,-1.761787,-1.033200,1.562352,-2.056397,0.029310,0
29,30.9737,29,0.496353,-0.670835,-0.016567,0.496284,-0.670655,-0.016567,0.193,-0.856352,-1.945802,-1.761787,-1.033200,1.562352,-2.056397,0.029478,0
30,31.1022,30,0.496211,-0.670866,-0.016567,0.496133,-0.670655,-0.016567,0.225,-0.856352,-1.945802,-1.761787,-1.033200,1.562352,-2.056397,0.029638,0
31,31.1751,31,0.495865,-0.670881,-0.016567,0.495981,-0.670655,-0.016567,0.254,-0.856352,-1.945802,-1.761787,-1.033200,1.562352,-2.056397,0.029756,0
32,31.2733,32,0.496044,-0.670843,-0.016567,0.495830,-0.670655,-0.016567,0.285,-0.856352,-1.945802,-1.761787,-1.033200,1.562352,-2.056397,0.029956,0
33,31.4475,33,0.495887,-0.670857,-0.016567,0.495678,-0.670655,-0.016567,0.290,-0.856352,-1.945802,-1.761787,-1.033200,1.562352,-2.056397,0.030132,0
34,31.4876,34,0.495655,-0.671330,-0.016567,0.495527,-0.670655,-0.016567,0.687,-0.856352,-1.945802,-1.761787,-1.033200,1.562352,-2.056397,0.030276,0
35,31.5738,35,0.495358,-0.671453,-0.016567,0.495376,-0.670655,-0.016567,0.798,-0.856352,-1.945802,-1.761787,-1.033200,1.562352,-2.056397,0.030400,0
36,31.6736,36,0.495404,-0.671566,-0.016567,0.495225,-0.670655,-0.016567,0.928,-0.856352,-1.945802,-1.761787,-1.033200,1.562352,-2.056397,0.030587,0
37,31.7780,38,0.495333,-0.671343,-0.016567,0.494924,-0.670655,-0.016567,0.801,-0.856352,-1.945802,-1.761787,-1.033200,1.562352,-2.056397,0.030943,0
38,31.8745,39,0.494958,-0.671475,-0.016567,0.494773,-0.670655,-0.016567,0.841,-0.856352,-1.945802,-1.761787,-1.033200,1.562352,-2.056397,0.031070,0
39,31.9730,40,0.494870,-0.671491,-0.016567,0.494623,-0.670655,-0.016567,0.872,-0.856352,-1.945802,-1.761787,-1.033200,1.562352,-2.056397,0.031232,0
40,32.0719,40,0.494882,-0.671412,-0.016567,0.494623,-0.670655,-0.016567,0.799,-0.856352,-1.945802,-1.761787,-1.033200,1.562352,-2.056397,0.031112,0
41,32.1732,41,0.494663,-0.671424,-0.016567,0.494473,-0.670655,-0.016567,0.792,-0.856352,-1.945802,-1.761787,-1.033200,1.562352,-2.056397,0.031312,0
42,32.2752,42,0.494589,-0.671387,-0.016567,0.494323,-0.670655,-0.016567,0.779,-0.856352,-1.945802,-1.761787,-1.033200,1.562352,-2.056397,0.031512,0
43,32.3798,44,0.494320,-0.671620,-0.016567,0.494024,-0.670655,-0.016567,1.009,-0.856352,-1.945802,-1.761787,-1.033200,1.562352,-2.056397,0.031867,0
44,32.4798,44,0.494240,-0.671449,-0.016567,0.494024,-0.670655,-0.016567,0.822,-0.856352,-1.945802,-1.761787,-1.033200,1.562352,-2.056397,0.031728,0
45,32.6812,45,0.494120,-0.671639,-0.016567,0.493875,-0.670655,-0.016567,1.014,-0.856352,-1.945802,-1.761787,-1.033200,1.562352,-2.056397,0.031928,0
46,32.6963,46,0.493976,-0.671702,-0.016567,0.493726,-0.670655,-0.016567,1.076,-0.856352,-1.945802,-1.761787,-1.033200,1.562352,-2.056397,0.032128,0
47,32.7799,47,0.494067,-0.671535,-0.016567,0.493577,-0.670655,-0.016567,1.007,-0.856352,-1.945802,-1.761787,-1.033200,1.562352,-2.056397,0.032328,0
