step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,24.9892,0,0.500619,-0.671597,-0.016567,0.500490,-0.671592,-0.016567,0.129,-0.856340,-1.945852,-1.761775,-1.033196,1.562355,-2.056397,0.025031,0
2,25.0727,2,0.500551,-0.671626,-0.016567,0.500122,-0.671592,-0.016567,0.431,-0.856340,-1.945852,-1.761775,-1.033196,1.562355,-2.056397,0.025384,0
3,25.1725,3,0.500377,-0.671451,-0.016567,0.499962,-0.671592,-0.016567,0.438,-0.856340,-1.945852,-1.761775,-1.033196,1.562355,-2.056397,0.025584,0
4,25.2724,4,0.500074,-0.671086,-0.016567,0.499804,-0.671592,-0.016567,0.573,-0.856340,-1.945852,-1.761775,-1.033196,1.562355,-2.056397,0.025784,0
5,25.3716,5,0.500021,-0.671392,-0.016567,0.499648,-0.671592,-0.016567,0.424,-0.856340,-1.945852,-1.761775,-1.033196,1.562355,-2.056397,0.025984,0
6,25.4698,6,0.499695,-0.671458,-0.016567,0.499492,-0.671592,-0.016567,0.244,-0.856340,-1.945852,-1.761775,-1.033196,1.562355,-2.056397,0.026182,0
7,25.5699,7,0.499442,-0.671498,-0.016567,0.499336,-0.671592,-0.016567,0.141,-0.856340,-1.945852,-1.761775,-1.033196,1.562355,-2.056397,0.026287,0
8,25.6713,8,0.499458,-0.671449,-0.016567,0.499181,-0.671592,-0.016567,0.312,-0.856340,-1.945852,-1.761775,-1.033196,1.562355,-2.056397,0.026487,0
9,25.7714,9,0.499305,-0.671618,-0.016567,0.499025,-0.671592,-0.016567,0.281,-0.856340,-1.945852,-1.761775,-1.033196,1.562355,-2.056397,0.026687,0
10,25.8714,10,0.499094,-0.671606,-0.016567,0.498870,-0.671592,-0.016567,0.224,-0.856340,-1.945852,-1.761775,-1.033196,1.562355,-2.056397,0.026887,0
11,25.9717,11,0.499014,-0.671805,-0.016567,0.498714,-0.671592,-0.016567,0.368,-0.856340,-1.945852,-1.761775,-1.033196,1.562355,-2.056397,0.027087,0
12,26.0710,12,0.498661,-0.671540,-0.016567,0.498559,-0.671592,-0.016567,0.115,-0.856340,-1.945852,-1.761775,-1.033196,1.562355,-2.056397,0.027189,0
13,26.1699,13,0.498368,-0.671437,-0.016567,0.498403,-0.671592,-0.016567,0.160,-0.856340,-1.945852,-1.761775,-1.033196,1.562355,-2.056397,0.027154,0
14,26.2748,14,0.498519,-0.671022,-0.016567,0.498248,-0.671592,-0.016567,0.631,-0.856340,-1.945852,-1.761775,-1.033196,1.562355,-2.056397,0.027320,0
15,26.3720,15,0.498412,-0.671044,-0.016567,0.498093,-0.671592,-0.016567,0.635,-0.856340,-1.945852,-1.761775,-1.033196,1.562355,-2.056397,0.027520,0
16,26.4717,16,0.498154,-0.671057,-0.016567,0.497937,-0.671592,-0.016567,0.577,-0.856340,-1.945852,-1.761775,-1.033196,1.562355,-2.056397,0.027720,0
17,26.5718,16,0.498249,-0.671375,-0.016567,0.497937,-0.671592,-0.016567,0.380,-0.856340,-1.945852,-1.761775,-1.033196,1.562355,-2.056397,0.027765,0
18,26.6699,17,0.497895,-0.671597,-0.016567,0.497782,-0.671592,-0.016567,0.113,-0.856340,-1.945852,-1.761775,-1.033196,1.562355,-2.056397,0.027878,0
19,26.7700,19,0.497665,-0.671843,-0.016567,0.497471,-0.671592,-0.016567,0.317,-0.856340,-1.945852,-1.761775,-1.033196,1.562355,-2.056397,0.028231,0
20,26.8712,20,0.497602,-0.671823,-0.016567,0.497316,-0.671592,-0.016567,0.368,-0.856340,-1.945852,-1.761775,-1.033196,1.562355,-2.056397,0.028431,0
21,26.9710,21,0.497327,-0.671772,-0.016567,0.497160,-0.671592,-0.016567,0.245,-0.856340,-1.945852,-1.761775,-1.033196,1.562355,-2.056397,0.028600,0
22,27.0700,22,0.497162,-0.671795,-0.016567,0.497005,-0.671592,-0.016567,0.257,-0.856340,-1.945852,-1.761775,-1.033196,1.562355,-2.056397,0.028760,0
23,27.1702,23,0.497125,-0.671589,-0.016567,0.496849,-0.671592,-0.016567,0.276,-0.856340,-1.945852,-1.761775,-1.033196,1.562355,-2.056397,0.028960,0
24,27.2704,23,0.496978,-0.671617,-0.016567,0.496849,-0.671592,-0.016567,0.131,-0.856340,-1.945852,-1.761775,-1.033196,1.562355,-2.056397,0.028933,0
25,27.3717,24,0.496925,-0.671633,-0.016567,0.496694,-0.671592,-0.016567,0.235,-0.856340,-1.945852,-1.761775,-1.033196,1.562355,-2.056397,0.029133,0
26,27.4724,25,0.496826,-0.671767,-0.016567,0.496539,-0.671592,-0.016567,0.336,-0.856340,-1.945852,-1.761775,-1.033196,1.562355,-2.056397,0.029333,0
27,27.5720,27,0.496541,-0.671422,-0.016567,0.496228,-0.671592,-0.016567,0.356,-0.856340,-1.945852,-1.761775,-1.033196,1.562355,-2.056397,0.029689,0
28,27.6709,28,0.496243,-0.671551,-0.016567,0.496072,-0.671592,-0.016567,0.176,-0.856340,-1.945852,-1.761775,-1.033196,1.562355,-2.056397,0.029857,0
29,27.7712,29,0.495961,-0.671626,-0.016567,0.495917,-0.671592,-0.016567,0.055,-0.856340,-1.945852,-1.761775,-1.033196,1.562355,-2.056397,0.029903,0
30,27.8707,30,0.495910,-0.671713,-0.016567,0.495762,-0.671592,-0.016567,0.192,-0.856340,-1.945852,-1.761775,-1.033196,1.562355,-2.056397,0.030051,0
31,27.9717,31,0.495841,-0.671791,-0.016567,0.495606,-0.671592,-0.016567,0.308,-0.856340,-1.945852,-1.761775,-1.033196,1.562355,-2.056397,0.030251,0
32,28.0768,32,0.495823,-0.671815,-0.016567,0.495451,-0.671592,-0.016567,0.433,-0.856340,-1.945852,-1.761775,-1.033196,1.562355,-2.056397,0.030451,0
33,28.1718,33,0.495454,-0.671882,-0.016567,0.495295,-0.671592,-0.016567,0.330,-0.856340,-1.945852,-1.761775,-1.033196,1.562355,-2.056397,0.030613,0
34,28.2711,34,0.495223,-0.671788,-0.016567,0.495140,-0.671592,-0.016567,0.213,-0.856340,-1.945852,-1.761775,-1.033196,1.562355,-2.056397,0.030700,0
35,28.3712,35,0.495021,-0.671827,-0.016567,0.494985,-0.671592,-0.016567,0.238,-0.856340,-1.945852,-1.761775,-1.033196,1.562355,-2.056397,0.030742,0
36,28.4707,36,0.495021,-0.671827,-0.016567,0.494829,-0.671592,-0.016567,0.303,-0.856340,-1.945852,-1.761775,-1.033196,1.562355,-2.056397,0.030935,0
37,28.5713,37,0.495007,-0.671847,-0.016567,0.494674,-0.671592,-0.016567,0.420,-0.856340,-1.945852,-1.761775,-1.033196,1.562355,-2.056397,0.031135,0
38,28.6715,38,0.494709,-0.671827,-0.016567,0.494518,-0.671592,-0.016567,0.302,-0.856340,-1.945852,-1.761775,-1.033196,1.562355,-2.056397,0.031328,0
39,28.7709,39,0.494363,-0.671821,-0.016567,0.494363,-0.671592,-0.016567,0.229,-0.856340,-1.945852,-1.761775,-1.033196,1.562355,-2.056397,0.031335,0
40,28.8699,40,0.494345,-0.671805,-0.016567,0.494208,-0.671592,-0.016567,0.253,-0.856340,-1.945852,-1.761775,-1.033196,1.562355,-2.056397,0.031475,0
41,28.9709,41,0.494209,-0.672018,-0.016567,0.494052,-0.671592,-0.016567,0.453,-0.856340,-1.945852,-1.761775,-1.033196,1.562355,-2.056397,0.031638,0
42,29.0720,42,0.494023,-0.672016,-0.016567,0.493897,-0.671592,-0.016567,0.442,-0.856340,-1.945852,-1.761775,-1.033196,1.562355,-2.056397,0.031771,0
43,29.1710,43,0.493958,-0.671961,-0.016567,0.493741,-0.671592,-0.016567,0.427,-0.856340,-1.945852,-1.761775,-1.033196,1.562355,-2.056397,0.031971,0
44,29.2708,44,0.493786,-0.671896,-0.016567,0.493586,-0.671592,-0.016567,0.364,-0.856340,-1.945852,-1.761775,-1.033196,1.562355,-2.056397,0.032171,0
45,29.3704,45,0.493462,-0.671881,-0.016567,0.493431,-0.671592,-0.016567,0.290,-0.856340,-1.945852,-1.761775,-1.033196,1.562355,-2.056397,0.032209,0
46,29.4712,46,0.493554,-0.671827,-0.016567,0.493275,-0.671592,-0.016567,0.365,-0.856340,-1.945852,-1.761775,-1.033196,1.562355,-2.056397,0.032409,0
47,29.5717,47,0.493517,-0.671861,-0.016567,0.493120,-0.671592,-0.016567,0.479,-0.856340,-1.945852,-1.761775,-1.033196,1.562355,-2.056397,0.032609,0
48,29.6721,48,0.493196,-0.671789,-0.016567,0.492965,-0.671592,-0.016567,0.304,-0.856340,-1.945852,-1.761775,-1.033196,1.562355,-2.056397,0.032809,0
49,29.7717,49,0.493066,-0.671903,-0.016567,0.492809,-0.671592,-0.016567,0.403,-0.856340,-1.945852,-1.761775,-1.033196,1.562355,-2.056397,0.033009,0
50,29.8704,50,0.492765,-0.671866,-0.016567,0.492654,-0.671592,-0.016567,0.296,-0.856340,-1.945852,-1.761775,-1.033196,1.562355,-2.056397,0.033125,0
51,29.9738,51,0.492580,-0.671999,-0.016567,0.492498,-0.671592,-0.016567,0.415,-0.856340,-1.945852,-1.761775,-1.033196,1.562355,-2.056397,0.033214,0
52,30.0719,52,0.492677,-0.671998,-0.016567,0.492343,-0.671592,-0.016567,0.526,-0.856340,-1.945852,-1.761775,-1.033196,1.562355,-2.056397,0.033414,0
53,30.1726,53,0.492388,-0.672150,-0.016567,0.492188,-0.671592,-0.016567,0.593,-0.856340,-1.945852,-1.761775,-1.033196,1.562355,-2.056397,0.033614,0
54,30.2728,54,0.492501,-0.672101,-0.016567,0.492032,-0.671592,-0.016567,0.692,-0.856340,-1.945852,-1.761775,-1.033196,1.562355,-2.056397,0.033814,0
55,30.3727,55,0.492219,-0.671980,-0.016567,0.491877,-0.671592,-0.016567,0.518,-0.856340,-1.945852,-1.761775,-1.033196,1.562355,-2.056397,0.034014,0
56,30.4715,56,0.491837,-0.672058,-0.016567,0.491721,-0.671592,-0.016567,0.480,-0.856340,-1.945852,-1.761775,-1.033196,1.562355,-2.056397,0.034136,0
57,30.5719,57,0.491649,-0.671998,-0.016567,0.491566,-0.671592,-0.016567,0.415,-0.856340,-1.945852,-1.761775,-1.033196,1.562355,-2.056397,0.034226,0
58,30.6704,58,0.491515,-0.671969,-0.016567,0.491411,-0.671592,-0.016567,0.391,-0.856340,-1.945852,-1.761775,-1.033196,1.562355,-2.056397,0.034336,0
59,30.7739,59,0.491507,-0.672364,-0.016567,0.491255,-0.671592,-0.016567,0.812,-0.856340,-1.945852,-1.761775,-1.033196,1.562355,-2.056397,0.034536,0
60,30.8727,60,0.491515,-0.672033,-0.016567,0.491100,-0.671592,-0.016567,0.606,-0.856340,-1.945852,-1.761775,-1.033196,1.562355,-2.056397,0.034736,0
61,30.9711,61,0.491412,-0.672033,-0.016567,0.490944,-0.671592,-0.016567,0.643,-0.856340,-1.945852,-1.761775,-1.033196,1.562355,-2.056397,0.034936,0
62,31.0732,62,0.491097,-0.672095,-0.016567,0.490789,-0.671592,-0.016567,0.590,-0.856340,-1.945852,-1.761775,-1.033196,1.562355,-2.056397,0.035136,0
63,31.1713,63,0.490516,-0.672547,-0.016567,0.490634,-0.671592,-0.016567,0.962,-0.856340,-1.945852,-1.761775,-1.033196,1.562355,-2.056397,0.035136,0
64,31.2719,64,0.490539,-0.672563,-0.016567,0.490478,-0.671592,-0.016567,0.972,-0.856340,-1.945852,-1.761775,-1.033196,1.562355,-2.056397,0.035213,0
65,31.3725,64,0.490593,-0.672636,-0.016567,0.490478,-0.671592,-0.016567,1.050,-0.856340,-1.945852,-1.761775,-1.033196,1.562355,-2.056397,0.035186,0
66,31.4738,66,0.490516,-0.672547,-0.016567,0.490167,-0.671592,-0.016567,1.017,-0.856340,-1.945852,-1.761775,-1.033196,1.562355,-2.056397,0.035542,0
67,31.5729,67,0.490362,-0.672367,-0.016567,0.490012,-0.671592,-0.016567,0.851,-0.856340,-1.945852,-1.761775,-1.033196,1.562355,-2.056397,0.035742,0
