step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,25.1763,0,0.500441,-0.671785,-0.016567,0.500380,-0.671892,-0.016567,0.123,-0.856364,-1.945837,-1.761809,-1.033205,1.562332,-2.056400,0.024963,0
2,25.2591,0,0.500441,-0.671785,-0.016567,0.500380,-0.671892,-0.016567,0.123,-0.856364,-1.945837,-1.761809,-1.033205,1.562332,-2.056400,0.024864,0
3,25.3617,3,0.500435,-0.671904,-0.016567,0.499852,-0.671892,-0.016567,0.584,-0.856364,-1.945837,-1.761809,-1.033205,1.562332,-2.056400,0.025372,0
4,25.4725,4,0.500495,-0.671938,-0.016567,0.499693,-0.671892,-0.016567,0.803,-0.856364,-1.945837,-1.761809,-1.033205,1.562332,-2.056400,0.025572,0
5,25.5624,5,0.500409,-0.671890,-0.016567,0.499537,-0.671892,-0.016567,0.872,-0.856364,-1.945837,-1.761809,-1.033205,1.562332,-2.056400,0.025772,0
6,25.6657,6,0.500037,-0.671168,-0.016567,0.499381,-0.671892,-0.016567,0.977,-0.856364,-1.945837,-1.761809,-1.033205,1.562332,-2.056400,0.025972,0
7,25.7624,6,0.499897,-0.671495,-0.016567,0.499381,-0.671892,-0.016567,0.651,-0.856364,-1.945837,-1.761809,-1.033205,1.562332,-2.056400,0.026017,0
8,25.8624,7,0.499683,-0.671169,-0.016567,0.499225,-0.671892,-0.016567,0.856,-0.856364,-1.945837,-1.761809,-1.033205,1.562332,-2.056400,0.026217,0
9,25.9614,8,0.499463,-0.671554,-0.016567,0.499070,-0.671892,-0.016567,0.519,-0.856364,-1.945837,-1.761809,-1.033205,1.562332,-2.056400,0.026417,0
10,26.0614,10,0.499188,-0.671635,-0.016567,0.498759,-0.671892,-0.016567,0.500,-0.856364,-1.945837,-1.761809,-1.033205,1.562332,-2.056400,0.026772,0
11,26.1628,11,0.499012,-0.671876,-0.016567,0.498604,-0.671892,-0.016567,0.409,-0.856364,-1.945837,-1.761809,-1.033205,1.562332,-2.056400,0.026972,0
12,26.2616,12,0.498806,-0.671743,-0.016567,0.498448,-0.671892,-0.016567,0.387,-0.856364,-1.945837,-1.761809,-1.033205,1.562332,-2.056400,0.027172,0
13,26.3617,13,0.498579,-0.671676,-0.016567,0.498293,-0.671892,-0.016567,0.358,-0.856364,-1.945837,-1.761809,-1.033205,1.562332,-2.056400,0.027372,0
14,26.4620,14,0.498450,-0.671694,-0.016567,0.498137,-0.671892,-0.016567,0.370,-0.856364,-1.945837,-1.761809,-1.033205,1.562332,-2.056400,0.027572,0
15,26.5625,14,0.498372,-0.671604,-0.016567,0.498137,-0.671892,-0.016567,0.371,-0.856364,-1.945837,-1.761809,-1.033205,1.562332,-2.056400,0.027617,0
16,26.6601,15,0.498065,-0.671900,-0.016567,0.497982,-0.671892,-0.016567,0.083,-0.856364,-1.945837,-1.761809,-1.033205,1.562332,-2.056400,0.027701,0
17,26.7591,17,0.497831,-0.671881,-0.016567,0.497671,-0.671892,-0.016567,0.160,-0.856364,-1.945837,-1.761809,-1.033205,1.562332,-2.056400,0.028015,0
