step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,19.2839,0,0.500431,-0.671835,-0.016567,0.500333,-0.671809,-0.016567,0.101,-0.856321,-1.945861,-1.761778,-1.033208,1.562336,-2.056415,0.025059,0
2,19.3826,1,0.500472,-0.671811,-0.016567,0.500133,-0.671809,-0.016567,0.339,-0.856321,-1.945861,-1.761778,-1.033208,1.562336,-2.056415,0.025259,0
3,19.4826,2,0.500413,-0.671834,-0.016567,0.499965,-0.671809,-0.016567,0.448,-0.856321,-1.945861,-1.761778,-1.033208,1.562336,-2.056415,0.025459,0
4,19.5826,3,0.500096,-0.671463,-0.016567,0.499805,-0.671809,-0.016567,0.452,-0.856321,-1.945861,-1.761778,-1.033208,1.562336,-2.056415,0.025627,0
5,19.6827,4,0.499888,-0.671611,-0.016567,0.499647,-0.671809,-0.016567,0.312,-0.856321,-1.945861,-1.761778,-1.033208,1.562336,-2.056415,0.025767,0
6,19.7826,5,0.499718,-0.671612,-0.016567,0.499490,-0.671809,-0.016567,0.301,-0.856321,-1.945861,-1.761778,-1.033208,1.562336,-2.056415,0.025900,0
7,19.8826,6,0.499716,-0.671676,-0.016567,0.499335,-0.671809,-0.016567,0.404,-0.856321,-1.945861,-1.761778,-1.033208,1.562336,-2.056415,0.026100,0
8,19.9826,7,0.499353,-0.671666,-0.016567,0.499179,-0.671809,-0.016567,0.225,-0.856321,-1.945861,-1.761778,-1.033208,1.562336,-2.056415,0.026202,0
9,20.0825,8,0.499233,-0.671658,-0.016567,0.499023,-0.671809,-0.016567,0.259,-0.856321,-1.945861,-1.761778,-1.033208,1.562336,-2.056415,0.026324,0
10,20.1826,9,0.499190,-0.671772,-0.016567,0.498868,-0.671809,-0.016567,0.324,-0.856321,-1.945861,-1.761778,-1.033208,1.562336,-2.056415,0.026516,0
11,20.2826,10,0.499105,-0.671819,-0.016567,0.498712,-0.671809,-0.016567,0.393,-0.856321,-1.945861,-1.761778,-1.033208,1.562336,-2.056415,0.026716,0
12,20.3826,11,0.498754,-0.671829,-0.016567,0.498557,-0.671809,-0.016567,0.198,-0.856321,-1.945861,-1.761778,-1.033208,1.562336,-2.056415,0.026834,0
13,20.4826,12,0.498601,-0.671802,-0.016567,0.498402,-0.671809,-0.016567,0.200,-0.856321,-1.945861,-1.761778,-1.033208,1.562336,-2.056415,0.026954,0
14,20.5826,13,0.498552,-0.671816,-0.016567,0.498246,-0.671809,-0.016567,0.306,-0.856321,-1.945861,-1.761778,-1.033208,1.562336,-2.056415,0.027137,0
15,20.6826,14,0.498331,-0.671824,-0.016567,0.498091,-0.671809,-0.016567,0.241,-0.856321,-1.945861,-1.761778,-1.033208,1.562336,-2.056415,0.027281,0
16,20.7826,15,0.498269,-0.671801,-0.016567,0.497935,-0.671809,-0.016567,0.333,-0.856321,-1.945861,-1.761778,-1.033208,1.562336,-2.056415,0.027480,0
17,20.8827,16,0.498016,-0.671833,-0.016567,0.497780,-0.671809,-0.016567,0.237,-0.856321,-1.945861,-1.761778,-1.033208,1.562336,-2.056415,0.027622,0
18,20.9826,17,0.498009,-0.671655,-0.016567,0.497625,-0.671809,-0.016567,0.414,-0.856321,-1.945861,-1.761778,-1.033208,1.562336,-2.056415,0.027822,0
19,21.0826,18,0.497629,-0.671827,-0.016567,0.497469,-0.671809,-0.016567,0.161,-0.856321,-1.945861,-1.761778,-1.033208,1.562336,-2.056415,0.027918,0
