step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,22.7732,0,0.500129,-0.671748,-0.016567,0.499965,-0.671754,-0.016567,0.163,-0.856328,-1.945845,-1.761759,-1.033227,1.562355,-2.056415,0.025077,0
2,22.8551,1,0.500170,-0.671780,-0.016567,0.499765,-0.671754,-0.016567,0.405,-0.856328,-1.945845,-1.761759,-1.033227,1.562355,-2.056415,0.025277,0
3,22.9546,3,0.500103,-0.671797,-0.016567,0.499437,-0.671754,-0.016567,0.668,-0.856328,-1.945845,-1.761759,-1.033227,1.562355,-2.056415,0.025477,0
4,23.0541,4,0.499794,-0.671480,-0.016567,0.499279,-0.671754,-0.016567,0.584,-0.856328,-1.945845,-1.761759,-1.033227,1.562355,-2.056415,0.025677,0
5,23.1534,4,0.499736,-0.671628,-0.016567,0.499279,-0.671754,-0.016567,0.474,-0.856328,-1.945845,-1.761759,-1.033227,1.562355,-2.056415,0.025772,0
6,23.2548,6,0.499475,-0.671640,-0.016567,0.498967,-0.671754,-0.016567,0.521,-0.856328,-1.945845,-1.761759,-1.033227,1.562355,-2.056415,0.025972,0
7,23.3543,7,0.499221,-0.671678,-0.016567,0.498811,-0.671754,-0.016567,0.417,-0.856328,-1.945845,-1.761759,-1.033227,1.562355,-2.056415,0.026172,0
8,23.4535,8,0.498982,-0.671731,-0.016567,0.498656,-0.671754,-0.016567,0.327,-0.856328,-1.945845,-1.761759,-1.033227,1.562355,-2.056415,0.026343,0
9,23.5525,9,0.498811,-0.671840,-0.016567,0.498500,-0.671754,-0.016567,0.323,-0.856328,-1.945845,-1.761759,-1.033227,1.562355,-2.056415,0.026499,0
10,23.6526,10,0.498601,-0.671847,-0.016567,0.498345,-0.671754,-0.016567,0.273,-0.856328,-1.945845,-1.761759,-1.033227,1.562355,-2.056415,0.026644,0
11,23.7526,11,0.498435,-0.671850,-0.016567,0.498189,-0.671754,-0.016567,0.264,-0.856328,-1.945845,-1.761759,-1.033227,1.562355,-2.056415,0.026795,0
12,23.8533,11,0.498476,-0.671826,-0.016567,0.498189,-0.671754,-0.016567,0.296,-0.856328,-1.945845,-1.761759,-1.033227,1.562355,-2.056415,0.026834,0
13,23.9550,13,0.498364,-0.671837,-0.016567,0.497878,-0.671754,-0.016567,0.493,-0.856328,-1.945845,-1.761759,-1.033227,1.562355,-2.056415,0.027034,0
14,24.0547,14,0.498130,-0.671847,-0.016567,0.497723,-0.671754,-0.016567,0.418,-0.856328,-1.945845,-1.761759,-1.033227,1.562355,-2.056415,0.027234,0
15,24.1542,15,0.497957,-0.671812,-0.016567,0.497568,-0.671754,-0.016567,0.394,-0.856328,-1.945845,-1.761759,-1.033227,1.562355,-2.056415,0.027434,0
16,24.2527,16,0.497766,-0.671694,-0.016567,0.497412,-0.671754,-0.016567,0.359,-0.856328,-1.945845,-1.761759,-1.033227,1.562355,-2.056415,0.027595,0
