step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,28.0487,0,0.499285,-0.670741,-0.016567,0.499245,-0.670753,-0.016567,0.042,-0.856341,-1.945837,-1.761754,-1.033212,1.562324,-2.056400,0.025000,0
2,28.1493,1,0.499285,-0.670741,-0.016567,0.499079,-0.670753,-0.016567,0.206,-0.856348,-1.945840,-1.761751,-1.033193,1.562336,-2.056397,0.025052,0
3,28.2498,2,0.499308,-0.670760,-0.016567,0.498923,-0.670753,-0.016567,0.385,-0.856360,-1.945813,-1.761758,-1.033212,1.562309,-2.056400,0.025169,0
4,28.3503,3,0.499046,-0.670345,-0.016567,0.498780,-0.670753,-0.016567,0.486,-0.857014,-1.943845,-1.760925,-1.033780,1.562120,-2.056684,0.025322,0
5,28.4509,3,0.499224,-0.670784,-0.016567,0.498780,-0.670753,-0.016567,0.445,-0.857574,-1.942161,-1.760213,-1.034423,1.561811,-2.056936,0.025476,0
6,28.5514,5,0.498876,-0.670766,-0.016567,0.498475,-0.670753,-0.016567,0.401,-0.858865,-1.939537,-1.758975,-1.034840,1.560926,-2.057374,0.025629,0
7,28.6520,6,0.498518,-0.670725,-0.016567,0.498324,-0.670753,-0.016567,0.196,-0.858965,-1.940866,-1.759261,-1.034425,1.560620,-2.057419,0.025782,0
8,28.7524,7,0.498549,-0.670205,-0.016567,0.498173,-0.670753,-0.016567,0.664,-0.858414,-1.941516,-1.759987,-1.034564,1.561115,-2.057299,0.025935,0
9,28.8529,8,0.498378,-0.670550,-0.016567,0.498022,-0.670753,-0.016567,0.411,-0.858313,-1.941393,-1.759872,-1.034560,1.561021,-2.057123,0.026088,0
10,28.9535,9,0.498235,-0.670647,-0.016567,0.497870,-0.670753,-0.016567,0.380,-0.859097,-1.941378,-1.758652,-1.033930,1.560403,-2.057254,0.026241,0
11,29.0540,10,0.498062,-0.670744,-0.016567,0.497719,-0.670753,-0.016567,0.342,-0.859955,-1.941564,-1.758005,-1.033328,1.559683,-2.057424,0.026393,0
12,29.1545,11,0.497785,-0.670786,-0.016567,0.497568,-0.670753,-0.016567,0.220,-0.859185,-1.941605,-1.759135,-1.033868,1.560353,-2.057424,0.026546,0
13,29.2550,12,0.497614,-0.670739,-0.016567,0.497417,-0.670753,-0.016567,0.197,-0.858778,-1.941612,-1.759466,-1.034048,1.560403,-2.057331,0.026699,0
14,29.3555,13,0.497440,-0.670770,-0.016567,0.497267,-0.670753,-0.016567,0.174,-0.858730,-1.941660,-1.759398,-1.034041,1.560494,-2.057263,0.026852,0
15,29.4561,14,0.497376,-0.670760,-0.016567,0.497116,-0.670753,-0.016567,0.260,-0.858841,-1.941852,-1.759274,-1.034082,1.560431,-2.057259,0.027005,0
16,29.5566,15,0.497069,-0.670770,-0.016567,0.496966,-0.670753,-0.016567,0.104,-0.858997,-1.941908,-1.759194,-1.034060,1.560419,-2.057311,0.027158,0
17,29.6571,16,0.497069,-0.670770,-0.016567,0.496816,-0.670753,-0.016567,0.254,-0.859026,-1.941944,-1.759218,-1.034094,1.560419,-2.057370,0.027311,0
18,29.7577,17,0.497047,-0.670789,-0.016567,0.496666,-0.670753,-0.016567,0.382,-0.859175,-1.942028,-1.759119,-1.033993,1.560200,-2.057422,0.027464,0
19,29.8582,18,0.496725,-0.670825,-0.016567,0.496517,-0.670753,-0.016567,0.220,-0.859225,-1.942117,-1.758859,-1.033801,1.560140,-2.057419,0.027617,0
20,29.9587,19,0.496546,-0.671241,-0.016567,0.496368,-0.670753,-0.016567,0.519,-0.859343,-1.942223,-1.758803,-1.033760,1.560011,-2.057467,0.027770,0
21,30.0592,20,0.496487,-0.670992,-0.016567,0.496219,-0.670753,-0.016567,0.360,-0.859252,-1.942207,-1.758982,-1.033703,1.560035,-2.057479,0.027922,0
