step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,22.8086,0,0.498327,-0.670299,-0.016567,0.498217,-0.670287,-0.016567,0.111,-0.856355,-1.945837,-1.761747,-1.033196,1.562339,-2.056415,0.025000,0
2,22.9091,1,0.498305,-0.670260,-0.016567,0.498051,-0.670287,-0.016567,0.255,-0.856345,-1.945840,-1.761763,-1.033200,1.562327,-2.056400,0.025052,0
3,23.0096,2,0.498353,-0.670276,-0.016567,0.497895,-0.670287,-0.016567,0.458,-0.856367,-1.945734,-1.761778,-1.033231,1.562339,-2.056412,0.025169,0
4,23.1102,3,0.498180,-0.670263,-0.016567,0.497752,-0.670287,-0.016567,0.428,-0.857014,-1.943841,-1.760938,-1.033956,1.562180,-2.056715,0.025322,0
5,23.2108,4,0.498101,-0.670237,-0.016567,0.497601,-0.670287,-0.016567,0.502,-0.857634,-1.942197,-1.760252,-1.034519,1.561859,-2.056955,0.025475,0
6,23.3113,5,0.497867,-0.670279,-0.016567,0.497447,-0.670287,-0.016567,0.420,-0.858591,-1.939486,-1.759378,-1.035047,1.561371,-2.057278,0.025628,0
7,23.4119,6,0.497708,-0.670374,-0.016567,0.497296,-0.670287,-0.016567,0.420,-0.858566,-1.940199,-1.759597,-1.035020,1.561422,-2.057275,0.025781,0
8,23.5128,7,0.497626,-0.670375,-0.016567,0.497145,-0.670287,-0.016567,0.489,-0.858535,-1.941264,-1.759768,-1.034816,1.561199,-2.057234,0.025934,0
9,23.6133,8,0.497495,-0.670171,-0.016567,0.496994,-0.670287,-0.016567,0.515,-0.858374,-1.941350,-1.759765,-1.034780,1.561097,-2.057164,0.026087,0
10,23.7138,9,0.497034,-0.670284,-0.016567,0.496842,-0.670287,-0.016567,0.192,-0.858182,-1.941085,-1.759760,-1.034799,1.560967,-2.057282,0.026240,0
11,23.8144,10,0.496967,-0.670736,-0.016567,0.496691,-0.670287,-0.016567,0.526,-0.858568,-1.941209,-1.759554,-1.034547,1.560883,-2.057299,0.026392,0
12,23.9149,11,0.496722,-0.670623,-0.016567,0.496540,-0.670287,-0.016567,0.382,-0.859049,-1.941465,-1.759377,-1.034324,1.560671,-2.057259,0.026545,0
13,24.0154,12,0.496523,-0.670789,-0.016567,0.496389,-0.670287,-0.016567,0.519,-0.858051,-1.941254,-1.759820,-1.034336,1.560735,-2.057422,0.026698,0
14,24.1160,13,0.496603,-0.670809,-0.016567,0.496239,-0.670287,-0.016567,0.636,-0.856984,-1.941054,-1.760230,-1.034352,1.560786,-2.057718,0.026851,0
15,24.2166,14,0.496284,-0.670713,-0.016567,0.496088,-0.670287,-0.016567,0.469,-0.856648,-1.941018,-1.760220,-1.034344,1.560740,-2.057910,0.027004,0
16,24.3171,15,0.496121,-0.670657,-0.016567,0.495938,-0.670287,-0.016567,0.413,-0.856644,-1.941034,-1.760211,-1.034360,1.560767,-2.057931,0.027157,0
17,24.4177,16,0.495926,-0.671028,-0.016567,0.495788,-0.670287,-0.016567,0.753,-0.856843,-1.941094,-1.760127,-1.034363,1.560755,-2.057961,0.027310,0
18,24.5182,17,0.495876,-0.670699,-0.016567,0.495638,-0.670287,-0.016567,0.476,-0.857282,-1.941261,-1.759905,-1.034284,1.560647,-2.057922,0.027463,0
19,24.6188,18,0.495819,-0.670717,-0.016567,0.495489,-0.670287,-0.016567,0.542,-0.856852,-1.941162,-1.760080,-1.034248,1.560560,-2.057973,0.027616,0
20,24.7193,19,0.495595,-0.670647,-0.016567,0.495340,-0.670287,-0.016567,0.442,-0.856560,-1.941226,-1.760059,-1.034041,1.560523,-2.058129,0.027769,0
21,24.8199,20,0.495431,-0.670729,-0.016567,0.495191,-0.670287,-0.016567,0.503,-0.857374,-1.941421,-1.759570,-1.033701,1.560095,-2.058105,0.027921,0
22,24.9204,21,0.495411,-0.670980,-0.016567,0.495042,-0.670287,-0.016567,0.785,-0.857746,-1.941624,-1.759466,-1.033727,1.560038,-2.058026,0.028074,0
23,25.0210,22,0.495299,-0.671045,-0.016567,0.494894,-0.670287,-0.016567,0.859,-0.857843,-1.941692,-1.759386,-1.033609,1.560043,-2.057982,0.028227,0
24,25.1216,23,0.495047,-0.670964,-0.016567,0.494745,-0.670287,-0.016567,0.741,-0.857451,-1.941620,-1.759509,-1.033645,1.560038,-2.058054,0.028380,0
25,25.2222,24,0.494692,-0.670723,-0.016567,0.494597,-0.670287,-0.016567,0.446,-0.856161,-1.941361,-1.759856,-1.033640,1.560107,-2.058489,0.028533,0
26,25.3228,25,0.494634,-0.671021,-0.016567,0.494449,-0.670287,-0.016567,0.756,-0.856386,-1.941393,-1.759737,-1.033513,1.560023,-2.058533,0.028686,0
27,25.4233,26,0.494455,-0.670913,-0.016567,0.494302,-0.670287,-0.016567,0.644,-0.857290,-1.941657,-1.759334,-1.033256,1.559987,-2.058389,0.028839,0
28,25.5240,27,0.494261,-0.671398,-0.016567,0.494154,-0.670287,-0.016567,1.116,-0.857544,-1.941670,-1.759246,-1.033164,1.559615,-2.058333,0.028992,0
29,25.6249,28,0.494278,-0.671072,-0.016567,0.494007,-0.670287,-0.016567,0.831,-0.856973,-1.941681,-1.759338,-1.033179,1.559786,-2.058369,0.029145,0
30,25.7254,29,0.494033,-0.670944,-0.016567,0.493859,-0.670287,-0.016567,0.680,-0.856146,-1.941465,-1.759594,-1.033148,1.559659,-2.058677,0.029298,0
31,25.8260,30,0.493945,-0.670720,-0.016567,0.493712,-0.670287,-0.016567,0.492,-0.855445,-1.941361,-1.759864,-1.033160,1.559852,-2.058896,0.029451,0
32,25.9266,31,0.493754,-0.671110,-0.016567,0.493565,-0.670287,-0.016567,0.844,-0.856900,-1.941681,-1.759043,-1.032933,1.559524,-2.058670,0.029603,0
33,26.0271,32,0.493643,-0.671096,-0.016567,0.493418,-0.670287,-0.016567,0.840,-0.858285,-1.942223,-1.758512,-1.032701,1.559373,-2.058405,0.029756,0
34,26.1277,33,0.493284,-0.671042,-0.016567,0.493271,-0.670287,-0.016567,0.755,-0.857732,-1.942055,-1.758774,-1.032612,1.559291,-2.058429,0.029909,0
