step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,20.8068,0,0.498464,-0.670245,-0.016567,0.498387,-0.670304,-0.016567,0.097,-0.856345,-1.945852,-1.761770,-1.033208,1.562324,-2.056415,0.025000,0
2,20.9074,1,0.498329,-0.670316,-0.016567,0.498221,-0.670304,-0.016567,0.109,-0.856379,-1.945837,-1.761751,-1.033196,1.562339,-2.056397,0.025052,0
3,21.0079,2,0.498474,-0.670252,-0.016567,0.498064,-0.670304,-0.016567,0.413,-0.856360,-1.945702,-1.761742,-1.033205,1.562327,-2.056415,0.025169,0
4,21.1086,3,0.498201,-0.670262,-0.016567,0.497922,-0.670304,-0.016567,0.282,-0.856929,-1.943838,-1.761033,-1.033979,1.562153,-2.056742,0.025322,0
5,21.2092,4,0.498237,-0.670707,-0.016567,0.497770,-0.670304,-0.016567,0.617,-0.858114,-1.940529,-1.759753,-1.034999,1.561511,-2.057167,0.025475,0
6,21.3097,5,0.497870,-0.670281,-0.016567,0.497617,-0.670304,-0.016567,0.254,-0.858407,-1.939549,-1.759466,-1.035048,1.561376,-2.057323,0.025628,0
7,21.4102,6,0.497693,-0.670334,-0.016567,0.497466,-0.670304,-0.016567,0.229,-0.858374,-1.940364,-1.759789,-1.035044,1.561400,-2.057326,0.025781,0
8,21.5108,7,0.497691,-0.670237,-0.016567,0.497314,-0.670304,-0.016567,0.382,-0.858311,-1.941405,-1.759881,-1.034760,1.561119,-2.057208,0.025934,0
9,21.6114,8,0.497509,-0.670219,-0.016567,0.497163,-0.670304,-0.016567,0.356,-0.858323,-1.941263,-1.759760,-1.034795,1.561100,-2.057195,0.026087,0
10,21.7119,9,0.497090,-0.670865,-0.016567,0.497012,-0.670304,-0.016567,0.567,-0.858514,-1.941213,-1.759677,-1.034767,1.560883,-2.057188,0.026240,0
11,21.8124,10,0.496981,-0.670730,-0.016567,0.496860,-0.670304,-0.016567,0.443,-0.858599,-1.941310,-1.759649,-1.034480,1.560815,-2.057224,0.026392,0
12,21.9129,11,0.496975,-0.670758,-0.016567,0.496710,-0.670304,-0.016567,0.527,-0.858701,-1.941421,-1.759606,-1.034408,1.560736,-2.057259,0.026545,0
13,22.0134,12,0.496521,-0.671006,-0.016567,0.496559,-0.670304,-0.016567,0.703,-0.858781,-1.941519,-1.759343,-1.034300,1.560628,-2.057287,0.026698,0
14,22.1139,13,0.496639,-0.671097,-0.016567,0.496408,-0.670304,-0.016567,0.826,-0.858881,-1.941576,-1.759254,-1.034217,1.560546,-2.057338,0.026851,0
15,22.2145,14,0.496273,-0.670752,-0.016567,0.496258,-0.670304,-0.016567,0.448,-0.858965,-1.941674,-1.759227,-1.034164,1.560419,-2.057359,0.027004,0
16,22.3150,15,0.496152,-0.671083,-0.016567,0.496107,-0.670304,-0.016567,0.781,-0.859057,-1.941812,-1.759206,-1.034017,1.560359,-2.057398,0.027157,0
17,22.4156,16,0.496106,-0.671159,-0.016567,0.495957,-0.670304,-0.016567,0.868,-0.859153,-1.941896,-1.759059,-1.033904,1.560203,-2.057415,0.027310,0
18,22.5161,17,0.496029,-0.671056,-0.016567,0.495808,-0.670304,-0.016567,0.784,-0.859204,-1.941920,-1.758979,-1.033844,1.560167,-2.057405,0.027463,0
19,22.6166,18,0.495844,-0.670999,-0.016567,0.495658,-0.670304,-0.016567,0.720,-0.859314,-1.942009,-1.758859,-1.033708,1.560035,-2.057494,0.027616,0
20,22.7172,19,0.495654,-0.671253,-0.016567,0.495509,-0.670304,-0.016567,0.961,-0.859432,-1.942127,-1.758751,-1.033597,1.559935,-2.057495,0.027769,0
21,22.8178,20,0.495552,-0.671588,-0.016567,0.495360,-0.670304,-0.016567,1.298,-0.859513,-1.942196,-1.758656,-1.033505,1.559816,-2.057535,0.027921,0
22,22.9185,21,0.495422,-0.671352,-0.016567,0.495211,-0.670304,-0.016567,1.070,-0.859588,-1.942237,-1.758584,-1.033424,1.559759,-2.057582,0.028074,0
23,23.0190,22,0.495227,-0.671509,-0.016567,0.495063,-0.670304,-0.016567,1.216,-0.859645,-1.942312,-1.758492,-1.033316,1.559675,-2.057614,0.028227,0
24,23.1196,23,0.494944,-0.671143,-0.016567,0.494914,-0.670304,-0.016567,0.840,-0.859795,-1.942360,-1.758365,-1.033208,1.559552,-2.057634,0.028380,0
25,23.2203,24,0.494946,-0.671044,-0.016567,0.494766,-0.670304,-0.016567,0.761,-0.859865,-1.942486,-1.758249,-1.033069,1.559471,-2.057673,0.028533,0
26,23.3209,25,0.494734,-0.671552,-0.016567,0.494619,-0.670304,-0.016567,1.253,-0.859980,-1.942525,-1.758129,-1.032941,1.559366,-2.057667,0.028686,0
27,23.4214,26,0.494693,-0.671089,-0.016567,0.494471,-0.670304,-0.016567,0.816,-0.859993,-1.942579,-1.758066,-1.032892,1.559318,-2.057710,0.028839,0
28,23.5220,27,0.494345,-0.671656,-0.016567,0.494323,-0.670304,-0.016567,1.353,-0.860172,-1.942660,-1.757895,-1.032757,1.559195,-2.057730,0.028992,0
29,23.6225,28,0.494250,-0.671207,-0.016567,0.494176,-0.670304,-0.016567,0.906,-0.860239,-1.942683,-1.757846,-1.032720,1.559150,-2.057730,0.029145,0
30,23.7231,29,0.494261,-0.671261,-0.016567,0.494028,-0.670304,-0.016567,0.985,-0.860265,-1.942750,-1.757731,-1.032631,1.559102,-2.057754,0.029298,0
31,23.8238,30,0.494070,-0.671524,-0.016567,0.493881,-0.670304,-0.016567,1.235,-0.860363,-1.942806,-1.757612,-1.032473,1.559003,-2.057790,0.029451,0
32,23.9243,31,0.493897,-0.671571,-0.016567,0.493734,-0.670304,-0.016567,1.278,-0.860511,-1.942899,-1.757526,-1.032368,1.558891,-2.057799,0.029603,0
33,24.0249,32,0.493718,-0.671601,-0.016567,0.493587,-0.670304,-0.016567,1.304,-0.860595,-1.942966,-1.757400,-1.032276,1.558795,-2.057854,0.029756,0
34,24.1255,33,0.493627,-0.671472,-0.016567,0.493440,-0.670304,-0.016567,1.183,-0.860672,-1.943022,-1.757311,-1.032085,1.558739,-2.057865,0.029909,0
35,24.2260,34,0.493242,-0.671566,-0.016567,0.493293,-0.670304,-0.016567,1.263,-0.860763,-1.943067,-1.757244,-1.032033,1.558660,-2.057862,0.030062,0
36,24.3266,35,0.493135,-0.671400,-0.016567,0.493146,-0.670304,-0.016567,1.097,-0.860819,-1.943109,-1.757216,-1.032016,1.558655,-2.057889,0.030215,0
37,24.4272,36,0.492980,-0.671530,-0.016567,0.492999,-0.670304,-0.016567,1.227,-0.860911,-1.943217,-1.757017,-1.031777,1.558547,-2.057879,0.030368,0
38,24.5277,37,0.492809,-0.671043,-0.016567,0.492852,-0.670304,-0.016567,0.740,-0.860959,-1.943234,-1.756977,-1.031753,1.558522,-2.057910,0.030521,0
39,24.6283,38,0.492573,-0.671087,-0.016567,0.492705,-0.670304,-0.016567,0.794,-0.861082,-1.943337,-1.756937,-1.031688,1.558454,-2.057958,0.030674,0
40,24.7288,39,0.492606,-0.671101,-0.016567,0.492558,-0.670304,-0.016567,0.799,-0.861135,-1.943381,-1.756817,-1.031573,1.558394,-2.057970,0.030827,0
41,24.8293,40,0.492168,-0.671546,-0.016567,0.492412,-0.670304,-0.016567,1.266,-0.861235,-1.943444,-1.756690,-1.031429,1.558300,-2.057994,0.030980,0
42,24.9299,41,0.492226,-0.671122,-0.016567,0.492265,-0.670304,-0.016567,0.819,-0.861331,-1.943501,-1.756670,-1.031333,1.558264,-2.058045,0.031132,0
43,25.0304,42,0.492123,-0.671158,-0.016567,0.492118,-0.670304,-0.016567,0.854,-0.861413,-1.943561,-1.756590,-1.031249,1.558227,-2.058050,0.031285,0
44,25.1312,43,0.492096,-0.671085,-0.016567,0.491972,-0.670304,-0.016567,0.791,-0.861454,-1.943600,-1.756499,-1.031165,1.558210,-2.058081,0.031438,0
45,25.2318,44,0.492077,-0.670972,-0.016567,0.491825,-0.670304,-0.016567,0.714,-0.861522,-1.943648,-1.756446,-1.031089,1.558147,-2.058086,0.031591,0
46,25.3323,45,0.491717,-0.671586,-0.016567,0.491678,-0.670304,-0.016567,1.283,-0.861622,-1.943666,-1.756383,-1.031028,1.558091,-2.058086,0.031744,0
47,25.4328,46,0.491609,-0.671145,-0.016567,0.491532,-0.670304,-0.016567,0.845,-0.861667,-1.943717,-1.756326,-1.030946,1.558051,-2.058110,0.031897,0
48,25.5334,47,0.491368,-0.671555,-0.016567,0.491385,-0.670304,-0.016567,1.252,-0.861731,-1.943753,-1.756188,-1.030864,1.558031,-2.058146,0.032050,0
49,25.6349,48,0.491327,-0.671634,-0.016567,0.491238,-0.670304,-0.016567,1.333,-0.861825,-1.943785,-1.756164,-1.030766,1.557991,-2.058162,0.032203,0
50,25.7354,49,0.491017,-0.671555,-0.016567,0.491092,-0.670304,-0.016567,1.254,-0.861866,-1.943847,-1.756159,-1.030721,1.557986,-2.058197,0.032356,0
51,25.8360,50,0.490990,-0.671047,-0.016567,0.490945,-0.670304,-0.016567,0.745,-0.861925,-1.943864,-1.756120,-1.030674,1.557966,-2.058237,0.032509,0
52,25.9366,51,0.490921,-0.671116,-0.016567,0.490798,-0.670304,-0.016567,0.822,-0.861957,-1.943891,-1.756027,-1.030566,1.557894,-2.058261,0.032661,0
53,26.0373,52,0.490676,-0.671353,-0.016567,0.490652,-0.670304,-0.016567,1.050,-0.862029,-1.943896,-1.755956,-1.030541,1.557893,-2.058254,0.032814,0
54,26.1379,53,0.490732,-0.671507,-0.016567,0.490505,-0.670304,-0.016567,1.225,-0.862077,-1.943952,-1.755918,-1.030509,1.557835,-2.058304,0.032967,0
55,26.2385,54,0.490585,-0.671491,-0.016567,0.490358,-0.670304,-0.016567,1.209,-0.862098,-1.943965,-1.755940,-1.030485,1.557827,-2.058294,0.033120,0
56,26.3391,55,0.490482,-0.671635,-0.016567,0.490211,-0.670304,-0.016567,1.359,-0.862177,-1.944010,-1.755920,-1.030449,1.557811,-2.058302,0.033273,0
57,26.4396,56,0.490221,-0.671618,-0.016567,0.490064,-0.670304,-0.016567,1.324,-0.862216,-1.944016,-1.755853,-1.030342,1.557814,-2.058357,0.033426,0
58,26.5402,57,0.490420,-0.671683,-0.016567,0.489916,-0.670304,-0.016567,1.468,-0.862233,-1.944059,-1.755800,-1.030341,1.557809,-2.058338,0.033579,0
59,26.6408,58,0.490030,-0.671711,-0.016567,0.489769,-0.670304,-0.016567,1.431,-0.862264,-1.944052,-1.755709,-1.030277,1.557794,-2.058372,0.033732,0
60,26.7414,59,0.489941,-0.671744,-0.016567,0.489621,-0.670304,-0.016567,1.475,-0.862272,-1.944059,-1.755725,-1.030284,1.557778,-2.058362,0.033885,0
61,26.8419,60,0.489833,-0.671701,-0.016567,0.489474,-0.670304,-0.016567,1.442,-0.862269,-1.944052,-1.755713,-1.030261,1.557778,-2.058409,0.034038,0
62,26.9426,61,0.489612,-0.671813,-0.016567,0.489325,-0.670304,-0.016567,1.537,-0.862312,-1.944049,-1.755737,-1.030284,1.557778,-2.058386,0.034190,0
63,27.0434,62,0.489299,-0.671824,-0.016567,0.489177,-0.670304,-0.016567,1.525,-0.862290,-1.944052,-1.755737,-1.030265,1.557766,-2.058389,0.034343,0
64,27.1440,63,0.489188,-0.672102,-0.016567,0.489028,-0.670304,-0.016567,1.806,-0.862320,-1.944067,-1.755709,-1.030300,1.557782,-2.058405,0.034496,0
65,27.2446,64,0.489200,-0.672313,-0.016567,0.488879,-0.670304,-0.016567,2.035,-0.862302,-1.944045,-1.755706,-1.030269,1.557763,-2.058386,0.034649,0
66,27.3451,65,0.488868,-0.672309,-0.016567,0.488730,-0.670304,-0.016567,2.010,-0.862317,-1.944052,-1.755745,-1.030269,1.557775,-2.058401,0.034802,0
67,27.4457,66,0.488920,-0.672481,-0.016567,0.488580,-0.670304,-0.016567,2.204,-0.862317,-1.944070,-1.755775,-1.030277,1.557782,-2.058386,0.034955,0
68,27.5464,67,0.488955,-0.672419,-0.016567,0.488429,-0.670304,-0.016567,2.180,-0.862317,-1.944018,-1.755785,-1.030265,1.557813,-2.058369,0.035108,0
69,27.6469,68,0.488586,-0.672443,-0.016567,0.488278,-0.670304,-0.016567,2.161,-0.862327,-1.944016,-1.755868,-1.030281,1.557799,-2.058353,0.035261,0
70,27.7475,69,0.488588,-0.672500,-0.016567,0.488126,-0.670304,-0.016567,2.245,-0.862296,-1.944004,-1.755920,-1.030289,1.557827,-2.058341,0.035414,0
71,27.8484,70,0.488219,-0.672466,-0.016567,0.487974,-0.670304,-0.016567,2.177,-0.862272,-1.943936,-1.755956,-1.030365,1.557859,-2.058329,0.035567,0
