step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,24.4131,0,0.499806,-0.669888,-0.016567,0.499650,-0.669925,-0.016567,0.160,-0.856317,-1.945840,-1.761766,-1.033200,1.562336,-2.056397,0.025154,0
2,24.5137,1,0.499780,-0.669874,-0.016567,0.499484,-0.669925,-0.016567,0.300,-0.856364,-1.945825,-1.761766,-1.033196,1.562339,-2.056427,0.025354,0
3,24.6142,2,0.499492,-0.669772,-0.016567,0.499328,-0.669925,-0.016567,0.224,-0.857518,-1.944144,-1.761842,-1.034907,1.562024,-2.056938,0.025513,0
4,24.7149,3,0.499235,-0.669956,-0.016567,0.499186,-0.669925,-0.016567,0.059,-0.858645,-1.942580,-1.761939,-1.036434,1.561544,-2.057362,0.025564,0
5,24.8155,4,0.499067,-0.670183,-0.016567,0.499034,-0.669925,-0.016567,0.260,-0.862648,-1.937877,-1.761763,-1.041200,1.560047,-2.058410,0.025606,0
6,24.9161,5,0.499224,-0.670072,-0.016567,0.498880,-0.669925,-0.016567,0.374,-0.863668,-1.937217,-1.761274,-1.041460,1.559543,-2.058504,0.025806,0
7,25.0166,6,0.498942,-0.669976,-0.016567,0.498729,-0.669925,-0.016567,0.219,-0.860657,-1.939268,-1.759849,-1.037349,1.560066,-2.057931,0.026006,0
8,25.1172,7,0.498846,-0.669885,-0.016567,0.498578,-0.669925,-0.016567,0.271,-0.854461,-1.943045,-1.758553,-1.030451,1.561298,-2.056828,0.026206,0
9,25.2178,8,0.498381,-0.670042,-0.016567,0.498427,-0.669925,-0.016567,0.125,-0.848799,-1.946332,-1.757571,-1.023891,1.563435,-2.055774,0.026206,0
10,25.3186,9,0.498405,-0.670104,-0.016567,0.498275,-0.669925,-0.016567,0.222,-0.849612,-1.945398,-1.757998,-1.024058,1.562969,-2.055804,0.026344,0
11,25.4191,10,0.498279,-0.670219,-0.016567,0.498124,-0.669925,-0.016567,0.332,-0.854904,-1.940685,-1.760203,-1.028638,1.561252,-2.057286,0.026510,0
12,25.5197,11,0.498208,-0.670121,-0.016567,0.497973,-0.669925,-0.016567,0.306,-0.859953,-1.935858,-1.762375,-1.033898,1.559956,-2.059107,0.026710,0
13,25.6203,12,0.498064,-0.670095,-0.016567,0.497823,-0.669925,-0.016567,0.296,-0.866989,-1.930113,-1.765135,-1.043927,1.557079,-2.061652,0.026910,0
14,25.7209,13,0.497835,-0.670189,-0.016567,0.497672,-0.669925,-0.016567,0.310,-0.867528,-1.931255,-1.762905,-1.050493,1.557849,-2.061709,0.027082,0
15,25.8214,14,0.497869,-0.670075,-0.016567,0.497522,-0.669925,-0.016567,0.379,-0.864393,-1.935043,-1.759300,-1.049587,1.559438,-2.060039,0.027282,0
16,25.9220,15,0.497289,-0.670122,-0.016567,0.497371,-0.669925,-0.016567,0.214,-0.853416,-1.947003,-1.750890,-1.043327,1.563205,-2.053815,0.027282,0
17,26.0227,16,0.497181,-0.670163,-0.016567,0.497221,-0.669925,-0.016567,0.241,-0.844134,-1.955328,-1.748571,-1.033586,1.566049,-2.050321,0.027252,0
18,26.1233,17,0.497341,-0.670037,-0.016567,0.497072,-0.669925,-0.016567,0.292,-0.840129,-1.959088,-1.752037,-1.023493,1.564018,-2.050476,0.027422,0
19,26.2238,18,0.497331,-0.670081,-0.016567,0.496922,-0.669925,-0.016567,0.438,-0.840786,-1.958301,-1.756622,-1.018131,1.560810,-2.053087,0.027622,0
20,26.3245,19,0.497351,-0.670046,-0.016567,0.496773,-0.669925,-0.016567,0.591,-0.845031,-1.953932,-1.765793,-1.013957,1.555132,-2.060618,0.027822,0
21,26.4251,20,0.497233,-0.670103,-0.016567,0.496624,-0.669925,-0.016567,0.635,-0.853136,-1.945976,-1.776148,-1.015904,1.551353,-2.069111,0.028022,0
22,26.5256,21,0.496864,-0.670589,-0.016567,0.496475,-0.669925,-0.016567,0.770,-0.867471,-1.931934,-1.783021,-1.023527,1.554444,-2.074619,0.028222,0
23,26.6261,22,0.496682,-0.670147,-0.016567,0.496327,-0.669925,-0.016567,0.419,-0.876242,-1.924871,-1.781810,-1.033375,1.561355,-2.072564,0.028422,0
24,26.7266,23,0.496649,-0.670764,-0.016567,0.496178,-0.669925,-0.016567,0.963,-0.879244,-1.923272,-1.778083,-1.042877,1.568717,-2.067443,0.028622,0
25,26.8272,24,0.496143,-0.670022,-0.016567,0.496030,-0.669925,-0.016567,0.149,-0.877384,-1.926675,-1.768606,-1.053090,1.575261,-2.056512,0.028738,0
26,26.9278,25,0.496121,-0.670103,-0.016567,0.495882,-0.669925,-0.016567,0.298,-0.872973,-1.932072,-1.759307,-1.055698,1.574119,-2.047943,0.028938,0
27,27.0285,26,0.495876,-0.670506,-0.016567,0.495735,-0.669925,-0.016567,0.598,-0.864286,-1.941561,-1.748627,-1.054624,1.569848,-2.040860,0.029097,0
28,27.1291,27,0.495850,-0.670717,-0.016567,0.495587,-0.669925,-0.016567,0.835,-0.853309,-1.952352,-1.740121,-1.049845,1.561279,-2.039455,0.029297,0
29,27.2298,28,0.495258,-0.671387,-0.016567,0.495440,-0.669925,-0.016567,1.474,-0.842487,-1.962491,-1.736074,-1.039279,1.548472,-2.043401,0.029297,0
30,27.3304,29,0.495103,-0.671863,-0.016567,0.495292,-0.669925,-0.016567,1.947,-0.838583,-1.965423,-1.738212,-1.028213,1.540149,-2.050861,0.029176,0
31,27.4308,30,0.495217,-0.671949,-0.016567,0.495145,-0.669925,-0.016567,2.026,-0.839768,-1.963333,-1.743447,-1.019487,1.536870,-2.060945,0.029255,0
32,27.5314,31,0.495208,-0.671347,-0.016567,0.494998,-0.669925,-0.016567,1.438,-0.844357,-1.957816,-1.752633,-1.016689,1.539264,-2.071742,0.029455,0
33,27.6321,32,0.495304,-0.671269,-0.016567,0.494851,-0.669925,-0.016567,1.419,-0.849518,-1.950291,-1.762288,-1.018279,1.543429,-2.078902,0.029655,0
34,27.7326,33,0.495036,-0.670520,-0.016567,0.494704,-0.669925,-0.016567,0.682,-0.854410,-1.935671,-1.776084,-1.025280,1.555833,-2.082805,0.029855,0
35,27.8331,34,0.494827,-0.670068,-0.016567,0.494557,-0.669925,-0.016567,0.306,-0.854730,-1.929786,-1.780407,-1.030554,1.562396,-2.081827,0.030055,0
36,27.9337,35,0.494493,-0.669372,-0.016567,0.494410,-0.669925,-0.016567,0.559,-0.851280,-1.920889,-1.784424,-1.043866,1.572787,-2.075167,0.030130,0
37,28.0342,36,0.494501,-0.668753,-0.016567,0.494263,-0.669925,-0.016567,1.196,-0.847368,-1.918303,-1.782880,-1.051191,1.576326,-2.066094,0.030330,0
38,28.1348,37,0.494209,-0.668659,-0.016567,0.494116,-0.669925,-0.016567,1.269,-0.847785,-1.920237,-1.777822,-1.053109,1.574511,-2.054931,0.030389,0
39,28.2356,38,0.494095,-0.669360,-0.016567,0.493969,-0.669925,-0.016567,0.578,-0.853361,-1.926263,-1.768614,-1.050529,1.568884,-2.045503,0.030502,0
40,28.3364,39,0.493743,-0.670561,-0.016567,0.493822,-0.669925,-0.016567,0.642,-0.863123,-1.935988,-1.757090,-1.043658,1.559888,-2.040563,0.030447,0
41,28.4372,40,0.493647,-0.671399,-0.016567,0.493676,-0.669925,-0.016567,1.475,-0.870375,-1.943689,-1.749781,-1.037347,1.551874,-2.040143,0.030467,0
42,28.5377,41,0.493916,-0.672222,-0.016567,0.493529,-0.669925,-0.016567,2.329,-0.877373,-1.953224,-1.741005,-1.026576,1.541806,-2.042750,0.030667,0
43,28.6383,42,0.494130,-0.673151,-0.016567,0.493382,-0.669925,-0.016567,3.312,-0.877399,-1.958305,-1.736117,-1.014695,1.537266,-2.052395,0.030867,0
44,28.7389,43,0.493911,-0.673191,-0.016567,0.493235,-0.669925,-0.016567,3.336,-0.875641,-1.957582,-1.736751,-1.012476,1.537837,-2.057406,0.031067,0
45,28.8395,44,0.493590,-0.672975,-0.016567,0.493089,-0.669925,-0.016567,3.091,-0.864291,-1.950338,-1.743878,-1.014103,1.544948,-2.073380,0.031267,0
46,28.9400,45,0.492915,-0.671602,-0.016567,0.492942,-0.669925,-0.016567,1.678,-0.853808,-1.940993,-1.752939,-1.019393,1.554350,-2.080433,0.031303,0
47,29.0408,46,0.492814,-0.670171,-0.016567,0.492795,-0.669925,-0.016567,0.247,-0.843189,-1.929815,-1.764474,-1.029176,1.565323,-2.082257,0.031340,0
48,29.1414,47,0.493074,-0.669027,-0.016567,0.492649,-0.669925,-0.016567,0.993,-0.838394,-1.924988,-1.769614,-1.034805,1.570261,-2.081483,0.031540,0
49,29.2421,48,0.492768,-0.667394,-0.016567,0.492502,-0.669925,-0.016567,2.545,-0.831113,-1.918987,-1.776428,-1.045024,1.576141,-2.076873,0.031735,0
50,29.3427,49,0.492721,-0.667129,-0.016567,0.492356,-0.669925,-0.016567,2.819,-0.828385,-1.918419,-1.778295,-1.050675,1.575907,-2.068582,0.031935,0
51,29.4433,50,0.492493,-0.667736,-0.016567,0.492209,-0.669925,-0.016567,2.207,-0.831669,-1.923871,-1.774053,-1.049350,1.570203,-2.053992,0.032135,0
52,29.5438,51,0.492398,-0.668859,-0.016567,0.492062,-0.669925,-0.016567,1.117,-0.840308,-1.933931,-1.765456,-1.043420,1.559776,-2.041956,0.032335,0
53,29.6444,52,0.492378,-0.669850,-0.016567,0.491916,-0.669925,-0.016567,0.469,-0.845345,-1.939305,-1.760243,-1.038894,1.553951,-2.037782,0.032535,0
54,29.7448,53,0.492305,-0.672204,-0.016567,0.491769,-0.669925,-0.016567,2.342,-0.861607,-1.955498,-1.744108,-1.022344,1.540352,-2.031967,0.032735,0
55,29.8454,54,0.492204,-0.672829,-0.016567,0.491622,-0.669925,-0.016567,2.962,-0.866895,-1.959823,-1.740167,-1.017401,1.538171,-2.032494,0.032935,0
56,29.9461,55,0.492133,-0.673568,-0.016567,0.491475,-0.669925,-0.016567,3.702,-0.875909,-1.964855,-1.735676,-1.010556,1.538559,-2.036386,0.033135,0
57,30.0467,56,0.492242,-0.673806,-0.016567,0.491328,-0.669925,-0.016567,3.988,-0.880893,-1.964726,-1.736578,-1.008658,1.542525,-2.044320,0.033335,0
58,30.1474,57,0.491873,-0.673214,-0.016567,0.491180,-0.669925,-0.016567,3.361,-0.880196,-1.958667,-1.743333,-1.012847,1.553710,-2.058904,0.033535,0
59,30.2480,58,0.491641,-0.672253,-0.016567,0.491033,-0.669925,-0.016567,2.407,-0.874920,-1.949533,-1.752315,-1.020108,1.564903,-2.069541,0.033735,0
60,30.3486,59,0.491090,-0.670695,-0.016567,0.490885,-0.669925,-0.016567,0.797,-0.863904,-1.936522,-1.765805,-1.032742,1.575479,-2.078427,0.033935,0
61,30.4491,60,0.490683,-0.669236,-0.016567,0.490737,-0.669925,-0.016567,0.691,-0.852679,-1.926106,-1.775971,-1.043319,1.579527,-2.080802,0.033935,0
62,30.5497,61,0.490898,-0.668569,-0.016567,0.490589,-0.669925,-0.016567,1.391,-0.847360,-1.921957,-1.779956,-1.047775,1.579292,-2.080251,0.034135,0
63,30.6503,62,0.490660,-0.667200,-0.016567,0.490441,-0.669925,-0.016567,2.734,-0.835936,-1.916645,-1.785422,-1.053127,1.574573,-2.073966,0.034276,0
64,30.7508,63,0.490452,-0.667108,-0.016567,0.490292,-0.669925,-0.016567,2.822,-0.832874,-1.917719,-1.784287,-1.052035,1.568272,-2.066561,0.034355,0
65,30.8514,64,0.490105,-0.668523,-0.016567,0.490143,-0.669925,-0.016567,1.402,-0.834444,-1.923586,-1.778558,-1.046176,1.555614,-2.053428,0.034282,0
66,30.9520,65,0.490135,-0.669826,-0.016567,0.489993,-0.669925,-0.016567,0.173,-0.839714,-1.932738,-1.769499,-1.037033,1.545232,-2.042950,0.034410,0
67,31.0526,66,0.490149,-0.671590,-0.016567,0.489843,-0.669925,-0.016567,1.693,-0.850737,-1.945809,-1.756247,-1.023838,1.536040,-2.034520,0.034610,0
68,31.1532,67,0.490474,-0.673122,-0.016567,0.489693,-0.669925,-0.016567,3.291,-0.858833,-1.952943,-1.748759,-1.017923,1.533825,-2.032722,0.034810,0
69,31.2540,68,0.490456,-0.673763,-0.016567,0.489542,-0.669925,-0.016567,3.945,-0.866945,-1.959609,-1.741522,-1.014733,1.535580,-2.033994,0.035010,0
70,31.3547,69,0.490116,-0.674617,-0.016567,0.489390,-0.669925,-0.016567,4.748,-0.871032,-1.962576,-1.737672,-1.015276,1.538680,-2.037697,0.035210,0
71,31.4552,70,0.490183,-0.674494,-0.016567,0.489238,-0.669925,-0.016567,4.666,-0.871039,-1.962151,-1.737397,-1.018889,1.546371,-2.045515,0.035410,0
72,31.5558,71,0.489724,-0.673969,-0.016567,0.489085,-0.669925,-0.016567,4.095,-0.866875,-1.957652,-1.741461,-1.026665,1.557461,-2.056363,0.035610,0
73,31.6564,72,0.489140,-0.671567,-0.016567,0.488931,-0.669925,-0.016567,1.655,-0.857215,-1.947090,-1.750931,-1.039714,1.570100,-2.069250,0.035810,0
74,31.7570,73,0.488995,-0.669301,-0.016567,0.488775,-0.669925,-0.016567,0.662,-0.844219,-1.934335,-1.764150,-1.051675,1.579952,-2.079673,0.036010,0
75,31.8576,74,0.488639,-0.667604,-0.016567,0.488619,-0.669925,-0.016567,2.320,-0.835275,-1.926441,-1.773211,-1.057178,1.582495,-2.084578,0.036010,0
76,31.9584,75,0.488696,-0.666439,-0.016567,0.488462,-0.669925,-0.016567,3.494,-0.825734,-1.920761,-1.782420,-1.059303,1.581189,-2.086086,0.036142,0
77,32.0589,77,0.488645,-0.665945,-0.016567,0.488144,-0.669925,-0.016567,4.012,-0.822836,-1.921762,-1.785470,-1.055964,1.574394,-2.081884,0.036342,0
