step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,36.4618,0,0.502206,-0.670956,-0.016567,0.502071,-0.670957,-0.016567,0.135,-1.036901,-1.831165,-1.914522,-1.209723,1.456731,-2.055338,0.030133,0
2,36.5610,1,0.502108,-0.670955,-0.016567,0.501905,-0.670957,-0.016567,0.204,-1.036901,-1.831165,-1.914522,-1.209723,1.456731,-2.055338,0.030333,0
3,36.6610,2,0.502050,-0.671305,-0.016567,0.501748,-0.670957,-0.016567,0.461,-1.036901,-1.831165,-1.914522,-1.209723,1.456731,-2.055338,0.030533,0
4,36.7610,3,0.501865,-0.670786,-0.016567,0.501606,-0.670957,-0.016567,0.311,-1.036901,-1.831165,-1.914522,-1.209723,1.456731,-2.055338,0.030733,0
5,36.8610,4,0.501520,-0.670802,-0.016567,0.501454,-0.670957,-0.016567,0.169,-1.036901,-1.831165,-1.914522,-1.209723,1.456731,-2.055338,0.030915,0
6,36.9610,5,0.501494,-0.670786,-0.016567,0.501301,-0.670957,-0.016567,0.259,-1.036901,-1.831165,-1.914522,-1.209723,1.456731,-2.055338,0.031115,0
7,37.0610,6,0.501182,-0.670957,-0.016567,0.501150,-0.670957,-0.016567,0.032,-1.036901,-1.831165,-1.914522,-1.209723,1.456731,-2.055338,0.031287,0
8,37.1609,7,0.501259,-0.670878,-0.016567,0.500998,-0.670957,-0.016567,0.273,-1.036901,-1.831165,-1.914522,-1.209723,1.456731,-2.055338,0.031487,0
9,37.2611,8,0.501285,-0.670825,-0.016567,0.500847,-0.670957,-0.016567,0.458,-1.036901,-1.831165,-1.914522,-1.209723,1.456731,-2.055338,0.031687,0
10,37.3610,9,0.500976,-0.670815,-0.016567,0.500696,-0.670957,-0.016567,0.315,-1.036901,-1.831165,-1.914522,-1.209723,1.456731,-2.055338,0.031887,0
11,37.4612,10,0.500610,-0.670966,-0.016567,0.500544,-0.670957,-0.016567,0.066,-1.036901,-1.831165,-1.914522,-1.209723,1.456731,-2.055338,0.032080,0
12,37.5611,11,0.500382,-0.670971,-0.016567,0.500394,-0.670957,-0.016567,0.018,-1.036901,-1.831165,-1.914522,-1.209723,1.456731,-2.055338,0.032227,0
13,37.6611,12,0.500469,-0.671195,-0.016567,0.500243,-0.670957,-0.016567,0.328,-1.036901,-1.831165,-1.914522,-1.209723,1.456731,-2.055338,0.032427,0
14,37.7611,13,0.500115,-0.671262,-0.016567,0.500092,-0.670957,-0.016567,0.306,-1.036901,-1.831165,-1.914522,-1.209723,1.456731,-2.055338,0.032611,0
15,37.8611,14,0.500137,-0.671223,-0.016567,0.499942,-0.670957,-0.016567,0.329,-1.036901,-1.831165,-1.914522,-1.209723,1.456731,-2.055338,0.032811,0
