step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,14.6783,0,0.499432,-0.670709,-0.016567,0.499393,-0.670699,-0.016567,0.040,-0.856314,-1.945837,-1.761763,-1.033212,1.562355,-2.056397,0.025000,0
2,14.7789,1,0.499432,-0.670709,-0.016567,0.499227,-0.670699,-0.016567,0.205,-0.856173,-1.945800,-1.761970,-1.033280,1.562376,-2.056385,0.025052,0
3,14.8794,2,0.499432,-0.670709,-0.016567,0.499071,-0.670699,-0.016567,0.361,-0.855086,-1.945490,-1.763194,-1.034454,1.563456,-2.056244,0.025169,0
4,14.9801,3,0.499204,-0.670098,-0.016567,0.498928,-0.670699,-0.016567,0.661,-0.854765,-1.943191,-1.763537,-1.036082,1.564085,-2.056232,0.025322,0
5,15.0807,4,0.499207,-0.670121,-0.016567,0.498777,-0.670699,-0.016567,0.720,-0.855480,-1.940847,-1.762628,-1.036870,1.563528,-2.056481,0.025475,0
6,15.1813,5,0.499061,-0.670176,-0.016567,0.498623,-0.670699,-0.016567,0.681,-0.857258,-1.939337,-1.761626,-1.037104,1.563080,-2.056664,0.025628,0
7,15.2819,6,0.498876,-0.670181,-0.016567,0.498472,-0.670699,-0.016567,0.657,-0.859478,-1.940837,-1.760869,-1.036740,1.562705,-2.056244,0.025781,0
8,15.3824,7,0.498676,-0.670221,-0.016567,0.498321,-0.670699,-0.016567,0.595,-0.858826,-1.941905,-1.761416,-1.036717,1.562847,-2.055996,0.025934,0
9,15.4830,8,0.498505,-0.670181,-0.016567,0.498169,-0.670699,-0.016567,0.617,-0.858276,-1.941381,-1.761493,-1.036675,1.562804,-2.056029,0.026087,0
10,15.5836,9,0.498447,-0.670196,-0.016567,0.498018,-0.670699,-0.016567,0.660,-0.858162,-1.941213,-1.761503,-1.036751,1.562828,-2.056173,0.026240,0
11,15.6841,10,0.498134,-0.670181,-0.016567,0.497867,-0.670699,-0.016567,0.583,-0.858230,-1.941333,-1.761519,-1.036713,1.562819,-2.056200,0.026392,0
12,15.7847,11,0.498006,-0.670194,-0.016567,0.497716,-0.670699,-0.016567,0.582,-0.858305,-1.941361,-1.761535,-1.036723,1.562808,-2.056181,0.026545,0
13,15.8852,12,0.497793,-0.670195,-0.016567,0.497565,-0.670699,-0.016567,0.553,-0.858227,-1.941441,-1.761809,-1.036775,1.562901,-2.056160,0.026698,0
14,15.9858,13,0.497635,-0.670194,-0.016567,0.497415,-0.670699,-0.016567,0.551,-0.858289,-1.941436,-1.761869,-1.036797,1.562792,-2.056140,0.026851,0
15,16.0863,14,0.497423,-0.670195,-0.016567,0.497264,-0.670699,-0.016567,0.528,-0.858115,-1.941425,-1.761854,-1.036894,1.562891,-2.056121,0.027004,0
16,16.1868,15,0.497366,-0.670199,-0.016567,0.497114,-0.670699,-0.016567,0.560,-0.858107,-1.941457,-1.761847,-1.036996,1.562882,-2.056133,0.027157,0
17,16.2874,16,0.497366,-0.670199,-0.016567,0.496964,-0.670699,-0.016567,0.641,-0.858033,-1.941532,-1.761898,-1.036991,1.562958,-2.056133,0.027310,0
18,16.3881,17,0.497134,-0.670644,-0.016567,0.496814,-0.670699,-0.016567,0.324,-0.858014,-1.941764,-1.762296,-1.037129,1.562891,-2.056167,0.027463,0
19,16.4888,18,0.497123,-0.670214,-0.016567,0.496665,-0.670699,-0.016567,0.667,-0.857744,-1.941800,-1.762447,-1.037104,1.563020,-2.056176,0.027616,0
20,16.5894,19,0.496767,-0.670225,-0.016567,0.496516,-0.670699,-0.016567,0.536,-0.856960,-1.941589,-1.762879,-1.037258,1.563075,-2.056313,0.027769,0
21,16.6901,20,0.496523,-0.670194,-0.016567,0.496367,-0.670699,-0.016567,0.528,-0.856220,-1.941429,-1.763274,-1.037544,1.563471,-2.056448,0.027921,0
22,16.7905,21,0.496399,-0.670276,-0.016567,0.496218,-0.670699,-0.016567,0.460,-0.857714,-1.941648,-1.762536,-1.037491,1.563124,-2.056248,0.028074,0
23,16.8911,22,0.496364,-0.670294,-0.016567,0.496069,-0.670699,-0.016567,0.501,-0.857763,-1.941692,-1.762560,-1.037489,1.563323,-2.056097,0.028227,0
24,16.9917,23,0.495910,-0.670280,-0.016567,0.495921,-0.670699,-0.016567,0.419,-0.857444,-1.941609,-1.762843,-1.037524,1.563255,-2.056113,0.028380,0
25,17.0923,24,0.496043,-0.670371,-0.016567,0.495773,-0.670699,-0.016567,0.425,-0.856923,-1.941473,-1.762930,-1.037553,1.563432,-2.056212,0.028533,0
26,17.1929,25,0.495847,-0.670280,-0.016567,0.495625,-0.670699,-0.016567,0.474,-0.856932,-1.941465,-1.762967,-1.037567,1.563387,-2.056260,0.028686,0
27,17.2936,26,0.495672,-0.670371,-0.016567,0.495478,-0.670699,-0.016567,0.381,-0.856855,-1.941409,-1.763038,-1.037659,1.563423,-2.056264,0.028839,0
28,17.3943,27,0.495396,-0.670205,-0.016567,0.495330,-0.670699,-0.016567,0.498,-0.856708,-1.941345,-1.763162,-1.037857,1.563636,-2.056257,0.028992,0
29,17.4949,28,0.495468,-0.670224,-0.016567,0.495182,-0.670699,-0.016567,0.554,-0.856720,-1.941222,-1.763206,-1.037941,1.563533,-2.056275,0.029145,0
30,17.5955,29,0.495353,-0.670231,-0.016567,0.495035,-0.670699,-0.016567,0.565,-0.856863,-1.941253,-1.763146,-1.037943,1.563624,-2.056173,0.029298,0
