step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,25.5577,0,0.497107,-0.671369,-0.016567,0.497063,-0.671343,-0.016567,0.051,-0.856336,-1.945837,-1.761754,-1.033184,1.562352,-2.056427,0.024800,0
2,25.6550,1,0.497568,-0.671426,-0.016567,0.496897,-0.671343,-0.016567,0.676,-0.856333,-1.945825,-1.761758,-1.033193,1.562355,-2.056393,0.024600,0
3,25.7542,2,0.497536,-0.671390,-0.016567,0.496741,-0.671343,-0.016567,0.797,-0.856348,-1.945825,-1.761766,-1.033196,1.562355,-2.056419,0.024600,0
4,25.8530,3,0.497479,-0.671365,-0.016567,0.496598,-0.671343,-0.016567,0.882,-0.856348,-1.945825,-1.761742,-1.033177,1.562355,-2.056393,0.024746,0
5,25.9524,4,0.497503,-0.671537,-0.016567,0.496447,-0.671343,-0.016567,1.074,-0.856348,-1.945818,-1.761754,-1.033187,1.562359,-2.056397,0.024932,0
6,26.0530,5,0.497373,-0.671362,-0.016567,0.496293,-0.671343,-0.016567,1.080,-0.856367,-1.945840,-1.761758,-1.033184,1.562324,-2.056415,0.025094,0
7,26.1531,6,0.497370,-0.670814,-0.016567,0.496142,-0.671343,-0.016567,1.337,-0.856310,-1.945825,-1.761754,-1.033172,1.562320,-2.056412,0.025276,0
8,26.2524,7,0.497207,-0.670823,-0.016567,0.495991,-0.671343,-0.016567,1.322,-0.856340,-1.945837,-1.761751,-1.033184,1.562355,-2.056415,0.025432,0
9,26.3523,8,0.497006,-0.670802,-0.016567,0.495839,-0.671343,-0.016567,1.286,-0.856345,-1.945840,-1.761777,-1.033177,1.562355,-2.056415,0.025576,0
10,26.4523,9,0.496900,-0.670813,-0.016567,0.495688,-0.671343,-0.016567,1.323,-0.856333,-1.945818,-1.761778,-1.033180,1.562343,-2.056412,0.025736,0
11,26.5524,10,0.496877,-0.671089,-0.016567,0.495537,-0.671343,-0.016567,1.364,-0.856345,-1.945825,-1.761754,-1.033212,1.562339,-2.056397,0.025917,0
12,26.6526,11,0.496508,-0.671019,-0.016567,0.495386,-0.671343,-0.016567,1.167,-0.856352,-1.945852,-1.761773,-1.033200,1.562339,-2.056412,0.026032,0
13,26.7524,12,0.496190,-0.670804,-0.016567,0.495235,-0.671343,-0.016567,1.096,-0.856348,-1.945840,-1.761773,-1.033215,1.562352,-2.056415,0.026142,0
14,26.8524,13,0.496205,-0.670828,-0.016567,0.495085,-0.671343,-0.016567,1.233,-0.856355,-1.945825,-1.761754,-1.033165,1.562367,-2.056412,0.026319,0
15,26.9526,14,0.496130,-0.670819,-0.016567,0.494934,-0.671343,-0.016567,1.305,-0.856348,-1.945843,-1.761751,-1.033187,1.562352,-2.056393,0.026492,0
16,27.0528,15,0.496050,-0.671127,-0.016567,0.494784,-0.671343,-0.016567,1.284,-0.856360,-1.945825,-1.761754,-1.033187,1.562352,-2.056409,0.026665,0
17,27.1585,16,0.495757,-0.671277,-0.016567,0.494634,-0.671343,-0.016567,1.125,-0.856345,-1.945837,-1.761751,-1.033184,1.562339,-2.056412,0.026794,0
18,27.2525,17,0.495725,-0.670821,-0.016567,0.494484,-0.671343,-0.016567,1.345,-0.856330,-1.945821,-1.761766,-1.033212,1.562336,-2.056431,0.026963,0
19,27.3523,18,0.495497,-0.670788,-0.016567,0.494335,-0.671343,-0.016567,1.288,-0.856330,-1.945813,-1.761758,-1.033196,1.562336,-2.056409,0.027103,0
20,27.4524,19,0.495446,-0.671260,-0.016567,0.494186,-0.671343,-0.016567,1.263,-0.856364,-1.945843,-1.761751,-1.033180,1.562324,-2.056412,0.027275,0
21,27.5533,20,0.495391,-0.670800,-0.016567,0.494037,-0.671343,-0.016567,1.459,-0.856336,-1.945840,-1.761742,-1.033196,1.562339,-2.056427,0.027448,0
22,27.6530,21,0.495003,-0.670756,-0.016567,0.493888,-0.671343,-0.016567,1.260,-0.856364,-1.945810,-1.761742,-1.033180,1.562348,-2.056415,0.027558,0
23,27.7524,22,0.494927,-0.671438,-0.016567,0.493739,-0.671343,-0.016567,1.192,-0.856360,-1.945837,-1.761766,-1.033187,1.562336,-2.056412,0.027718,0
24,27.8536,23,0.494691,-0.671237,-0.016567,0.493591,-0.671343,-0.016567,1.105,-0.856364,-1.945825,-1.761770,-1.033184,1.562320,-2.056400,0.027854,0
25,27.9529,24,0.494590,-0.671340,-0.016567,0.493443,-0.671343,-0.016567,1.147,-0.856336,-1.945837,-1.761766,-1.033165,1.562355,-2.056427,0.028013,0
26,28.0524,25,0.494422,-0.671345,-0.016567,0.493295,-0.671343,-0.016567,1.127,-0.856336,-1.945821,-1.761777,-1.033169,1.562352,-2.056393,0.028163,0
27,28.1524,26,0.494211,-0.671399,-0.016567,0.493147,-0.671343,-0.016567,1.066,-0.856364,-1.945843,-1.761754,-1.033212,1.562332,-2.056412,0.028303,0
28,28.2524,27,0.494252,-0.671366,-0.016567,0.493000,-0.671343,-0.016567,1.253,-0.856364,-1.945840,-1.761789,-1.033180,1.562355,-2.056415,0.028490,0
29,28.3525,28,0.493719,-0.671537,-0.016567,0.492852,-0.671343,-0.016567,0.888,-0.856352,-1.945825,-1.761754,-1.033169,1.562336,-2.056397,0.028574,0
30,28.4523,28,0.493794,-0.671537,-0.016567,0.492852,-0.671343,-0.016567,0.962,-0.856360,-1.945821,-1.761732,-1.033234,1.562343,-2.056397,0.028606,0
