step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,16.7569,0,0.491078,-0.672102,-0.016567,0.490984,-0.672106,-0.016567,0.094,-0.856345,-1.945840,-1.761788,-1.033169,1.562324,-2.056427,0.024800,0
2,16.8688,1,0.491208,-0.672112,-0.016567,0.490818,-0.672106,-0.016567,0.391,-0.856237,-1.945709,-1.761842,-1.033232,1.562381,-2.056382,0.024600,0
3,16.9760,2,0.491143,-0.672041,-0.016567,0.490662,-0.672106,-0.016567,0.486,-0.854555,-1.944125,-1.763647,-1.034990,1.564098,-2.055549,0.024400,0
4,17.0839,3,0.491333,-0.670781,-0.016567,0.490519,-0.672106,-0.016567,1.556,-0.848457,-1.939618,-1.770668,-1.042314,1.570044,-2.054489,0.024200,0
5,17.1888,4,0.491630,-0.670020,-0.016567,0.490368,-0.672106,-0.016567,2.438,-0.845474,-1.938958,-1.775703,-1.047538,1.573001,-2.054591,0.024000,0
6,17.2979,5,0.491709,-0.669894,-0.016567,0.490214,-0.672106,-0.016567,2.670,-0.847428,-1.940052,-1.775719,-1.047465,1.570863,-2.055316,0.023843,0
7,17.4035,6,0.492027,-0.670223,-0.016567,0.490063,-0.672106,-0.016567,2.721,-0.851227,-1.941373,-1.771835,-1.043458,1.567434,-2.055828,0.023886,0
8,17.5097,7,0.491938,-0.670770,-0.016567,0.489912,-0.672106,-0.016567,2.427,-0.852693,-1.942459,-1.769036,-1.040870,1.566309,-2.055978,0.024086,0
9,17.6161,9,0.491962,-0.670784,-0.016567,0.489609,-0.672106,-0.016567,2.699,-0.852182,-1.942444,-1.769002,-1.040733,1.566753,-2.056008,0.024286,0
10,17.7236,10,0.491957,-0.670589,-0.016567,0.489458,-0.672106,-0.016567,2.924,-0.851308,-1.941948,-1.770443,-1.042102,1.567268,-2.055912,0.024486,0
11,17.8294,11,0.491807,-0.670159,-0.016567,0.489307,-0.672106,-0.016567,3.169,-0.850319,-1.941605,-1.771568,-1.042849,1.568221,-2.055708,0.024686,0
12,17.9363,12,0.491644,-0.670031,-0.016567,0.489156,-0.672106,-0.016567,3.240,-0.850647,-1.941772,-1.771081,-1.042678,1.567809,-2.055672,0.024886,0
13,18.0414,13,0.491255,-0.670660,-0.016567,0.489006,-0.672106,-0.016567,2.674,-0.851917,-1.942391,-1.769708,-1.041588,1.567005,-2.055924,0.025079,0
14,18.1458,14,0.491220,-0.670785,-0.016567,0.488855,-0.672106,-0.016567,2.709,-0.852877,-1.942543,-1.768633,-1.040805,1.565874,-2.056157,0.025263,0
15,18.2504,15,0.490977,-0.670560,-0.016567,0.488705,-0.672106,-0.016567,2.748,-0.852044,-1.942743,-1.770203,-1.041587,1.566868,-2.056128,0.025403,0
16,18.3551,16,0.490937,-0.670054,-0.016567,0.488555,-0.672106,-0.016567,3.145,-0.850712,-1.942747,-1.772125,-1.042852,1.567756,-2.055822,0.025573,0
17,18.4591,17,0.490788,-0.670028,-0.016567,0.488405,-0.672106,-0.016567,3.162,-0.850802,-1.943001,-1.771783,-1.042633,1.567587,-2.055765,0.025729,0
18,18.5637,18,0.490805,-0.670524,-0.016567,0.488256,-0.672106,-0.016567,3.000,-0.851734,-1.943293,-1.770511,-1.041708,1.566936,-2.055885,0.025918,0
19,18.6692,19,0.490576,-0.671209,-0.016567,0.488106,-0.672106,-0.016567,2.628,-0.853992,-1.943489,-1.767756,-1.039692,1.564940,-2.056433,0.026065,0
20,18.7733,20,0.490185,-0.670786,-0.016567,0.487957,-0.672106,-0.016567,2.589,-0.852582,-1.943181,-1.769903,-1.041123,1.566307,-2.056265,0.026166,0
21,18.8792,21,0.490083,-0.670223,-0.016567,0.487809,-0.672106,-0.016567,2.953,-0.850416,-1.942192,-1.772177,-1.043077,1.567876,-2.055816,0.026316,0
22,18.9868,22,0.490220,-0.670038,-0.016567,0.487660,-0.672106,-0.016567,3.291,-0.849869,-1.942124,-1.772580,-1.043421,1.568406,-2.055702,0.026516,0
23,19.0914,23,0.490113,-0.670209,-0.016567,0.487512,-0.672106,-0.016567,3.220,-0.851154,-1.942601,-1.770914,-1.042355,1.567405,-2.055804,0.026695,0
24,19.1954,24,0.489722,-0.670804,-0.016567,0.487364,-0.672106,-0.016567,2.695,-0.852956,-1.943424,-1.769318,-1.040959,1.565976,-2.056181,0.026807,0
25,19.3069,26,0.489574,-0.670964,-0.016567,0.487068,-0.672106,-0.016567,2.754,-0.852932,-1.943217,-1.769390,-1.040777,1.565955,-2.056325,0.027007,0
26,19.4125,27,0.489454,-0.670747,-0.016567,0.486921,-0.672106,-0.016567,2.875,-0.851479,-1.942535,-1.770964,-1.042182,1.567045,-2.056017,0.027207,0
27,19.5203,28,0.489272,-0.670493,-0.016567,0.486773,-0.672106,-0.016567,2.974,-0.850634,-1.942268,-1.771988,-1.042980,1.567809,-2.055822,0.027407,0
28,19.6246,29,0.489014,-0.670198,-0.016567,0.486626,-0.672106,-0.016567,3.057,-0.850419,-1.942723,-1.772664,-1.043221,1.568006,-2.055729,0.027565,0
29,19.7315,30,0.489119,-0.670223,-0.016567,0.486479,-0.672106,-0.016567,3.243,-0.850842,-1.943717,-1.772563,-1.043065,1.567794,-2.055772,0.027765,0
30,19.8361,31,0.488910,-0.670234,-0.016567,0.486331,-0.672106,-0.016567,3.186,-0.851914,-1.944427,-1.771746,-1.042027,1.566954,-2.056005,0.027919,0
31,19.9400,32,0.488855,-0.670558,-0.016567,0.486184,-0.672106,-0.016567,3.087,-0.852881,-1.944455,-1.770531,-1.041157,1.566012,-2.056232,0.028091,0
32,20.0440,33,0.488490,-0.670790,-0.016567,0.486037,-0.672106,-0.016567,2.784,-0.853439,-1.944403,-1.769232,-1.040277,1.565660,-2.056352,0.028205,0
33,20.1479,34,0.488303,-0.670800,-0.016567,0.485890,-0.672106,-0.016567,2.744,-0.853281,-1.944300,-1.769849,-1.040545,1.565748,-2.056380,0.028341,0
34,20.2537,35,0.487868,-0.670645,-0.016567,0.485743,-0.672106,-0.016567,2.579,-0.852226,-1.943566,-1.770839,-1.041576,1.566573,-2.056173,0.028433,0
35,20.3577,36,0.487944,-0.670598,-0.016567,0.485596,-0.672106,-0.016567,2.790,-0.851929,-1.943393,-1.771177,-1.041819,1.566823,-2.056025,0.028618,0
36,20.4620,37,0.487783,-0.670744,-0.016567,0.485450,-0.672106,-0.016567,2.702,-0.851970,-1.943452,-1.771028,-1.041789,1.566768,-2.056001,0.028774,0
37,20.5665,38,0.487746,-0.670547,-0.016567,0.485303,-0.672106,-0.016567,2.899,-0.852089,-1.943493,-1.770989,-1.041813,1.566837,-2.056044,0.028950,0
38,20.6713,39,0.487590,-0.670247,-0.016567,0.485156,-0.672106,-0.016567,3.063,-0.851965,-1.943350,-1.771363,-1.042106,1.567060,-2.056053,0.029105,0
39,20.7773,40,0.487530,-0.671320,-0.016567,0.485009,-0.672106,-0.016567,2.641,-0.851863,-1.943366,-1.771509,-1.042334,1.567237,-2.056053,0.029276,0
40,20.8910,42,0.487142,-0.670660,-0.016567,0.484716,-0.672106,-0.016567,2.825,-0.852854,-1.943725,-1.769895,-1.041050,1.566345,-2.056205,0.029476,0
41,20.9971,43,0.487041,-0.670744,-0.016567,0.484569,-0.672106,-0.016567,2.823,-0.851743,-1.943833,-1.771351,-1.042269,1.567519,-2.055738,0.029676,0
42,21.1021,44,0.487116,-0.670223,-0.016567,0.484422,-0.672106,-0.016567,3.287,-0.850368,-1.944076,-1.772679,-1.043451,1.569130,-2.055561,0.029876,0
43,21.2245,44,0.486630,-0.670643,-0.016567,0.484422,-0.672106,-0.016567,2.648,-0.850508,-1.944208,-1.772621,-1.043097,1.568721,-2.055717,0.029876,0
44,21.3303,46,0.486434,-0.670231,-0.016567,0.484129,-0.672106,-0.016567,2.972,-0.852788,-1.944232,-1.772520,-1.041465,1.566645,-2.056355,0.030076,0
45,21.4458,47,0.486573,-0.670995,-0.016567,0.483982,-0.672106,-0.016567,2.819,-0.853391,-1.944132,-1.772047,-1.040396,1.565904,-2.056349,0.030276,0
46,21.5510,48,0.486448,-0.670770,-0.016567,0.483836,-0.672106,-0.016567,2.935,-0.853088,-1.944754,-1.771319,-1.040834,1.566625,-2.056320,0.030476,0
47,21.6563,49,0.486307,-0.671269,-0.016567,0.483689,-0.672106,-0.016567,2.749,-0.852836,-1.945170,-1.770430,-1.041168,1.566337,-2.056181,0.030669,0
48,21.7609,50,0.486206,-0.670681,-0.016567,0.483543,-0.672106,-0.016567,3.020,-0.851712,-1.944600,-1.772252,-1.042852,1.567789,-2.056044,0.030839,0
49,21.8663,51,0.485689,-0.670814,-0.016567,0.483396,-0.672106,-0.016567,2.632,-0.851379,-1.943565,-1.773094,-1.042745,1.567469,-2.055972,0.030922,0
50,21.9704,52,0.485566,-0.670198,-0.016567,0.483249,-0.672106,-0.016567,3.002,-0.851087,-1.943792,-1.773689,-1.043104,1.568272,-2.055964,0.031065,0
51,22.0744,53,0.485572,-0.670538,-0.016567,0.483102,-0.672106,-0.016567,2.926,-0.851546,-1.943908,-1.772535,-1.042772,1.567658,-2.055984,0.031246,0
52,22.1842,55,0.485330,-0.670549,-0.016567,0.482808,-0.672106,-0.016567,2.964,-0.852568,-1.944531,-1.771623,-1.041984,1.567153,-2.056210,0.031446,0
53,22.2912,56,0.485205,-0.670792,-0.016567,0.482661,-0.672106,-0.016567,2.864,-0.852725,-1.944265,-1.771500,-1.041667,1.566796,-2.056292,0.031646,0
54,22.3974,57,0.485157,-0.670554,-0.016567,0.482514,-0.672106,-0.016567,3.065,-0.852353,-1.944073,-1.771910,-1.041897,1.567200,-2.056292,0.031846,0
55,22.5019,58,0.484891,-0.670402,-0.016567,0.482366,-0.672106,-0.016567,3.046,-0.851998,-1.943684,-1.772175,-1.042267,1.567173,-2.056185,0.032025,0
