step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,23.3271,0,0.498590,-0.670331,-0.016567,0.498527,-0.670296,-0.016567,0.072,-0.856348,-1.945818,-1.761785,-1.033168,1.562327,-2.056424,0.025025,0
2,23.4292,1,0.498595,-0.670344,-0.016567,0.498361,-0.670296,-0.016567,0.238,-0.856376,-1.945665,-1.761751,-1.033220,1.562343,-2.056409,0.025128,0
3,23.5313,2,0.498691,-0.670258,-0.016567,0.498205,-0.670296,-0.016567,0.487,-0.856427,-1.945103,-1.761640,-1.033376,1.562346,-2.056472,0.025326,0
4,23.6333,3,0.498340,-0.670285,-0.016567,0.498062,-0.670296,-0.016567,0.278,-0.857122,-1.942600,-1.760920,-1.034584,1.561997,-2.057039,0.025452,0
5,23.7355,4,0.497938,-0.670379,-0.016567,0.497911,-0.670296,-0.016567,0.087,-0.859499,-1.936635,-1.759469,-1.037582,1.560652,-2.058167,0.025548,0
6,23.8379,5,0.497838,-0.670246,-0.016567,0.497757,-0.670296,-0.016567,0.095,-0.861365,-1.934710,-1.759560,-1.039937,1.559970,-2.058674,0.025699,0
7,23.9397,6,0.497652,-0.670320,-0.016567,0.497606,-0.670296,-0.016567,0.052,-0.860816,-1.936705,-1.759544,-1.038176,1.559891,-2.058326,0.025845,0
8,24.0427,7,0.497456,-0.670378,-0.016567,0.497455,-0.670296,-0.016567,0.083,-0.858117,-1.941281,-1.758393,-1.033038,1.560686,-2.056897,0.025988,0
9,24.1459,8,0.497434,-0.670548,-0.016567,0.497303,-0.670296,-0.016567,0.284,-0.856069,-1.944403,-1.757360,-1.029051,1.561194,-2.055789,0.026166,0
10,24.2482,9,0.497189,-0.670767,-0.016567,0.497152,-0.670296,-0.016567,0.473,-0.854319,-1.945906,-1.757434,-1.026221,1.562187,-2.055298,0.026307,0
11,24.3515,10,0.496920,-0.670807,-0.016567,0.497001,-0.670296,-0.016567,0.518,-0.855129,-1.943947,-1.758767,-1.028197,1.562076,-2.056104,0.026434,0
12,24.4548,11,0.496987,-0.670268,-0.016567,0.496850,-0.670296,-0.016567,0.140,-0.857111,-1.937695,-1.763117,-1.036138,1.561664,-2.059430,0.026622,0
13,24.5584,12,0.496655,-0.670673,-0.016567,0.496699,-0.670296,-0.016567,0.380,-0.857803,-1.931832,-1.767189,-1.045219,1.559867,-2.062694,0.026749,0
14,24.6613,13,0.496692,-0.670120,-0.016567,0.496549,-0.670296,-0.016567,0.227,-0.857994,-1.931268,-1.767015,-1.047639,1.559555,-2.062532,0.026930,0
15,24.7639,14,0.496473,-0.670308,-0.016567,0.496398,-0.670296,-0.016567,0.075,-0.857656,-1.934257,-1.763029,-1.046171,1.559414,-2.059286,0.027076,0
16,24.8677,15,0.496228,-0.670817,-0.016567,0.496248,-0.670296,-0.016567,0.521,-0.856396,-1.941538,-1.756597,-1.040903,1.560354,-2.053699,0.027213,0
17,24.9718,16,0.495969,-0.671649,-0.016567,0.496098,-0.670296,-0.016567,1.360,-0.856561,-1.951196,-1.749477,-1.028989,1.561691,-2.049577,0.027346,0
18,25.0749,17,0.495850,-0.672194,-0.016567,0.495948,-0.670296,-0.016567,1.901,-0.855910,-1.953510,-1.750169,-1.023132,1.562154,-2.051582,0.027505,0
19,25.1774,18,0.495795,-0.671766,-0.016567,0.495799,-0.670296,-0.016567,1.470,-0.854029,-1.952201,-1.752940,-1.021823,1.562352,-2.055426,0.027675,0
20,25.2829,19,0.495599,-0.670702,-0.016567,0.495650,-0.670296,-0.016567,0.410,-0.845344,-1.944980,-1.762883,-1.023249,1.562436,-2.066035,0.027815,0
21,25.3888,20,0.495603,-0.670359,-0.016567,0.495501,-0.670296,-0.016567,0.121,-0.840753,-1.939388,-1.769430,-1.027139,1.562504,-2.070446,0.027993,0
22,25.4925,21,0.495590,-0.669546,-0.016567,0.495352,-0.670296,-0.016567,0.787,-0.837787,-1.931163,-1.776660,-1.035424,1.561296,-2.073093,0.028173,0
23,25.5961,23,0.495166,-0.669529,-0.016567,0.495055,-0.670296,-0.016567,0.775,-0.843098,-1.928460,-1.776844,-1.046105,1.557115,-2.068166,0.028373,0
24,25.6986,24,0.495072,-0.670140,-0.016567,0.494907,-0.670296,-0.016567,0.227,-0.851286,-1.932532,-1.772363,-1.047747,1.554678,-2.060450,0.028573,0
25,25.8013,25,0.495203,-0.670632,-0.016567,0.494759,-0.670296,-0.016567,0.557,-0.861323,-1.940049,-1.764202,-1.045452,1.555033,-2.051907,0.028773,0
26,25.9059,26,0.495074,-0.670707,-0.016567,0.494611,-0.670296,-0.016567,0.619,-0.866895,-1.945706,-1.758096,-1.041509,1.557670,-2.048142,0.028973,0
27,26.0104,27,0.494677,-0.671571,-0.016567,0.494464,-0.670296,-0.016567,1.293,-0.870797,-1.952634,-1.751165,-1.033115,1.563713,-2.047324,0.029112,0
28,26.1150,28,0.494352,-0.672592,-0.016567,0.494316,-0.670296,-0.016567,2.297,-0.867646,-1.953471,-1.750615,-1.023081,1.569076,-2.053098,0.029234,0
29,26.2187,29,0.494191,-0.671823,-0.016567,0.494169,-0.670296,-0.016567,1.528,-0.864274,-1.951220,-1.752910,-1.021160,1.568110,-2.057595,0.029373,0
30,26.3221,30,0.493867,-0.671620,-0.016567,0.494022,-0.670296,-0.016567,1.333,-0.852908,-1.941811,-1.762031,-1.022379,1.561838,-2.068068,0.029486,0
31,26.4266,31,0.493652,-0.670358,-0.016567,0.493875,-0.670296,-0.016567,0.231,-0.842820,-1.933008,-1.770564,-1.027555,1.554484,-2.072552,0.029608,0
32,26.5311,32,0.493765,-0.670071,-0.016567,0.493728,-0.670296,-0.016567,0.228,-0.836406,-1.927241,-1.775831,-1.036029,1.549625,-2.071708,0.029805,0
33,26.6344,33,0.493505,-0.669629,-0.016567,0.493581,-0.670296,-0.016567,0.671,-0.836428,-1.927986,-1.774124,-1.043272,1.551964,-2.064872,0.029942,0
34,26.7377,34,0.493201,-0.669962,-0.016567,0.493434,-0.670296,-0.016567,0.406,-0.840828,-1.932887,-1.768767,-1.042954,1.557899,-2.056571,0.030063,0
35,26.8429,35,0.492978,-0.670277,-0.016567,0.493287,-0.670296,-0.016567,0.309,-0.848361,-1.941254,-1.760242,-1.039260,1.565078,-2.049236,0.030196,0
36,26.9492,36,0.492900,-0.671001,-0.016567,0.493140,-0.670296,-0.016567,0.745,-0.858357,-1.949624,-1.751552,-1.031524,1.567729,-2.046982,0.030364,0
37,27.0542,37,0.492799,-0.671502,-0.016567,0.492993,-0.670296,-0.016567,1.222,-0.864779,-1.953489,-1.748114,-1.026332,1.566374,-2.048466,0.030532,0
38,27.1575,38,0.492920,-0.672299,-0.016567,0.492846,-0.670296,-0.016567,2.005,-0.870674,-1.953603,-1.749094,-1.022528,1.559553,-2.055842,0.030732,0
39,27.2602,39,0.492852,-0.672297,-0.016567,0.492699,-0.670296,-0.016567,2.007,-0.870230,-1.951220,-1.751919,-1.023834,1.554817,-2.060938,0.030925,0
40,27.3631,40,0.492722,-0.671634,-0.016567,0.492552,-0.670296,-0.016567,1.349,-0.865206,-1.941329,-1.761699,-1.030989,1.548706,-2.070563,0.031084,0
41,27.4661,41,0.492458,-0.670307,-0.016567,0.492406,-0.670296,-0.016567,0.053,-0.857119,-1.932098,-1.771146,-1.039633,1.550699,-2.072538,0.031206,0
42,27.5688,42,0.492250,-0.669578,-0.016567,0.492259,-0.670296,-0.016567,0.718,-0.847402,-1.926216,-1.776519,-1.044984,1.556819,-2.069396,0.031335,0
43,27.6714,43,0.491998,-0.668796,-0.016567,0.492112,-0.670296,-0.016567,1.504,-0.840839,-1.925862,-1.776296,-1.045001,1.564436,-2.062746,0.031457,0
44,27.7742,44,0.491838,-0.668721,-0.016567,0.491965,-0.670296,-0.016567,1.580,-0.839876,-1.929287,-1.772643,-1.041059,1.568180,-2.054914,0.031600,0
45,27.8773,46,0.491540,-0.670099,-0.016567,0.491672,-0.670296,-0.016567,0.237,-0.844276,-1.939490,-1.762531,-1.030444,1.566305,-2.045865,0.031800,0
46,27.9804,47,0.491376,-0.671607,-0.016567,0.491526,-0.670296,-0.016567,1.320,-0.851764,-1.949706,-1.751724,-1.020902,1.560614,-2.044077,0.032000,0
47,28.0834,48,0.491383,-0.672768,-0.016567,0.491379,-0.670296,-0.016567,2.473,-0.861414,-1.957729,-1.743947,-1.016272,1.552772,-2.047058,0.032200,0
48,28.1863,49,0.491237,-0.673268,-0.016567,0.491232,-0.670296,-0.016567,2.972,-0.868392,-1.959939,-1.741863,-1.017020,1.549258,-2.054323,0.032400,0
49,28.2899,49,0.491395,-0.672923,-0.016567,0.491232,-0.670296,-0.016567,2.632,-0.869871,-1.958386,-1.743445,-1.019658,1.550356,-2.060936,0.032489,0
50,28.3934,50,0.491262,-0.672559,-0.016567,0.491086,-0.670296,-0.016567,2.271,-0.867959,-1.953936,-1.747608,-1.025996,1.554556,-2.069467,0.032629,0
51,28.4966,51,0.490894,-0.671425,-0.016567,0.490939,-0.670296,-0.016567,1.130,-0.862706,-1.946395,-1.755032,-1.034533,1.561580,-2.074359,0.032727,0
52,28.6005,53,0.490812,-0.669585,-0.016567,0.490646,-0.670296,-0.016567,0.730,-0.850674,-1.932486,-1.769622,-1.045938,1.571386,-2.074265,0.032927,0
53,28.7040,54,0.490534,-0.667799,-0.016567,0.490499,-0.670296,-0.016567,2.497,-0.841513,-1.925186,-1.777499,-1.048944,1.573958,-2.069468,0.033127,0
54,28.8069,55,0.490579,-0.667540,-0.016567,0.490352,-0.670296,-0.016567,2.765,-0.837281,-1.923647,-1.779717,-1.046862,1.571348,-2.060483,0.033327,0
55,28.9102,56,0.490369,-0.668403,-0.016567,0.490204,-0.670296,-0.016567,1.900,-0.838675,-1.926616,-1.777261,-1.041380,1.564796,-2.050177,0.033498,0
56,29.0148,57,0.489909,-0.669410,-0.016567,0.490057,-0.670296,-0.016567,0.897,-0.843207,-1.932216,-1.772422,-1.033415,1.556545,-2.043400,0.033600,0
57,29.1180,58,0.489917,-0.671523,-0.016567,0.489910,-0.670296,-0.016567,1.227,-0.854570,-1.944615,-1.760270,-1.020604,1.545110,-2.041233,0.033789,0
58,29.2213,59,0.490007,-0.673299,-0.016567,0.489762,-0.670296,-0.016567,3.014,-0.865263,-1.954402,-1.749323,-1.015171,1.541502,-2.044032,0.033989,0
59,29.3245,60,0.490019,-0.674006,-0.016567,0.489614,-0.670296,-0.016567,3.733,-0.873281,-1.960336,-1.741758,-1.015448,1.543274,-2.050820,0.034189,0
60,29.4276,61,0.489759,-0.673698,-0.016567,0.489466,-0.670296,-0.016567,3.415,-0.875386,-1.960354,-1.739960,-1.019829,1.549182,-2.061060,0.034346,0
61,29.5315,62,0.489576,-0.673674,-0.016567,0.489318,-0.670296,-0.016567,3.388,-0.873937,-1.958214,-1.741424,-1.024791,1.555322,-2.068094,0.034493,0
62,29.6346,63,0.489358,-0.673259,-0.016567,0.489169,-0.670296,-0.016567,2.970,-0.869623,-1.952726,-1.745690,-1.033424,1.564291,-2.075445,0.034627,0
