step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,25.6539,0,0.498513,-0.670338,-0.016567,0.498346,-0.670338,-0.016567,0.166,-0.856330,-1.945852,-1.761754,-1.033200,1.562332,-2.056415,0.025046,0
2,25.7563,1,0.498375,-0.670316,-0.016567,0.498180,-0.670338,-0.016567,0.196,-0.856342,-1.945741,-1.761754,-1.033227,1.562355,-2.056397,0.025123,0
3,25.8586,2,0.498311,-0.670311,-0.016567,0.498024,-0.670338,-0.016567,0.288,-0.856593,-1.944827,-1.761472,-1.033547,1.562255,-2.056547,0.025285,0
4,25.9607,3,0.498188,-0.670307,-0.016567,0.497882,-0.670338,-0.016567,0.308,-0.857866,-1.941622,-1.760255,-1.034863,1.561597,-2.057119,0.025449,0
5,26.0627,4,0.497984,-0.670366,-0.016567,0.497730,-0.670338,-0.016567,0.256,-0.859172,-1.938440,-1.759282,-1.035986,1.560920,-2.057646,0.025592,0
6,26.1650,5,0.497708,-0.670351,-0.016567,0.497576,-0.670338,-0.016567,0.132,-0.861071,-1.934886,-1.758847,-1.037739,1.560028,-2.058302,0.025718,0
7,26.2672,6,0.497778,-0.670282,-0.016567,0.497425,-0.670338,-0.016567,0.357,-0.861310,-1.935248,-1.759015,-1.037579,1.559858,-2.058374,0.025910,0
8,26.3695,7,0.497422,-0.670329,-0.016567,0.497274,-0.670338,-0.016567,0.148,-0.859027,-1.939606,-1.758764,-1.034782,1.560447,-2.057366,0.026030,0
9,26.4718,8,0.497215,-0.670308,-0.016567,0.497123,-0.670338,-0.016567,0.097,-0.856130,-1.943911,-1.757545,-1.031318,1.561359,-2.056142,0.026165,0
10,26.5741,9,0.497026,-0.670819,-0.016567,0.496971,-0.670338,-0.016567,0.485,-0.854737,-1.946263,-1.756725,-1.028905,1.561844,-2.055654,0.026309,0
11,26.6761,10,0.496863,-0.670846,-0.016567,0.496820,-0.670338,-0.016567,0.510,-0.856551,-1.944704,-1.757906,-1.030868,1.561403,-2.056271,0.026458,0
12,26.7790,12,0.496741,-0.670714,-0.016567,0.496519,-0.670338,-0.016567,0.437,-0.860774,-1.939535,-1.762199,-1.037037,1.560999,-2.058321,0.026658,0
13,26.8827,13,0.496553,-0.670826,-0.016567,0.496368,-0.670338,-0.016567,0.522,-0.862082,-1.935777,-1.767312,-1.043409,1.561499,-2.059255,0.026858,0
14,26.9859,14,0.496507,-0.670342,-0.016567,0.496218,-0.670338,-0.016567,0.290,-0.859706,-1.935891,-1.769116,-1.045624,1.562682,-2.058686,0.027058,0
15,27.0888,15,0.496172,-0.670348,-0.016567,0.496067,-0.670338,-0.016567,0.105,-0.853831,-1.940329,-1.765202,-1.042029,1.564131,-2.056186,0.027230,0
16,27.1922,16,0.496037,-0.670320,-0.016567,0.495917,-0.670338,-0.016567,0.121,-0.849181,-1.946789,-1.759659,-1.035166,1.564719,-2.053713,0.027390,0
17,27.2952,16,0.495878,-0.670336,-0.016567,0.495917,-0.670338,-0.016567,0.039,-0.849001,-1.949692,-1.756436,-1.030376,1.563909,-2.053452,0.027391,0
18,27.3984,17,0.495725,-0.671088,-0.016567,0.495768,-0.670338,-0.016567,0.752,-0.853063,-1.949922,-1.755669,-1.025975,1.560696,-2.055627,0.027514,0
19,27.5018,19,0.495881,-0.671588,-0.016567,0.495469,-0.670338,-0.016567,1.317,-0.862381,-1.944508,-1.760648,-1.029444,1.555827,-2.061164,0.027714,0
20,27.6053,20,0.495686,-0.671587,-0.016567,0.495320,-0.670338,-0.016567,1.302,-0.868365,-1.937905,-1.766262,-1.035744,1.554529,-2.064021,0.027914,0
21,27.7089,21,0.495682,-0.671084,-0.016567,0.495171,-0.670338,-0.016567,0.905,-0.869304,-1.933979,-1.772183,-1.044176,1.557568,-2.062908,0.028114,0
22,27.8122,22,0.495619,-0.670340,-0.016567,0.495023,-0.670338,-0.016567,0.596,-0.865187,-1.935407,-1.774461,-1.049430,1.565067,-2.057238,0.028314,0
23,27.9154,23,0.495413,-0.669614,-0.016567,0.494874,-0.670338,-0.016567,0.902,-0.856979,-1.941187,-1.771364,-1.049640,1.572420,-2.050124,0.028514,0
24,28.0193,24,0.494800,-0.669571,-0.016567,0.494726,-0.670338,-0.016567,0.770,-0.846226,-1.950765,-1.762219,-1.043739,1.575176,-2.046637,0.028614,0
25,28.1266,25,0.494750,-0.670007,-0.016567,0.494578,-0.670338,-0.016567,0.373,-0.843967,-1.953813,-1.755009,-1.035799,1.571624,-2.049580,0.028777,0
26,28.2316,26,0.494350,-0.670337,-0.016567,0.494431,-0.670338,-0.016567,0.081,-0.846166,-1.952294,-1.751059,-1.027569,1.564652,-2.056517,0.028883,0
27,28.3361,27,0.494134,-0.671839,-0.016567,0.494283,-0.670338,-0.016567,1.509,-0.851668,-1.947352,-1.752172,-1.022772,1.556113,-2.064167,0.029016,0
28,28.4388,28,0.494185,-0.671625,-0.016567,0.494136,-0.670338,-0.016567,1.288,-0.857356,-1.942696,-1.755212,-1.022847,1.551439,-2.067447,0.029204,0
29,28.5418,29,0.494105,-0.672019,-0.016567,0.493988,-0.670338,-0.016567,1.685,-0.865320,-1.937094,-1.761468,-1.025606,1.548771,-2.067724,0.029379,0
30,28.6448,30,0.494161,-0.671849,-0.016567,0.493841,-0.670338,-0.016567,1.545,-0.869193,-1.934407,-1.769470,-1.032601,1.551543,-2.063564,0.029576,0
31,28.7479,31,0.494110,-0.670775,-0.016567,0.493694,-0.670338,-0.016567,0.604,-0.867190,-1.935814,-1.775836,-1.045128,1.559512,-2.053440,0.029754,0
32,28.8505,32,0.494045,-0.670274,-0.016567,0.493547,-0.670338,-0.016567,0.502,-0.860718,-1.940808,-1.774947,-1.052176,1.569064,-2.045914,0.029927,0
