step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,22.8490,0,0.484262,-0.669312,-0.016567,0.484218,-0.669307,-0.016567,0.045,-0.856309,-1.945840,-1.761785,-1.033196,1.562345,-2.056415,0.025000,0
2,22.9494,1,0.484262,-0.669312,-0.016567,0.484052,-0.669307,-0.016567,0.210,-0.856352,-1.945837,-1.761785,-1.033212,1.562348,-2.056431,0.025052,0
3,23.0497,2,0.484262,-0.669312,-0.016567,0.483895,-0.669307,-0.016567,0.367,-0.856355,-1.945840,-1.761763,-1.033200,1.562348,-2.056393,0.025169,0
4,23.1500,3,0.484262,-0.669312,-0.016567,0.483753,-0.669307,-0.016567,0.509,-0.856584,-1.944824,-1.761452,-1.033488,1.562331,-2.056559,0.025322,0
5,23.2504,4,0.483904,-0.670065,-0.016567,0.483601,-0.669307,-0.016567,0.816,-0.857684,-1.941922,-1.760223,-1.034502,1.561625,-2.056990,0.025475,0
6,23.3507,5,0.483747,-0.669793,-0.016567,0.483448,-0.669307,-0.016567,0.571,-0.858417,-1.939579,-1.759601,-1.035015,1.561327,-2.057306,0.025628,0
7,23.4511,6,0.483523,-0.669991,-0.016567,0.483297,-0.669307,-0.016567,0.721,-0.858341,-1.940560,-1.759861,-1.034987,1.561352,-2.057302,0.025781,0
8,23.5514,7,0.483446,-0.669995,-0.016567,0.483145,-0.669307,-0.016567,0.751,-0.858290,-1.941314,-1.759880,-1.034795,1.561187,-2.057242,0.025934,0
9,23.6519,8,0.483199,-0.670055,-0.016567,0.482994,-0.669307,-0.016567,0.776,-0.858287,-1.941237,-1.759744,-1.034773,1.561136,-2.057206,0.026087,0
10,23.7522,9,0.483136,-0.670196,-0.016567,0.482843,-0.669307,-0.016567,0.936,-0.858437,-1.941201,-1.759709,-1.034795,1.560887,-2.057191,0.026240,0
11,23.8526,10,0.483110,-0.670216,-0.016567,0.482691,-0.669307,-0.016567,1.001,-0.858578,-1.941297,-1.759688,-1.034464,1.560815,-2.057224,0.026392,0
12,23.9529,11,0.482952,-0.670299,-0.016567,0.482540,-0.669307,-0.016567,1.074,-0.858610,-1.941306,-1.759673,-1.034430,1.560815,-2.057236,0.026545,0
13,24.0531,12,0.482752,-0.670739,-0.016567,0.482390,-0.669307,-0.016567,1.478,-0.858706,-1.941489,-1.759406,-1.034329,1.560659,-2.057283,0.026698,0
14,24.1534,13,0.482457,-0.670797,-0.016567,0.482239,-0.669307,-0.016567,1.506,-0.858876,-1.941576,-1.759254,-1.034231,1.560512,-2.057319,0.026851,0
15,24.2538,14,0.482425,-0.670212,-0.016567,0.482089,-0.669307,-0.016567,0.966,-0.858929,-1.941681,-1.759238,-1.034175,1.560474,-2.057343,0.027004,0
16,24.3541,15,0.482394,-0.670196,-0.016567,0.481938,-0.669307,-0.016567,0.999,-0.859028,-1.941800,-1.759218,-1.034009,1.560368,-2.057413,0.027157,0
17,24.4545,16,0.482529,-0.670386,-0.016567,0.481788,-0.669307,-0.016567,1.309,-0.859090,-1.941857,-1.759146,-1.033947,1.560236,-2.057422,0.027310,0
18,24.5549,17,0.482322,-0.670808,-0.016567,0.481639,-0.669307,-0.016567,1.650,-0.859187,-1.941916,-1.759039,-1.033880,1.560203,-2.057434,0.027463,0
19,24.6552,18,0.482160,-0.670766,-0.016567,0.481489,-0.669307,-0.016567,1.606,-0.859256,-1.941983,-1.758907,-1.033767,1.560080,-2.057482,0.027616,0
20,24.7557,19,0.482049,-0.670768,-0.016567,0.481340,-0.669307,-0.016567,1.624,-0.859314,-1.942064,-1.758834,-1.033657,1.559983,-2.057494,0.027769,0
21,24.8562,20,0.481678,-0.670768,-0.016567,0.481191,-0.669307,-0.016567,1.540,-0.859480,-1.942159,-1.758707,-1.033547,1.559886,-2.057554,0.027921,0
22,24.9565,21,0.481678,-0.670768,-0.016567,0.481042,-0.669307,-0.016567,1.593,-0.859533,-1.942235,-1.758608,-1.033421,1.559779,-2.057578,0.028074,0
23,25.0568,22,0.481423,-0.671070,-0.016567,0.480894,-0.669307,-0.016567,1.841,-0.859608,-1.942268,-1.758524,-1.033321,1.559745,-2.057583,0.028227,0
24,25.1572,23,0.481467,-0.670995,-0.016567,0.480745,-0.669307,-0.016567,1.836,-0.859735,-1.942363,-1.758369,-1.033224,1.559591,-2.057607,0.028380,0
25,25.2575,24,0.481248,-0.671587,-0.016567,0.480597,-0.669307,-0.016567,2.371,-0.859788,-1.942411,-1.758336,-1.033168,1.559570,-2.057662,0.028533,0
26,25.3579,25,0.481282,-0.671679,-0.016567,0.480450,-0.669307,-0.016567,2.514,-0.859853,-1.942471,-1.758225,-1.033021,1.559459,-2.057655,0.028686,0
27,25.4582,26,0.481212,-0.671728,-0.016567,0.480302,-0.669307,-0.016567,2.587,-0.859990,-1.942573,-1.758106,-1.032933,1.559363,-2.057694,0.028839,0
28,25.5586,27,0.480837,-0.671724,-0.016567,0.480154,-0.669307,-0.016567,2.512,-0.860122,-1.942639,-1.757977,-1.032757,1.559251,-2.057703,0.028992,0
29,25.6590,28,0.480589,-0.672228,-0.016567,0.480007,-0.669307,-0.016567,2.979,-0.860199,-1.942690,-1.757875,-1.032662,1.559146,-2.057742,0.029145,0
30,25.7593,29,0.480569,-0.672310,-0.016567,0.479859,-0.669307,-0.016567,3.086,-0.860259,-1.942747,-1.757719,-1.032557,1.559074,-2.057770,0.029298,0
31,25.8597,30,0.480355,-0.672269,-0.016567,0.479712,-0.669307,-0.016567,3.031,-0.860374,-1.942822,-1.757615,-1.032467,1.558987,-2.057793,0.029451,0
32,25.9601,31,0.480169,-0.672269,-0.016567,0.479565,-0.669307,-0.016567,3.023,-0.860396,-1.942858,-1.757583,-1.032416,1.558973,-2.057799,0.029603,0
33,26.0604,32,0.480169,-0.672269,-0.016567,0.479418,-0.669307,-0.016567,3.056,-0.860485,-1.942953,-1.757432,-1.032300,1.558867,-2.057838,0.029756,0
34,26.1607,33,0.479970,-0.672467,-0.016567,0.479271,-0.669307,-0.016567,3.236,-0.860560,-1.942977,-1.757388,-1.032197,1.558780,-2.057834,0.029909,0
35,26.2610,34,0.479798,-0.672421,-0.016567,0.479124,-0.669307,-0.016567,3.186,-0.860702,-1.943050,-1.757248,-1.032053,1.558714,-2.057859,0.030062,0
36,26.3614,35,0.479768,-0.672437,-0.016567,0.478977,-0.669307,-0.016567,3.229,-0.860783,-1.943121,-1.757129,-1.031936,1.558630,-2.057889,0.030215,0
37,26.4619,36,0.479427,-0.673011,-0.016567,0.478830,-0.669307,-0.016567,3.752,-0.860894,-1.943208,-1.757046,-1.031871,1.558579,-2.057910,0.030368,0
38,26.5622,37,0.479392,-0.672981,-0.016567,0.478683,-0.669307,-0.016567,3.742,-0.860947,-1.943231,-1.756962,-1.031771,1.558534,-2.057922,0.030521,0
39,26.6627,38,0.479223,-0.673027,-0.016567,0.478536,-0.669307,-0.016567,3.783,-0.861016,-1.943291,-1.756906,-1.031606,1.558475,-2.057953,0.030674,0
40,26.7632,39,0.479047,-0.673023,-0.016567,0.478389,-0.669307,-0.016567,3.774,-0.861129,-1.943364,-1.756881,-1.031577,1.558426,-2.057967,0.030827,0
41,26.8636,40,0.478686,-0.673163,-0.016567,0.478243,-0.669307,-0.016567,3.881,-0.861175,-1.943409,-1.756783,-1.031489,1.558351,-2.058012,0.030980,0
