step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,21.5170,0,0.499169,-0.669338,-0.016567,0.499002,-0.669341,-0.016567,0.167,-0.856364,-1.945833,-1.761759,-1.033180,1.562339,-2.056415,0.025000,0
2,21.6174,1,0.499024,-0.669374,-0.016567,0.498836,-0.669341,-0.016567,0.191,-0.856360,-1.945821,-1.761785,-1.033180,1.562309,-2.056397,0.025052,0
3,21.7177,2,0.499040,-0.669325,-0.016567,0.498680,-0.669341,-0.016567,0.361,-0.856392,-1.945804,-1.761778,-1.033193,1.562312,-2.056400,0.025169,0
4,21.8181,3,0.498855,-0.669357,-0.016567,0.498537,-0.669341,-0.016567,0.318,-0.856787,-1.944480,-1.761264,-1.033614,1.562267,-2.056592,0.025322,0
5,21.9184,4,0.498902,-0.669614,-0.016567,0.498386,-0.669341,-0.016567,0.584,-0.857898,-1.941212,-1.759941,-1.034767,1.561633,-2.057086,0.025475,0
6,22.0188,5,0.498488,-0.669981,-0.016567,0.498232,-0.669341,-0.016567,0.689,-0.858449,-1.939629,-1.759541,-1.035044,1.561388,-2.057314,0.025628,0
7,22.1191,6,0.498642,-0.670015,-0.016567,0.498081,-0.669341,-0.016567,0.877,-0.858339,-1.940846,-1.759905,-1.034920,1.561371,-2.057302,0.025781,0
8,22.2194,7,0.498358,-0.669969,-0.016567,0.497930,-0.669341,-0.016567,0.761,-0.858369,-1.941429,-1.759895,-1.034767,1.561080,-2.057227,0.025934,0
9,22.3197,8,0.498173,-0.670023,-0.016567,0.497778,-0.669341,-0.016567,0.788,-0.858389,-1.941222,-1.759661,-1.034740,1.561076,-2.057203,0.026087,0
10,22.4201,9,0.497950,-0.669997,-0.016567,0.497627,-0.669341,-0.016567,0.731,-0.858494,-1.941217,-1.759664,-1.034771,1.560887,-2.057206,0.026240,0
11,22.5204,10,0.497779,-0.670025,-0.016567,0.497476,-0.669341,-0.016567,0.749,-0.858605,-1.941250,-1.759609,-1.034495,1.560875,-2.057215,0.026392,0
12,22.6208,11,0.497716,-0.670015,-0.016567,0.497325,-0.669341,-0.016567,0.779,-0.858713,-1.941314,-1.759644,-1.034396,1.560827,-2.057251,0.026545,0
13,22.7212,12,0.497419,-0.670171,-0.016567,0.497174,-0.669341,-0.016567,0.865,-0.858798,-1.941489,-1.759344,-1.034291,1.560647,-2.057283,0.026698,0
