step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,22.7057,0,0.501153,-0.670729,-0.016567,0.501093,-0.670780,-0.016567,0.079,-0.856348,-1.945840,-1.761763,-1.033193,1.562336,-2.056415,0.025058,0
2,22.8056,1,0.501152,-0.670790,-0.016567,0.501023,-0.670780,-0.016567,0.130,-0.856348,-1.945840,-1.761763,-1.033193,1.562336,-2.056415,0.025187,0
3,22.9056,2,0.500739,-0.670745,-0.016567,0.500904,-0.670780,-0.016567,0.168,-0.856348,-1.945840,-1.761763,-1.033193,1.562336,-2.056415,0.025116,0
4,23.0056,3,0.500856,-0.670204,-0.016567,0.500800,-0.670780,-0.016567,0.578,-0.856348,-1.945840,-1.761763,-1.033193,1.562336,-2.056415,0.025158,0
5,23.1056,4,0.500886,-0.670345,-0.016567,0.500702,-0.670780,-0.016567,0.472,-0.856348,-1.945840,-1.761763,-1.033193,1.562336,-2.056415,0.025330,0
6,23.2056,5,0.500764,-0.670514,-0.016567,0.500610,-0.670780,-0.016567,0.307,-0.856348,-1.945840,-1.761763,-1.033193,1.562336,-2.056415,0.025476,0
7,23.3056,6,0.500767,-0.670482,-0.016567,0.500512,-0.670780,-0.016567,0.391,-0.856348,-1.945840,-1.761763,-1.033193,1.562336,-2.056415,0.025676,0
8,23.4056,7,0.500470,-0.670208,-0.016567,0.500412,-0.670780,-0.016567,0.575,-0.856348,-1.945840,-1.761763,-1.033193,1.562336,-2.056415,0.025719,0
9,23.5056,8,0.500379,-0.670151,-0.016567,0.500312,-0.670780,-0.016567,0.632,-0.856348,-1.945840,-1.761763,-1.033193,1.562336,-2.056415,0.025771,0
10,23.6057,9,0.500345,-0.670178,-0.016567,0.500213,-0.670780,-0.016567,0.616,-0.856348,-1.945840,-1.761763,-1.033193,1.562336,-2.056415,0.025888,0
