step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,16.6858,0,0.500720,-0.671113,-0.016567,0.500673,-0.671117,-0.016567,0.046,-0.856305,-1.945861,-1.761775,-1.033208,1.562343,-2.056412,0.025063,0
2,16.7855,1,0.500767,-0.671110,-0.016567,0.500566,-0.671086,-0.016567,0.202,-0.856305,-1.945861,-1.761775,-1.033208,1.562343,-2.056412,0.025288,0
3,16.8855,2,0.500573,-0.670934,-0.016567,0.500435,-0.671028,-0.016567,0.166,-0.856305,-1.945861,-1.761775,-1.033208,1.562343,-2.056412,0.025487,0
4,16.9855,3,0.500563,-0.671156,-0.016567,0.500291,-0.670930,-0.016567,0.354,-0.856305,-1.945861,-1.761775,-1.033208,1.562343,-2.056412,0.025771,0
5,17.0854,4,0.500025,-0.670966,-0.016567,0.500136,-0.670782,-0.016567,0.216,-0.856305,-1.945861,-1.761775,-1.033208,1.562343,-2.056412,0.025882,0
6,17.1855,5,0.499851,-0.670714,-0.016567,0.499997,-0.670612,-0.016567,0.179,-0.856305,-1.945861,-1.761775,-1.033208,1.562343,-2.056412,0.025947,0
7,17.2855,6,0.499692,-0.670790,-0.016567,0.499873,-0.670430,-0.016567,0.403,-0.856305,-1.945861,-1.761775,-1.033208,1.562343,-2.056412,0.025996,0
8,17.3855,7,0.499742,-0.670398,-0.016567,0.499759,-0.670241,-0.016567,0.158,-0.856305,-1.945861,-1.761775,-1.033208,1.562343,-2.056412,0.026139,0
9,17.4855,8,0.499500,-0.670214,-0.016567,0.499654,-0.670046,-0.016567,0.227,-0.856305,-1.945861,-1.761775,-1.033208,1.562343,-2.056412,0.026201,0
10,17.5854,9,0.499507,-0.669931,-0.016567,0.499555,-0.669849,-0.016567,0.095,-0.856305,-1.945861,-1.761775,-1.033208,1.562343,-2.056412,0.026325,0
11,17.6857,10,0.499453,-0.669714,-0.016567,0.499461,-0.669648,-0.016567,0.067,-0.856305,-1.945861,-1.761775,-1.033208,1.562343,-2.056412,0.026472,0
